1 Mot inconnu : Fabien26 [[7:15]] => ====== Fabien26 ====== <|> fabien26
42 Accord de genre erroné : « version » est féminin. [[118:120]] => Après avoir essayé de façon très brève mandrake 9.1, je me suis rendu à la FNAC (ou le BHV je sais plus) pour acheter le version PowerPack de Mandrake 9.2, j'ai bien aimé ce système ... même s'il était très bugué et lent sur mon ordinateur ... <|> le => suggestions : ['la']
42 Mot inconnu : PowerPack [[129:138]] => Après avoir essayé de façon très brève mandrake 9.1, je me suis rendu à la FNAC (ou le BHV je sais plus) pour acheter le version PowerPack de Mandrake 9.2, j'ai bien aimé ce système ... même s'il était très bugué et lent sur mon ordinateur ... <|> powerpack
42 Typographie : points de suspension. Utilisez le caractère dédié. [[182:185]] => Après avoir essayé de façon très brève mandrake 9.1, je me suis rendu à la FNAC (ou le BHV je sais plus) pour acheter le version PowerPack de Mandrake 9.2, j'ai bien aimé ce système ... même s'il était très bugué et lent sur mon ordinateur ... <|> ... => suggestions : ['…']
42 Typographie : points de suspension. Utilisez le caractère dédié. [[240:243]] => Après avoir essayé de façon très brève mandrake 9.1, je me suis rendu à la FNAC (ou le BHV je sais plus) pour acheter le version PowerPack de Mandrake 9.2, j'ai bien aimé ce système ... même s'il était très bugué et lent sur mon ordinateur ... <|> ... => suggestions : ['…']

44 Mot inconnu : celeron [[57:64]] => <note>L'ordinateur de l'époque datait de 2001 c'était un celeron 700mhz avec 64 Mo de mémoire vive, dont une partie était prise par la carte graphique intégrée de marque SiS; un ordinateur très bas de gamme... <|> celeron
44 Mot inconnu : mhz [[68:71]] => <note>L'ordinateur de l'époque datait de 2001 c'était un celeron 700mhz avec 64 Mo de mémoire vive, dont une partie était prise par la carte graphique intégrée de marque SiS; un ordinateur très bas de gamme... <|> mhz
44 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[77:82]] => <note>L'ordinateur de l'époque datait de 2001 c'était un celeron 700mhz avec 64 Mo de mémoire vive, dont une partie était prise par la carte graphique intégrée de marque SiS; un ordinateur très bas de gamme... <|> 64 mo => suggestions : ['64\xa0Mo']
44 Mot inconnu : SiS [[170:173]] => <note>L'ordinateur de l'époque datait de 2001 c'était un celeron 700mhz avec 64 Mo de mémoire vive, dont une partie était prise par la carte graphique intégrée de marque SiS; un ordinateur très bas de gamme... <|> sis
44 Typographie : points de suspension. Utilisez le caractère dédié. [[206:209]] => <note>L'ordinateur de l'époque datait de 2001 c'était un celeron 700mhz avec 64 Mo de mémoire vive, dont une partie était prise par la carte graphique intégrée de marque SiS; un ordinateur très bas de gamme... <|> ... => suggestions : ['…']
46 Typographie : points de suspension. Utilisez le caractère dédié. [[181:184]] => Mandrake était une distribution linux orientée vers le débutant, elle était plutôt simple, mais en vieillissant, au fur et à mesure des versions, elle est devenu extrêmement buguée ... Maintenant elle a été renommée Mandriva depuis la fusion de la maison mère avec une autre société ayant les même ambitions et à retrouvée une certaine stabilité qui fait plaisir à voir.</note> <|> ... => suggestions : ['…']
46 Accord de nombre erroné : « même » devrait être au pluriel. [[293:297]] => Mandrake était une distribution linux orientée vers le débutant, elle était plutôt simple, mais en vieillissant, au fur et à mesure des versions, elle est devenu extrêmement buguée ... Maintenant elle a été renommée Mandriva depuis la fusion de la maison mère avec une autre société ayant les même ambitions et à retrouvée une certaine stabilité qui fait plaisir à voir.</note> <|> même => suggestions : ['mêmes']
46 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. [[311:312]] => Mandrake était une distribution linux orientée vers le débutant, elle était plutôt simple, mais en vieillissant, au fur et à mesure des versions, elle est devenu extrêmement buguée ... Maintenant elle a été renommée Mandriva depuis la fusion de la maison mère avec une autre société ayant les même ambitions et à retrouvée une certaine stabilité qui fait plaisir à voir.</note> <|> à => suggestions : ['a']
46 Le verbe devrait être à l’infinitif. [[313:322]] => Mandrake était une distribution linux orientée vers le débutant, elle était plutôt simple, mais en vieillissant, au fur et à mesure des versions, elle est devenu extrêmement buguée ... Maintenant elle a été renommée Mandriva depuis la fusion de la maison mère avec une autre société ayant les même ambitions et à retrouvée une certaine stabilité qui fait plaisir à voir.</note> <|> retrouvée => suggestions : ['retrouver']

48 Mot inconnu : BeOS [[18:22]] => === La révélation BeOS === <|> beos
52 Mot inconnu : BeOS [[138:142]] => Tous en restant sous mandrake (en triple boot avec windows Me) j'ai fait connaissance avec un système d'exploitation très léger du nom de BeOS, qui a peu à peu effacé Mandrake dans mon esprit ... <|> beos
52 Typographie : points de suspension. Utilisez le caractère dédié. [[192:195]] => Tous en restant sous mandrake (en triple boot avec windows Me) j'ai fait connaissance avec un système d'exploitation très léger du nom de BeOS, qui a peu à peu effacé Mandrake dans mon esprit ... <|> ... => suggestions : ['…']
54 Il manque un trait d’union. [[72:83]] => <note>Pour supporter la relative lourdeur de Mandrake je me suis acheté entre temps une barrette de 128Mo de RAM en plus de ma 64Mo d'origine, mais BeOS était toujours plus souple à l'utilisation ...</note> <|> entre temps => suggestions : ['entre-temps']
54 Mot inconnu : BeOS [[148:152]] => <note>Pour supporter la relative lourdeur de Mandrake je me suis acheté entre temps une barrette de 128Mo de RAM en plus de ma 64Mo d'origine, mais BeOS était toujours plus souple à l'utilisation ...</note> <|> beos
54 Typographie : points de suspension. Utilisez le caractère dédié. [[196:199]] => <note>Pour supporter la relative lourdeur de Mandrake je me suis acheté entre temps une barrette de 128Mo de RAM en plus de ma 64Mo d'origine, mais BeOS était toujours plus souple à l'utilisation ...</note> <|> ... => suggestions : ['…']

56 Mot inconnu : BeOS [[48:52]] => Jusqu'en 2005, j'ai utilisé quasi exclusivement BeOS, me privant du flash et du Java ... en utilisant un Firefox légèrement bugué mais qui n'avait rien à envier aux versions Linux et Windows ... Ma configuration matérielle a changé un bon nombre de fois. Mais au bout d'un temps, je commençai à me sentir à l'étroit dans ce système d'exploitation qui commençait à vraiment dater de plus en plus tous en étant de plus en plus à l'abandon ... L'arrivée de youtube donna le coup de grâce à cause du non support de Flash ... <|> beos
56 Typographie : points de suspension. Utilisez le caractère dédié. [[85:88]] => Jusqu'en 2005, j'ai utilisé quasi exclusivement BeOS, me privant du flash et du Java ... en utilisant un Firefox légèrement bugué mais qui n'avait rien à envier aux versions Linux et Windows ... Ma configuration matérielle a changé un bon nombre de fois. Mais au bout d'un temps, je commençai à me sentir à l'étroit dans ce système d'exploitation qui commençait à vraiment dater de plus en plus tous en étant de plus en plus à l'abandon ... L'arrivée de youtube donna le coup de grâce à cause du non support de Flash ... <|> ... => suggestions : ['…']
56 Typographie : points de suspension. Utilisez le caractère dédié. [[191:194]] => Jusqu'en 2005, j'ai utilisé quasi exclusivement BeOS, me privant du flash et du Java ... en utilisant un Firefox légèrement bugué mais qui n'avait rien à envier aux versions Linux et Windows ... Ma configuration matérielle a changé un bon nombre de fois. Mais au bout d'un temps, je commençai à me sentir à l'étroit dans ce système d'exploitation qui commençait à vraiment dater de plus en plus tous en étant de plus en plus à l'abandon ... L'arrivée de youtube donna le coup de grâce à cause du non support de Flash ... <|> ... => suggestions : ['…']
56 Typographie : points de suspension. Utilisez le caractère dédié. [[437:440]] => Jusqu'en 2005, j'ai utilisé quasi exclusivement BeOS, me privant du flash et du Java ... en utilisant un Firefox légèrement bugué mais qui n'avait rien à envier aux versions Linux et Windows ... Ma configuration matérielle a changé un bon nombre de fois. Mais au bout d'un temps, je commençai à me sentir à l'étroit dans ce système d'exploitation qui commençait à vraiment dater de plus en plus tous en étant de plus en plus à l'abandon ... L'arrivée de youtube donna le coup de grâce à cause du non support de Flash ... <|> ... => suggestions : ['…']
56 Élision de l’article devant un mot commençant par une voyelle. [[451:454]] => Jusqu'en 2005, j'ai utilisé quasi exclusivement BeOS, me privant du flash et du Java ... en utilisant un Firefox légèrement bugué mais qui n'avait rien à envier aux versions Linux et Windows ... Ma configuration matérielle a changé un bon nombre de fois. Mais au bout d'un temps, je commençai à me sentir à l'étroit dans ce système d'exploitation qui commençait à vraiment dater de plus en plus tous en étant de plus en plus à l'abandon ... L'arrivée de youtube donna le coup de grâce à cause du non support de Flash ... <|> de  => suggestions : ['d’']
56 Typographie : points de suspension. Utilisez le caractère dédié. [[517:520]] => Jusqu'en 2005, j'ai utilisé quasi exclusivement BeOS, me privant du flash et du Java ... en utilisant un Firefox légèrement bugué mais qui n'avait rien à envier aux versions Linux et Windows ... Ma configuration matérielle a changé un bon nombre de fois. Mais au bout d'un temps, je commençai à me sentir à l'étroit dans ce système d'exploitation qui commençait à vraiment dater de plus en plus tous en étant de plus en plus à l'abandon ... L'arrivée de youtube donna le coup de grâce à cause du non support de Flash ... <|> ... => suggestions : ['…']

62 Typographie : points de suspension. Utilisez le caractère dédié. [[24:27]] => === La période de doute ... === <|> ... => suggestions : ['…']

64 Typographie : points de suspension. Utilisez le caractère dédié. [[95:98]] => J'ai fait connaissance avec PC-BSD un système à base de FreeBSD mettant en avant la simplicité ... mais son système de fonctionnement ne me plaisait pas tellement (à base de paquets comprenant directement toutes les dépendances au programme que l'on installait, ce qui avait tendance à rendre le système très consommateur d'espace disque sans apporter plus de stabilité ni de simplicité). <|> ... => suggestions : ['…']

66 Typographie : points de suspension. Utilisez le caractère dédié. [[38:41]] => En 2006 je me suis retourné à Windows ... Après 2 mois sous Windows XP ... je me suis vraiment aperçu, après une bonne première impression, que ce système ne me convenait pas non plus ... <|> ... => suggestions : ['…']
66 Typographie : points de suspension. Utilisez le caractère dédié. [[71:74]] => En 2006 je me suis retourné à Windows ... Après 2 mois sous Windows XP ... je me suis vraiment aperçu, après une bonne première impression, que ce système ne me convenait pas non plus ... <|> ... => suggestions : ['…']
66 Typographie : points de suspension. Utilisez le caractère dédié. [[184:187]] => En 2006 je me suis retourné à Windows ... Après 2 mois sous Windows XP ... je me suis vraiment aperçu, après une bonne première impression, que ce système ne me convenait pas non plus ... <|> ... => suggestions : ['…']

75 Mot inconnu : oulala [[88:94]] => Même si la traduction française n'était pas à la hauteur de mes attentes tous le temps (oulala que c'est mieux aujourd'hui !), le système était un vrai régal à utiliser, j'ai commencé à reprendre goût à l'utilisation d'un ordinateur <|> oulala

77 Il manque un trait d’union. [[6:17]] => <note>Entre temps j'ai changé d'ordinateur un bon nombre de fois, et je suis passé à un ordinateur compatible 64bits</note> <|> entre temps => suggestions : ['Entre-temps']
85 Typographie : points de suspension. Utilisez le caractère dédié. [[179:182]] => Sur Feisty j'ai trouvé un truc génial, que je ne connaissais pas sous linux, le mode de compatibilité 32 bits de la version 64bits, mais elle n'était pas très à l'aise avec la 3d ... impossible de faire tourner un jeux dans Wine correctement ... <|> ... => suggestions : ['…']
85 Accord de nombre erroné : « jeux » devrait être au singulier. [[214:218]] => Sur Feisty j'ai trouvé un truc génial, que je ne connaissais pas sous linux, le mode de compatibilité 32 bits de la version 64bits, mais elle n'était pas très à l'aise avec la 3d ... impossible de faire tourner un jeux dans Wine correctement ... <|> jeux => suggestions : ['jeu']
85 Typographie : points de suspension. Utilisez le caractère dédié. [[242:245]] => Sur Feisty j'ai trouvé un truc génial, que je ne connaissais pas sous linux, le mode de compatibilité 32 bits de la version 64bits, mais elle n'était pas très à l'aise avec la 3d ... impossible de faire tourner un jeux dans Wine correctement ... <|> ... => suggestions : ['…']
93 Mot inconnu : mo [[79:81]] => (Bon j'ai quand même viré Compiz car ça n'apporte rien sauf l'occupation de 30 mo de ram supplémentaire ... Négligeable, mais bon ...) <|> mo
93 Mot inconnu : ram [[85:88]] => (Bon j'ai quand même viré Compiz car ça n'apporte rien sauf l'occupation de 30 mo de ram supplémentaire ... Négligeable, mais bon ...) <|> ram
93 Typographie : points de suspension. Utilisez le caractère dédié. [[104:107]] => (Bon j'ai quand même viré Compiz car ça n'apporte rien sauf l'occupation de 30 mo de ram supplémentaire ... Négligeable, mais bon ...) <|> ... => suggestions : ['…']
93 Typographie : points de suspension. Utilisez le caractère dédié. [[130:133]] => (Bon j'ai quand même viré Compiz car ça n'apporte rien sauf l'occupation de 30 mo de ram supplémentaire ... Négligeable, mais bon ...) <|> ... => suggestions : ['…']

95 Mot inconnu : multhreading [[18:30]] => === le bonheur du multhreading ! === <|> multhreading

97 S’il s’agit d’une action à accomplir, le verbe devrait être à l’infinitif. [[191:196]] => De nos jours les ordinateurs disposent quasiment tous de la possibilité de faire tourner au moins deux threads (tâches systèmes) en même temps. La première fois que le grand public a entendu parlé de cette fonctionnalité c'était avec le Pentium 4 HT. Le Pentium 4 HT n'est pas à proprement parler un processeur optimisé pour ce genre de processus, il ne dispose d'ailleurs que d'un seul cœur d'exécution. Mais depuis les Pentium D, Core Duo, Core 2 Duo et Quad, Athlon 64 X2 ainsi que presque tous les processeurs plus récents, les processeurs sont vraiment significativement plus puissant en utilisation multithreads. <|> parlé => suggestions : ['parler']
97 Mot inconnu : Core [[432:436]] => De nos jours les ordinateurs disposent quasiment tous de la possibilité de faire tourner au moins deux threads (tâches systèmes) en même temps. La première fois que le grand public a entendu parlé de cette fonctionnalité c'était avec le Pentium 4 HT. Le Pentium 4 HT n'est pas à proprement parler un processeur optimisé pour ce genre de processus, il ne dispose d'ailleurs que d'un seul cœur d'exécution. Mais depuis les Pentium D, Core Duo, Core 2 Duo et Quad, Athlon 64 X2 ainsi que presque tous les processeurs plus récents, les processeurs sont vraiment significativement plus puissant en utilisation multithreads. <|> core
97 Mot inconnu : Core [[442:446]] => De nos jours les ordinateurs disposent quasiment tous de la possibilité de faire tourner au moins deux threads (tâches systèmes) en même temps. La première fois que le grand public a entendu parlé de cette fonctionnalité c'était avec le Pentium 4 HT. Le Pentium 4 HT n'est pas à proprement parler un processeur optimisé pour ce genre de processus, il ne dispose d'ailleurs que d'un seul cœur d'exécution. Mais depuis les Pentium D, Core Duo, Core 2 Duo et Quad, Athlon 64 X2 ainsi que presque tous les processeurs plus récents, les processeurs sont vraiment significativement plus puissant en utilisation multithreads. <|> core
97 Accord de nombre erroné avec « 2 » : « Duo » devrait être au pluriel. [[449:452]] => De nos jours les ordinateurs disposent quasiment tous de la possibilité de faire tourner au moins deux threads (tâches systèmes) en même temps. La première fois que le grand public a entendu parlé de cette fonctionnalité c'était avec le Pentium 4 HT. Le Pentium 4 HT n'est pas à proprement parler un processeur optimisé pour ce genre de processus, il ne dispose d'ailleurs que d'un seul cœur d'exécution. Mais depuis les Pentium D, Core Duo, Core 2 Duo et Quad, Athlon 64 X2 ainsi que presque tous les processeurs plus récents, les processeurs sont vraiment significativement plus puissant en utilisation multithreads. <|> duo => suggestions : ['Duos']
97 Mot inconnu : Athlon [[462:468]] => De nos jours les ordinateurs disposent quasiment tous de la possibilité de faire tourner au moins deux threads (tâches systèmes) en même temps. La première fois que le grand public a entendu parlé de cette fonctionnalité c'était avec le Pentium 4 HT. Le Pentium 4 HT n'est pas à proprement parler un processeur optimisé pour ce genre de processus, il ne dispose d'ailleurs que d'un seul cœur d'exécution. Mais depuis les Pentium D, Core Duo, Core 2 Duo et Quad, Athlon 64 X2 ainsi que presque tous les processeurs plus récents, les processeurs sont vraiment significativement plus puissant en utilisation multithreads. <|> athlon
97 Mot inconnu : X2 [[472:474]] => De nos jours les ordinateurs disposent quasiment tous de la possibilité de faire tourner au moins deux threads (tâches systèmes) en même temps. La première fois que le grand public a entendu parlé de cette fonctionnalité c'était avec le Pentium 4 HT. Le Pentium 4 HT n'est pas à proprement parler un processeur optimisé pour ce genre de processus, il ne dispose d'ailleurs que d'un seul cœur d'exécution. Mais depuis les Pentium D, Core Duo, Core 2 Duo et Quad, Athlon 64 X2 ainsi que presque tous les processeurs plus récents, les processeurs sont vraiment significativement plus puissant en utilisation multithreads. <|> x2
97 Accord erroné : “processeurs” et “puissant” ne sont pas accordés. Mettez au pluriel. [[581:589]] => De nos jours les ordinateurs disposent quasiment tous de la possibilité de faire tourner au moins deux threads (tâches systèmes) en même temps. La première fois que le grand public a entendu parlé de cette fonctionnalité c'était avec le Pentium 4 HT. Le Pentium 4 HT n'est pas à proprement parler un processeur optimisé pour ce genre de processus, il ne dispose d'ailleurs que d'un seul cœur d'exécution. Mais depuis les Pentium D, Core Duo, Core 2 Duo et Quad, Athlon 64 X2 ainsi que presque tous les processeurs plus récents, les processeurs sont vraiment significativement plus puissant en utilisation multithreads. <|> puissant => suggestions : ['puissants']
97 Mot inconnu : multithreads [[605:617]] => De nos jours les ordinateurs disposent quasiment tous de la possibilité de faire tourner au moins deux threads (tâches systèmes) en même temps. La première fois que le grand public a entendu parlé de cette fonctionnalité c'était avec le Pentium 4 HT. Le Pentium 4 HT n'est pas à proprement parler un processeur optimisé pour ce genre de processus, il ne dispose d'ailleurs que d'un seul cœur d'exécution. Mais depuis les Pentium D, Core Duo, Core 2 Duo et Quad, Athlon 64 X2 ainsi que presque tous les processeurs plus récents, les processeurs sont vraiment significativement plus puissant en utilisation multithreads. <|> multithreads

107 Typographie : points de suspension. Utilisez le caractère dédié. [[28:31]] => Bon bah c'est pas encore ça ... Mais il y a de l'idée ! et malgré ces défauts évidents je l'utilise quand même comme interface par défaut quotidiennement ! <|> ... => suggestions : ['…']
109 Mot inconnu : bling [[105:110]] => D'ailleurs Unity m'a réconcilié avec Compiz, car pour une fois compiz n'est pas là juste pour ajouter du bling bling mais est indispensable pour le fonctionnement d'Unity. Bon je ne m'emballais pas de cette nouvelle au départ, mais comme ça ne consomme pas plus de RAM et que ça marche très très bine depuis les dernières mises à jours, je suis très content de ce retour au compositing 3D ! <|> bling
109 Doublon. [[105:116]] => D'ailleurs Unity m'a réconcilié avec Compiz, car pour une fois compiz n'est pas là juste pour ajouter du bling bling mais est indispensable pour le fonctionnement d'Unity. Bon je ne m'emballais pas de cette nouvelle au départ, mais comme ça ne consomme pas plus de RAM et que ça marche très très bine depuis les dernières mises à jours, je suis très content de ce retour au compositing 3D ! <|> bling bling => suggestions : ['bling']
109 Mot inconnu : bling [[111:116]] => D'ailleurs Unity m'a réconcilié avec Compiz, car pour une fois compiz n'est pas là juste pour ajouter du bling bling mais est indispensable pour le fonctionnement d'Unity. Bon je ne m'emballais pas de cette nouvelle au départ, mais comme ça ne consomme pas plus de RAM et que ça marche très très bine depuis les dernières mises à jours, je suis très content de ce retour au compositing 3D ! <|> bling
109 Incohérence avec “très” : “bine” n’est ni un adjectif, ni un participe passé, ni un adverbe. [[296:300]] => D'ailleurs Unity m'a réconcilié avec Compiz, car pour une fois compiz n'est pas là juste pour ajouter du bling bling mais est indispensable pour le fonctionnement d'Unity. Bon je ne m'emballais pas de cette nouvelle au départ, mais comme ça ne consomme pas plus de RAM et que ça marche très très bine depuis les dernières mises à jours, je suis très content de ce retour au compositing 3D ! <|> bine => suggestions : ['binée', 'binés', 'biné', 'binées']
109 Mot inconnu : compositing [[374:385]] => D'ailleurs Unity m'a réconcilié avec Compiz, car pour une fois compiz n'est pas là juste pour ajouter du bling bling mais est indispensable pour le fonctionnement d'Unity. Bon je ne m'emballais pas de cette nouvelle au départ, mais comme ça ne consomme pas plus de RAM et que ça marche très très bine depuis les dernières mises à jours, je suis très content de ce retour au compositing 3D ! <|> compositing
113 Mot inconnu : roxxé [[114:119]] => Purée vivement 11.10 !!!! Déjà parce que 11.04 c'est pas ça tout le temps, mais aussi parce qu'Unity version 4 va roxxé comme un malade j'ai hâte !!! <|> roxxé

116 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[6:9]] => 11.10 est sortie et par la même occasion Unity 4. Il y a encore pas mal de bugs, notamment si l'on utilise un grand nombre de fenêtres. Plus ou moins le même reproche que pour unity 3 mais pour des raisons différentes. J'ai hâte de voir le résultat dans 12.04 qui serra une version LTS et donc orientée vers la stabilisation des différents programmes dont sont composés Ubuntu. Peut être verrons nous enfin une version d'Unity totalement dépourvue de problèmes grossiers dû à sa jeunesse. <|> est => suggestions : ['Est']
116 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. [[378:387]] => 11.10 est sortie et par la même occasion Unity 4. Il y a encore pas mal de bugs, notamment si l'on utilise un grand nombre de fenêtres. Plus ou moins le même reproche que pour unity 3 mais pour des raisons différentes. J'ai hâte de voir le résultat dans 12.04 qui serra une version LTS et donc orientée vers la stabilisation des différents programmes dont sont composés Ubuntu. Peut être verrons nous enfin une version d'Unity totalement dépourvue de problèmes grossiers dû à sa jeunesse. <|> peut être => suggestions : ['Peut-être']
116 Forme interrogative ? Mettez un trait d’union. [[388:400]] => 11.10 est sortie et par la même occasion Unity 4. Il y a encore pas mal de bugs, notamment si l'on utilise un grand nombre de fenêtres. Plus ou moins le même reproche que pour unity 3 mais pour des raisons différentes. J'ai hâte de voir le résultat dans 12.04 qui serra une version LTS et donc orientée vers la stabilisation des différents programmes dont sont composés Ubuntu. Peut être verrons nous enfin une version d'Unity totalement dépourvue de problèmes grossiers dû à sa jeunesse. <|> verrons nous => suggestions : ['verrons-nous']
122 Guillemets typographiques ouvrants. [[72:73]] => Sinon pour ce qui est d'Unity, je peux déplorer la perte de la fonction "dodge window" du launcher, au départ on trouve ça gênant, mais au final on se surprend à bénir son absence (en gros avec le dodge on passait son temps à bien caler les fenêtres pour ne pas cacher le launcher tout en utilisant le plus de place) <|> " => suggestions : ['«\xa0', '“']
122 Mot inconnu : dodge [[73:78]] => Sinon pour ce qui est d'Unity, je peux déplorer la perte de la fonction "dodge window" du launcher, au départ on trouve ça gênant, mais au final on se surprend à bénir son absence (en gros avec le dodge on passait son temps à bien caler les fenêtres pour ne pas cacher le launcher tout en utilisant le plus de place) <|> dodge
122 Mot inconnu : window [[79:85]] => Sinon pour ce qui est d'Unity, je peux déplorer la perte de la fonction "dodge window" du launcher, au départ on trouve ça gênant, mais au final on se surprend à bénir son absence (en gros avec le dodge on passait son temps à bien caler les fenêtres pour ne pas cacher le launcher tout en utilisant le plus de place) <|> window
122 Guillemets typographiques fermants. [[85:86]] => Sinon pour ce qui est d'Unity, je peux déplorer la perte de la fonction "dodge window" du launcher, au départ on trouve ça gênant, mais au final on se surprend à bénir son absence (en gros avec le dodge on passait son temps à bien caler les fenêtres pour ne pas cacher le launcher tout en utilisant le plus de place) <|> " => suggestions : ['\xa0»', '”']
122 Mot inconnu : launcher [[90:98]] => Sinon pour ce qui est d'Unity, je peux déplorer la perte de la fonction "dodge window" du launcher, au départ on trouve ça gênant, mais au final on se surprend à bénir son absence (en gros avec le dodge on passait son temps à bien caler les fenêtres pour ne pas cacher le launcher tout en utilisant le plus de place) <|> launcher
122 Mot inconnu : dodge [[197:202]] => Sinon pour ce qui est d'Unity, je peux déplorer la perte de la fonction "dodge window" du launcher, au départ on trouve ça gênant, mais au final on se surprend à bénir son absence (en gros avec le dodge on passait son temps à bien caler les fenêtres pour ne pas cacher le launcher tout en utilisant le plus de place) <|> dodge
122 Mot inconnu : launcher [[272:280]] => Sinon pour ce qui est d'Unity, je peux déplorer la perte de la fonction "dodge window" du launcher, au départ on trouve ça gênant, mais au final on se surprend à bénir son absence (en gros avec le dodge on passait son temps à bien caler les fenêtres pour ne pas cacher le launcher tout en utilisant le plus de place) <|> launcher
123 Mot inconnu : launcher [[240:248]] => En dehors de ce qui est au final un détail, enfin nous avons de quoi configurer légèrement Unity sans devoir passer par des chemins détournés ! Ça fait plaisir nettement parce que mon premier réflexe avec unity est de diminuer la taille du launcher au minimum ! <|> launcher
129 Guillemets typographiques ouvrants. [[111:112]] => Certains chantiers d'Unity qui me semblent alléchants comme la possibilité de pouvoir choisir de désactiver le "menu global" tout en gardant l'espace gagné par Unity en ajoutant un bouton menu dans la barre de titre qui afficherais le menu dans la barre titre de chaque fenêtre après un survol. Si cette fonction vois le jour, c'est un rève qui se réaliserait ! <|> " => suggestions : ['«\xa0', '“']
