1 Mot inconnu : MaXflY [[31:37]] => ===== Présentation de M@XflY / MaXflY ===== <|> maxfly
64 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[34:38]] =>   * je n'hésite pas dès que je le peut de faire la promotion de GNU/Linux et des logiciel libre, et d'ailleurs dès que quelqu'un le souhaite je le convertis à GNU/Linux (mes parents c'est fait, ma soeur presque, ma copine c'est fait .... au suivant !! ) <|> peut => suggestions : ['peux']
64 Accord de nombre erroné : « logiciel » devrait être au pluriel. [[81:89]] =>   * je n'hésite pas dès que je le peut de faire la promotion de GNU/Linux et des logiciel libre, et d'ailleurs dès que quelqu'un le souhaite je le convertis à GNU/Linux (mes parents c'est fait, ma soeur presque, ma copine c'est fait .... au suivant !! ) <|> logiciel => suggestions : ['logiciels']
64 Mot inconnu : soeur [[197:202]] =>   * je n'hésite pas dès que je le peut de faire la promotion de GNU/Linux et des logiciel libre, et d'ailleurs dès que quelqu'un le souhaite je le convertis à GNU/Linux (mes parents c'est fait, ma soeur presque, ma copine c'est fait .... au suivant !! ) <|> soeur
64 Typographie : points de suspension. Utilisez le caractère dédié. [[233:237]] =>   * je n'hésite pas dès que je le peut de faire la promotion de GNU/Linux et des logiciel libre, et d'ailleurs dès que quelqu'un le souhaite je le convertis à GNU/Linux (mes parents c'est fait, ma soeur presque, ma copine c'est fait .... au suivant !! ) <|> .... => suggestions : ['…']
64 Pas d’espace avant ce signe. [[251:253]] =>   * je n'hésite pas dès que je le peut de faire la promotion de GNU/Linux et des logiciel libre, et d'ailleurs dès que quelqu'un le souhaite je le convertis à GNU/Linux (mes parents c'est fait, ma soeur presque, ma copine c'est fait .... au suivant !! ) <|>  ) => suggestions : [')']

70 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[43:47]] => bref j'essaye de m'investir tant que je le peut dans le monde libre. <|> peut => suggestions : ['peux']

77 Ceci est un verbe à la 2ᵉ personne du pluriel. Sujet (“vous” ou équivalent) introuvable. [[33:37]] => Quoi de plus émouvant qu'en vous avez passé plusieurs minutes avec quelqu'un à lui expliqué ce qu'est GNU/Linux et les logiciels libres, et de sentir qu'il a compris et de le voir tout content de repartir avec un Live CD pour l'essayé Ubuntu. Ou de voir une personne retrouvé gouts à l'informatique par ce qu'elle reprend le contrôle de son pc et qu'elle découvre que l'informatique ce n'est pas subir une machine qui buggue , mais découvrir un nouvelle univers. <|> avez => suggestions : ['ont']
77 Accord de genre erroné : « une personne » est féminin, « retrouvé » est masculin. [[267:275]] => Quoi de plus émouvant qu'en vous avez passé plusieurs minutes avec quelqu'un à lui expliqué ce qu'est GNU/Linux et les logiciels libres, et de sentir qu'il a compris et de le voir tout content de repartir avec un Live CD pour l'essayé Ubuntu. Ou de voir une personne retrouvé gouts à l'informatique par ce qu'elle reprend le contrôle de son pc et qu'elle découvre que l'informatique ce n'est pas subir une machine qui buggue , mais découvrir un nouvelle univers. <|> retrouvé => suggestions : ['retrouvée']
77 Accord de nombre erroné avec « une personne retrouvé » : « gouts » devrait être au singulier. [[276:281]] => Quoi de plus émouvant qu'en vous avez passé plusieurs minutes avec quelqu'un à lui expliqué ce qu'est GNU/Linux et les logiciels libres, et de sentir qu'il a compris et de le voir tout content de repartir avec un Live CD pour l'essayé Ubuntu. Ou de voir une personne retrouvé gouts à l'informatique par ce qu'elle reprend le contrôle de son pc et qu'elle découvre que l'informatique ce n'est pas subir une machine qui buggue , mais découvrir un nouvelle univers. <|> gouts => suggestions : ['gout']
77 Mot inconnu : buggue [[418:424]] => Quoi de plus émouvant qu'en vous avez passé plusieurs minutes avec quelqu'un à lui expliqué ce qu'est GNU/Linux et les logiciels libres, et de sentir qu'il a compris et de le voir tout content de repartir avec un Live CD pour l'essayé Ubuntu. Ou de voir une personne retrouvé gouts à l'informatique par ce qu'elle reprend le contrôle de son pc et qu'elle découvre que l'informatique ce n'est pas subir une machine qui buggue , mais découvrir un nouvelle univers. <|> buggue
77 Pas d’espace avant une virgule. [[424:426]] => Quoi de plus émouvant qu'en vous avez passé plusieurs minutes avec quelqu'un à lui expliqué ce qu'est GNU/Linux et les logiciels libres, et de sentir qu'il a compris et de le voir tout content de repartir avec un Live CD pour l'essayé Ubuntu. Ou de voir une personne retrouvé gouts à l'informatique par ce qu'elle reprend le contrôle de son pc et qu'elle découvre que l'informatique ce n'est pas subir une machine qui buggue , mais découvrir un nouvelle univers. <|>  , => suggestions : [',']
77 Accord de genre erroné : « nouvelle » est féminin. [[442:444]] => Quoi de plus émouvant qu'en vous avez passé plusieurs minutes avec quelqu'un à lui expliqué ce qu'est GNU/Linux et les logiciels libres, et de sentir qu'il a compris et de le voir tout content de repartir avec un Live CD pour l'essayé Ubuntu. Ou de voir une personne retrouvé gouts à l'informatique par ce qu'elle reprend le contrôle de son pc et qu'elle découvre que l'informatique ce n'est pas subir une machine qui buggue , mais découvrir un nouvelle univers. <|> un => suggestions : ['une']
77 Accord de genre erroné : « un » est un déterminant masculin. [[445:453]] => Quoi de plus émouvant qu'en vous avez passé plusieurs minutes avec quelqu'un à lui expliqué ce qu'est GNU/Linux et les logiciels libres, et de sentir qu'il a compris et de le voir tout content de repartir avec un Live CD pour l'essayé Ubuntu. Ou de voir une personne retrouvé gouts à l'informatique par ce qu'elle reprend le contrôle de son pc et qu'elle découvre que l'informatique ce n'est pas subir une machine qui buggue , mais découvrir un nouvelle univers. <|> nouvelle => suggestions : ['nouveau']

79 S’il s’agit d’une action à accomplir, le verbe devrait être à l’infinitif. [[11:17]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> passez => suggestions : ['passer']
79 Accord de nombre erroné avec « quatre » : « heure » devrait être au pluriel. [[25:30]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> heure => suggestions : ['heures']
79 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. [[31:32]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> à => suggestions : ['a']
79 Le verbe devrait être à l’infinitif. [[33:41]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> expliqué => suggestions : ['expliquer']
79 Mot inconnu : plustôt [[145:152]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> plustôt
79 Incohérence avec “de” : “passez” est une forme verbale conjuguée. [[160:166]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> passez => suggestions : ['passée', 'passions', 'passant', 'passés', 'passé', 'passes', 'passées', 'passe']
79 Accord de nombre erroné : « drivers » est au pluriel. [[258:260]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> le => suggestions : ['les']
79 Accord de nombre erroné : « drivers » devrait être au singulier. [[261:268]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> drivers => suggestions : ['driver']
79 Mot inconnu : bidulle [[269:276]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> bidulle
79 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. [[282:283]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> à => suggestions : ['a']
79 Mot inconnu : bouxin [[291:297]] => Je préfère passez quatre heure à expliqué à quelqu'un comment améliorer sa machine et son bureau pour qu'il réponde parfaitement à ces attentes, plustôt que de passez le même temps à chercher à comprendre pourquoi la dll machin chose est manquante parce que le drivers bidulle truc à mis le bouxin dans la machine (vous avez compris je ne vise aucun système propriétaire en particulier). <|> bouxin

81 S’il s’agit d’une action que le sujet doit accomplir, le verbe devrait être à l’infinitif. [[25:33]] => Les utilisateurs doivent retrouvé leur liberté et pour moi seul GNU/Linux et les logiciels libres le permettent. <|> retrouvé => suggestions : ['retrouver']

84 Accord de nombre erroné avec « mes autres » : « passion » devrait être au pluriel. [[22:29]] => ==== Sinon mes autres passion ==== <|> passion => suggestions : ['passions']

86 Pas d’espace après ce signe. [[0:2]] => ( y a pas que l'informatique dans la vie non ?) <|> (  => suggestions : ['(']
87 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. [[57:58]] =>   * l'informatique (heu oups !! me suis trompé mon doigt à fourché) <|> à => suggestions : ['a']
87 Le verbe devrait être à l’infinitif. [[59:66]] =>   * l'informatique (heu oups !! me suis trompé mon doigt à fourché) <|> fourché => suggestions : ['fourcher']
90 Doublon. [[31:36]] =>   * le contact avec la nature (si si un beau couché de soleil sur l'océan y a pas plus beau) <|> si si => suggestions : ['si']
91 Typographie : points de suspension. Utilisez le caractère dédié. [[59:62]] =>   * ma psp (j'avais dit plus d'info t'es sourd ou quoi !!! ... oups pardon) <|> ... => suggestions : ['…']
92 Mot inconnu : ecléctique [[15:25]] =>   * la musique ecléctique (c'est quoi ça un chanteur ?!) <|> ecléctique

95 Mot inconnu : espére [[8:14]] => voilà j'espére m'être dévoilé de fond en comble. <|> espére
97 Conjugaison erronée. Accord avec “j’”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[13:19]] => PS : ah si j'oublié de vous dire ma première dent de lait et tombé ... (tu sais on s'en fiche !! .... ah bon ? bon) <|> oublié => suggestions : ['oubliai', 'oublie', 'oubliais']
97 Typographie : points de suspension. Utilisez le caractère dédié. [[67:70]] => PS : ah si j'oublié de vous dire ma première dent de lait et tombé ... (tu sais on s'en fiche !! .... ah bon ? bon) <|> ... => suggestions : ['…']
97 Typographie : points de suspension. Utilisez le caractère dédié. [[97:101]] => PS : ah si j'oublié de vous dire ma première dent de lait et tombé ... (tu sais on s'en fiche !! .... ah bon ? bon) <|> .... => suggestions : ['…']
105 Typographie : points de suspension. Utilisez le caractère dédié. [[25:28]] =>   * par signaux de fumée ... <|> ... => suggestions : ['…']

107 Mot inconnu : __sur [[0:5]] => __sur Gmail :__ gael.hipeau AT gmail POINT com <|> __sur
107 Mot inconnu : __ [[13:15]] => __sur Gmail :__ gael.hipeau AT gmail POINT com <|> __
107 Mot inconnu : gael [[16:20]] => __sur Gmail :__ gael.hipeau AT gmail POINT com <|> gael
107 Mot inconnu : hipeau [[21:27]] => __sur Gmail :__ gael.hipeau AT gmail POINT com <|> hipeau
