1 Mot inconnu : PTCH-7777 [[7:16]] => ====== PTCH-7777 ====== <|> ptch-7777
30 Mot inconnu : Cazennsieave [[189:201]] => voir la version officielle de Monsieur le "Ministre français de l'enseignement supérieur et de la recherche qui a commencé l'année en déclarant, en réponse à une question du député Richard Cazennsieave sur les enjeux et les avantages du logiciel libre que « le poids du logiciel libre au sein du système éducatif a été un des éléments qui a permis de négocier avec Microsoft des tarifs particulièrement intéressants sur la suite bureautique office » (déclaration publiée au JO le 2 janvier 2007)ministère de l'éducation national"  : <|> cazennsieave
30 Il manque un espace après la parenthèse. [[494:495]] => voir la version officielle de Monsieur le "Ministre français de l'enseignement supérieur et de la recherche qui a commencé l'année en déclarant, en réponse à une question du député Richard Cazennsieave sur les enjeux et les avantages du logiciel libre que « le poids du logiciel libre au sein du système éducatif a été un des éléments qui a permis de négocier avec Microsoft des tarifs particulièrement intéressants sur la suite bureautique office » (déclaration publiée au JO le 2 janvier 2007)ministère de l'éducation national"  : <|> ) => suggestions : None
30 Majuscule manquante. Les désignations des ministères requièrent une majuscule. [[510:519]] => voir la version officielle de Monsieur le "Ministre français de l'enseignement supérieur et de la recherche qui a commencé l'année en déclarant, en réponse à une question du député Richard Cazennsieave sur les enjeux et les avantages du logiciel libre que « le poids du logiciel libre au sein du système éducatif a été un des éléments qui a permis de négocier avec Microsoft des tarifs particulièrement intéressants sur la suite bureautique office » (déclaration publiée au JO le 2 janvier 2007)ministère de l'éducation national"  : <|> éducation => suggestions : None
30 Guillemets typographiques fermants. [[528:529]] => voir la version officielle de Monsieur le "Ministre français de l'enseignement supérieur et de la recherche qui a commencé l'année en déclarant, en réponse à une question du député Richard Cazennsieave sur les enjeux et les avantages du logiciel libre que « le poids du logiciel libre au sein du système éducatif a été un des éléments qui a permis de négocier avec Microsoft des tarifs particulièrement intéressants sur la suite bureautique office » (déclaration publiée au JO le 2 janvier 2007)ministère de l'éducation national"  : <|> " => suggestions : None

31 Mot inconnu : wikipedia [[7:16]] => source wikipedia : http://fr.wikipedia.org/wiki/Politique_commerciale_de_Microsoft <|> wikipedia

34 Mot inconnu : edit [[3:7]] => [i]edit tardif du 02-07-2010 <|> edit

35 Forme interrogative ? Mettez un trait d’union. [[25:32]] => --------> et en plus, ne peut on pas dire que ubuntu/linux sont **ethiquement correct** puisqu'il utilise des noms propres comme Apache ou Cherokee dans un but non lucratif  exclusivement ? <|> peut on => suggestions : None
35 Mot inconnu : ethiquement [[66:77]] => --------> et en plus, ne peut on pas dire que ubuntu/linux sont **ethiquement correct** puisqu'il utilise des noms propres comme Apache ou Cherokee dans un but non lucratif  exclusivement ? <|> ethiquement
35 Espace(s) surnuméraire(s) à supprimer. [[172:174]] => --------> et en plus, ne peut on pas dire que ubuntu/linux sont **ethiquement correct** puisqu'il utilise des noms propres comme Apache ou Cherokee dans un but non lucratif  exclusivement ? <|>    => suggestions : None

36 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[20:21]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|> a => suggestions : None
36 Espace(s) surnuméraire(s) à supprimer. [[26:28]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|>    => suggestions : None
36 Guillemets typographiques ouvrants. [[60:61]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|> " => suggestions : None
36 Guillemets typographiques fermants. [[73:74]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|> " => suggestions : None
36 Accord de genre erroné : « renommé » est masculin. [[92:95]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|> une => suggestions : None
36 Accord de genre erroné : « une » est un déterminant féminin. [[96:103]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|> renommé => suggestions : None
36 Typographie : succession de points. Utilisez le caractère dédié. [[139:146]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|> ....... => suggestions : None
36 Accord avec le sujet “ils” : “capable” devrait être au masculin pluriel. [[178:185]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|> capable => suggestions : None
36 Typographie : succession de points. Utilisez le caractère dédié. [[218:227]] => --------> donc rien a voir  avec l'exploitation commerciale "très juteuse" d'une image ou d'une renommé personnel sans aucune consultation .......(j'en dis pas plus ils seraient capable de racheter le forum français :/.........)[/i] <|> ......... => suggestions : None
