1 Mot inconnu : Zak [[0:3]] => Zak Blayde <|> zak
45 Mot inconnu : Conky [[35:40]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> conky
45 Mot inconnu : Skip [[86:90]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> skip
45 Mot inconnu : taskbar [[91:98]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> taskbar
45 Mot inconnu : Skip [[104:108]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> skip
45 Mot inconnu : Below [[120:125]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> below
45 Mot inconnu : Sticky [[131:137]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> sticky
45 Mot inconnu : resizable [[147:156]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> resizable
45 Mot inconnu : minimizable [[174:185]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> minimizable
45 Mot inconnu : maximizable [[203:214]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> maximizable
45 Mot inconnu : closable [[232:240]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> closable
45 Typographie : points de suspension. Utilisez le caractère dédié. [[250:253]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> ... => suggestions : ['…']
45 Mot inconnu : Conky [[317:322]] => où x est le titre de la fenêtre de Conky (sans le ! cette fois) dans les catégories **Skip taskbar**, **Skip pager**, **Below**, **Sticky**, **Non resizable windows**, **Non minimizable windows**, **Non maximizable windows**, **Non closable windows**..., selon vos préférences pour que ces paramètres s'activent pour Conky. <|> conky

49 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:4]] => dans un terminal pour exécuter le logiciel avec les nouveaux paramètres. On a une illusion d'intégration dans le fond d'écran, sans répercussion pour les icônes. <|> dans => suggestions : ['Dans']
