1 Mot inconnu : Shinigami => ====== Shinigami Delroën ====== <|> shinigami
38 Guillemets typographiques fermants. => Maintenant que j'ai abordé les points négatifs, passons au reste : quand on a internet, c'est que du bon ! Je suis vraiment très content de cet OS, à tel point qu'après seulement une semaine d'utilisation, j'ai décidé d'abandonner Windows, que j'ai utilisé jusque là "à défaut de mieux", mais sur lequel je commençais à me sentir vraiment très à l'aise (paramétrage avancé //via// la base de registres) <|> " => suggestions : ['\xa0»', '”']

40 Guillemets typographiques ouvrants. => De plus, m'étant engagé dans la voie éternelle de la recherche de la config parfaite, je passe beaucoup de temps à configurer mon PC jusque dans les moindres détails, et j'ai tout de même eu du mal à abandonner mon installation de Windows (et son cortège de programmes) "sur-mesure". C'est vous dire à quel point ubuntu m'a séduit ! <|> " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => De plus, m'étant engagé dans la voie éternelle de la recherche de la config parfaite, je passe beaucoup de temps à configurer mon PC jusque dans les moindres détails, et j'ai tout de même eu du mal à abandonner mon installation de Windows (et son cortège de programmes) "sur-mesure". C'est vous dire à quel point ubuntu m'a séduit ! <|> " => suggestions : ['\xa0»', '”']
42 Mot inconnu : bi-écran => Concernant ma bestiole, elle n'a rien du bête de course, mais suffit plus qu'amplement à mes besoins ! Je ne joue plus, mais je profite toujours pleinement de ma bonne vieille carte graphique achetée à cet effet il y a quelques années, grâce à un bi-écran des plus agréables, associé à des configurations logicielles bien spécifiques (les onglets de Firefox dans un écran et la fenêtre de navigation dans l'autre, par exemple !) <|> bi-écran

49 Mot inconnu : MySQL => J'ai appris la Pascal à des fins pédagogiques, et je me suis assez récemment lancé dans le PHP/MySQL.  <|> mysql
49 Espace(s) en fin de ligne à supprimer. => J'ai appris la Pascal à des fins pédagogiques, et je me suis assez récemment lancé dans le PHP/MySQL.  <|>   => suggestions : ['']

51 Mot inconnu : LaTeX => J'utilise également LaTeX, que je trouve si génial que je tente de convertir tous les utilisateurs de MS-Word que je croise, mais y'a du boulot... (pour les détracteurs de LaTeX, je tiens quand même à préciser que dans le milieu étudiant, Word sert essentiellement à rédiger des rapports, terrain où le Traitement de texte qui rivalisera avec LaTeX n'est pas encore né !) <|> latex
51 Mot inconnu : MS-Word => J'utilise également LaTeX, que je trouve si génial que je tente de convertir tous les utilisateurs de MS-Word que je croise, mais y'a du boulot... (pour les détracteurs de LaTeX, je tiens quand même à préciser que dans le milieu étudiant, Word sert essentiellement à rédiger des rapports, terrain où le Traitement de texte qui rivalisera avec LaTeX n'est pas encore né !) <|> ms-word
51 Ni apostrophe ni trait d’union après “y”. => J'utilise également LaTeX, que je trouve si génial que je tente de convertir tous les utilisateurs de MS-Word que je croise, mais y'a du boulot... (pour les détracteurs de LaTeX, je tiens quand même à préciser que dans le milieu étudiant, Word sert essentiellement à rédiger des rapports, terrain où le Traitement de texte qui rivalisera avec LaTeX n'est pas encore né !) <|> y'a => suggestions : ['y a']
51 Mot inconnu : y'a => J'utilise également LaTeX, que je trouve si génial que je tente de convertir tous les utilisateurs de MS-Word que je croise, mais y'a du boulot... (pour les détracteurs de LaTeX, je tiens quand même à préciser que dans le milieu étudiant, Word sert essentiellement à rédiger des rapports, terrain où le Traitement de texte qui rivalisera avec LaTeX n'est pas encore né !) <|> y'a
51 Typographie : points de suspension. Utilisez le caractère dédié. => J'utilise également LaTeX, que je trouve si génial que je tente de convertir tous les utilisateurs de MS-Word que je croise, mais y'a du boulot... (pour les détracteurs de LaTeX, je tiens quand même à préciser que dans le milieu étudiant, Word sert essentiellement à rédiger des rapports, terrain où le Traitement de texte qui rivalisera avec LaTeX n'est pas encore né !) <|> ... => suggestions : ['…']
51 Mot inconnu : LaTeX => J'utilise également LaTeX, que je trouve si génial que je tente de convertir tous les utilisateurs de MS-Word que je croise, mais y'a du boulot... (pour les détracteurs de LaTeX, je tiens quand même à préciser que dans le milieu étudiant, Word sert essentiellement à rédiger des rapports, terrain où le Traitement de texte qui rivalisera avec LaTeX n'est pas encore né !) <|> latex
51 Mot inconnu : Word => J'utilise également LaTeX, que je trouve si génial que je tente de convertir tous les utilisateurs de MS-Word que je croise, mais y'a du boulot... (pour les détracteurs de LaTeX, je tiens quand même à préciser que dans le milieu étudiant, Word sert essentiellement à rédiger des rapports, terrain où le Traitement de texte qui rivalisera avec LaTeX n'est pas encore né !) <|> word
51 Mot inconnu : LaTeX => J'utilise également LaTeX, que je trouve si génial que je tente de convertir tous les utilisateurs de MS-Word que je croise, mais y'a du boulot... (pour les détracteurs de LaTeX, je tiens quand même à préciser que dans le milieu étudiant, Word sert essentiellement à rédiger des rapports, terrain où le Traitement de texte qui rivalisera avec LaTeX n'est pas encore né !) <|> latex
