1 Mot inconnu : Anti-Bug-Computers => ====== Anti-Bug-Computers ====== | anti-bug-computers
15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']
17 Pas d’espace avant une virgule. => Début 2006 : 12 formations informatique (Réseaux, Serveurs , Administrateur, GNU/Linux, ...) \\ |  , => suggestions : [',']
17 Une de ces ponctuations est superflue. => Début 2006 : 12 formations informatique (Réseaux, Serveurs , Administrateur, GNU/Linux, ...) \\ | , . => suggestions : [',', '.']
17 Typographie : points de suspension. Utilisez le caractère dédié. => Début 2006 : 12 formations informatique (Réseaux, Serveurs , Administrateur, GNU/Linux, ...) \\ | ... => suggestions : ['…']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']
19 Espace(s) surnuméraire(s) à supprimer. => Créateur des marques déposées :  \\ |    => suggestions : [' ']

21 Espace(s) surnuméraire(s) à supprimer. => Anti-Bug-Store (vente en ligne de produits et services),  \\ |    => suggestions : [' ']

22 Mot inconnu : Anti-Bug-Computers => Anti-Bug-Computers (Marque constructeur d'ordinateur Leader Mondial du respect de la loi Française sur les ventes liées/Forcées) et\\ | anti-bug-computers
22 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => Anti-Bug-Computers (Marque constructeur d'ordinateur Leader Mondial du respect de la loi Française sur les ventes liées/Forcées) et\\ | française => suggestions : ['française']

23 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) => M.I.P (Musée Informatique personnel). \\ | m.i. => suggestions : ['MI', 'M.\u202fI.']

26 Mot inconnu : Mandrake => Utilisation hésitante de GNU/Linux principalement sous Mandrake jusqu'en 2005.  \\ | mandrake
26 Espace(s) surnuméraire(s) à supprimer. => Utilisation hésitante de GNU/Linux principalement sous Mandrake jusqu'en 2005.  \\ |    => suggestions : [' ']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

28 Mot inconnu : Mandriva => Migration sous GNU/Linux Mandriva suite à des formation GNU/Linux en 2006 coïncidant avec l'ouverture de la première société nommée Anti-Bug-Assistance. \\ | mandriva
28 Accord de nombre erroné : « formation » devrait être au pluriel. => Migration sous GNU/Linux Mandriva suite à des formation GNU/Linux en 2006 coïncidant avec l'ouverture de la première société nommée Anti-Bug-Assistance. \\ | formation => suggestions : ['formations']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

30 Accord de nombre erroné : « décisions » devrait être au singulier. => En fin 2006, voyant que GNU/Linux faisait toujours aussi peur à nos clients, la décisions fût prise de passer sous GNU/Linux Ubuntu (par soucis de simplicité) et de créer des certifications GNU/Linux Ready pour le matériel afin de rassurer le client.  \\ | décisions => suggestions : ['décision']
30 Locution “par souci de”. Mettez “souci” au singulier. => En fin 2006, voyant que GNU/Linux faisait toujours aussi peur à nos clients, la décisions fût prise de passer sous GNU/Linux Ubuntu (par soucis de simplicité) et de créer des certifications GNU/Linux Ready pour le matériel afin de rassurer le client.  \\ | soucis => suggestions : ['souci']
30 Mot inconnu : Ready => En fin 2006, voyant que GNU/Linux faisait toujours aussi peur à nos clients, la décisions fût prise de passer sous GNU/Linux Ubuntu (par soucis de simplicité) et de créer des certifications GNU/Linux Ready pour le matériel afin de rassurer le client.  \\ | ready
30 Espace(s) surnuméraire(s) à supprimer. => En fin 2006, voyant que GNU/Linux faisait toujours aussi peur à nos clients, la décisions fût prise de passer sous GNU/Linux Ubuntu (par soucis de simplicité) et de créer des certifications GNU/Linux Ready pour le matériel afin de rassurer le client.  \\ |    => suggestions : [' ']
31 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => Dans le même temps il fût réfléchi à la création d'une marque pour nos ordinateurs afin de se démarquer de la concurrence et de donner un nom au tout premier ordinateur au monde respectant à 100% la loi Française sur les ventes liées/forcées (récompensé plus tard par l'obtention de la place de n°1 des Bons Constructeurs d'ordinateur et de matériel informatique par l'AFUL). Anti-Bug-Computers est né officiellement. \\ | française => suggestions : ['française']
31 Mot inconnu : Anti-Bug-Computers => Dans le même temps il fût réfléchi à la création d'une marque pour nos ordinateurs afin de se démarquer de la concurrence et de donner un nom au tout premier ordinateur au monde respectant à 100% la loi Française sur les ventes liées/forcées (récompensé plus tard par l'obtention de la place de n°1 des Bons Constructeurs d'ordinateur et de matériel informatique par l'AFUL). Anti-Bug-Computers est né officiellement. \\ | anti-bug-computers

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

33 Ceci est un verbe à la 2ᵉ personne du pluriel. Sujet (“vous” ou équivalent) introuvable. => Courant 2008, INTEL nous reconnait officiellement comme constructeur d'ordinateur (suite à l'appel d'INTEL France qui nous avez repéré sur le web).   \\ | avez => suggestions : ['ont']
33 Espace(s) surnuméraire(s) à supprimer. => Courant 2008, INTEL nous reconnait officiellement comme constructeur d'ordinateur (suite à l'appel d'INTEL France qui nous avez repéré sur le web).   \\ |     => suggestions : [' ']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

37 Mot inconnu : Anti-Bug-Computers => Courant 2009, suite à la crise, la société Anti-Bug-Assistance qui est le berceau de la marque Anti-Bug-Computers, n'arrive plus a tenir face à la baisse brutal de clientèle et ce voit contraint de fermer ces portes. Afin de sauver la marque Anti-Bug-Computers, une nouvelle entreprise est créé, cette entreprise reprend uniquement l'activité constructeur avec l'aimable autorisation du propriétaire de la marque et obtient également le droit d'exploitation de la marque Anti-Bug-Store.  \\ | anti-bug-computers
37 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Courant 2009, suite à la crise, la société Anti-Bug-Assistance qui est le berceau de la marque Anti-Bug-Computers, n'arrive plus a tenir face à la baisse brutal de clientèle et ce voit contraint de fermer ces portes. Afin de sauver la marque Anti-Bug-Computers, une nouvelle entreprise est créé, cette entreprise reprend uniquement l'activité constructeur avec l'aimable autorisation du propriétaire de la marque et obtient également le droit d'exploitation de la marque Anti-Bug-Store.  \\ | a => suggestions : ['à']
37 Accord de genre erroné : « la baisse » est féminin, « brutal » est masculin. => Courant 2009, suite à la crise, la société Anti-Bug-Assistance qui est le berceau de la marque Anti-Bug-Computers, n'arrive plus a tenir face à la baisse brutal de clientèle et ce voit contraint de fermer ces portes. Afin de sauver la marque Anti-Bug-Computers, une nouvelle entreprise est créé, cette entreprise reprend uniquement l'activité constructeur avec l'aimable autorisation du propriétaire de la marque et obtient également le droit d'exploitation de la marque Anti-Bug-Store.  \\ | brutal => suggestions : ['brutale']
37 Confusion : « voit » est un verbe. Exemples : ce bâtiment, se perdre. => Courant 2009, suite à la crise, la société Anti-Bug-Assistance qui est le berceau de la marque Anti-Bug-Computers, n'arrive plus a tenir face à la baisse brutal de clientèle et ce voit contraint de fermer ces portes. Afin de sauver la marque Anti-Bug-Computers, une nouvelle entreprise est créé, cette entreprise reprend uniquement l'activité constructeur avec l'aimable autorisation du propriétaire de la marque et obtient également le droit d'exploitation de la marque Anti-Bug-Store.  \\ | ce => suggestions : ['se']
37 Incohérence avec “ce” : “voit” est un verbe. => Courant 2009, suite à la crise, la société Anti-Bug-Assistance qui est le berceau de la marque Anti-Bug-Computers, n'arrive plus a tenir face à la baisse brutal de clientèle et ce voit contraint de fermer ces portes. Afin de sauver la marque Anti-Bug-Computers, une nouvelle entreprise est créé, cette entreprise reprend uniquement l'activité constructeur avec l'aimable autorisation du propriétaire de la marque et obtient également le droit d'exploitation de la marque Anti-Bug-Store.  \\ | voit => suggestions : ['vis', 'vues', 'voyant', 'vit', 'vue', 'vus', 'vu', 'voies', 'voie']
37 Mot inconnu : Anti-Bug-Computers => Courant 2009, suite à la crise, la société Anti-Bug-Assistance qui est le berceau de la marque Anti-Bug-Computers, n'arrive plus a tenir face à la baisse brutal de clientèle et ce voit contraint de fermer ces portes. Afin de sauver la marque Anti-Bug-Computers, une nouvelle entreprise est créé, cette entreprise reprend uniquement l'activité constructeur avec l'aimable autorisation du propriétaire de la marque et obtient également le droit d'exploitation de la marque Anti-Bug-Store.  \\ | anti-bug-computers
37 Accord de genre erroné entre “activité” et “constructeur”. => Courant 2009, suite à la crise, la société Anti-Bug-Assistance qui est le berceau de la marque Anti-Bug-Computers, n'arrive plus a tenir face à la baisse brutal de clientèle et ce voit contraint de fermer ces portes. Afin de sauver la marque Anti-Bug-Computers, une nouvelle entreprise est créé, cette entreprise reprend uniquement l'activité constructeur avec l'aimable autorisation du propriétaire de la marque et obtient également le droit d'exploitation de la marque Anti-Bug-Store.  \\ | constructeur => suggestions : ['constructrice']
37 Espace(s) surnuméraire(s) à supprimer. => Courant 2009, suite à la crise, la société Anti-Bug-Assistance qui est le berceau de la marque Anti-Bug-Computers, n'arrive plus a tenir face à la baisse brutal de clientèle et ce voit contraint de fermer ces portes. Afin de sauver la marque Anti-Bug-Computers, une nouvelle entreprise est créé, cette entreprise reprend uniquement l'activité constructeur avec l'aimable autorisation du propriétaire de la marque et obtient également le droit d'exploitation de la marque Anti-Bug-Store.  \\ |    => suggestions : [' ']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

42 Espace(s) surnuméraire(s) à supprimer. => 2011,  Anti-Bug-Computers se porte bien, continu de construire de nouveaux modèles d'ordinateurs et certifie GNU/Linux Ready les nouveaux produits issu du monde informatique. \\ |    => suggestions : [' ']
42 Mot inconnu : Anti-Bug-Computers => 2011,  Anti-Bug-Computers se porte bien, continu de construire de nouveaux modèles d'ordinateurs et certifie GNU/Linux Ready les nouveaux produits issu du monde informatique. \\ | anti-bug-computers
42 Mot inconnu : Ready => 2011,  Anti-Bug-Computers se porte bien, continu de construire de nouveaux modèles d'ordinateurs et certifie GNU/Linux Ready les nouveaux produits issu du monde informatique. \\ | ready
42 Accord de nombre erroné avec « les nouveaux produits » : « issu » devrait être au pluriel. => 2011,  Anti-Bug-Computers se porte bien, continu de construire de nouveaux modèles d'ordinateurs et certifie GNU/Linux Ready les nouveaux produits issu du monde informatique. \\ | issu => suggestions : ['issus']

44 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => Début 2012, partenariat avec la marque Allemande Terra Computer en devenant revendeur et Centre de Service Agréé officiel (SAV). \\ | allemande => suggestions : ['allemande']

48 Mot inconnu : Anti-Bug-Computers => Juin 2013, Anti-Bug-Store augmente la garantie de la majorité des ordinateurs fixe et portable de marque Anti-Bug-Computers à 3 ans (retour atelier pour les fixes et sur site pour les portable), satisfaisant ainsi les clients les plus exigeants. \\ | anti-bug-computers
48 Accord de nombre erroné : « portable » devrait être au pluriel. => Juin 2013, Anti-Bug-Store augmente la garantie de la majorité des ordinateurs fixe et portable de marque Anti-Bug-Computers à 3 ans (retour atelier pour les fixes et sur site pour les portable), satisfaisant ainsi les clients les plus exigeants. \\ | portable => suggestions : ['portables']

52 Pas de majuscule sur les mois. => 01 Janvier 2015, fermeture définitive du site Anti-Bug-Store.com \\ | janvier => suggestions : ['janvier']

54 Pas de majuscule sur les mois. => 31 Décembre 2015, fermeture définitive d'Anti-Bug-Store \\ | décembre => suggestions : ['décembre']

58 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) => Musée Informatique Personnel (M.I.P) \\ | m.i. => suggestions : ['MI', 'M.\u202fI.']

67 Mot inconnu : NVidia => === Carte graphique NVidia === | nvidia
68 Mot inconnu : GForce => Nota : la génération GForce 6 ne fonctionne plus correctement avec la 12.10 (limité). \\ | gforce

69 Accord erroné : “carte” et “reconnu” ne sont pas accordés. Mettez au féminin singulier. => Votre carte graphique n'est pas forcément bien reconnu et Ubuntu permet une définition Max de 1024 x 768 avec le pilote générique. \\ | reconnu => suggestions : ['reconnue']
69 Signe de multiplication typographique. => Votre carte graphique n'est pas forcément bien reconnu et Ubuntu permet une définition Max de 1024 x 768 avec le pilote générique. \\ | 1024 x 768 => suggestions : ['1024\xa0×\xa0768']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

71 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => Cette procédure à été testé avec une carte NVidia GeForce 210. Cependant elle est valable pour toutes les cartes récentes (voir la liste des cartes supportées sur la page du pilote nvidia-304-60 sur le site NVidia [[http://www.nvidia.fr/object/linux-display-amd64-304.60-driver-fr.html]]). \\ | à => suggestions : ['a']
71 Mot inconnu : NVidia => Cette procédure à été testé avec une carte NVidia GeForce 210. Cependant elle est valable pour toutes les cartes récentes (voir la liste des cartes supportées sur la page du pilote nvidia-304-60 sur le site NVidia [[http://www.nvidia.fr/object/linux-display-amd64-304.60-driver-fr.html]]). \\ | nvidia
71 Mot inconnu : GeForce => Cette procédure à été testé avec une carte NVidia GeForce 210. Cependant elle est valable pour toutes les cartes récentes (voir la liste des cartes supportées sur la page du pilote nvidia-304-60 sur le site NVidia [[http://www.nvidia.fr/object/linux-display-amd64-304.60-driver-fr.html]]). \\ | geforce
71 Mot inconnu : nvidia-304-60 => Cette procédure à été testé avec une carte NVidia GeForce 210. Cependant elle est valable pour toutes les cartes récentes (voir la liste des cartes supportées sur la page du pilote nvidia-304-60 sur le site NVidia [[http://www.nvidia.fr/object/linux-display-amd64-304.60-driver-fr.html]]). \\ | nvidia-304-60
71 Mot inconnu : NVidia => Cette procédure à été testé avec une carte NVidia GeForce 210. Cependant elle est valable pour toutes les cartes récentes (voir la liste des cartes supportées sur la page du pilote nvidia-304-60 sur le site NVidia [[http://www.nvidia.fr/object/linux-display-amd64-304.60-driver-fr.html]]). \\ | nvidia
72 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'a ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | a => suggestions : ['à']
72 Incohérence probable avec “a” : “noter” n’est pas un participe passé. => Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'a ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | noter => suggestions : ['noté']
72 Confusion probable. Pour la préposition, écrivez “dès”. => Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'a ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | dés => suggestions : ['dès']
72 Confusion : “a” est une forme conjuguée de “avoir”. Pour la préposition, écrivez “à”. => Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'a ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | a => suggestions : ['à']
72 Mot inconnu : NVidia => Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'a ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | nvidia

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  \\ |   => suggestions : ['']

74 Espace(s) surnuméraire(s) à supprimer. => Ouvrez votre terminal avec les touches  Ctrl  +  Alt  +  T , puis tapez la commande suivante : \\ |    => suggestions : [' ']
74 Espace(s) surnuméraire(s) à supprimer. => Ouvrez votre terminal avec les touches  Ctrl  +  Alt  +  T , puis tapez la commande suivante : \\ |    => suggestions : [' ']
74 Espace(s) surnuméraire(s) à supprimer. => Ouvrez votre terminal avec les touches  Ctrl  +  Alt  +  T , puis tapez la commande suivante : \\ |    => suggestions : [' ']
74 Pas d’espace avant une virgule. => Ouvrez votre terminal avec les touches  Ctrl  +  Alt  +  T , puis tapez la commande suivante : \\ |  , => suggestions : [',']

77 Espace(s) surnuméraire(s) à supprimer. => Appuyez sur  CTRL + ALT + F3 , connectez-vous avec votre identifiant et votre mot de passe et entrez la commande suivante pour tuer le serveur X: \\ |    => suggestions : [' ']
77 Mot inconnu : F3 => Appuyez sur  CTRL + ALT + F3 , connectez-vous avec votre identifiant et votre mot de passe et entrez la commande suivante pour tuer le serveur X: \\ | f3
77 Pas d’espace avant une virgule. => Appuyez sur  CTRL + ALT + F3 , connectez-vous avec votre identifiant et votre mot de passe et entrez la commande suivante pour tuer le serveur X: \\ |  , => suggestions : [',']

81 Espace(s) surnuméraire(s) à supprimer. => Appuyez de nouveau sur  CTRL + ALT + F3 \\ |    => suggestions : [' ']
81 Mot inconnu : F3 => Appuyez de nouveau sur  CTRL + ALT + F3 \\ | f3
87 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => RAPPEL : Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'à ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | a => suggestions : ['à']
87 Incohérence probable avec “a” : “noter” n’est pas un participe passé. => RAPPEL : Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'à ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | noter => suggestions : ['noté']
87 Confusion probable. Pour la préposition, écrivez “dès”. => RAPPEL : Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'à ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | dés => suggestions : ['dès']
87 Mot inconnu : NVidia => RAPPEL : Attention ! : Il est a noter que dés que le noyau est mis à jour, il faut recommencer la procédure et ce, jusqu'à ce que le nouveau pilote NVidia soit intégré aux dépôts officiels. \\ | nvidia
88 Conjugaison erronée. Accord avec “Il”. Le verbe devrait être à la 3ᵉ personne du singulier. => NOTA : Il semblerai que depuis le noyau Noyau Linux 3.5.0-17-generic , Ubuntu permet une définition d'écran de 1680 x 1050 (16:10) max pour un écran de 22" standard avec cette carte graphique par défaut (sans faire les manipulations ci-dessus), ce est acceptable pour cette taille d'écran  \\ | semblerai => suggestions : ['semblera']
88 Mot inconnu : generic => NOTA : Il semblerai que depuis le noyau Noyau Linux 3.5.0-17-generic , Ubuntu permet une définition d'écran de 1680 x 1050 (16:10) max pour un écran de 22" standard avec cette carte graphique par défaut (sans faire les manipulations ci-dessus), ce est acceptable pour cette taille d'écran  \\ | generic
88 Pas d’espace avant une virgule. => NOTA : Il semblerai que depuis le noyau Noyau Linux 3.5.0-17-generic , Ubuntu permet une définition d'écran de 1680 x 1050 (16:10) max pour un écran de 22" standard avec cette carte graphique par défaut (sans faire les manipulations ci-dessus), ce est acceptable pour cette taille d'écran  \\ |  , => suggestions : [',']
88 Signe de multiplication typographique. => NOTA : Il semblerai que depuis le noyau Noyau Linux 3.5.0-17-generic , Ubuntu permet une définition d'écran de 1680 x 1050 (16:10) max pour un écran de 22" standard avec cette carte graphique par défaut (sans faire les manipulations ci-dessus), ce est acceptable pour cette taille d'écran  \\ | 1680 x 1050 => suggestions : ['1680\xa0×\xa01050']
88 Guillemets typographiques fermants. => NOTA : Il semblerai que depuis le noyau Noyau Linux 3.5.0-17-generic , Ubuntu permet une définition d'écran de 1680 x 1050 (16:10) max pour un écran de 22" standard avec cette carte graphique par défaut (sans faire les manipulations ci-dessus), ce est acceptable pour cette taille d'écran  \\ | " => suggestions : ['\xa0»', '”']
88 Euphonie : “ce” devient “cet” devant un mot commençant par une voyelle. => NOTA : Il semblerai que depuis le noyau Noyau Linux 3.5.0-17-generic , Ubuntu permet une définition d'écran de 1680 x 1050 (16:10) max pour un écran de 22" standard avec cette carte graphique par défaut (sans faire les manipulations ci-dessus), ce est acceptable pour cette taille d'écran  \\ | ce => suggestions : ['cet']
88 Espace(s) surnuméraire(s) à supprimer. => NOTA : Il semblerai que depuis le noyau Noyau Linux 3.5.0-17-generic , Ubuntu permet une définition d'écran de 1680 x 1050 (16:10) max pour un écran de 22" standard avec cette carte graphique par défaut (sans faire les manipulations ci-dessus), ce est acceptable pour cette taille d'écran  \\ |    => suggestions : [' ']

90 Mot inconnu : ATI => === Carte graphique ATI === | ati

91 Mot inconnu : ATI => Les cartes ATI / AMD Radeon HD 2xxx-3xxxx-4xxx ne sont plus supporté car ATI n'a pas mis à jour les drivers pour la version d'XOrg incluse dans Ubuntu 12.10. \\ | ati
91 Mot inconnu : Radeon => Les cartes ATI / AMD Radeon HD 2xxx-3xxxx-4xxx ne sont plus supporté car ATI n'a pas mis à jour les drivers pour la version d'XOrg incluse dans Ubuntu 12.10. \\ | radeon
91 Mot inconnu : xxx-3xxxx-4xxx => Les cartes ATI / AMD Radeon HD 2xxx-3xxxx-4xxx ne sont plus supporté car ATI n'a pas mis à jour les drivers pour la version d'XOrg incluse dans Ubuntu 12.10. \\ | xxx-3xxxx-4xxx
91 Accord avec la forme verbale “sont” : “supporté” devrait être au pluriel. => Les cartes ATI / AMD Radeon HD 2xxx-3xxxx-4xxx ne sont plus supporté car ATI n'a pas mis à jour les drivers pour la version d'XOrg incluse dans Ubuntu 12.10. \\ | supporté => suggestions : ['supportés']
91 Mot inconnu : ATI => Les cartes ATI / AMD Radeon HD 2xxx-3xxxx-4xxx ne sont plus supporté car ATI n'a pas mis à jour les drivers pour la version d'XOrg incluse dans Ubuntu 12.10. \\ | ati
91 Mot inconnu : XOrg => Les cartes ATI / AMD Radeon HD 2xxx-3xxxx-4xxx ne sont plus supporté car ATI n'a pas mis à jour les drivers pour la version d'XOrg incluse dans Ubuntu 12.10. \\ | xorg

94 Mot inconnu : e-Galax => === Calibrez un écran tactile e-Galax === | e-galax

99 Mot inconnu : eGalax => Vous êtes en présence d'un écran tactile eGalax. \\ | egalax

100 Accord de genre erroné : « écran » est masculin. => Pour calibrer finement cette écran tactile, installer ce paquet : [[apt://xinput-calibrator]] \\ | cette => suggestions : ['cet']
100 Mot inconnu : xinput-calibrator => Pour calibrer finement cette écran tactile, installer ce paquet : [[apt://xinput-calibrator]] \\ | xinput-calibrator

101 Apostrophe incorrecte. => puis utiliser le logiciel installer pour calibrer l 'écran \\ | l ' => suggestions : ['l’']
101 Guillemets typographiques ouvrants. => puis utiliser le logiciel installer pour calibrer l 'écran \\ | ' => suggestions : ['“', '‘', '‹']

102 Après le verbe “falloir”, le verbe devrait être à l’infinitif. => Une fois l'écran calibré, le logiciel donne les réglages qu'il faut intégré au fichier de configuration afin que ce calibrage soit définitif comme cette exemple :  \\ | intégré => suggestions : ['intégrer']
