1 Mot inconnu : DeathDwarf => ====== DeathDwarf ====== | deathdwarf
13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Adresse MSN **: gdeligne AT hotmail DOT fr (Envoyez moi un mail avant de m'ajouter a vos contacts ;) ) |    => suggestions : ['']
13 Mot inconnu : MSN =>   * ** Adresse MSN **: gdeligne AT hotmail DOT fr (Envoyez moi un mail avant de m'ajouter a vos contacts ;) ) | msn
13 Mot inconnu : gdeligne =>   * ** Adresse MSN **: gdeligne AT hotmail DOT fr (Envoyez moi un mail avant de m'ajouter a vos contacts ;) ) | gdeligne
13 Mot inconnu : hotmail =>   * ** Adresse MSN **: gdeligne AT hotmail DOT fr (Envoyez moi un mail avant de m'ajouter a vos contacts ;) ) | hotmail
13 S’il s’agit d’un impératif, mettez un trait d’union. =>   * ** Adresse MSN **: gdeligne AT hotmail DOT fr (Envoyez moi un mail avant de m'ajouter a vos contacts ;) ) | envoyez moi => suggestions : ['Envoyez-moi']
13 Pas d’espace avant ce signe. =>   * ** Adresse MSN **: gdeligne AT hotmail DOT fr (Envoyez moi un mail avant de m'ajouter a vos contacts ;) ) |  ) => suggestions : [')']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Compte Launchpad **: [[https://launchpad.net/~deathdwarf]] |    => suggestions : ['']
14 Mot inconnu : Launchpad =>   * ** Compte Launchpad **: [[https://launchpad.net/~deathdwarf]] | launchpad
14 Mot inconnu : deathdwarf =>   * ** Compte Launchpad **: [[https://launchpad.net/~deathdwarf]] | deathdwarf

19 Guillemets typographiques ouvrants. => ==== PC portable "Mediacenter" ==== | " => suggestions : ['«\xa0', '“']
19 Mot inconnu : Mediacenter => ==== PC portable "Mediacenter" ==== | mediacenter
19 Guillemets typographiques fermants. => ==== PC portable "Mediacenter" ==== | " => suggestions : ['\xa0»', '”']

20 Mot inconnu : __ => __**Acer Aspire 5632 WLMi**__ | __
20 Mot inconnu : WLMi => __**Acer Aspire 5632 WLMi**__ | wlmi
20 Mot inconnu : __ => __**Acer Aspire 5632 WLMi**__ | __

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Technologie de plateforme** : Centrino duo |    => suggestions : ['']
21 Mot inconnu : Centrino =>   * **Technologie de plateforme** : Centrino duo | centrino

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur** : Intel Core 2 Duo T5200 |    => suggestions : ['']
22 Mot inconnu : Core =>   * **Processeur** : Intel Core 2 Duo T5200 | core
22 Accord de nombre erroné avec « 2 » : « Duo » devrait être au pluriel. =>   * **Processeur** : Intel Core 2 Duo T5200 | duo => suggestions : ['Duos']
22 Mot inconnu : T5200 =>   * **Processeur** : Intel Core 2 Duo T5200 | t5200

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire vive** : 1024 Mo en DDRII |    => suggestions : ['']
23 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Mémoire vive** : 1024 Mo en DDRII | 1024 mo => suggestions : ['1\xa0024\xa0Mo']
23 Mot inconnu : DDRII =>   * **Mémoire vive** : 1024 Mo en DDRII | ddrii

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte graphique** : nVidia Geforce 7300 128 Mo |    => suggestions : ['']
24 Mot inconnu : nVidia =>   * **Carte graphique** : nVidia Geforce 7300 128 Mo | nvidia
24 Mot inconnu : Geforce =>   * **Carte graphique** : nVidia Geforce 7300 128 Mo | geforce
24 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Carte graphique** : nVidia Geforce 7300 128 Mo | 128 mo => suggestions : ['128\xa0Mo']

27 Espace(s) surnuméraire(s) à supprimer. => ==== PC portable  ==== |    => suggestions : [' ']

28 Mot inconnu : __ => __**Samsung R580**__ | __
28 Mot inconnu : R580 => __**Samsung R580**__ | r580
28 Mot inconnu : __ => __**Samsung R580**__ | __

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Technologie de plateforme** : |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur** : Intel Core i3 M330 |    => suggestions : ['']
30 Mot inconnu : Core =>   * **Processeur** : Intel Core i3 M330 | core
30 Mot inconnu : i3 =>   * **Processeur** : Intel Core i3 M330 | i3
30 Mot inconnu : M330 =>   * **Processeur** : Intel Core i3 M330 | m330

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire vive** : 4096 Mo |    => suggestions : ['']
31 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Mémoire vive** : 4096 Mo | 4096 mo => suggestions : ['4\xa0096\xa0Mo']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte graphique** : nVidia Geforce GT 330M |    => suggestions : ['']
32 Mot inconnu : nVidia =>   * **Carte graphique** : nVidia Geforce GT 330M | nvidia
32 Mot inconnu : Geforce =>   * **Carte graphique** : nVidia Geforce GT 330M | geforce

36 Mot inconnu : Diplomes => ==== Diplomes acquis ==== | diplomes

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bac S option Sciences de l'ingénieur en 2005 à Mont de Marsan (40) |    => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bac S option Sciences de l'ingénieur en 2005 à Mont de Marsan (40) |  -  => suggestions : [' – ', ' — ', ' − ']
37 Mot inconnu : Marsan =>   - Bac S option Sciences de l'ingénieur en 2005 à Mont de Marsan (40) | marsan

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - DUT Réseaux & Télécommunications en 2007 à Mont de Marsant (40) |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - DUT Réseaux & Télécommunications en 2007 à Mont de Marsant (40) |  -  => suggestions : [' – ', ' — ', ' − ']
38 Mot inconnu : Marsant =>   - DUT Réseaux & Télécommunications en 2007 à Mont de Marsant (40) | marsant

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Licence Systemes de Télécommunications et Réseaux Informatiques en 2008 à Toulouse (31) |    => suggestions : ['']
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Licence Systemes de Télécommunications et Réseaux Informatiques en 2008 à Toulouse (31) |  -  => suggestions : [' – ', ' — ', ' − ']
39 Mot inconnu : Systemes =>   - Licence Systemes de Télécommunications et Réseaux Informatiques en 2008 à Toulouse (31) | systemes

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ingénieur de l'industrie spécialité Réseaux et Systèmes d'Information en apprentissage (ENSEIRB et CFAI à Bordeaux, Actaris à Chasseneuil du Poitou). |    => suggestions : ['']
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ingénieur de l'industrie spécialité Réseaux et Systèmes d'Information en apprentissage (ENSEIRB et CFAI à Bordeaux, Actaris à Chasseneuil du Poitou). |  -  => suggestions : [' – ', ' — ', ' − ']
42 Mot inconnu : ENSEIRB =>   - Ingénieur de l'industrie spécialité Réseaux et Systèmes d'Information en apprentissage (ENSEIRB et CFAI à Bordeaux, Actaris à Chasseneuil du Poitou). | enseirb
42 Mot inconnu : CFAI =>   - Ingénieur de l'industrie spécialité Réseaux et Systèmes d'Information en apprentissage (ENSEIRB et CFAI à Bordeaux, Actaris à Chasseneuil du Poitou). | cfai
42 Mot inconnu : Actaris =>   - Ingénieur de l'industrie spécialité Réseaux et Systèmes d'Information en apprentissage (ENSEIRB et CFAI à Bordeaux, Actaris à Chasseneuil du Poitou). | actaris
42 Mot inconnu : Chasseneuil =>   - Ingénieur de l'industrie spécialité Réseaux et Systèmes d'Information en apprentissage (ENSEIRB et CFAI à Bordeaux, Actaris à Chasseneuil du Poitou). | chasseneuil

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Modifications concernant le remplacement de linux par gnu/linux lorsque la documentation parle du systeme d'exploitation et non du noyau: |    => suggestions : ['']
102 Mot inconnu : linux =>   * Modifications concernant le remplacement de linux par gnu/linux lorsque la documentation parle du systeme d'exploitation et non du noyau: | linux
102 Mot inconnu : gnu =>   * Modifications concernant le remplacement de linux par gnu/linux lorsque la documentation parle du systeme d'exploitation et non du noyau: | gnu
102 Mot inconnu : linux =>   * Modifications concernant le remplacement de linux par gnu/linux lorsque la documentation parle du systeme d'exploitation et non du noyau: | linux
102 Mot inconnu : systeme =>   * Modifications concernant le remplacement de linux par gnu/linux lorsque la documentation parle du systeme d'exploitation et non du noyau: | systeme
