1 Mot inconnu : Fridobox => ====== Fridobox ====== | fridobox
30 Mot inconnu : GTH =>   * **Carte graphique :** Nvidia GeForce 8600GTH (PCI-E) | gth
30 Écriture épicène. Utilisez un point médian. =>   * **Carte graphique :** Nvidia GeForce 8600GTH (PCI-E) | pci-e => suggestions : ['PCI·E']
30 Mot inconnu : PCI-E =>   * **Carte graphique :** Nvidia GeForce 8600GTH (PCI-E) | pci-e

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Disque dur :** 400Go (S-ATA) + 500Go (P-ATA)   |    => suggestions : ['']
31 Mot inconnu : S-ATA =>   * **Disque dur :** 400Go (S-ATA) + 500Go (P-ATA)   | s-ata
31 Mot inconnu : P-ATA =>   * **Disque dur :** 400Go (S-ATA) + 500Go (P-ATA)   | p-ata
31 Espace(s) en fin de ligne à supprimer. =>   * **Disque dur :** 400Go (S-ATA) + 500Go (P-ATA)   |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Moniteur :** aucun (NX) |    => suggestions : ['']
32 Mot inconnu : NX =>   * **Moniteur :** aucun (NX) | nx

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **OS :** Ubuntu 8.04 -> 8.10 -> 9.04 |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Usage :** pro et personnel |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Modèle :** Lenovo ThinkPad R61 |    => suggestions : ['']
36 Mot inconnu : ThinkPad =>   * **Modèle :** Lenovo ThinkPad R61 | thinkpad
36 Mot inconnu : R61 =>   * **Modèle :** Lenovo ThinkPad R61 | r61

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur :** Intel Core 2 Duo () |    => suggestions : ['']
37 Mot inconnu : Core =>   * **Processeur :** Intel Core 2 Duo () | core
37 Accord de nombre erroné avec « 2 » : « Duo » devrait être au pluriel. =>   * **Processeur :** Intel Core 2 Duo () | duo => suggestions : ['Duos']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire vive :** 2 Go |    => suggestions : ['']
38 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Mémoire vive :** 2 Go | 2 go => suggestions : ['2\xa0Go']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte graphique :** intégrée |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Disque dur :** 160Go   |    => suggestions : ['']
40 Espace(s) en fin de ligne à supprimer. =>   * **Disque dur :** 160Go   |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Ecran :** 15,4" |    => suggestions : ['']
41 Mot inconnu : Ecran =>   * **Ecran :** 15,4" | ecran
41 Guillemets typographiques fermants. =>   * **Ecran :** 15,4" | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **OS :** Ubuntu 8.04.2 / Vista Pro OEM |    => suggestions : ['']
42 Mot inconnu : Vista =>   * **OS :** Ubuntu 8.04.2 / Vista Pro OEM | vista
42 Mot inconnu : OEM =>   * **OS :** Ubuntu 8.04.2 / Vista Pro OEM | oem
