1 Mot inconnu : Claudiux [[7:15]] => ====== Claudiux Ubuntero ====== <|> claudiux
41 Mot inconnu : VPNtunnel [[5:14]] => ==== VPNtunnel ==== <|> vpntunnel
44 Mot inconnu : FireSheep [[27:36]] => ===== Extensions Firefox : FireSheep & BlackSheep ===== <|> firesheep
44 Mot inconnu : BlackSheep [[39:49]] => ===== Extensions Firefox : FireSheep & BlackSheep ===== <|> blacksheep

46 Mot inconnu : FireSheep [[0:9]] => FireSheep est une extension de FireFox qui permet, à quelqu'un qui dispose d'un compte administrateur sur sa machine, de se rendre maître des comptes utilisateurs sur FaceBook, Twitter, Yahoo, Google (etc) de ceux qui utilisent le même réseau local que lui (réseau filaire ou borne wifi en accès libre). Le seul remède à cela serait de ne se connecter en permanence qu'en https sur ces sites, afin qu'aucun cookie d'authentification ne circule en clair sur le réseau. Hélas, certains de ces sites ne proposent pas le https ou ne le proposent que partiellement, ce qui rend leurs utilisateurs vulnérables. <|> firesheep
46 Mot inconnu : FaceBook [[167:175]] => FireSheep est une extension de FireFox qui permet, à quelqu'un qui dispose d'un compte administrateur sur sa machine, de se rendre maître des comptes utilisateurs sur FaceBook, Twitter, Yahoo, Google (etc) de ceux qui utilisent le même réseau local que lui (réseau filaire ou borne wifi en accès libre). Le seul remède à cela serait de ne se connecter en permanence qu'en https sur ces sites, afin qu'aucun cookie d'authentification ne circule en clair sur le réseau. Hélas, certains de ces sites ne proposent pas le https ou ne le proposent que partiellement, ce qui rend leurs utilisateurs vulnérables. <|> facebook
46 Mot inconnu : Yahoo [[186:191]] => FireSheep est une extension de FireFox qui permet, à quelqu'un qui dispose d'un compte administrateur sur sa machine, de se rendre maître des comptes utilisateurs sur FaceBook, Twitter, Yahoo, Google (etc) de ceux qui utilisent le même réseau local que lui (réseau filaire ou borne wifi en accès libre). Le seul remède à cela serait de ne se connecter en permanence qu'en https sur ces sites, afin qu'aucun cookie d'authentification ne circule en clair sur le réseau. Hélas, certains de ces sites ne proposent pas le https ou ne le proposent que partiellement, ce qui rend leurs utilisateurs vulnérables. <|> yahoo

48 Mot inconnu : FireSheep [[23:32]] => Pour tenter de contrer FireSheep, plusieurs solutions existent. <|> firesheep

50 Mot inconnu : BlackSheep [[0:10]] => BlackSheep est une extension de FireFox qui signale que quelqu'un utilise FireSheep sur votre réseau ; son adresse IP est alors dévoilée. <|> blacksheep
50 Mot inconnu : FireSheep [[74:83]] => BlackSheep est une extension de FireFox qui signale que quelqu'un utilise FireSheep sur votre réseau ; son adresse IP est alors dévoilée. <|> firesheep

51 Mot inconnu : FireSheep [[5:14]] => ==== FireSheep ==== <|> firesheep

54 Mot inconnu : FireSheep [[56:65]] => Sous Ubuntu, il faut d'abord télécharger les sources de FireSheep et les compiler : <|> firesheep

68 Mot inconnu : FireSheep [[113:122]] => Il peut arriver que certaines de vos interfaces réseau (Wifi ou filaires) ne fonctionnent pas immédiatement avec FireSheep, mais cela peut parfois être réparé. Faisons un premier test : <|> firesheep
85 Mot inconnu : Firesheep [[51:60]] => Dans Firefox : //Affichage --> Panneau latéral --> Firesheep//. <|> firesheep

87 Mot inconnu : Firesheep [[21:30]] => En bas du panneau de Firesheep, cliquez sur la petite roue dentée puis sur //Preferences//. Élargissez la fenêtre si nécessaire pour pouvoir sélectionner dans l'onglet //**Capture**// l'interface du réseau à utiliser (exemples : eth0 pour une interface filaire, ou wlan0 pour une interface Wifi). Dans l'onglet //**Advanced**//, vérifiez le filtre (par défaut "tcp port 80", remplacer éventuellement 80 par 8080 ou 3128 (indiquez le port de votre proxy) si votre réseau utilise un proxy pour accéder à l'internet. L'onglet //**Websites**// vous donne la liste des sites vulnérables. <|> firesheep
87 Mot inconnu : Preferences [[77:88]] => En bas du panneau de Firesheep, cliquez sur la petite roue dentée puis sur //Preferences//. Élargissez la fenêtre si nécessaire pour pouvoir sélectionner dans l'onglet //**Capture**// l'interface du réseau à utiliser (exemples : eth0 pour une interface filaire, ou wlan0 pour une interface Wifi). Dans l'onglet //**Advanced**//, vérifiez le filtre (par défaut "tcp port 80", remplacer éventuellement 80 par 8080 ou 3128 (indiquez le port de votre proxy) si votre réseau utilise un proxy pour accéder à l'internet. L'onglet //**Websites**// vous donne la liste des sites vulnérables. <|> preferences
87 Mot inconnu : eth0 [[229:233]] => En bas du panneau de Firesheep, cliquez sur la petite roue dentée puis sur //Preferences//. Élargissez la fenêtre si nécessaire pour pouvoir sélectionner dans l'onglet //**Capture**// l'interface du réseau à utiliser (exemples : eth0 pour une interface filaire, ou wlan0 pour une interface Wifi). Dans l'onglet //**Advanced**//, vérifiez le filtre (par défaut "tcp port 80", remplacer éventuellement 80 par 8080 ou 3128 (indiquez le port de votre proxy) si votre réseau utilise un proxy pour accéder à l'internet. L'onglet //**Websites**// vous donne la liste des sites vulnérables. <|> eth0
87 Mot inconnu : wlan0 [[265:270]] => En bas du panneau de Firesheep, cliquez sur la petite roue dentée puis sur //Preferences//. Élargissez la fenêtre si nécessaire pour pouvoir sélectionner dans l'onglet //**Capture**// l'interface du réseau à utiliser (exemples : eth0 pour une interface filaire, ou wlan0 pour une interface Wifi). Dans l'onglet //**Advanced**//, vérifiez le filtre (par défaut "tcp port 80", remplacer éventuellement 80 par 8080 ou 3128 (indiquez le port de votre proxy) si votre réseau utilise un proxy pour accéder à l'internet. L'onglet //**Websites**// vous donne la liste des sites vulnérables. <|> wlan0
87 Mot inconnu : Advanced [[315:323]] => En bas du panneau de Firesheep, cliquez sur la petite roue dentée puis sur //Preferences//. Élargissez la fenêtre si nécessaire pour pouvoir sélectionner dans l'onglet //**Capture**// l'interface du réseau à utiliser (exemples : eth0 pour une interface filaire, ou wlan0 pour une interface Wifi). Dans l'onglet //**Advanced**//, vérifiez le filtre (par défaut "tcp port 80", remplacer éventuellement 80 par 8080 ou 3128 (indiquez le port de votre proxy) si votre réseau utilise un proxy pour accéder à l'internet. L'onglet //**Websites**// vous donne la liste des sites vulnérables. <|> advanced
87 Guillemets typographiques ouvrants. [[360:361]] => En bas du panneau de Firesheep, cliquez sur la petite roue dentée puis sur //Preferences//. Élargissez la fenêtre si nécessaire pour pouvoir sélectionner dans l'onglet //**Capture**// l'interface du réseau à utiliser (exemples : eth0 pour une interface filaire, ou wlan0 pour une interface Wifi). Dans l'onglet //**Advanced**//, vérifiez le filtre (par défaut "tcp port 80", remplacer éventuellement 80 par 8080 ou 3128 (indiquez le port de votre proxy) si votre réseau utilise un proxy pour accéder à l'internet. L'onglet //**Websites**// vous donne la liste des sites vulnérables. <|> " => suggestions : ['«\xa0', '“']
87 Guillemets typographiques fermants. [[372:373]] => En bas du panneau de Firesheep, cliquez sur la petite roue dentée puis sur //Preferences//. Élargissez la fenêtre si nécessaire pour pouvoir sélectionner dans l'onglet //**Capture**// l'interface du réseau à utiliser (exemples : eth0 pour une interface filaire, ou wlan0 pour une interface Wifi). Dans l'onglet //**Advanced**//, vérifiez le filtre (par défaut "tcp port 80", remplacer éventuellement 80 par 8080 ou 3128 (indiquez le port de votre proxy) si votre réseau utilise un proxy pour accéder à l'internet. L'onglet //**Websites**// vous donne la liste des sites vulnérables. <|> " => suggestions : ['\xa0»', '”']
87 Mot inconnu : Websites [[527:535]] => En bas du panneau de Firesheep, cliquez sur la petite roue dentée puis sur //Preferences//. Élargissez la fenêtre si nécessaire pour pouvoir sélectionner dans l'onglet //**Capture**// l'interface du réseau à utiliser (exemples : eth0 pour une interface filaire, ou wlan0 pour une interface Wifi). Dans l'onglet //**Advanced**//, vérifiez le filtre (par défaut "tcp port 80", remplacer éventuellement 80 par 8080 ou 3128 (indiquez le port de votre proxy) si votre réseau utilise un proxy pour accéder à l'internet. L'onglet //**Websites**// vous donne la liste des sites vulnérables. <|> websites

89 Accord de nombre erroné : « préférence » devrait être au pluriel. [[22:32]] => Fermez la fenêtre des préférence et démarrez la capture (bouton **Start Capturing**). <|> préférence => suggestions : ['préférences']
89 Mot inconnu : Start [[66:71]] => Fermez la fenêtre des préférence et démarrez la capture (bouton **Start Capturing**). <|> start
89 Mot inconnu : Capturing [[72:81]] => Fermez la fenêtre des préférence et démarrez la capture (bouton **Start Capturing**). <|> capturing

93 Mot inconnu : Firesheep [[22:31]] => Revenez au panneau de Firesheep où une entrée correspondante à ce compte vous attend. Cliquez dessus. **Si vous n'avez pas de sueurs froides, c'est que vous n'avez pas encore pris la mesure de ce qui pourrait arriver à tous les utilisateurs de votre réseau, vous y compris.** <|> firesheep

94 Mot inconnu : BlackSheep [[5:15]] => ==== BlackSheep ==== <|> blacksheep

95 Mot inconnu : BlackSheep [[15:25]] => Pour installer BlackSheep, vous devez avoir au préalable installé FireSheep. <|> blacksheep
95 Mot inconnu : FireSheep [[66:75]] => Pour installer BlackSheep, vous devez avoir au préalable installé FireSheep. <|> firesheep
97 Mot inconnu : autoconf [[40:48]] => Les paquets suivants sont nécessaires : autoconf libpcap-dev pcaputils xulrunner-dev libboost-all-dev <|> autoconf
97 Mot inconnu : libpcap-dev [[49:60]] => Les paquets suivants sont nécessaires : autoconf libpcap-dev pcaputils xulrunner-dev libboost-all-dev <|> libpcap-dev
97 Mot inconnu : pcaputils [[61:70]] => Les paquets suivants sont nécessaires : autoconf libpcap-dev pcaputils xulrunner-dev libboost-all-dev <|> pcaputils
97 Mot inconnu : xulrunner-dev [[71:84]] => Les paquets suivants sont nécessaires : autoconf libpcap-dev pcaputils xulrunner-dev libboost-all-dev <|> xulrunner-dev
97 Mot inconnu : libboost-all-dev [[85:101]] => Les paquets suivants sont nécessaires : autoconf libpcap-dev pcaputils xulrunner-dev libboost-all-dev <|> libboost-all-dev

100 Mot inconnu : BlackSheep [[18:28]] => Téléchargement de BlackSheep : <|> blacksheep

123 Mot inconnu : FireSheep [[22:31]] => Installez, comme pour FireSheep, l'extension blacksheep-latest-linux.xpi qui se trouve dans le dossier blacksheep de votre dossier personnel. <|> firesheep
123 Mot inconnu : blacksheep-latest-linux [[45:68]] => Installez, comme pour FireSheep, l'extension blacksheep-latest-linux.xpi qui se trouve dans le dossier blacksheep de votre dossier personnel. <|> blacksheep-latest-linux
123 Mot inconnu : xpi [[69:72]] => Installez, comme pour FireSheep, l'extension blacksheep-latest-linux.xpi qui se trouve dans le dossier blacksheep de votre dossier personnel. <|> xpi
123 Mot inconnu : blacksheep [[103:113]] => Installez, comme pour FireSheep, l'extension blacksheep-latest-linux.xpi qui se trouve dans le dossier blacksheep de votre dossier personnel. <|> blacksheep

125 Mot inconnu : BlackSheep [[127:137]] => Firefox devra être redémarré. Lors du redémarrage, votre mot de passe vous sera demandé. Éditez les préférences de l'extension BlackSheep pour sélectionner l'interface réseau, et éventuellement l'empêcher de démarrer avec Firefox (si vous avez un ordinateur nomade, par exemple). <|> blacksheep
