1 Mot inconnu : marc31 [[7:13]] => ====== marc31 ====== <|> marc31
46 Mot inconnu : bureau_graphique [[4:20]] =>   * bureau_graphique. <|> bureau_graphique
51 Accord de nombre erroné avec « les pages » : « matériel » devrait être au pluriel. [[41:49]] =>   * quelques petits ajouts sur les pages matériel pour enrichir la base documentaire. <|> matériel => suggestions : ['matériels']
55 Espace(s) en fin de ligne à supprimer. [[36:37]] =>   * vous souhaitez créer des pages :  <|>   => suggestions : ['']
63 Mot inconnu : tagguer [[4:11]] =>   * tagguer les pages relatives au fonctionnement du site avec le tag **communauté**. <|> tagguer
64 Mot inconnu : topic [[80:85]] =>   * uniformiser les titres pour qu'ils s'affichent de manière élégante dans les topic (listes de mots clés). Format : <|> topic
69 Mot inconnu : iwl3945 [[112:119]] =>   * portable Acer Aspire 7720G-5A4G32Mi (carte Nvidia GF 9500M) : fonctionnement OK sur jaunty ; chipset wifi : iwl3945 <|> iwl3945
70 Mot inconnu : Amilo [[21:26]] =>   * portable Siemens Amilo 4540 - OK sous les dernieres versions de Ubuntu (non testé intégralement). Installation via WUBI. <|> amilo
70 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[31:34]] =>   * portable Siemens Amilo 4540 - OK sous les dernieres versions de Ubuntu (non testé intégralement). Installation via WUBI. <|>  -  => suggestions : [' – ', ' — ', ' − ']
70 Mot inconnu : dernieres [[46:55]] =>   * portable Siemens Amilo 4540 - OK sous les dernieres versions de Ubuntu (non testé intégralement). Installation via WUBI. <|> dernieres
70 Mot inconnu : WUBI [[119:123]] =>   * portable Siemens Amilo 4540 - OK sous les dernieres versions de Ubuntu (non testé intégralement). Installation via WUBI. <|> wubi
72 Espace(s) surnuméraire(s) à supprimer. [[37:39]] =>   * carte Wifi : Hercule PCI, chipset  RaLink RT2500 <|>    => suggestions : [' ']
72 Mot inconnu : RaLink [[39:45]] =>   * carte Wifi : Hercule PCI, chipset  RaLink RT2500 <|> ralink
72 Mot inconnu : RT2500 [[46:52]] =>   * carte Wifi : Hercule PCI, chipset  RaLink RT2500 <|> rt2500
75 Mot inconnu : Medion [[11:17]] =>   * Webcam Medion MD 40820 : Aiptek International (08ca:2022) - pilote spca5xx <|> medion
75 Mot inconnu : MD [[18:20]] =>   * Webcam Medion MD 40820 : Aiptek International (08ca:2022) - pilote spca5xx <|> md
75 Formatage des grands nombres. [[21:26]] =>   * Webcam Medion MD 40820 : Aiptek International (08ca:2022) - pilote spca5xx <|> 40820 => suggestions : ['40\xa0820']
75 Mot inconnu : Aiptek [[29:35]] =>   * Webcam Medion MD 40820 : Aiptek International (08ca:2022) - pilote spca5xx <|> aiptek
75 Mot inconnu : ca [[53:55]] =>   * Webcam Medion MD 40820 : Aiptek International (08ca:2022) - pilote spca5xx <|> ca
75 Il manque un espace. [[56:60]] =>   * Webcam Medion MD 40820 : Aiptek International (08ca:2022) - pilote spca5xx <|> 2022 => suggestions : [' 2022']
75 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[61:64]] =>   * Webcam Medion MD 40820 : Aiptek International (08ca:2022) - pilote spca5xx <|>  -  => suggestions : [' – ', ' — ', ' − ']
75 Mot inconnu : spca5xx [[71:78]] =>   * Webcam Medion MD 40820 : Aiptek International (08ca:2022) - pilote spca5xx <|> spca5xx
76 Mot inconnu : video [[10:15]] =>   * carte video Nvidia GeForce 7300 SE premier prix, bien supportée sous Gutsy <|> video
76 Incohérence avec « SE » : « premier » devrait être un verbe. [[39:46]] =>   * carte video Nvidia GeForce 7300 SE premier prix, bien supportée sous Gutsy <|> premier => suggestions : []
77 Mot inconnu : Epson [[31:36]] =>   * imprimante laser basique : Epson EPL-5200+ : OK, <|> epson
78 Mot inconnu : Scanjet [[15:22]] =>   * scanner HP Scanjet 2200c : OK, <|> scanjet
79 Mot inconnu : Medion [[22:28]] =>   * un vieux portable Medion, 2 UC assez récentes, du Windows pour le fameux MSN des ados, un vrai ordinateur avec Ubuntu pour moi et ma femme. <|> medion
79 Mot inconnu : UC [[32:34]] =>   * un vieux portable Medion, 2 UC assez récentes, du Windows pour le fameux MSN des ados, un vrai ordinateur avec Ubuntu pour moi et ma femme. <|> uc
79 Mot inconnu : MSN [[77:80]] =>   * un vieux portable Medion, 2 UC assez récentes, du Windows pour le fameux MSN des ados, un vrai ordinateur avec Ubuntu pour moi et ma femme. <|> msn
82 Mot inconnu : EZ-Connect [[17:27]] =>   * clé Wifi USB EZ-Connect, chipset zd1211 : support OK, sauf mode adhoc. <|> ez-connect
82 Mot inconnu : zd1211 [[37:43]] =>   * clé Wifi USB EZ-Connect, chipset zd1211 : support OK, sauf mode adhoc. <|> zd1211
82 Mot inconnu : adhoc [[68:73]] =>   * clé Wifi USB EZ-Connect, chipset zd1211 : support OK, sauf mode adhoc. <|> adhoc
83 Mot inconnu : Ovislink [[25:33]] =>   * une autre clé wifi : Ovislink, EVO-W54USB v2, chipset Ralink 2573 USB, driver rt73usb <|> ovislink
83 Mot inconnu : EVO-W54USB [[35:45]] =>   * une autre clé wifi : Ovislink, EVO-W54USB v2, chipset Ralink 2573 USB, driver rt73usb <|> evo-w54usb
83 Mot inconnu : Ralink [[58:64]] =>   * une autre clé wifi : Ovislink, EVO-W54USB v2, chipset Ralink 2573 USB, driver rt73usb <|> ralink
83 Mot inconnu : rt73usb [[82:89]] =>   * une autre clé wifi : Ovislink, EVO-W54USB v2, chipset Ralink 2573 USB, driver rt73usb <|> rt73usb
89 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:11]] =>   * bonjour marc j'ai essayé ma clé tnt kazimogo avec le pilote afatech 15 et elle a fonctionné hier sous kaffeine donc elle est supportée mais aujourd'hui kaffeine ne la détecte plus je sais pas pkoi et je retrouve pas la page internet du tutoriel. Je suis nouveau dans la communauté Ubuntu j'avais déjà essayé Linux mandrake et je m'en étais séparé mais la Ubuntu me comble c'est génial la liberté que l'on a par rapport à Windows et la qualité du développement du programme. <|> bonjour => suggestions : ['Bonjour']
89 Mot inconnu : tnt [[36:39]] =>   * bonjour marc j'ai essayé ma clé tnt kazimogo avec le pilote afatech 15 et elle a fonctionné hier sous kaffeine donc elle est supportée mais aujourd'hui kaffeine ne la détecte plus je sais pas pkoi et je retrouve pas la page internet du tutoriel. Je suis nouveau dans la communauté Ubuntu j'avais déjà essayé Linux mandrake et je m'en étais séparé mais la Ubuntu me comble c'est génial la liberté que l'on a par rapport à Windows et la qualité du développement du programme. <|> tnt
89 Mot inconnu : kazimogo [[40:48]] =>   * bonjour marc j'ai essayé ma clé tnt kazimogo avec le pilote afatech 15 et elle a fonctionné hier sous kaffeine donc elle est supportée mais aujourd'hui kaffeine ne la détecte plus je sais pas pkoi et je retrouve pas la page internet du tutoriel. Je suis nouveau dans la communauté Ubuntu j'avais déjà essayé Linux mandrake et je m'en étais séparé mais la Ubuntu me comble c'est génial la liberté que l'on a par rapport à Windows et la qualité du développement du programme. <|> kazimogo
89 Mot inconnu : afatech [[64:71]] =>   * bonjour marc j'ai essayé ma clé tnt kazimogo avec le pilote afatech 15 et elle a fonctionné hier sous kaffeine donc elle est supportée mais aujourd'hui kaffeine ne la détecte plus je sais pas pkoi et je retrouve pas la page internet du tutoriel. Je suis nouveau dans la communauté Ubuntu j'avais déjà essayé Linux mandrake et je m'en étais séparé mais la Ubuntu me comble c'est génial la liberté que l'on a par rapport à Windows et la qualité du développement du programme. <|> afatech
89 Si « donc » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[114:119]] =>   * bonjour marc j'ai essayé ma clé tnt kazimogo avec le pilote afatech 15 et elle a fonctionné hier sous kaffeine donc elle est supportée mais aujourd'hui kaffeine ne la détecte plus je sais pas pkoi et je retrouve pas la page internet du tutoriel. Je suis nouveau dans la communauté Ubuntu j'avais déjà essayé Linux mandrake et je m'en étais séparé mais la Ubuntu me comble c'est génial la liberté que l'on a par rapport à Windows et la qualité du développement du programme. <|>  donc => suggestions : [', donc']
89 Mot inconnu : pkoi [[196:200]] =>   * bonjour marc j'ai essayé ma clé tnt kazimogo avec le pilote afatech 15 et elle a fonctionné hier sous kaffeine donc elle est supportée mais aujourd'hui kaffeine ne la détecte plus je sais pas pkoi et je retrouve pas la page internet du tutoriel. Je suis nouveau dans la communauté Ubuntu j'avais déjà essayé Linux mandrake et je m'en étais séparé mais la Ubuntu me comble c'est génial la liberté que l'on a par rapport à Windows et la qualité du développement du programme. <|> pkoi
91 Mot inconnu : Advance [[37:44]] =>   * Bonjour Marc, Je possède une clé Advance WL-54USB, et j'avoue ne pas réussir à l'installer. Lors de l'install graphique avec ndisgkt, le matériel est marqué non présent alors que les pilotes sont installés. Pourrais tu me donner la procédure que tu as utilisé? Merci <|> advance
91 Mot inconnu : WL-54USB [[45:53]] =>   * Bonjour Marc, Je possède une clé Advance WL-54USB, et j'avoue ne pas réussir à l'installer. Lors de l'install graphique avec ndisgkt, le matériel est marqué non présent alors que les pilotes sont installés. Pourrais tu me donner la procédure que tu as utilisé? Merci <|> wl-54usb
91 Mot inconnu : install [[106:113]] =>   * Bonjour Marc, Je possède une clé Advance WL-54USB, et j'avoue ne pas réussir à l'installer. Lors de l'install graphique avec ndisgkt, le matériel est marqué non présent alors que les pilotes sont installés. Pourrais tu me donner la procédure que tu as utilisé? Merci <|> install
91 Mot inconnu : ndisgkt [[129:136]] =>   * Bonjour Marc, Je possède une clé Advance WL-54USB, et j'avoue ne pas réussir à l'installer. Lors de l'install graphique avec ndisgkt, le matériel est marqué non présent alors que les pilotes sont installés. Pourrais tu me donner la procédure que tu as utilisé? Merci <|> ndisgkt
91 Forme interrogative ? Mettez un trait d’union. [[211:222]] =>   * Bonjour Marc, Je possède une clé Advance WL-54USB, et j'avoue ne pas réussir à l'installer. Lors de l'install graphique avec ndisgkt, le matériel est marqué non présent alors que les pilotes sont installés. Pourrais tu me donner la procédure que tu as utilisé? Merci <|> pourrais tu => suggestions : ['Pourrais-tu']
91 Conjugaison erronée. Accord avec “tu”. Le verbe devrait être à la 2ᵉ personne du singulier. [[226:232]] =>   * Bonjour Marc, Je possède une clé Advance WL-54USB, et j'avoue ne pas réussir à l'installer. Lors de l'install graphique avec ndisgkt, le matériel est marqué non présent alors que les pilotes sont installés. Pourrais tu me donner la procédure que tu as utilisé? Merci <|> donner => suggestions : ['donnes', 'donnais', 'donnas']
91 Si “la procédure…” est bien le COD du participe passé “utilisé”, celui-ci devrait être au féminin singulier. [[256:263]] =>   * Bonjour Marc, Je possède une clé Advance WL-54USB, et j'avoue ne pas réussir à l'installer. Lors de l'install graphique avec ndisgkt, le matériel est marqué non présent alors que les pilotes sont installés. Pourrais tu me donner la procédure que tu as utilisé? Merci <|> utilisé => suggestions : ['utilisée']
