1 Mot inconnu : Teilginn [[7:15]] => ====== Teilginn ====== <|> teilginn
31 Mot inconnu : ssid [[103:107]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> ssid
31 Mot inconnu : toujous [[125:132]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> toujous
31 Mot inconnu : fonctioné [[133:142]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> fonctioné
31 Il manque un trait d’union. [[143:152]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> jusque là => suggestions : ['jusque-là']
31 Mot inconnu : FreeWifi [[184:192]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> freewifi
31 Mot inconnu : linksy [[218:224]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> linksy
31 Mot inconnu : WPA2 [[262:266]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> wpa2
31 Mot inconnu : AES [[267:270]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> aes
31 Mot inconnu : TPIK [[271:275]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> tpik
31 Mot inconnu : ssid [[276:280]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> ssid
38 Mot inconnu : formattage [[4:14]] =>   * formattage aligné du disque <|> formattage
39 Mot inconnu : reduction [[4:13]] =>   * reduction des écriture disque (noatime) <|> reduction
39 Accord de nombre erroné : « écriture » devrait être au pluriel. [[18:26]] =>   * reduction des écriture disque (noatime) <|> écriture => suggestions : ['écritures']
39 Mot inconnu : noatime [[35:42]] =>   * reduction des écriture disque (noatime) <|> noatime
40 Guillemets typographiques ouvrants. [[89:90]] =>   * suppression de l'utilisation du swap (tout en gardant la partition swap pour le mode 'hibernate') <|> ' => suggestions : ['“', '‘', '‹']
40 Mot inconnu : hibernate [[90:99]] =>   * suppression de l'utilisation du swap (tout en gardant la partition swap pour le mode 'hibernate') <|> hibernate
41 Mot inconnu : scehduler [[26:35]] =>   * changement du mode de scehduler <|> scehduler
42 Mot inconnu : tmpfs [[81:86]] =>   * mettre /tmp (et tout est temporaire comme /var/log /var/apt/log) en mémoire (tmpfs)(j'ai réservé 25% de la mémoire) <|> tmpfs
43 Mot inconnu : totalite [[14:22]] =>   * mettre la totalite du profil firefox en mémoire dans /tmp (cela incluant aussi prism) firefox n'a jamais été aussi rapide <|> totalite
43 Mot inconnu : prism [[83:88]] =>   * mettre la totalite du profil firefox en mémoire dans /tmp (cela incluant aussi prism) firefox n'a jamais été aussi rapide <|> prism

46 Espace(s) surnuméraire(s) à supprimer. [[20:22]] => ===== Quelques infos  à propos de mes installations de 9.04 ===== <|>    => suggestions : [' ']

54 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[1:4]] => 1 - Installer le paquetage 'bluez-compat' depuis un terminal <|>  -  => suggestions : [' – ', ' — ', ' − ']
54 Guillemets typographiques ouvrants. [[27:28]] => 1 - Installer le paquetage 'bluez-compat' depuis un terminal <|> ' => suggestions : ['“', '‘', '‹']
54 Mot inconnu : bluez-compat [[28:40]] => 1 - Installer le paquetage 'bluez-compat' depuis un terminal <|> bluez-compat
54 Guillemets typographiques fermants. [[40:41]] => 1 - Installer le paquetage 'bluez-compat' depuis un terminal <|> ' => suggestions : ['”', '’', '›']

56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[1:4]] => 2 - Associé la souris avec l'applet gnome 'classique' <|>  -  => suggestions : [' – ', ' — ', ' − ']
56 Guillemets typographiques ouvrants. [[42:43]] => 2 - Associé la souris avec l'applet gnome 'classique' <|> ' => suggestions : ['“', '‘', '‹']
56 Guillemets typographiques fermants. [[52:53]] => 2 - Associé la souris avec l'applet gnome 'classique' <|> ' => suggestions : ['”', '’', '›']

57 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[1:4]] => 3 - Si la souris ne fonctionne pas malgré une association finalisée avec succès faire <|>  -  => suggestions : [' – ', ' — ', ' − ']

67 S’il s’agit d’un nombre, utilisez le chiffre « 0 » plutôt que la lettre « O ». [[24:27]] => Si après avoir installé OOO 3.1.1 en lieu et place de OOO 3.0.1, toute application d'OpenOffice plante dès le démarrage, il faut tout simplement supprimer le répertoire '.openoffice.org' qui se trouve à la racine de votre compte. <|> ooo => suggestions : ['000']
67 Mot inconnu : OOO [[24:27]] => Si après avoir installé OOO 3.1.1 en lieu et place de OOO 3.0.1, toute application d'OpenOffice plante dès le démarrage, il faut tout simplement supprimer le répertoire '.openoffice.org' qui se trouve à la racine de votre compte. <|> ooo
67 S’il s’agit d’un nombre, utilisez le chiffre « 0 » plutôt que la lettre « O ». [[54:57]] => Si après avoir installé OOO 3.1.1 en lieu et place de OOO 3.0.1, toute application d'OpenOffice plante dès le démarrage, il faut tout simplement supprimer le répertoire '.openoffice.org' qui se trouve à la racine de votre compte. <|> ooo => suggestions : ['000']
67 Mot inconnu : OOO [[54:57]] => Si après avoir installé OOO 3.1.1 en lieu et place de OOO 3.0.1, toute application d'OpenOffice plante dès le démarrage, il faut tout simplement supprimer le répertoire '.openoffice.org' qui se trouve à la racine de votre compte. <|> ooo
67 Mot inconnu : openoffice [[171:181]] => Si après avoir installé OOO 3.1.1 en lieu et place de OOO 3.0.1, toute application d'OpenOffice plante dès le démarrage, il faut tout simplement supprimer le répertoire '.openoffice.org' qui se trouve à la racine de votre compte. <|> openoffice
69 Il manque un espace. [[10:18]] => ==== XFCE:Problème de fontes ==== <|> problème => suggestions : [' Problème']
70 Mot inconnu : xrdb [[118:122]] => Il y a une incohérence entre la valeur DPI du panneau de configuration *Apparence* de Xfce et la valeur retournée par xrdb.  <|> xrdb
70 Espace(s) en fin de ligne à supprimer. [[123:124]] => Il y a une incohérence entre la valeur DPI du panneau de configuration *Apparence* de Xfce et la valeur retournée par xrdb.  <|>   => suggestions : ['']
78 Accord de nombre erroné : « performance » devrait être au pluriel. [[16:27]] =>   * Valider les performance Wifi <|> performance => suggestions : ['performances']

80 Mot inconnu : EEEPC [[6:11]] => ===== EEEPC 701 en terminal X Wifi ===== <|> eeepc

82 Mot inconnu : EEEPc [[8:13]] => J'ai un EEEPc 701 qui se trouve dans le chambre de mon fils. Il tournait sous EasyPeacy en Wifi mais relativement trop lentement pour mes besoins actuels: transformer la chambre de mon fils en bureau pendant la journée. J'ai donc décider de transformer la EEEPC 701 en terminal X grâce à Xdmcp.  <|> eeepc
82 Accord de genre erroné : « chambre » est féminin. [[37:39]] => J'ai un EEEPc 701 qui se trouve dans le chambre de mon fils. Il tournait sous EasyPeacy en Wifi mais relativement trop lentement pour mes besoins actuels: transformer la chambre de mon fils en bureau pendant la journée. J'ai donc décider de transformer la EEEPC 701 en terminal X grâce à Xdmcp.  <|> le => suggestions : ['la']
82 Accord de genre erroné : « le » est un déterminant masculin. [[40:47]] => J'ai un EEEPc 701 qui se trouve dans le chambre de mon fils. Il tournait sous EasyPeacy en Wifi mais relativement trop lentement pour mes besoins actuels: transformer la chambre de mon fils en bureau pendant la journée. J'ai donc décider de transformer la EEEPC 701 en terminal X grâce à Xdmcp.  <|> chambre => suggestions : ['chambré']
82 Mot inconnu : EasyPeacy [[78:87]] => J'ai un EEEPc 701 qui se trouve dans le chambre de mon fils. Il tournait sous EasyPeacy en Wifi mais relativement trop lentement pour mes besoins actuels: transformer la chambre de mon fils en bureau pendant la journée. J'ai donc décider de transformer la EEEPC 701 en terminal X grâce à Xdmcp.  <|> easypeacy
82 Incohérence probable avec “ai” : “décider” n’est pas un participe passé. [[230:237]] => J'ai un EEEPc 701 qui se trouve dans le chambre de mon fils. Il tournait sous EasyPeacy en Wifi mais relativement trop lentement pour mes besoins actuels: transformer la chambre de mon fils en bureau pendant la journée. J'ai donc décider de transformer la EEEPC 701 en terminal X grâce à Xdmcp.  <|> décider => suggestions : ['décidé']
82 Mot inconnu : EEEPC [[256:261]] => J'ai un EEEPc 701 qui se trouve dans le chambre de mon fils. Il tournait sous EasyPeacy en Wifi mais relativement trop lentement pour mes besoins actuels: transformer la chambre de mon fils en bureau pendant la journée. J'ai donc décider de transformer la EEEPC 701 en terminal X grâce à Xdmcp.  <|> eeepc
82 Mot inconnu : Xdmcp [[288:293]] => J'ai un EEEPc 701 qui se trouve dans le chambre de mon fils. Il tournait sous EasyPeacy en Wifi mais relativement trop lentement pour mes besoins actuels: transformer la chambre de mon fils en bureau pendant la journée. J'ai donc décider de transformer la EEEPC 701 en terminal X grâce à Xdmcp.  <|> xdmcp
82 Espace(s) en fin de ligne à supprimer. [[294:295]] => J'ai un EEEPc 701 qui se trouve dans le chambre de mon fils. Il tournait sous EasyPeacy en Wifi mais relativement trop lentement pour mes besoins actuels: transformer la chambre de mon fils en bureau pendant la journée. J'ai donc décider de transformer la EEEPC 701 en terminal X grâce à Xdmcp.  <|>   => suggestions : ['']

84 Mot inconnu : Xming [[16:21]] => De plus grâce a Xming je peux aussi ouvrir une session Ubuntu à partir Windows et donc profiter des autres machines de la maison sans être obliger de transférer mes documents. <|> xming
84 Après “être”, le verbe ne devrait pas être à l’infinitif. [[139:146]] => De plus grâce a Xming je peux aussi ouvrir une session Ubuntu à partir Windows et donc profiter des autres machines de la maison sans être obliger de transférer mes documents. <|> obliger => suggestions : ['obligée', 'obligé', 'obligées', 'obligés']

88 Mot inconnu : Lynksys [[47:54]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> lynksys
88 Mot inconnu : WRT54G [[55:61]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> wrt54g
88 Mot inconnu : DD-WRT [[67:73]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> dd-wrt
88 Après “être”, le verbe ne devrait pas être à l’infinitif. [[82:92]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> configurer => suggestions : ['configurées', 'configuré', 'configurée', 'configurés']
88 Accord de nombre erroné avec « les essais » : « facile » devrait être au pluriel. [[197:203]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> facile => suggestions : ['faciles']
88 Mot inconnu : WPA2 [[266:270]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> wpa2
88 Mot inconnu : MA_CLEF_QUI_TUE_A_SAISIR [[286:310]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> ma_clef_qui_tue_a_saisir
88 Mot inconnu : ssid [[330:334]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> ssid
88 Mot inconnu : MON_SSID [[336:344]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|> mon_ssid
88 Espace(s) en fin de ligne à supprimer. [[495:496]] => Le point central du réseau est un routeur Wifi Lynksys WRT54G sous DD-WRT. IL est configurer de manière à avoir le même masque réseau en Wifi et en filaire, c'est juste pour rendre les essais plus facile et réduire les causes de problèmes. La connexion Wifi utilise WPA2 avec une clef (MA_CLEF_QUI_TUE_A_SAISIR) très longue et un ssid (MON_SSID) caché. Le reste des paramètres est standard. J'oubliais, le routeur fournit naturellement un service DHCP et tout étant fonctionnel depuis longtemps.  <|>   => suggestions : ['']

90 Mot inconnu : GX270 [[23:28]] => Le serveur est un DELL GX270 2Ghz, 1,5Go de mémoire sous Ubuntu 9.04. sans écran. <|> gx270
90 Mot inconnu : Ghz [[30:33]] => Le serveur est un DELL GX270 2Ghz, 1,5Go de mémoire sous Ubuntu 9.04. sans écran. <|> ghz

92 Mot inconnu : EEEPC [[22:27]] => Le client est donc un EEEPC 701 Céléron 600Mhz overclockage à 900Mhz, 4 Go de disque SSD, 1go de RAM, une carte Wifi native Atheros AR242x. <|> eeepc
92 Mot inconnu : Céléron [[32:39]] => Le client est donc un EEEPC 701 Céléron 600Mhz overclockage à 900Mhz, 4 Go de disque SSD, 1go de RAM, une carte Wifi native Atheros AR242x. <|> céléron
92 Mot inconnu : Mhz [[43:46]] => Le client est donc un EEEPC 701 Céléron 600Mhz overclockage à 900Mhz, 4 Go de disque SSD, 1go de RAM, une carte Wifi native Atheros AR242x. <|> mhz
92 Mot inconnu : overclockage [[47:59]] => Le client est donc un EEEPC 701 Céléron 600Mhz overclockage à 900Mhz, 4 Go de disque SSD, 1go de RAM, une carte Wifi native Atheros AR242x. <|> overclockage
92 Mot inconnu : Mhz [[65:68]] => Le client est donc un EEEPC 701 Céléron 600Mhz overclockage à 900Mhz, 4 Go de disque SSD, 1go de RAM, une carte Wifi native Atheros AR242x. <|> mhz
92 Mot inconnu : Atheros [[124:131]] => Le client est donc un EEEPC 701 Céléron 600Mhz overclockage à 900Mhz, 4 Go de disque SSD, 1go de RAM, une carte Wifi native Atheros AR242x. <|> atheros
92 Mot inconnu : AR242x [[132:138]] => Le client est donc un EEEPC 701 Céléron 600Mhz overclockage à 900Mhz, 4 Go de disque SSD, 1go de RAM, une carte Wifi native Atheros AR242x. <|> ar242x

98 Mot inconnu : Xdmcp [[25:30]] => J'ai tout d'abord activé Xdmcp et installé XFCE pour plus de réactivité (le menu gnome avait une tendance à ne plus réagir) <|> xdmcp

100 Mot inconnu : gdm [[110:113]] => Pour une raison inconnue j'ai dû augmenter le nombre de connexion par client pour éviter d'avoir à redémarrer gdm tous les matins. <|> gdm
102 Il manque un espace. [[44:46]] => <note important>Si votre firewall est actif,ce qui est le cas par défaut, il ne faut pas oublier d'autoriser le port 177/UDP afin de permettre au cleint de voir votre serveur. <|> ce => suggestions : [' ce']
102 Mot inconnu : cleint [[146:152]] => <note important>Si votre firewall est actif,ce qui est le cas par défaut, il ne faut pas oublier d'autoriser le port 177/UDP afin de permettre au cleint de voir votre serveur. <|> cleint

106 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:4]] => todo: il me reste à voir si le passage de gdm à xdm est vraiment nécessaire. Je reste donc sous gdm. <|> todo => suggestions : ['Todo']
106 Mot inconnu : todo [[0:4]] => todo: il me reste à voir si le passage de gdm à xdm est vraiment nécessaire. Je reste donc sous gdm. <|> todo
106 Mot inconnu : gdm [[42:45]] => todo: il me reste à voir si le passage de gdm à xdm est vraiment nécessaire. Je reste donc sous gdm. <|> gdm
106 Mot inconnu : xdm [[48:51]] => todo: il me reste à voir si le passage de gdm à xdm est vraiment nécessaire. Je reste donc sous gdm. <|> xdm
106 Mot inconnu : gdm [[96:99]] => todo: il me reste à voir si le passage de gdm à xdm est vraiment nécessaire. Je reste donc sous gdm. <|> gdm

110 Mot inconnu : EEEPC [[3:8]] => Un EEEPC 701 fonctionne initialement sous EasyPeacy (Ubuntu 8.10), Le Wifi est fonctionnel via le NetworkManager de gnome. Mais le soucis principal est d'arriver à faire que la connection Wifi soit établie au démarrage du système et non pas après l'ouverture d'une session. <|> eeepc
110 Mot inconnu : EasyPeacy [[42:51]] => Un EEEPC 701 fonctionne initialement sous EasyPeacy (Ubuntu 8.10), Le Wifi est fonctionnel via le NetworkManager de gnome. Mais le soucis principal est d'arriver à faire que la connection Wifi soit établie au démarrage du système et non pas après l'ouverture d'une session. <|> easypeacy
110 Mot inconnu : NetworkManager [[98:112]] => Un EEEPC 701 fonctionne initialement sous EasyPeacy (Ubuntu 8.10), Le Wifi est fonctionnel via le NetworkManager de gnome. Mais le soucis principal est d'arriver à faire que la connection Wifi soit établie au démarrage du système et non pas après l'ouverture d'une session. <|> networkmanager
110 Accord de nombre erroné : « soucis » est au pluriel. [[128:130]] => Un EEEPC 701 fonctionne initialement sous EasyPeacy (Ubuntu 8.10), Le Wifi est fonctionnel via le NetworkManager de gnome. Mais le soucis principal est d'arriver à faire que la connection Wifi soit établie au démarrage du système et non pas après l'ouverture d'une session. <|> le => suggestions : ['les']
110 Accord de nombre erroné : « soucis » devrait être au singulier. [[131:137]] => Un EEEPC 701 fonctionne initialement sous EasyPeacy (Ubuntu 8.10), Le Wifi est fonctionnel via le NetworkManager de gnome. Mais le soucis principal est d'arriver à faire que la connection Wifi soit établie au démarrage du système et non pas après l'ouverture d'une session. <|> soucis => suggestions : ['souci']
110 Mot inconnu : connection [[177:187]] => Un EEEPC 701 fonctionne initialement sous EasyPeacy (Ubuntu 8.10), Le Wifi est fonctionnel via le NetworkManager de gnome. Mais le soucis principal est d'arriver à faire que la connection Wifi soit établie au démarrage du système et non pas après l'ouverture d'une session. <|> connection
111 Incohérence probable avec “ai” : “décider” n’est pas un participe passé. [[125:132]] => Ayant beaucoup bricolé sur cette machine, le système n'est pas très propre. Après 2 jours à bricoler dans tous les sens j'ai décider de tout remettre à plat. <|> décider => suggestions : ['décidé']
114 Accord de nombre erroné avec « 9.04 » : « installé » devrait être au pluriel. [[29:37]] => Le système sera XUbuntu 9.04 installé sur une partition'ext2' afin de gagner en performance. <|> installé => suggestions : ['installés']
114 Mot inconnu : partition'ext2 [[46:60]] => Le système sera XUbuntu 9.04 installé sur une partition'ext2' afin de gagner en performance. <|> partition'ext2
114 Guillemets typographiques fermants. [[60:61]] => Le système sera XUbuntu 9.04 installé sur une partition'ext2' afin de gagner en performance. <|> ' => suggestions : ['”', '’', '›']

115 Locution “par souci de”. Mettez “souci” au singulier. [[4:10]] => Par soucis de facilité je laisse l'installation définir elle même l'organisation du disque en étant conscient que dans ce cas je ne choix pas le format de la partition, ce sera forcement 'ext3'.  <|> soucis => suggestions : ['souci']
115 Il manque un trait d’union si “même” se rapporte à “elle”. [[56:65]] => Par soucis de facilité je laisse l'installation définir elle même l'organisation du disque en étant conscient que dans ce cas je ne choix pas le format de la partition, ce sera forcement 'ext3'.  <|> elle même => suggestions : ['elle-même']
