1 Mot inconnu : PsychedEric [[7:18]] => ====== PsychedEric ====== <|> psychederic
42 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. [[60:61]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> a => suggestions : ['à']
42 Mot inconnu : block [[77:82]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> block
42 Mot inconnu : the [[88:91]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> the
42 Mot inconnu : society [[92:99]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> society
42 Mot inconnu : the [[117:120]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> the
42 Mot inconnu : physical [[121:129]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> physical
42 Mot inconnu : reality [[130:137]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> reality
42 Mot inconnu : which [[138:143]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> which
42 Mot inconnu : is [[144:146]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> is
42 Mot inconnu : just [[147:151]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> just
42 Mot inconnu : holographic [[176:187]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> holographic
42 Mot inconnu : reality [[196:203]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> reality

45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[11:14]] => =====Ubuntu - un système===== <|>  -  => suggestions : [' – ', ' — ', ' − ']
49 Mot inconnu : ca [[56:58]] => Si un système de gestion agricole est compatible ubuntu ca a sa place. <|> ca

51 Mot inconnu : android [[6:13]] => Si un android ou votre esprit est compatible ubuntu ca a sa place. <|> android
51 Mot inconnu : ca [[52:54]] => Si un android ou votre esprit est compatible ubuntu ca a sa place. <|> ca
69 Guillemets typographiques ouvrants. [[58:59]] => Bonjour! Comment puis-je te contacter au sujet de la page "santé" du wiki ? :-) Tu peux me contacter via ma page utilisateur: http://doc.ubuntu-fr.org/utilisateurs/arkanoid Merci beaucoup! jérôme :-) <|> " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. [[64:65]] => Bonjour! Comment puis-je te contacter au sujet de la page "santé" du wiki ? :-) Tu peux me contacter via ma page utilisateur: http://doc.ubuntu-fr.org/utilisateurs/arkanoid Merci beaucoup! jérôme :-) <|> " => suggestions : ['\xa0»', '”']
69 Accord de genre erroné : « ma page » est féminin, « utilisateur » est masculin. [[113:124]] => Bonjour! Comment puis-je te contacter au sujet de la page "santé" du wiki ? :-) Tu peux me contacter via ma page utilisateur: http://doc.ubuntu-fr.org/utilisateurs/arkanoid Merci beaucoup! jérôme :-) <|> utilisateur => suggestions : ['utilisatrice']
69 Mot inconnu : jérôme [[189:195]] => Bonjour! Comment puis-je te contacter au sujet de la page "santé" du wiki ? :-) Tu peux me contacter via ma page utilisateur: http://doc.ubuntu-fr.org/utilisateurs/arkanoid Merci beaucoup! jérôme :-) <|> jérôme
