
5 Mot inconnu : WordPress => ====== Installer WordPress avec Docker ======= | wordpress
42 Mot inconnu : MYSQL_DATABASE =>       MYSQL_DATABASE: exampledb | mysql_database
42 Mot inconnu : exampledb =>       MYSQL_DATABASE: exampledb | exampledb

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       MYSQL_USER: exampleuser |        => suggestions : ['']
43 Mot inconnu : MYSQL_USER =>       MYSQL_USER: exampleuser | mysql_user
43 Mot inconnu : exampleuser =>       MYSQL_USER: exampleuser | exampleuser

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       MYSQL_PASSWORD: examplepass |        => suggestions : ['']
44 Mot inconnu : MYSQL_PASSWORD =>       MYSQL_PASSWORD: examplepass | mysql_password
44 Mot inconnu : examplepass =>       MYSQL_PASSWORD: examplepass | examplepass

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       MYSQL_RANDOM_ROOT_PASSWORD: '1' |        => suggestions : ['']
45 Mot inconnu : MYSQL_RANDOM_ROOT_PASSWORD =>       MYSQL_RANDOM_ROOT_PASSWORD: '1' | mysql_random_root_password
45 Guillemets typographiques ouvrants. =>       MYSQL_RANDOM_ROOT_PASSWORD: '1' | ' => suggestions : ['“', '‘', '‹']
45 Guillemets typographiques fermants. =>       MYSQL_RANDOM_ROOT_PASSWORD: '1' | ' => suggestions : ['”', '’', '›']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     restart: unless-stopped |      => suggestions : ['']
46 Mot inconnu : restart =>     restart: unless-stopped | restart
46 Mot inconnu : unless-stopped =>     restart: unless-stopped | unless-stopped
