2 Mot inconnu : Syrion => ====== Syrion ======

4 Mot inconnu : feisty => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Guillemets typographiques ouvrants. => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Mot inconnu : The => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Mot inconnu : Feisty => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Mot inconnu : Fawn => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Guillemets typographiques fermants. => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ubuntu 20.04.2 server sur eeepc 1215P
8 Mot inconnu : Corsair =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : Scilitar =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : RGB =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ubuntu 20.04.2 sur Dell XPS 7590
9 Mot inconnu : XPS =>   * Ubuntu 20.04.2 sur Dell XPS 7590

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10**
12 Mot inconnu : G1 =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10**
12 Mot inconnu : G18 =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10**
12 Mot inconnu : Logitech =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10**
12 Mot inconnu : G11 =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10**
12 Mot inconnu : G15 =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10**

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : WPA =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : WPA2 =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : Ralink =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : ra2860 =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : entr'autre =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : Eeepc =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Il manque un espace insécable. =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : ralink =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : Atoms =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).
13 Mot inconnu : Eeeepc =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901).

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ubuntu 10.04 apportait la compatibilité avec les iPod/iPhone via Rythmbox. Ubuntu 10.10 la perd en tentant de reconnaître l'iPhone comme un modem. **Tout rentre dans l'ordre avec Ubuntu 11.04, qui ajoute la possibilité d'accéder aux fichiers des applications qui permettent le stoickage.**
14 Mot inconnu : iPod =>   * Ubuntu 10.04 apportait la compatibilité avec les iPod/iPhone via Rythmbox. Ubuntu 10.10 la perd en tentant de reconnaître l'iPhone comme un modem. **Tout rentre dans l'ordre avec Ubuntu 11.04, qui ajoute la possibilité d'accéder aux fichiers des applications qui permettent le stoickage.**
14 Mot inconnu : iPhone =>   * Ubuntu 10.04 apportait la compatibilité avec les iPod/iPhone via Rythmbox. Ubuntu 10.10 la perd en tentant de reconnaître l'iPhone comme un modem. **Tout rentre dans l'ordre avec Ubuntu 11.04, qui ajoute la possibilité d'accéder aux fichiers des applications qui permettent le stoickage.**
14 Mot inconnu : Rythmbox =>   * Ubuntu 10.04 apportait la compatibilité avec les iPod/iPhone via Rythmbox. Ubuntu 10.10 la perd en tentant de reconnaître l'iPhone comme un modem. **Tout rentre dans l'ordre avec Ubuntu 11.04, qui ajoute la possibilité d'accéder aux fichiers des applications qui permettent le stoickage.**
14 Mot inconnu : iPhone =>   * Ubuntu 10.04 apportait la compatibilité avec les iPod/iPhone via Rythmbox. Ubuntu 10.10 la perd en tentant de reconnaître l'iPhone comme un modem. **Tout rentre dans l'ordre avec Ubuntu 11.04, qui ajoute la possibilité d'accéder aux fichiers des applications qui permettent le stoickage.**
14 Mot inconnu : stoickage =>   * Ubuntu 10.04 apportait la compatibilité avec les iPod/iPhone via Rythmbox. Ubuntu 10.10 la perd en tentant de reconnaître l'iPhone comme un modem. **Tout rentre dans l'ordre avec Ubuntu 11.04, qui ajoute la possibilité d'accéder aux fichiers des applications qui permettent le stoickage.**

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ubuntu sur un Eee PC 901
18 Mot inconnu : Eee =>   * Ubuntu sur un Eee PC 901
