3 Mot inconnu : Farhill => ====== Farhill ======

4 Mot inconnu : FARHI => |Nom|FARHI|

6 Mot inconnu : Cras => |Lieu|Cras, 38210 (Grenoble)|
6 Formatage des grands nombres. => |Lieu|Cras, 38210 (Grenoble)|

7 Mot inconnu : Ubunteros => |Ubunteros depuis combien de temps|2006|

8 Il manque un espace avant la parenthèse. => |Distribution testée|6.06, **8.04, 9.04**, 9.10(//plutot instable//), **10.04**, 11.04, **12.04**, **14.04** |
8 Mot inconnu : plutot => |Distribution testée|6.06, **8.04, 9.04**, 9.10(//plutot instable//), **10.04**, 11.04, **12.04**, **14.04** |

11 Mot inconnu : distro => Tout simplement le coup de foudre. Ce que l'on fait de mieux en distro Linux.

16 Mot inconnu : MPI => Programmation (C, MPI, Perl, Python, Matlab, ...)
16 Mot inconnu : Matlab => Programmation (C, MPI, Perl, Python, Matlab, ...)
16 Une de ces ponctuations est superflue. => Programmation (C, MPI, Perl, Python, Matlab, ...)
16 Typographie : points de suspension. Utilisez le caractère dédié. => Programmation (C, MPI, Perl, Python, Matlab, ...)

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:macpro|Apple MacPro]]: vraiment une belle machine, 12 Gflops, 8 coeurs Xeon
23 Guillemets typographiques fermants. =>   * Sony VAIO VGN-Z31 : un magnifique portable 13" mais assez fragile, 1.3 Gflops, 1.5 kg, autonomie 6h30 (bicore 2.7 GHz)
23 Mot inconnu : Gflops =>   * Sony VAIO VGN-Z31 : un magnifique portable 13" mais assez fragile, 1.3 Gflops, 1.5 kg, autonomie 6h30 (bicore 2.7 GHz)
23 Mot inconnu : bicore =>   * Sony VAIO VGN-Z31 : un magnifique portable 13" mais assez fragile, 1.3 Gflops, 1.5 kg, autonomie 6h30 (bicore 2.7 GHz)

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fujitsu Siemens Amilo Xa1526: 17", 1 Gflops
24 Mot inconnu : Amilo =>   * Fujitsu Siemens Amilo Xa1526: 17", 1 Gflops
24 Mot inconnu : Xa1526 =>   * Fujitsu Siemens Amilo Xa1526: 17", 1 Gflops
24 Il manque un espace insécable. =>   * Fujitsu Siemens Amilo Xa1526: 17", 1 Gflops
24 Guillemets typographiques fermants. =>   * Fujitsu Siemens Amilo Xa1526: 17", 1 Gflops
24 Mot inconnu : Gflops =>   * Fujitsu Siemens Amilo Xa1526: 17", 1 Gflops

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sony VAIO VGN-NR10 E/S: 0.8 Gflops 15" assez basique
25 Mot inconnu : VAIO =>   * Sony VAIO VGN-NR10 E/S: 0.8 Gflops 15" assez basique
25 Mot inconnu : VGN-NR10 =>   * Sony VAIO VGN-NR10 E/S: 0.8 Gflops 15" assez basique
25 Il manque un espace insécable. =>   * Sony VAIO VGN-NR10 E/S: 0.8 Gflops 15" assez basique
25 Mot inconnu : Gflops =>   * Sony VAIO VGN-NR10 E/S: 0.8 Gflops 15" assez basique
25 Guillemets typographiques fermants. =>   * Sony VAIO VGN-NR10 E/S: 0.8 Gflops 15" assez basique

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:liste_portables_thinkpad|IBM Thinkpad x40]]: ca fait encore un bon netbook (1.2 GHz, 1 kg)
26 Mot inconnu : liste_portables_thinkpad =>   * [[:liste_portables_thinkpad|IBM Thinkpad x40]]: ca fait encore un bon netbook (1.2 GHz, 1 kg)
26 Mot inconnu : Thinkpad =>   * [[:liste_portables_thinkpad|IBM Thinkpad x40]]: ca fait encore un bon netbook (1.2 GHz, 1 kg)
26 Mot inconnu : x40 =>   * [[:liste_portables_thinkpad|IBM Thinkpad x40]]: ca fait encore un bon netbook (1.2 GHz, 1 kg)
26 Mot inconnu : ca =>   * [[:liste_portables_thinkpad|IBM Thinkpad x40]]: ca fait encore un bon netbook (1.2 GHz, 1 kg)
26 Mot inconnu : netbook =>   * [[:liste_portables_thinkpad|IBM Thinkpad x40]]: ca fait encore un bon netbook (1.2 GHz, 1 kg)
26 Avec une unité de mesure, mettez un espace insécable. =>   * [[:liste_portables_thinkpad|IBM Thinkpad x40]]: ca fait encore un bon netbook (1.2 GHz, 1 kg)

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:liste portables asus|Asus N73SV]]: un quad-core (2 GHz), excellent portable avec grand écran FullHD 17", 2.4 Gflops
27 Mot inconnu : asus =>   * [[:liste portables asus|Asus N73SV]]: un quad-core (2 GHz), excellent portable avec grand écran FullHD 17", 2.4 Gflops
27 Mot inconnu : N73SV =>   * [[:liste portables asus|Asus N73SV]]: un quad-core (2 GHz), excellent portable avec grand écran FullHD 17", 2.4 Gflops
27 Mot inconnu : quad-core =>   * [[:liste portables asus|Asus N73SV]]: un quad-core (2 GHz), excellent portable avec grand écran FullHD 17", 2.4 Gflops
27 Si “GHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * [[:liste portables asus|Asus N73SV]]: un quad-core (2 GHz), excellent portable avec grand écran FullHD 17", 2.4 Gflops
27 Mot inconnu : FullHD =>   * [[:liste portables asus|Asus N73SV]]: un quad-core (2 GHz), excellent portable avec grand écran FullHD 17", 2.4 Gflops
27 Guillemets typographiques fermants. =>   * [[:liste portables asus|Asus N73SV]]: un quad-core (2 GHz), excellent portable avec grand écran FullHD 17", 2.4 Gflops
27 Mot inconnu : Gflops =>   * [[:liste portables asus|Asus N73SV]]: un quad-core (2 GHz), excellent portable avec grand écran FullHD 17", 2.4 Gflops

30 Mot inconnu : farhi => |Mail|farhi à ill dot fr|
30 Mot inconnu : ill => |Mail|farhi à ill dot fr|

31 Mot inconnu : Laue => |Web|[[http://www.ill.eu/instruments-support/computing-for-science/people/emmanuel-farhi|Institut Laue Langevin/Calcul scientifique]]|
