4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Prénom :** Benjamin

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Age :** 29 ans
5 Avec une unité de mesure, mettez un espace insécable. =>   * **Age :** 29 ans

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localité :** Saint-Maur-des-Fosses (limite de Paris), FRANCE
6 Mot inconnu : Saint-Maur-des-Fosses =>   * **Localité :** Saint-Maur-des-Fosses (limite de Paris), FRANCE

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Contact :** Irc ou Forum
7 Mot inconnu : Irc =>   * **Contact :** Irc ou Forum

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Emploi :** Administrateur Systèmes et Réseaux

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Mot inconnu : Hoary =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Pas de majuscule sur les mois. =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Il manque un espace insécable. =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : Launchpad =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : benj =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : saiz =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz

14 Si cet adjectif se réfère au pronom « elle », l’adjectif devrait être au féminin singulier. => Utilisateur d'Ubuntu depuis 2005 ans maintenant elle aura été ma première distribution Linux
14 Avec une unité de mesure, mettez un espace insécable. => Utilisateur d'Ubuntu depuis 2005 ans maintenant elle aura été ma première distribution Linux

15 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => et je lui reste fidèle. Je l'utilise aussi bien chez moi que professionnellement. \\

16 Incohérence probable avec “ai” : “passer” n’est pas un participe passé. => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : distro => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Il manque un espace insécable. => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : Gentoo => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : CentOS => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\

17 Mot inconnu : MediaCenter => Chez moi je compte 5 machines sous Ubuntu comprenant mon PC personnel, mon Portable, mes 2 MediaCenter, mon Serveur.

19 Espace(s) surnuméraire(s) à supprimer. => ^  ^ Nom de code  ^  Numéro de version  ^
19 Espace(s) surnuméraire(s) à supprimer. => ^  ^ Nom de code  ^  Numéro de version  ^

20 Mot inconnu : hoary => | **Distributions Ubuntu testées** | [[:hoary|Ubuntu 5.04]] | The Hoary Hedgehog (le hérisson vénérable) |
26 Mot inconnu : LTS => | ::: | **[[:hardy|* Ubuntu 8.04 LTS]]** | **The Hardy Heron (le héron robuste)** |
26 Mot inconnu : The => | ::: | **[[:hardy|* Ubuntu 8.04 LTS]]** | **The Hardy Heron (le héron robuste)** |
26 Mot inconnu : Heron => | ::: | **[[:hardy|* Ubuntu 8.04 LTS]]** | **The Hardy Heron (le héron robuste)** |

27 Une de ces ponctuations est superflue. => | ::: | [[:intrepid|Ubuntu 8.10]] | The Intrepid Ibex (Le bouquetin intrépide) |
27 Mot inconnu : intrepid => | ::: | [[:intrepid|Ubuntu 8.10]] | The Intrepid Ibex (Le bouquetin intrépide) |
27 Mot inconnu : The => | ::: | [[:intrepid|Ubuntu 8.10]] | The Intrepid Ibex (Le bouquetin intrépide) |
27 Mot inconnu : Intrepid => | ::: | [[:intrepid|Ubuntu 8.10]] | The Intrepid Ibex (Le bouquetin intrépide) |
27 Mot inconnu : Ibex => | ::: | [[:intrepid|Ubuntu 8.10]] | The Intrepid Ibex (Le bouquetin intrépide) |

28 Une de ces ponctuations est superflue. => | ::: | [[:Jaunty|Ubuntu 9.04]] | The Jaunty Jackalope (le jackalope enjoué) |
28 Mot inconnu : Jaunty => | ::: | [[:Jaunty|Ubuntu 9.04]] | The Jaunty Jackalope (le jackalope enjoué) |
28 Mot inconnu : The => | ::: | [[:Jaunty|Ubuntu 9.04]] | The Jaunty Jackalope (le jackalope enjoué) |
28 Mot inconnu : Jaunty => | ::: | [[:Jaunty|Ubuntu 9.04]] | The Jaunty Jackalope (le jackalope enjoué) |
28 Mot inconnu : Jackalope => | ::: | [[:Jaunty|Ubuntu 9.04]] | The Jaunty Jackalope (le jackalope enjoué) |
28 Mot inconnu : jackalope => | ::: | [[:Jaunty|Ubuntu 9.04]] | The Jaunty Jackalope (le jackalope enjoué) |

29 Une de ces ponctuations est superflue. => | ::: | [[:Karmic|Ubuntu 9.10]] | The Karmic Koala (le koala karmique) |
29 Mot inconnu : Karmic => | ::: | [[:Karmic|Ubuntu 9.10]] | The Karmic Koala (le koala karmique) |
29 Mot inconnu : The => | ::: | [[:Karmic|Ubuntu 9.10]] | The Karmic Koala (le koala karmique) |
29 Mot inconnu : Karmic => | ::: | [[:Karmic|Ubuntu 9.10]] | The Karmic Koala (le koala karmique) |

30 Une de ces ponctuations est superflue. => | ::: | **[[:Lucid|* Ubuntu 10.04 LTS]]** | **The Lucid Lynx (le lynx lucide)** |
30 Mot inconnu : Lucid => | ::: | **[[:Lucid|* Ubuntu 10.04 LTS]]** | **The Lucid Lynx (le lynx lucide)** |
30 Mot inconnu : LTS => | ::: | **[[:Lucid|* Ubuntu 10.04 LTS]]** | **The Lucid Lynx (le lynx lucide)** |
30 Mot inconnu : The => | ::: | **[[:Lucid|* Ubuntu 10.04 LTS]]** | **The Lucid Lynx (le lynx lucide)** |
30 Mot inconnu : Lucid => | ::: | **[[:Lucid|* Ubuntu 10.04 LTS]]** | **The Lucid Lynx (le lynx lucide)** |

31 Une de ces ponctuations est superflue. => | ::: | [[:Maverick|Ubuntu 10.10]] | The Maverick Meerkat (le suricate rebelle) |
31 Mot inconnu : Maverick => | ::: | [[:Maverick|Ubuntu 10.10]] | The Maverick Meerkat (le suricate rebelle) |
31 Mot inconnu : The => | ::: | [[:Maverick|Ubuntu 10.10]] | The Maverick Meerkat (le suricate rebelle) |
31 Mot inconnu : Maverick => | ::: | [[:Maverick|Ubuntu 10.10]] | The Maverick Meerkat (le suricate rebelle) |
31 Mot inconnu : Meerkat => | ::: | [[:Maverick|Ubuntu 10.10]] | The Maverick Meerkat (le suricate rebelle) |

32 Une de ces ponctuations est superflue. => | ::: | [[:Natty|Ubuntu 11.04]] | The Natty Narwhal (le narval chic) |
32 Mot inconnu : Natty => | ::: | [[:Natty|Ubuntu 11.04]] | The Natty Narwhal (le narval chic) |
32 Mot inconnu : The => | ::: | [[:Natty|Ubuntu 11.04]] | The Natty Narwhal (le narval chic) |
32 Mot inconnu : Natty => | ::: | [[:Natty|Ubuntu 11.04]] | The Natty Narwhal (le narval chic) |
32 Mot inconnu : Narwhal => | ::: | [[:Natty|Ubuntu 11.04]] | The Natty Narwhal (le narval chic) |

33 Une de ces ponctuations est superflue. => | ::: | [[:Oneiric|Ubuntu 11.10]] | The Oneiric Ocelot (l'ocelot onirique) |
33 Mot inconnu : Oneiric => | ::: | [[:Oneiric|Ubuntu 11.10]] | The Oneiric Ocelot (l'ocelot onirique) |
33 Mot inconnu : The => | ::: | [[:Oneiric|Ubuntu 11.10]] | The Oneiric Ocelot (l'ocelot onirique) |
33 Mot inconnu : Oneiric => | ::: | [[:Oneiric|Ubuntu 11.10]] | The Oneiric Ocelot (l'ocelot onirique) |

34 Une de ces ponctuations est superflue. => | ::: | **[[:precise|* Ubuntu 12.04 LTS]]** | **The Precise Pangolin (le pangolin précis)** |
34 Mot inconnu : precise => | ::: | **[[:precise|* Ubuntu 12.04 LTS]]** | **The Precise Pangolin (le pangolin précis)** |
34 Mot inconnu : LTS => | ::: | **[[:precise|* Ubuntu 12.04 LTS]]** | **The Precise Pangolin (le pangolin précis)** |
34 Mot inconnu : The => | ::: | **[[:precise|* Ubuntu 12.04 LTS]]** | **The Precise Pangolin (le pangolin précis)** |
34 Mot inconnu : Precise => | ::: | **[[:precise|* Ubuntu 12.04 LTS]]** | **The Precise Pangolin (le pangolin précis)** |

35 Une de ces ponctuations est superflue. => | ::: | [[:quantal|Ubuntu 12.10]] | The Quantal Quetzal (le quetzal quantique) |
35 Mot inconnu : quantal => | ::: | [[:quantal|Ubuntu 12.10]] | The Quantal Quetzal (le quetzal quantique) |
35 Mot inconnu : The => | ::: | [[:quantal|Ubuntu 12.10]] | The Quantal Quetzal (le quetzal quantique) |
35 Mot inconnu : Quantal => | ::: | [[:quantal|Ubuntu 12.10]] | The Quantal Quetzal (le quetzal quantique) |

36 Une de ces ponctuations est superflue. => | ::: | [[:raring|Ubuntu 13.04]] | The Raring Ringtail (le bassaris enthousiaste) |
36 Mot inconnu : raring => | ::: | [[:raring|Ubuntu 13.04]] | The Raring Ringtail (le bassaris enthousiaste) |
36 Mot inconnu : The => | ::: | [[:raring|Ubuntu 13.04]] | The Raring Ringtail (le bassaris enthousiaste) |
36 Mot inconnu : Raring => | ::: | [[:raring|Ubuntu 13.04]] | The Raring Ringtail (le bassaris enthousiaste) |
36 Mot inconnu : Ringtail => | ::: | [[:raring|Ubuntu 13.04]] | The Raring Ringtail (le bassaris enthousiaste) |
36 Mot inconnu : bassaris => | ::: | [[:raring|Ubuntu 13.04]] | The Raring Ringtail (le bassaris enthousiaste) |

37 Une de ces ponctuations est superflue. => | ::: | [[:saucy|Ubuntu 13.10]] | The Saucy Salamander (la salamandre délurée) |
37 Mot inconnu : saucy => | ::: | [[:saucy|Ubuntu 13.10]] | The Saucy Salamander (la salamandre délurée) |
37 Mot inconnu : The => | ::: | [[:saucy|Ubuntu 13.10]] | The Saucy Salamander (la salamandre délurée) |
37 Mot inconnu : Saucy => | ::: | [[:saucy|Ubuntu 13.10]] | The Saucy Salamander (la salamandre délurée) |
37 Mot inconnu : Salamander => | ::: | [[:saucy|Ubuntu 13.10]] | The Saucy Salamander (la salamandre délurée) |

38 Une de ces ponctuations est superflue. => | ::: | **[[:trusty|* Ubuntu 14.04 LTS]]** | **The Trusty Tahr (le tahr sûr)** |
38 Mot inconnu : trusty => | ::: | **[[:trusty|* Ubuntu 14.04 LTS]]** | **The Trusty Tahr (le tahr sûr)** |
38 Mot inconnu : LTS => | ::: | **[[:trusty|* Ubuntu 14.04 LTS]]** | **The Trusty Tahr (le tahr sûr)** |
38 Mot inconnu : The => | ::: | **[[:trusty|* Ubuntu 14.04 LTS]]** | **The Trusty Tahr (le tahr sûr)** |
38 Mot inconnu : Trusty => | ::: | **[[:trusty|* Ubuntu 14.04 LTS]]** | **The Trusty Tahr (le tahr sûr)** |
38 Mot inconnu : Tahr => | ::: | **[[:trusty|* Ubuntu 14.04 LTS]]** | **The Trusty Tahr (le tahr sûr)** |
38 Mot inconnu : tahr => | ::: | **[[:trusty|* Ubuntu 14.04 LTS]]** | **The Trusty Tahr (le tahr sûr)** |

39 Une de ces ponctuations est superflue. => | ::: | [[:utopic|Ubuntu 14.10 ]] | The Utopic Unicorn (la licorne utopique) |
39 Mot inconnu : utopic => | ::: | [[:utopic|Ubuntu 14.10 ]] | The Utopic Unicorn (la licorne utopique) |
39 Pas d’espace avant ce signe. => | ::: | [[:utopic|Ubuntu 14.10 ]] | The Utopic Unicorn (la licorne utopique) |
39 Mot inconnu : The => | ::: | [[:utopic|Ubuntu 14.10 ]] | The Utopic Unicorn (la licorne utopique) |
39 Mot inconnu : Utopic => | ::: | [[:utopic|Ubuntu 14.10 ]] | The Utopic Unicorn (la licorne utopique) |
39 Mot inconnu : Unicorn => | ::: | [[:utopic|Ubuntu 14.10 ]] | The Utopic Unicorn (la licorne utopique) |

40 Une de ces ponctuations est superflue. => | ::: | [[:Wily|Ubuntu 15.10 ]] | The Wily Werewolf (Le Loup-Garou Rusé) |
40 Mot inconnu : Wily => | ::: | [[:Wily|Ubuntu 15.10 ]] | The Wily Werewolf (Le Loup-Garou Rusé) |
40 Pas d’espace avant ce signe. => | ::: | [[:Wily|Ubuntu 15.10 ]] | The Wily Werewolf (Le Loup-Garou Rusé) |
40 Mot inconnu : The => | ::: | [[:Wily|Ubuntu 15.10 ]] | The Wily Werewolf (Le Loup-Garou Rusé) |
40 Mot inconnu : Wily => | ::: | [[:Wily|Ubuntu 15.10 ]] | The Wily Werewolf (Le Loup-Garou Rusé) |
40 Mot inconnu : Werewolf => | ::: | [[:Wily|Ubuntu 15.10 ]] | The Wily Werewolf (Le Loup-Garou Rusé) |

41 Une de ces ponctuations est superflue. => | ::: | **[[xenial|* Ubuntu 16.04 LTS]]** | **The Xenial Xerus (le xerus hospitalier)** |
41 Mot inconnu : xenial => | ::: | **[[xenial|* Ubuntu 16.04 LTS]]** | **The Xenial Xerus (le xerus hospitalier)** |
41 Mot inconnu : LTS => | ::: | **[[xenial|* Ubuntu 16.04 LTS]]** | **The Xenial Xerus (le xerus hospitalier)** |
41 Mot inconnu : The => | ::: | **[[xenial|* Ubuntu 16.04 LTS]]** | **The Xenial Xerus (le xerus hospitalier)** |
41 Mot inconnu : Xenial => | ::: | **[[xenial|* Ubuntu 16.04 LTS]]** | **The Xenial Xerus (le xerus hospitalier)** |
41 Mot inconnu : Xerus => | ::: | **[[xenial|* Ubuntu 16.04 LTS]]** | **The Xenial Xerus (le xerus hospitalier)** |
41 Mot inconnu : xerus => | ::: | **[[xenial|* Ubuntu 16.04 LTS]]** | **The Xenial Xerus (le xerus hospitalier)** |

42 Espace(s) surnuméraire(s) à supprimer. => ===== Activités  =====

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[groupes/ubuntu-fr-irc|Ubuntu-fr groupe IRC]] - Administrateur des salons #Ubuntu-fr (et dérivés) ([[https://launchpad.net/~ubuntu-fr-irc|ubuntu-fr-irc]])
44 Mot inconnu : ubuntu-fr-irc =>   * [[groupes/ubuntu-fr-irc|Ubuntu-fr groupe IRC]] - Administrateur des salons #Ubuntu-fr (et dérivés) ([[https://launchpad.net/~ubuntu-fr-irc|ubuntu-fr-irc]])
44 Mot inconnu : IRC =>   * [[groupes/ubuntu-fr-irc|Ubuntu-fr groupe IRC]] - Administrateur des salons #Ubuntu-fr (et dérivés) ([[https://launchpad.net/~ubuntu-fr-irc|ubuntu-fr-irc]])
44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * [[groupes/ubuntu-fr-irc|Ubuntu-fr groupe IRC]] - Administrateur des salons #Ubuntu-fr (et dérivés) ([[https://launchpad.net/~ubuntu-fr-irc|ubuntu-fr-irc]])
44 Mot inconnu : ubuntu-fr-irc =>   * [[groupes/ubuntu-fr-irc|Ubuntu-fr groupe IRC]] - Administrateur des salons #Ubuntu-fr (et dérivés) ([[https://launchpad.net/~ubuntu-fr-irc|ubuntu-fr-irc]])
44 Mot inconnu : ubuntu-fr-irc =>   * [[groupes/ubuntu-fr-irc|Ubuntu-fr groupe IRC]] - Administrateur des salons #Ubuntu-fr (et dérivés) ([[https://launchpad.net/~ubuntu-fr-irc|ubuntu-fr-irc]])

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bénévole aux UP parisienne
45 Mot inconnu : UP =>   * Bénévole aux UP parisienne

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 10.04 (29-30 Mai 2010) -Installation et aide
46 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 10.04 (29-30 Mai 2010) -Installation et aide
46 Pas de majuscule sur les mois. =>       * Ubuntu-Party 10.04 (29-30 Mai 2010) -Installation et aide

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 10.10 (5-6-7 Novembre 2010) - Installation et Aide staff installation
47 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 10.10 (5-6-7 Novembre 2010) - Installation et Aide staff installation
47 Pas de majuscule sur les mois. =>       * Ubuntu-Party 10.10 (5-6-7 Novembre 2010) - Installation et Aide staff installation
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 10.10 (5-6-7 Novembre 2010) - Installation et Aide staff installation

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 11.04 (26-27-28 Mai 2011) - Installation et Aide staff installation - Aide technique Installeurs
48 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 11.04 (26-27-28 Mai 2011) - Installation et Aide staff installation - Aide technique Installeurs
48 Pas de majuscule sur les mois. =>       * Ubuntu-Party 11.04 (26-27-28 Mai 2011) - Installation et Aide staff installation - Aide technique Installeurs
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 11.04 (26-27-28 Mai 2011) - Installation et Aide staff installation - Aide technique Installeurs
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 11.04 (26-27-28 Mai 2011) - Installation et Aide staff installation - Aide technique Installeurs

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 11.10 (11-12-13 Novembre 2011) - Installation et Aide staff installation - Aide technique Installeurs
49 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 11.10 (11-12-13 Novembre 2011) - Installation et Aide staff installation - Aide technique Installeurs
49 Pas de majuscule sur les mois. =>       * Ubuntu-Party 11.10 (11-12-13 Novembre 2011) - Installation et Aide staff installation - Aide technique Installeurs
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 11.10 (11-12-13 Novembre 2011) - Installation et Aide staff installation - Aide technique Installeurs
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 11.10 (11-12-13 Novembre 2011) - Installation et Aide staff installation - Aide technique Installeurs

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-party 12.04 (12-13 Mai 2012) - Installation et Aide staff installation - Aide technique Installeurs
50 Mot inconnu : Ubuntu-party =>       * Ubuntu-party 12.04 (12-13 Mai 2012) - Installation et Aide staff installation - Aide technique Installeurs
50 Pas de majuscule sur les mois. =>       * Ubuntu-party 12.04 (12-13 Mai 2012) - Installation et Aide staff installation - Aide technique Installeurs
50 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-party 12.04 (12-13 Mai 2012) - Installation et Aide staff installation - Aide technique Installeurs
50 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-party 12.04 (12-13 Mai 2012) - Installation et Aide staff installation - Aide technique Installeurs

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 12.10 (17-18 Novembre 2012) - Installation et Aide staff installation - Aide technique Installeurs
