
3 S’il s’agit d’une interrogation, il manque un trait d’union. [[9:15]] => ===== Qu'est ce que c'est ? ===== <|> est ce => suggestions : None
25 Espace(s) en fin de ligne à supprimer. [[409:410]] => Beaucoup auront vu les carrés disgracieux que comporte la barre de navigation sur les mobiles et peut être l’absence de la police Ubuntu sous d'autres systèmes. Ce problème a été fixé sur l'atelier par la mise en place du chargement de la police d'Ubuntu-R en true type. Pour l'instant le chargement est forcé, c'est à dire que même si votre Os connaît déjà cette police, il va tout de même la télécharger. \\  <|>   => suggestions : None

26 Mot inconnu : bootstrap3 [[57:67]] => D'autres formats de police sont disponibles sur le thème bootstrap3, et pour l'instant évincés. Dans le cas ou certains Os ne supporterais pas le format de la police proposé true type cela reposerait le même problème. <|> bootstrap3
26 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. [[108:110]] => D'autres formats de police sont disponibles sur le thème bootstrap3, et pour l'instant évincés. Dans le cas ou certains Os ne supporterais pas le format de la police proposé true type cela reposerait le même problème. <|> ou => suggestions : None
26 Incohérence. Le sujet de cette forme verbale est introuvable. [[126:138]] => D'autres formats de police sont disponibles sur le thème bootstrap3, et pour l'instant évincés. Dans le cas ou certains Os ne supporterais pas le format de la police proposé true type cela reposerait le même problème. <|> supporterais => suggestions : None
26 Mot inconnu : true [[174:178]] => D'autres formats de police sont disponibles sur le thème bootstrap3, et pour l'instant évincés. Dans le cas ou certains Os ne supporterais pas le format de la police proposé true type cela reposerait le même problème. <|> true

28 Mot inconnu : ubuntu-R [[71:79]] => -> Solution en cours sur l'atelier avec le téléchargement de la police ubuntu-R.ttf <|> ubuntu-r
28 Mot inconnu : ttf [[80:83]] => -> Solution en cours sur l'atelier avec le téléchargement de la police ubuntu-R.ttf <|> ttf

32 Accord erroné : “problématique” et “multiples” ne sont pas accordés. [[94:103]] => Il se pose beaucoup de questions sur les couleurs. La problématique au sujet des couleurs est multiples : doit on dissocier la coloration des liens externe et interne? quelle couleur pour tel ou tel ?... \\ <|> multiples => suggestions : None
32 Forme interrogative ? Mettez un trait d’union. [[106:113]] => Il se pose beaucoup de questions sur les couleurs. La problématique au sujet des couleurs est multiples : doit on dissocier la coloration des liens externe et interne? quelle couleur pour tel ou tel ?... \\ <|> doit on => suggestions : None
32 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. [[114:123]] => Il se pose beaucoup de questions sur les couleurs. La problématique au sujet des couleurs est multiples : doit on dissocier la coloration des liens externe et interne? quelle couleur pour tel ou tel ?... \\ <|> dissocier => suggestions : None
32 Typographie : points de suspension. Utilisez le caractère dédié. [[200:203]] => Il se pose beaucoup de questions sur les couleurs. La problématique au sujet des couleurs est multiples : doit on dissocier la coloration des liens externe et interne? quelle couleur pour tel ou tel ?... \\ <|> ... => suggestions : None

33 La locution “entre autres”, toujours au pluriel. [[36:41]] => Le choix des couleurs dépend, entre autre, du thème sélectionné. Par exemple, le "blue" passe bien sous le thème United mais est difficilement lisible sur Darkly et d'autre n’ont pas été vérifiés.   <|> autre => suggestions : None
33 Guillemets typographiques ouvrants. [[81:82]] => Le choix des couleurs dépend, entre autre, du thème sélectionné. Par exemple, le "blue" passe bien sous le thème United mais est difficilement lisible sur Darkly et d'autre n’ont pas été vérifiés.   <|> " => suggestions : None
33 Mot inconnu : blue [[82:86]] => Le choix des couleurs dépend, entre autre, du thème sélectionné. Par exemple, le "blue" passe bien sous le thème United mais est difficilement lisible sur Darkly et d'autre n’ont pas été vérifiés.   <|> blue
33 Guillemets typographiques fermants. [[86:87]] => Le choix des couleurs dépend, entre autre, du thème sélectionné. Par exemple, le "blue" passe bien sous le thème United mais est difficilement lisible sur Darkly et d'autre n’ont pas été vérifiés.   <|> " => suggestions : None
33 Mot inconnu : United [[113:119]] => Le choix des couleurs dépend, entre autre, du thème sélectionné. Par exemple, le "blue" passe bien sous le thème United mais est difficilement lisible sur Darkly et d'autre n’ont pas été vérifiés.   <|> united
33 Mot inconnu : Darkly [[155:161]] => Le choix des couleurs dépend, entre autre, du thème sélectionné. Par exemple, le "blue" passe bien sous le thème United mais est difficilement lisible sur Darkly et d'autre n’ont pas été vérifiés.   <|> darkly
33 Espace(s) en fin de ligne à supprimer. [[196:198]] => Le choix des couleurs dépend, entre autre, du thème sélectionné. Par exemple, le "blue" passe bien sous le thème United mais est difficilement lisible sur Darkly et d'autre n’ont pas été vérifiés.   <|>    => suggestions : None

38 Utilisez “pâle” pour évoquer la pâleur… Une pale est, entre autres choses, un élément d’une hélice. [[19:23]] => |Lien externe|bleu pale|#00aaff| <|> pale => suggestions : None

39 Utilisez “pâle” pour évoquer la pâleur… Une pale est, entre autres choses, un élément d’une hélice. [[19:23]] => | ☛ au survol|bleu pale eclaircie|#00ccff| <|> pale => suggestions : None
39 Mot inconnu : eclaircie [[24:33]] => | ☛ au survol|bleu pale eclaircie|#00ccff| <|> eclaircie

41 Mot inconnu : Responsive [[5:15]] => ==== Responsive ==== <|> responsive
43 Accord de nombre erroné avec « 380 » : « pixel » devrait être au pluriel. [[71:76]] =>   * en mode portrait pour les mobiles (largeur d'écran inférieur à 380 pixel). <|> pixel => suggestions : None
53 Espace(s) en fin de ligne à supprimer. [[18:22]] =>   * Page d'accueil     <|>      => suggestions : None

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

59 Espace(s) surnuméraire(s) à supprimer. [[36:38]] => ==== Configuration du style en ligne  ==== <|>    => suggestions : None

63 Espace(s) surnuméraire(s) à supprimer. [[26:28]] => ==== La TOC en mode mobile  ==== <|>    => suggestions : None

65 Accord de genre erroné : « TOC » est masculin. [[0:2]] => La TOC (Table Of Content) Table des matières n'est pas adaptée au format mobile. Si le problème est connu, encore aucune solution n'a été mise en place. <|> la => suggestions : None
65 Accord de genre erroné : « La » est un déterminant féminin. [[3:6]] => La TOC (Table Of Content) Table des matières n'est pas adaptée au format mobile. Si le problème est connu, encore aucune solution n'a été mise en place. <|> toc => suggestions : None
65 Mot inconnu : Of [[14:16]] => La TOC (Table Of Content) Table des matières n'est pas adaptée au format mobile. Si le problème est connu, encore aucune solution n'a été mise en place. <|> of

68 Accord de genre erroné : « TOC » est masculin. [[33:35]] => Aucune solution, si ce n'est que la TOC est pliée par défaut ce qui diminue la gène au démarrage. <|> la => suggestions : None
68 Accord de genre erroné : « la » est un déterminant féminin. [[36:39]] => Aucune solution, si ce n'est que la TOC est pliée par défaut ce qui diminue la gène au démarrage. <|> toc => suggestions : None
68 Accord de genre erroné : « gène » est masculin. [[76:78]] => Aucune solution, si ce n'est que la TOC est pliée par défaut ce qui diminue la gène au démarrage. <|> la => suggestions : None
68 Accord de genre erroné : « la » est un déterminant féminin. [[79:83]] => Aucune solution, si ce n'est que la TOC est pliée par défaut ce qui diminue la gène au démarrage. <|> gène => suggestions : None
