
4 Mot inconnu : VDR => ====== VDR - The Video Disk Recorder ====== | vdr
92 Mot inconnu : VDR => Ce plugin permet de contrôler VDR via une interface Web. Il est intéressant pour programmer les enregistrements. Il suffit d'ajouter le paquet **[[apt>vdr-plugin-live]]**. | vdr
92 Mot inconnu : vdr-plugin-live => Ce plugin permet de contrôler VDR via une interface Web. Il est intéressant pour programmer les enregistrements. Il suffit d'ajouter le paquet **[[apt>vdr-plugin-live]]**. | vdr-plugin-live
94 Mot inconnu : vdr-plugin-streamdev-server => Pour bénéficier de toutes les fonctionnalités, ajouter aussi **[[apt>vdr-plugin-streamdev-server]]** et **[[apt>vdr-plugin-epgsearch]]**. Relancer ensuite le service vdr. Soit en ligne de commande : | vdr-plugin-streamdev-server
94 Mot inconnu : vdr-plugin-epgsearch => Pour bénéficier de toutes les fonctionnalités, ajouter aussi **[[apt>vdr-plugin-streamdev-server]]** et **[[apt>vdr-plugin-epgsearch]]**. Relancer ensuite le service vdr. Soit en ligne de commande : | vdr-plugin-epgsearch
94 Mot inconnu : vdr => Pour bénéficier de toutes les fonctionnalités, ajouter aussi **[[apt>vdr-plugin-streamdev-server]]** et **[[apt>vdr-plugin-epgsearch]]**. Relancer ensuite le service vdr. Soit en ligne de commande : | vdr

101 Espace(s) en fin de ligne à supprimer. => ou  |   => suggestions : ['']

104 Mot inconnu : VDR-Live => L'utilisateur est //admin// avec le mot de passe //live//. Il est possible de désactiver cette authentification via le menu //configuration// de VDR-Live. | vdr-live
108 Mot inconnu : browser-plugin-vlc => Pour pouvoir voir l'émission en cours dans la page web, installez **[[apt>browser-plugin-vlc]]**. Redémarrez vdr. Sur la page de VDR-Live->Actuellement, un clic sur le triangle jaune lance une fenêtre avec la vidéo. | browser-plugin-vlc
108 Mot inconnu : vdr => Pour pouvoir voir l'émission en cours dans la page web, installez **[[apt>browser-plugin-vlc]]**. Redémarrez vdr. Sur la page de VDR-Live->Actuellement, un clic sur le triangle jaune lance une fenêtre avec la vidéo. | vdr
108 Mot inconnu : VDR-Live => Pour pouvoir voir l'émission en cours dans la page web, installez **[[apt>browser-plugin-vlc]]**. Redémarrez vdr. Sur la page de VDR-Live->Actuellement, un clic sur le triangle jaune lance une fenêtre avec la vidéo. | vdr-live

109 Mot inconnu : Frontends => ===== Les Frontends ===== | frontends

111 Mot inconnu : VDR => VDR est avant tout un **serveur de streaming**, ce qui signifie qu'il nous faudra installer des plugins pour regarder la TV avec des logiciels tiers (frontend). | vdr
111 Mot inconnu : frontend => VDR est avant tout un **serveur de streaming**, ce qui signifie qu'il nous faudra installer des plugins pour regarder la TV avec des logiciels tiers (frontend). | frontend

113 Mot inconnu : VDR => ==== VDR X-Frontend ==== | vdr
113 Mot inconnu : X-Frontend => ==== VDR X-Frontend ==== | x-frontend

117 Mot inconnu : Kodi => ==== Kodi ==== | kodi

128 Mot inconnu : VLC => ==== VLC, mplayer ==== | vlc
128 Mot inconnu : mplayer => ==== VLC, mplayer ==== | mplayer

133 Mot inconnu : channels => http://ip_du_serveur:3000/n pour lire la chaîne numéro n de votre **channels.conf** | channels
133 Il manque un espace. => http://ip_du_serveur:3000/n pour lire la chaîne numéro n de votre **channels.conf** | conf => suggestions : [' conf']
