1 Mot inconnu : tar => ====== La commande tar ====== | tar
24 Mot inconnu : zxvf =>    tar -zxvf votre_archive.tar.gz | zxvf

25 Mot inconnu : Bzip2 => ==== Compression avec Bzip2, l'option j ==== | bzip2

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar -jcvf votre_archive.tar.bz2 votre_dossier/ |    => suggestions : ['']
27 Mot inconnu : tar =>   tar -jcvf votre_archive.tar.bz2 votre_dossier/ | tar
27 Il manque un espace à côté du tiret. =>   tar -jcvf votre_archive.tar.bz2 votre_dossier/ |  - => suggestions : [' – ', ' — ']
27 Mot inconnu : jcvf =>   tar -jcvf votre_archive.tar.bz2 votre_dossier/ | jcvf
27 Mot inconnu : votre_dossier =>   tar -jcvf votre_archive.tar.bz2 votre_dossier/ | votre_dossier

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar -jxvf votre_archive.tar.bz2 votre_dossier/ |    => suggestions : ['']
29 Mot inconnu : tar =>   tar -jxvf votre_archive.tar.bz2 votre_dossier/ | tar
29 Il manque un espace à côté du tiret. =>   tar -jxvf votre_archive.tar.bz2 votre_dossier/ |  - => suggestions : [' – ', ' — ']
29 Mot inconnu : jxvf =>   tar -jxvf votre_archive.tar.bz2 votre_dossier/ | jxvf
29 Mot inconnu : votre_dossier =>   tar -jxvf votre_archive.tar.bz2 votre_dossier/ | votre_dossier

31 Mot inconnu : Utillisation => ===== Utillisation en archivage incrémentiel ===== | utillisation
36 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => Nous remarquons que si 10% de ces données changent toutes les semaines, 90% sont identiques et ne nécessites pas d'être sauvegardées à chaque fois. Il nous faut donc sauvegarder uniquement les nouvelles données en utilisant la sauvegarde incrémentielle. La premières sauvegarde est complète, la suivante copie uniquement les nouveaux fichiers et ainsi de suite. Vous gardez ainsi chaque sauvegarde dans l'état à différentes dates. | nécessites => suggestions : ['nécessite']
36 Accord de nombre erroné : « premières » devrait être au singulier. => Nous remarquons que si 10% de ces données changent toutes les semaines, 90% sont identiques et ne nécessites pas d'être sauvegardées à chaque fois. Il nous faut donc sauvegarder uniquement les nouvelles données en utilisant la sauvegarde incrémentielle. La premières sauvegarde est complète, la suivante copie uniquement les nouveaux fichiers et ainsi de suite. Vous gardez ainsi chaque sauvegarde dans l'état à différentes dates. | premières => suggestions : ['première']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    tar --create --file=archive.1.tar --listed-incremental=/save/save.list /home |     => suggestions : ['']
44 Mot inconnu : tar =>    tar --create --file=archive.1.tar --listed-incremental=/save/save.list /home | tar
44 Mot inconnu : create =>    tar --create --file=archive.1.tar --listed-incremental=/save/save.list /home | create
44 Mot inconnu : tar =>    tar --create --file=archive.1.tar --listed-incremental=/save/save.list /home | tar
44 Mot inconnu : listed-incremental =>    tar --create --file=archive.1.tar --listed-incremental=/save/save.list /home | listed-incremental
44 Mot inconnu : save =>    tar --create --file=archive.1.tar --listed-incremental=/save/save.list /home | save
44 Mot inconnu : save =>    tar --create --file=archive.1.tar --listed-incremental=/save/save.list /home | save
44 Mot inconnu : list =>    tar --create --file=archive.1.tar --listed-incremental=/save/save.list /home | list

45 Après avoir, il faut un participe passé au masculin singulier (sauf si le COD se trouve avant le verbe, improbable dans ce cas de figure). => Seconde sauvegarde (incrémentée avec uniquement les fichiers ayant changés) : | changés => suggestions : ['changé']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    tar --create --file=archive.2.tar --listed-incremental=/save/save.list /home |     => suggestions : ['']
46 Mot inconnu : tar =>    tar --create --file=archive.2.tar --listed-incremental=/save/save.list /home | tar
46 Mot inconnu : create =>    tar --create --file=archive.2.tar --listed-incremental=/save/save.list /home | create
46 Mot inconnu : tar =>    tar --create --file=archive.2.tar --listed-incremental=/save/save.list /home | tar
46 Mot inconnu : listed-incremental =>    tar --create --file=archive.2.tar --listed-incremental=/save/save.list /home | listed-incremental
46 Mot inconnu : save =>    tar --create --file=archive.2.tar --listed-incremental=/save/save.list /home | save
46 Mot inconnu : save =>    tar --create --file=archive.2.tar --listed-incremental=/save/save.list /home | save
46 Mot inconnu : list =>    tar --create --file=archive.2.tar --listed-incremental=/save/save.list /home | list
47 Espace(s) en fin de ligne à supprimer. => Restauration :  |   => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    tar --extract --listed-incremental=/dev/null --file archive.1.tar |     => suggestions : ['']
48 Mot inconnu : tar =>    tar --extract --listed-incremental=/dev/null --file archive.1.tar | tar
48 Mot inconnu : extract =>    tar --extract --listed-incremental=/dev/null --file archive.1.tar | extract
48 Mot inconnu : listed-incremental =>    tar --extract --listed-incremental=/dev/null --file archive.1.tar | listed-incremental
48 Mot inconnu : tar =>    tar --extract --listed-incremental=/dev/null --file archive.1.tar | tar

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    tar --extract --listed-incremental=/dev/null --file archive.2.tar  |     => suggestions : ['']
49 Mot inconnu : tar =>    tar --extract --listed-incremental=/dev/null --file archive.2.tar  | tar
49 Mot inconnu : extract =>    tar --extract --listed-incremental=/dev/null --file archive.2.tar  | extract
49 Mot inconnu : listed-incremental =>    tar --extract --listed-incremental=/dev/null --file archive.2.tar  | listed-incremental
49 Mot inconnu : tar =>    tar --extract --listed-incremental=/dev/null --file archive.2.tar  | tar
49 Espace(s) en fin de ligne à supprimer. =>    tar --extract --listed-incremental=/dev/null --file archive.2.tar  |   => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  |     => suggestions : ['']
52 Mot inconnu : tar =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  | tar
52 Mot inconnu : create =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  | create
52 Mot inconnu : save =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  | save
52 Mot inconnu : rfc-3339 =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  | rfc-3339
52 Mot inconnu : tar =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  | tar
52 Mot inconnu : listed-incremental =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  | listed-incremental
52 Mot inconnu : save =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  | save
52 Mot inconnu : list =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  | list
52 Espace(s) en fin de ligne à supprimer. =>    tar --create --file=/save/archive.`date --rfc-3339=seconds`.tar --listed-incremental=/save/archive.list /home  |   => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.gnu.org/software/tar/tar.html|Site officiel de GNU Tar]] |    => suggestions : ['']
56 Mot inconnu : Tar =>   * [[http://www.gnu.org/software/tar/tar.html|Site officiel de GNU Tar]] | tar

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://rd2b-log.blogspot.com/2008/08/linux-utiliser-tar-pour-la-sauvegarde.html|Article expliquant la sauvegarde incrémentielle]] |    => suggestions : ['']
