
4 Mot inconnu : freenode [[27:35]] => sur #ubuntu-fr-meeting@irc.freenode.org  <|> freenode
36 Mot inconnu : h1 [[94:96]] => De même les différents titres de section ne se détachent pas suffisamment dans la page, et le h1 est clairement inutile en l'état puisque le titre de la page est affiché par Doku automatiquement --> suppression du bouton h1 <|> h1
36 Mot inconnu : Doku [[174:178]] => De même les différents titres de section ne se détachent pas suffisamment dans la page, et le h1 est clairement inutile en l'état puisque le titre de la page est affiché par Doku automatiquement --> suppression du bouton h1 <|> doku
36 Mot inconnu : h1 [[221:223]] => De même les différents titres de section ne se détachent pas suffisamment dans la page, et le h1 est clairement inutile en l'état puisque le titre de la page est affiché par Doku automatiquement --> suppression du bouton h1 <|> h1

41 Mot inconnu : meta [[88:92]] => Un squelette pour les docs destinées aux débutants sera mis en place, ainsi qu'une page meta reprenant toutes les pages dont la doc est plus facile d'accès. <|> meta

43 Forme interrogative ? Mettez un trait d’union. [[23:30]] => ==== Ton des docs, que peut on se permettre ? ==== <|> peut on => suggestions : None
43 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. [[34:43]] => ==== Ton des docs, que peut on se permettre ? ==== <|> permettre => suggestions : None
49 Guillemets typographiques ouvrants. [[81:82]] => La création de page sera toujours ouverte à tous mais dans un dossier consacré : 'A classer' (terme à définir) ainsi les visiteurs pourront toujours créer des pages et l'équipe wiki s'occuppera de les placer au bon endroit. La page créée sera dans ce dossier tampon jusqu'à validation par l'équipe de relecture, relecture sur la grammaire et l'orthographe mais aussi sur la doc : reproduire/tester tant que possible les manips proposées <|> ' => suggestions : None
49 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[82:83]] => La création de page sera toujours ouverte à tous mais dans un dossier consacré : 'A classer' (terme à définir) ainsi les visiteurs pourront toujours créer des pages et l'équipe wiki s'occuppera de les placer au bon endroit. La page créée sera dans ce dossier tampon jusqu'à validation par l'équipe de relecture, relecture sur la grammaire et l'orthographe mais aussi sur la doc : reproduire/tester tant que possible les manips proposées <|> a => suggestions : None
49 Guillemets typographiques fermants. [[91:92]] => La création de page sera toujours ouverte à tous mais dans un dossier consacré : 'A classer' (terme à définir) ainsi les visiteurs pourront toujours créer des pages et l'équipe wiki s'occuppera de les placer au bon endroit. La page créée sera dans ce dossier tampon jusqu'à validation par l'équipe de relecture, relecture sur la grammaire et l'orthographe mais aussi sur la doc : reproduire/tester tant que possible les manips proposées <|> ' => suggestions : None
49 Mot inconnu : occuppera [[184:193]] => La création de page sera toujours ouverte à tous mais dans un dossier consacré : 'A classer' (terme à définir) ainsi les visiteurs pourront toujours créer des pages et l'équipe wiki s'occuppera de les placer au bon endroit. La page créée sera dans ce dossier tampon jusqu'à validation par l'équipe de relecture, relecture sur la grammaire et l'orthographe mais aussi sur la doc : reproduire/tester tant que possible les manips proposées <|> occuppera

56 Mot inconnu : mediawiki [[31:40]] => Suite au démontage en règle de mediawiki par jd_, la possibilité d'une migration vers mediawiki est completement oubliée <|> mediawiki
56 Mot inconnu : jd_ [[45:48]] => Suite au démontage en règle de mediawiki par jd_, la possibilité d'une migration vers mediawiki est completement oubliée <|> jd_
56 Mot inconnu : mediawiki [[86:95]] => Suite au démontage en règle de mediawiki par jd_, la possibilité d'une migration vers mediawiki est completement oubliée <|> mediawiki
56 Mot inconnu : completement [[100:112]] => Suite au démontage en règle de mediawiki par jd_, la possibilité d'une migration vers mediawiki est completement oubliée <|> completement

66 Mot inconnu : systeme [[3:10]] => Le systeme d'authentification est très efficace et soulage pas mal le travail de veille des relecteurs contre le vandalisme, dans le meme ordre d'idée les pages meta et surtout l'accueil du site seront éditables pour les seuls utilisateurs authentifiés <|> systeme
66 Mot inconnu : meme [[133:137]] => Le systeme d'authentification est très efficace et soulage pas mal le travail de veille des relecteurs contre le vandalisme, dans le meme ordre d'idée les pages meta et surtout l'accueil du site seront éditables pour les seuls utilisateurs authentifiés <|> meme
66 Mot inconnu : meta [[161:165]] => Le systeme d'authentification est très efficace et soulage pas mal le travail de veille des relecteurs contre le vandalisme, dans le meme ordre d'idée les pages meta et surtout l'accueil du site seront éditables pour les seuls utilisateurs authentifiés <|> meta
68 Mot inconnu : dvdshrink [[36:45]] => ==== Quels docs traduire/faire ? ex dvdshrink soft non libre sous win... Quelle latitude sur les docs ? Panda vs Clam, etc. ==== <|> dvdshrink
68 Mot inconnu : win [[66:69]] => ==== Quels docs traduire/faire ? ex dvdshrink soft non libre sous win... Quelle latitude sur les docs ? Panda vs Clam, etc. ==== <|> win
68 Typographie : points de suspension. Utilisez le caractère dédié. [[69:72]] => ==== Quels docs traduire/faire ? ex dvdshrink soft non libre sous win... Quelle latitude sur les docs ? Panda vs Clam, etc. ==== <|> ... => suggestions : None

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

75 Mot inconnu : assoc [[18:23]] => La création d'une assoc loi 1901 est en cours, il manque la réponse du mail à trademark@ubuntu.com pour légitimer tout ça et permettre l'utilisation du nom   <|> assoc
75 Espace(s) en fin de ligne à supprimer. [[155:157]] => La création d'une assoc loi 1901 est en cours, il manque la réponse du mail à trademark@ubuntu.com pour légitimer tout ça et permettre l'utilisation du nom   <|>    => suggestions : None

79 Mot inconnu : assoc [[11:16]] => Une fois l'assoc créée la déclaration à la cnil sera faite, donc encore attente de la reponse de trademark@ubuntu.com <|> assoc
79 Mot inconnu : cnil [[43:47]] => Une fois l'assoc créée la déclaration à la cnil sera faite, donc encore attente de la reponse de trademark@ubuntu.com <|> cnil
79 Mot inconnu : reponse [[86:93]] => Une fois l'assoc créée la déclaration à la cnil sera faite, donc encore attente de la reponse de trademark@ubuntu.com <|> reponse

88 Mot inconnu : Seb128 [[30:36]] => La traduction suit son cours, Seb128 s'occuppe de mettre une priorité sur les éléments à traduire en priorité <|> seb128
88 Mot inconnu : occuppe [[39:46]] => La traduction suit son cours, Seb128 s'occuppe de mettre une priorité sur les éléments à traduire en priorité <|> occuppe
89 Mot inconnu : ie [[42:44]] => Pour ubuntu-fr priorité donnée à Rosetta, ie plus de docs à traduire sur le wiki, pour se consacrer aux applications/pages d'aide de Breezy (jusqu'au 13/10) <|> ie

93 Mot inconnu : gnomefr [[78:85]] => Une page guide pour la traduction est à proposer conjointement aux équipes de gnomefr, debianfr, kdefr... à Claude de fédérer. <|> gnomefr
93 Mot inconnu : debianfr [[87:95]] => Une page guide pour la traduction est à proposer conjointement aux équipes de gnomefr, debianfr, kdefr... à Claude de fédérer. <|> debianfr
93 Mot inconnu : kdefr [[97:102]] => Une page guide pour la traduction est à proposer conjointement aux équipes de gnomefr, debianfr, kdefr... à Claude de fédérer. <|> kdefr
93 Typographie : points de suspension. Utilisez le caractère dédié. [[102:105]] => Une page guide pour la traduction est à proposer conjointement aux équipes de gnomefr, debianfr, kdefr... à Claude de fédérer. <|> ... => suggestions : None

94 Mot inconnu : Sun [[11:14]] => Une doc de Sun correspond aux besoins, à voir si la licence permet la réutilisation  <|> sun
94 Espace(s) en fin de ligne à supprimer. [[83:84]] => Une doc de Sun correspond aux besoins, à voir si la licence permet la réutilisation  <|>   => suggestions : None

99 Accord de genre erroné : « charte » est féminin. [[34:36]] => ==== Liste modérateur, création d’un charte de modération publique ==== <|> un => suggestions : None
103 Mot inconnu : permalinks [[65:75]] => ==== Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 ? lien erronné pourtant sa recherche avait retourné des résultats... ==== <|> permalinks
103 Mot inconnu : erronné [[149:156]] => ==== Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 ? lien erronné pourtant sa recherche avait retourné des résultats... ==== <|> erronné
103 Typographie : points de suspension. Utilisez le caractère dédié. [[207:210]] => ==== Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 ? lien erronné pourtant sa recherche avait retourné des résultats... ==== <|> ... => suggestions : None

105 Mot inconnu : punbb [[16:21]] => C'est un bug de punbb qui sera remonté à l'équipe de dev   <|> punbb
105 Mot inconnu : dev [[53:56]] => C'est un bug de punbb qui sera remonté à l'équipe de dev   <|> dev
105 Espace(s) en fin de ligne à supprimer. [[56:58]] => C'est un bug de punbb qui sera remonté à l'équipe de dev   <|>    => suggestions : None

121 Mot inconnu : cybercentre [[3:14]] => Le cybercentre de Billy Berclaux se propose de gérer les stocks et d'éventuellement prendre en charge une part des frais de ports pour une redistribution nationale (tout en est encore au stade de discussion), un local proposé par Framasoft est disponible aussi dans le 13eme. <|> cybercentre
121 Mot inconnu : Berclaux [[24:32]] => Le cybercentre de Billy Berclaux se propose de gérer les stocks et d'éventuellement prendre en charge une part des frais de ports pour une redistribution nationale (tout en est encore au stade de discussion), un local proposé par Framasoft est disponible aussi dans le 13eme. <|> berclaux
121 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[269:274]] => Le cybercentre de Billy Berclaux se propose de gérer les stocks et d'éventuellement prendre en charge une part des frais de ports pour une redistribution nationale (tout en est encore au stade de discussion), un local proposé par Framasoft est disponible aussi dans le 13eme. <|> 13eme => suggestions : None
121 Mot inconnu : eme [[271:274]] => Le cybercentre de Billy Berclaux se propose de gérer les stocks et d'éventuellement prendre en charge une part des frais de ports pour une redistribution nationale (tout en est encore au stade de discussion), un local proposé par Framasoft est disponible aussi dans le 13eme. <|> eme

123 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A la sortie de Breezy, Canonical enverra un gros lot de cd aux LocaTeamLeaders (du moins nous espérons, nous demeurons sans réponse de leur part), gestion des stocks, les lugs voulant recevoir les cds en priorité prendront à leurs frais l'envoi depuis le point de stockage le plus proche. <|> a => suggestions : None
123 Mot inconnu : LocaTeamLeaders [[63:78]] => A la sortie de Breezy, Canonical enverra un gros lot de cd aux LocaTeamLeaders (du moins nous espérons, nous demeurons sans réponse de leur part), gestion des stocks, les lugs voulant recevoir les cds en priorité prendront à leurs frais l'envoi depuis le point de stockage le plus proche. <|> locateamleaders
123 Mot inconnu : lugs [[171:175]] => A la sortie de Breezy, Canonical enverra un gros lot de cd aux LocaTeamLeaders (du moins nous espérons, nous demeurons sans réponse de leur part), gestion des stocks, les lugs voulant recevoir les cds en priorité prendront à leurs frais l'envoi depuis le point de stockage le plus proche. <|> lugs
123 Mot inconnu : cds [[197:200]] => A la sortie de Breezy, Canonical enverra un gros lot de cd aux LocaTeamLeaders (du moins nous espérons, nous demeurons sans réponse de leur part), gestion des stocks, les lugs voulant recevoir les cds en priorité prendront à leurs frais l'envoi depuis le point de stockage le plus proche. <|> cds

124 Mot inconnu : Microtel [[0:8]] => Microtel pourrait etre une piste pour la logistique, contact à creuser par Termitor <|> microtel
124 Mot inconnu : etre [[18:22]] => Microtel pourrait etre une piste pour la logistique, contact à creuser par Termitor <|> etre
124 Mot inconnu : Termitor [[75:83]] => Microtel pourrait etre une piste pour la logistique, contact à creuser par Termitor <|> termitor

128 “Vu que”. Considéré comme préposition, invariable. [[0:3]] => Vue l'imminence de la sortie de Breezy, la prochaine réunion est prevue pour le 7 octobre, 21H heure de Paris <|> vue => suggestions : None
128 Mot inconnu : prevue [[65:71]] => Vue l'imminence de la sortie de Breezy, la prochaine réunion est prevue pour le 7 octobre, 21H heure de Paris <|> prevue
