1 Formatage des grands nombres. [[15:23]] => ====== Réunion 20080624 - Compte Rendu ====== <|> 20080624 => suggestions : 20 080 624
49 Confusion probable : “a” est une forme conjuguée de “avoir”. Pour la préposition, écrivez “à”. [[41:42]] => Globalement la plateforme tient le coup, a part quelques petits accros, ca se passe bien. Les serveurs sont en Dapper, il est prevu de migrer sur Hardy (asap) les seuls points bloquants etant le www : le site www.u-fr.org tourne sous php4, dont le support n'est plus assure pour hardy. <|> a => suggestions : à
49 Mot inconnu : ca [[72:74]] => Globalement la plateforme tient le coup, a part quelques petits accros, ca se passe bien. Les serveurs sont en Dapper, il est prevu de migrer sur Hardy (asap) les seuls points bloquants etant le www : le site www.u-fr.org tourne sous php4, dont le support n'est plus assure pour hardy. <|> ca
49 Mot inconnu : prevu [[126:131]] => Globalement la plateforme tient le coup, a part quelques petits accros, ca se passe bien. Les serveurs sont en Dapper, il est prevu de migrer sur Hardy (asap) les seuls points bloquants etant le www : le site www.u-fr.org tourne sous php4, dont le support n'est plus assure pour hardy. <|> prevu
49 Mot inconnu : asap [[153:157]] => Globalement la plateforme tient le coup, a part quelques petits accros, ca se passe bien. Les serveurs sont en Dapper, il est prevu de migrer sur Hardy (asap) les seuls points bloquants etant le www : le site www.u-fr.org tourne sous php4, dont le support n'est plus assure pour hardy. <|> asap
49 Mot inconnu : etant [[186:191]] => Globalement la plateforme tient le coup, a part quelques petits accros, ca se passe bien. Les serveurs sont en Dapper, il est prevu de migrer sur Hardy (asap) les seuls points bloquants etant le www : le site www.u-fr.org tourne sous php4, dont le support n'est plus assure pour hardy. <|> etant
49 Mot inconnu : php4 [[234:238]] => Globalement la plateforme tient le coup, a part quelques petits accros, ca se passe bien. Les serveurs sont en Dapper, il est prevu de migrer sur Hardy (asap) les seuls points bloquants etant le www : le site www.u-fr.org tourne sous php4, dont le support n'est plus assure pour hardy. <|> php4
49 Mot inconnu : hardy [[279:284]] => Globalement la plateforme tient le coup, a part quelques petits accros, ca se passe bien. Les serveurs sont en Dapper, il est prevu de migrer sur Hardy (asap) les seuls points bloquants etant le www : le site www.u-fr.org tourne sous php4, dont le support n'est plus assure pour hardy. <|> hardy

53 Mot inconnu : drupal [[12:18]] => Passer sous drupal pour www --> mettre a jour les serveurs (webs et autres) sous hardy. <|> drupal
53 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. [[39:40]] => Passer sous drupal pour www --> mettre a jour les serveurs (webs et autres) sous hardy. <|> a => suggestions : à
53 Mot inconnu : webs [[60:64]] => Passer sous drupal pour www --> mettre a jour les serveurs (webs et autres) sous hardy. <|> webs
53 Mot inconnu : hardy [[81:86]] => Passer sous drupal pour www --> mettre a jour les serveurs (webs et autres) sous hardy. <|> hardy

55 Espace(s) en fin de ligne à supprimer. [[13:14]] => ==== WWW ====  <|>  
56 Mot inconnu : huats [[6:11]] => Par : huats <|> huats

60 Mot inconnu : Planet [[5:11]] => ==== Planet ====  <|> planet
60 Espace(s) en fin de ligne à supprimer. [[16:17]] => ==== Planet ====  <|>  
61 Mot inconnu : kagou [[6:11]] => Par : kagou <|> kagou

67 Espace(s) en fin de ligne à supprimer. [[14:15]] => ==== Wiki ====  <|>  
68 Mot inconnu : didrocks [[6:14]] => Par : didrocks <|> didrocks
70 Typographie : points de suspension. Utilisez le caractère dédié. [[119:122]] =>   * Patch de dokuwiki écrit afin de diminuer drastiquement les accès disques et en test avec des données de prod sur //...// (un cron shell + des patchs php) <|> ... => suggestions : …
72 Mot inconnu : doku [[64:68]] =>   * Le switch fera également passer vers la dernière version de doku, qui permettra d'avoir un groupe d'admin plutôt qu'une seule personne et de nombreuses améliorations de perfos au niveau des index. <|> doku
72 Mot inconnu : perfos [[173:179]] =>   * Le switch fera également passer vers la dernière version de doku, qui permettra d'avoir un groupe d'admin plutôt qu'une seule personne et de nombreuses améliorations de perfos au niveau des index. <|> perfos

75 Mot inconnu : Enchained [[10:19]] => Voir avec Enchained ou Cyrille, n'ayant personnellement pas le temps de suivre les mails de la ML. <|> enchained
75 Accord de genre erroné : « ML » est masculin. [[92:94]] => Voir avec Enchained ou Cyrille, n'ayant personnellement pas le temps de suivre les mails de la ML. <|> la => suggestions : le
79 Mot inconnu : templates [[45:54]] =>   * Éventuellement une meilleure gestion des templates <|> templates

81 Espace(s) en fin de ligne à supprimer. [[15:16]] => ==== Forum ====  <|>  
82 Mot inconnu : mr_pouit [[6:14]] => Par : mr_pouit <|> mr_pouit
84 Mot inconnu : mr_pouit [[14:22]] =>   * Départ de mr_pouit (remplacé par smarter). <|> mr_pouit
84 Mot inconnu : smarter [[37:44]] =>   * Départ de mr_pouit (remplacé par smarter). <|> smarter
85 Mot inconnu : Xabilon [[4:11]] =>   * Xabilon a été nommé admin pour épauler les deux admins restants. <|> xabilon
88 Mot inconnu : Fluxbb [[31:37]] =>   * Étude de la migration vers Fluxbb 1.3. <|> fluxbb

91 Mot inconnu : LHU [[5:8]] => ==== LHU ====  <|> lhu
91 Espace(s) en fin de ligne à supprimer. [[13:14]] => ==== LHU ====  <|>  

92 Mot inconnu : LHU [[15:18]] => Personne de la LHU donc remis à la prochaine fois <|> lhu
96 Espace(s) en fin de ligne à supprimer. [[13:14]] => ==== IRC ====  <|>  
97 Mot inconnu : racoon97 [[6:14]] => Par : racoon97/McPeter <|> racoon97
97 Mot inconnu : McPeter [[15:22]] => Par : racoon97/McPeter <|> mcpeter

101 Espace(s) en fin de ligne à supprimer. [[20:21]] => ==== Événements ====  <|>  

107 Mot inconnu : Comm [[5:9]] => ==== Comm ====  <|> comm
107 Espace(s) en fin de ligne à supprimer. [[14:15]] => ==== Comm ====  <|>  
108 Mot inconnu : huats [[6:11]] => Par : huats/Ju/didrocks <|> huats
108 Mot inconnu : Ju [[12:14]] => Par : huats/Ju/didrocks <|> ju
108 Mot inconnu : didrocks [[15:23]] => Par : huats/Ju/didrocks <|> didrocks

110 Mot inconnu : comm [[15:19]] => Nouveau bureau comm <|> comm
113 Mot inconnu : comm [[24:28]] => Objectif : renforcer la comm : <|> comm
115 Mot inconnu : relancement [[4:15]] =>   * relancement des projets <|> relancement

118 Accentuez les majuscules. [[5:11]] => ==== Equipe Traduction ==== <|> equipe => suggestions : Équipe
118 Mot inconnu : Equipe [[5:11]] => ==== Equipe Traduction ==== <|> equipe

122 Mot inconnu : hardy [[98:103]] => Présentation rapide du travail de l'équipe. La majeure partie des docs Ubuntu sont traduites dans hardy, les applications spécifiques à Ubuntu sont entièrement traduites dans Hardy. Les francophones sont en seconde position sur Launchpad (stats de traduction) derrière les espagnols. C'est en partie grâce au travail des contributeurs ubuntu-fr-l10n, mais surtout grâce au travail des équipes de traduction en amont : gnome-fr, kde-francophone, le TP, xfce, etc. <|> hardy
122 Mot inconnu : stats [[239:244]] => Présentation rapide du travail de l'équipe. La majeure partie des docs Ubuntu sont traduites dans hardy, les applications spécifiques à Ubuntu sont entièrement traduites dans Hardy. Les francophones sont en seconde position sur Launchpad (stats de traduction) derrière les espagnols. C'est en partie grâce au travail des contributeurs ubuntu-fr-l10n, mais surtout grâce au travail des équipes de traduction en amont : gnome-fr, kde-francophone, le TP, xfce, etc. <|> stats
122 S’il s’agit d’un gentilé, mettez une majuscule. [[273:282]] => Présentation rapide du travail de l'équipe. La majeure partie des docs Ubuntu sont traduites dans hardy, les applications spécifiques à Ubuntu sont entièrement traduites dans Hardy. Les francophones sont en seconde position sur Launchpad (stats de traduction) derrière les espagnols. C'est en partie grâce au travail des contributeurs ubuntu-fr-l10n, mais surtout grâce au travail des équipes de traduction en amont : gnome-fr, kde-francophone, le TP, xfce, etc. <|> espagnols => suggestions : Espagnols
122 Mot inconnu : ubuntu-fr-l10n [[335:349]] => Présentation rapide du travail de l'équipe. La majeure partie des docs Ubuntu sont traduites dans hardy, les applications spécifiques à Ubuntu sont entièrement traduites dans Hardy. Les francophones sont en seconde position sur Launchpad (stats de traduction) derrière les espagnols. C'est en partie grâce au travail des contributeurs ubuntu-fr-l10n, mais surtout grâce au travail des équipes de traduction en amont : gnome-fr, kde-francophone, le TP, xfce, etc. <|> ubuntu-fr-l10n
122 Mot inconnu : kde-francophone [[428:443]] => Présentation rapide du travail de l'équipe. La majeure partie des docs Ubuntu sont traduites dans hardy, les applications spécifiques à Ubuntu sont entièrement traduites dans Hardy. Les francophones sont en seconde position sur Launchpad (stats de traduction) derrière les espagnols. C'est en partie grâce au travail des contributeurs ubuntu-fr-l10n, mais surtout grâce au travail des équipes de traduction en amont : gnome-fr, kde-francophone, le TP, xfce, etc. <|> kde-francophone

126 Mot inconnu : ubuntu-fr-l10n [[37:51]] => Donner plus de visibilité à l'équipe ubuntu-fr-l10n sur le site ubuntu-fr.org. Un billet en préparation pour le Planet et le forum expliquant le rôle de l'équipe et comment participer à l'effort de traduction. <|> ubuntu-fr-l10n
126 Mot inconnu : Planet [[112:118]] => Donner plus de visibilité à l'équipe ubuntu-fr-l10n sur le site ubuntu-fr.org. Un billet en préparation pour le Planet et le forum expliquant le rôle de l'équipe et comment participer à l'effort de traduction. <|> planet

129 Mot inconnu : Planet [[13:19]] => ==== Nouveau Planet  ==== <|> planet
129 Espace(s) surnuméraire(s) à supprimer. [[19:21]] => ==== Nouveau Planet  ==== <|>    => suggestions :  
130 Mot inconnu : kagou [[6:11]] => Par : kagou <|> kagou

132 Espace(s) surnuméraire(s) à supprimer. [[21:23]] => ==== Nouveaux Projets  ==== <|>    => suggestions :  
133 Mot inconnu : huats [[6:11]] => Par : huats <|> huats
