1 Pas de majuscule sur les mois. => ====== Réunion du 13 Septembre 2005 - Ordre du jour ====== | septembre => suggestions : ['septembre']
23 Mot inconnu : team =>       - Quel statut pour la communauté francophone pour pérenniser notre travail dans le temps ? **(sous réserve de la présence des team leaders David (ok normalement) et Yann)** | team
23 Mot inconnu : ok =>       - Quel statut pour la communauté francophone pour pérenniser notre travail dans le temps ? **(sous réserve de la présence des team leaders David (ok normalement) et Yann)** | ok

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Avec le forum et la gmap, est ce qu'ubuntu-fr doit faire une declaration CNIL ? |   => suggestions : ['']
26 Mot inconnu : gmap =>  Avec le forum et la gmap, est ce qu'ubuntu-fr doit faire une declaration CNIL ? | gmap
26 Mot inconnu : ubuntu-fr =>  Avec le forum et la gmap, est ce qu'ubuntu-fr doit faire une declaration CNIL ? | ubuntu-fr
26 Mot inconnu : declaration =>  Avec le forum et la gmap, est ce qu'ubuntu-fr doit faire une declaration CNIL ? | declaration

28 Mot inconnu : occuppe => Bon c'est [[http://www.droitdunet.fr/par_profils/lecture.phtml?type=profil_createur&it=7&id=32|confirmé]] Y a plus qu'à voir qui s'en occuppe. | occuppe

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Doit-on traduire : http://docteam.ubuntu.com/styleguide/styleguide.html ? |        => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Doit-on traduire : http://docteam.ubuntu.com/styleguide/styleguide.html ? |  -  => suggestions : [' – ', ' — ', ' − ']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Etat des lieux de la traduction de Breezy dans Rosetta |        => suggestions : ['']
33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Etat des lieux de la traduction de Breezy dans Rosetta |  -  => suggestions : [' – ', ' — ', ' − ']
33 Accentuez les majuscules. =>       - Etat des lieux de la traduction de Breezy dans Rosetta | etat => suggestions : ['État']
33 Mot inconnu : Etat =>       - Etat des lieux de la traduction de Breezy dans Rosetta | etat
33 Mot inconnu : Breezy =>       - Etat des lieux de la traduction de Breezy dans Rosetta | breezy

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Outils de référence communs (glossaire, typographie, etc.) |        => suggestions : ['']
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Outils de référence communs (glossaire, typographie, etc.) |  -  => suggestions : [' – ', ' — ', ' − ']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Liste modérateur, creation d'un charte de modération publique |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Liste modérateur, creation d'un charte de modération publique |  -  => suggestions : [' – ', ' — ', ' − ']
38 Mot inconnu : creation =>   - Liste modérateur, creation d'un charte de modération publique | creation
38 Accord de genre erroné : « charte » est féminin. =>   - Liste modérateur, creation d'un charte de modération publique | un => suggestions : ['une']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 <- lien erronné pourtant sa recherche avait retourné des resultats... |    => suggestions : ['']
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 <- lien erronné pourtant sa recherche avait retourné des resultats... |  -  => suggestions : [' – ', ' — ', ' − ']
39 Mot inconnu : permalinks =>   - Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 <- lien erronné pourtant sa recherche avait retourné des resultats... | permalinks
39 Mot inconnu : erronné =>   - Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 <- lien erronné pourtant sa recherche avait retourné des resultats... | erronné
39 Mot inconnu : resultats =>   - Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 <- lien erronné pourtant sa recherche avait retourné des resultats... | resultats
39 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Problème sur la recherche du forum : elle ne permet pas les permalinks cf : http://article.gmane.org/gmane.linux.ubuntu.user.french/5514 <- lien erronné pourtant sa recherche avait retourné des resultats... | ... => suggestions : ['…']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Concours Logo |    => suggestions : ['']
44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Concours Logo |  -  => suggestions : [' – ', ' — ', ' − ']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Retour de la participation à la fete de l'Huma. |    => suggestions : ['']
45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Retour de la participation à la fete de l'Huma. |  -  => suggestions : [' – ', ' — ', ' − ']
45 Mot inconnu : fete =>   - Retour de la participation à la fete de l'Huma. | fete
