1 Mot inconnu : Reunion => ====== Reunion du 20080607 ====== | reunion
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - rapprochement avec d'autres assos pour mutualiser les fournisseurs TS/badges/... |  -  => suggestions : [' – ', ' — ', ' − ']
23 Mot inconnu : assos =>     - rapprochement avec d'autres assos pour mutualiser les fournisseurs TS/badges/... | assos
23 Typographie : points de suspension. Utilisez le caractère dédié. =>     - rapprochement avec d'autres assos pour mutualiser les fournisseurs TS/badges/... | ... => suggestions : ['…']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * divers : |     => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    - IRC : Gestion des chans + Canonical cf avec Racoon97, soucis sur le proprio des chans |     => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>    - IRC : Gestion des chans + Canonical cf avec Racoon97, soucis sur le proprio des chans |  -  => suggestions : [' – ', ' — ', ' − ']
26 Mot inconnu : IRC =>    - IRC : Gestion des chans + Canonical cf avec Racoon97, soucis sur le proprio des chans | irc
26 Mot inconnu : chans =>    - IRC : Gestion des chans + Canonical cf avec Racoon97, soucis sur le proprio des chans | chans
26 Mot inconnu : Canonical =>    - IRC : Gestion des chans + Canonical cf avec Racoon97, soucis sur le proprio des chans | canonical
26 Mot inconnu : Racoon97 =>    - IRC : Gestion des chans + Canonical cf avec Racoon97, soucis sur le proprio des chans | racoon97
26 Mot inconnu : chans =>    - IRC : Gestion des chans + Canonical cf avec Racoon97, soucis sur le proprio des chans | chans

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    - huats rattrape les TS qui n'ont jamais été livrés |     => suggestions : ['']
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>    - huats rattrape les TS qui n'ont jamais été livrés |  -  => suggestions : [' – ', ' — ', ' − ']
27 Mot inconnu : huats =>    - huats rattrape les TS qui n'ont jamais été livrés | huats
