1 Pas de majuscule sur les mois. => ====== Réunion du 30 Novembre 2010 ====== <|> novembre => suggestions : ['novembre']
47 Mot inconnu : Ok => nov. 30 21:10:56 <YoBoY>	Ok, le Software Freedon Day, petit sondage réalisé sur Paris, olive tu as les chiffres, un petit retour ? <|> ok
47 Mot inconnu : Freedon => nov. 30 21:10:56 <YoBoY>	Ok, le Software Freedon Day, petit sondage réalisé sur Paris, olive tu as les chiffres, un petit retour ? <|> freedon
47 Mot inconnu : Day => nov. 30 21:10:56 <YoBoY>	Ok, le Software Freedon Day, petit sondage réalisé sur Paris, olive tu as les chiffres, un petit retour ? <|> day

48 Mot inconnu : snip => nov. 30 21:11:13 <olive>	c'est snip le maitre de l'opération <|> snip
50 Mot inconnu : Montgallet => nov. 30 21:12:45 <olive>	- 8 libristes répartis sur 100m en haut de la rue Montgallet (Yoboy, Spineaker, Snip, Siltaar, Quesh, Simon, Coucouf, moi) <|> montgallet
50 Mot inconnu : Yoboy => nov. 30 21:12:45 <olive>	- 8 libristes répartis sur 100m en haut de la rue Montgallet (Yoboy, Spineaker, Snip, Siltaar, Quesh, Simon, Coucouf, moi) <|> yoboy
50 Mot inconnu : Spineaker => nov. 30 21:12:45 <olive>	- 8 libristes répartis sur 100m en haut de la rue Montgallet (Yoboy, Spineaker, Snip, Siltaar, Quesh, Simon, Coucouf, moi) <|> spineaker
50 Mot inconnu : Snip => nov. 30 21:12:45 <olive>	- 8 libristes répartis sur 100m en haut de la rue Montgallet (Yoboy, Spineaker, Snip, Siltaar, Quesh, Simon, Coucouf, moi) <|> snip
50 Mot inconnu : Siltaar => nov. 30 21:12:45 <olive>	- 8 libristes répartis sur 100m en haut de la rue Montgallet (Yoboy, Spineaker, Snip, Siltaar, Quesh, Simon, Coucouf, moi) <|> siltaar
50 Mot inconnu : Quesh => nov. 30 21:12:45 <olive>	- 8 libristes répartis sur 100m en haut de la rue Montgallet (Yoboy, Spineaker, Snip, Siltaar, Quesh, Simon, Coucouf, moi) <|> quesh
50 Mot inconnu : Coucouf => nov. 30 21:12:45 <olive>	- 8 libristes répartis sur 100m en haut de la rue Montgallet (Yoboy, Spineaker, Snip, Siltaar, Quesh, Simon, Coucouf, moi) <|> coucouf

51 Mot inconnu : stats => nov. 30 21:12:49 <olive>	- des questionnaires d'accroche, dont on pourra tirer des stats. <|> stats

55 Mot inconnu : A6 => nov. 30 21:12:59 <olive>	- des flyers A6 de propagande Ubuntu Party 5-6 nov <|> a6
55 Mot inconnu : Party => nov. 30 21:12:59 <olive>	- des flyers A6 de propagande Ubuntu Party 5-6 nov <|> party

60 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nov. 30 21:13:26 <olive>	discussions de sensibilisation. Quelques discussions ont eu lieu sans <|> nov => suggestions : ['Nov']

62 Confusion. Le nom “issue” est féminin. => nov. 30 21:13:31 <olive>	Les CD Ubuntu étaient donnés à l'issu de vrais discussions, lorsque la <|> issu => suggestions : ['issue']

63 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nov. 30 21:13:33 <olive>	personne exprimait le souhait d'essayer Ubuntu. Une vingtaine de CD ont <|> nov => suggestions : ['Nov']

65 Mot inconnu : Party => nov. 30 21:13:40 <olive>	Environ 150 flyers Ubuntu Party ont été diffusés, et autant de dépliants <|> party

66 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nov. 30 21:13:43 <olive>	LL April. Un peu moins de Framasoft (papier glacé, ça joue.) <|> nov => suggestions : ['Nov']
66 Mot inconnu : LL => nov. 30 21:13:43 <olive>	LL April. Un peu moins de Framasoft (papier glacé, ça joue.) <|> ll

67 Mot inconnu : anti-windows => nov. 30 21:13:45 <olive>	Nous destinions les tracts FSF/April anti-windows aux windowsiens les <|> anti-windows

68 Guillemets typographiques ouvrants. => nov. 30 21:13:48 <olive>	plus "fermés". Nous en avons écoulé environ 30. <|> " => suggestions : ['«\xa0', '“']
68 Guillemets typographiques fermants. => nov. 30 21:13:48 <olive>	plus "fermés". Nous en avons écoulé environ 30. <|> " => suggestions : ['\xa0»', '”']
71 Accord de nombre erroné : « Soirée » devrait être au pluriel. => nov. 30 21:14:10 <YoBoY>	évènement suivant : Les Soirée de Releases en France, comment c'était pour vous ? <|> soirée => suggestions : ['Soirées']
71 Mot inconnu : Releases => nov. 30 21:14:10 <YoBoY>	évènement suivant : Les Soirée de Releases en France, comment c'était pour vous ? <|> releases

72 Mot inconnu : dispo => nov. 30 21:14:23 <draco31fr>	toutes les ressources, flyers, etc sont dispo en ligne ? <|> dispo

74 Mot inconnu : draco31fr => nov. 30 21:15:02 <McPeter>	draco31fr, +1 <|> draco31fr

76 Mot inconnu : draco31fr => nov. 30 21:16:17 <olive>	draco31fr: pour le questionnaire il était en test, la version finale n'est pas released <|> draco31fr
76 Mot inconnu : released => nov. 30 21:16:17 <olive>	draco31fr: pour le questionnaire il était en test, la version finale n'est pas released <|> released

77 Mot inconnu : april => nov. 30 21:16:33 <olive>	par contre les dépliants april sont sur le site de l'april <|> april
77 Mot inconnu : april => nov. 30 21:16:33 <olive>	par contre les dépliants april sont sur le site de l'april <|> april

78 Mot inconnu : draco31fr => nov. 30 21:16:41 <YoBoY>	draco31fr: envoie un mail sur la liste des évènements de paris, pour qu'on s'en souvienne et qu'on t'envoie ce que qu'on peux <|> draco31fr
78 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => nov. 30 21:16:41 <YoBoY>	draco31fr: envoie un mail sur la liste des évènements de paris, pour qu'on s'en souvienne et qu'on t'envoie ce que qu'on peux <|> peux => suggestions : ['peut']

80 Mot inconnu : svp => nov. 30 21:17:18 <draco31fr>	svp <|> svp

82 Mot inconnu : Ubuntu_paris-fr => nov. 30 21:17:54 <YoBoY>	Ubuntu_paris-fr@lists.ubuntu-eu.org <|> ubuntu_paris-fr
82 Mot inconnu : ubuntu-eu => nov. 30 21:17:54 <YoBoY>	Ubuntu_paris-fr@lists.ubuntu-eu.org <|> ubuntu-eu

83 Mot inconnu : releases => nov. 30 21:18:04 <YoBoY>	donc les releases ... <|> releases
83 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:18:04 <YoBoY>	donc les releases ... <|> ... => suggestions : ['…']

84 Mot inconnu : Flams => nov. 30 21:18:05 <YoBoY>	Sur Paris, on était 42 à déjeuner au Flams rue des Lombards, c'était sympa, pas assez de photos, faudra recruter des photographes ^^", mais bon moins que d'habitude, les midi c'est pas top en fait pour ce genre de choses :p <|> flams
84 Accord de nombre erroné : « midi » devrait être au pluriel. => nov. 30 21:18:05 <YoBoY>	Sur Paris, on était 42 à déjeuner au Flams rue des Lombards, c'était sympa, pas assez de photos, faudra recruter des photographes ^^", mais bon moins que d'habitude, les midi c'est pas top en fait pour ce genre de choses :p <|> midi => suggestions : ['midis']

85 Mot inconnu : release => nov. 30 21:18:44 <huats>	pas de release party sur Toulouse cette fois...la prochaine fois j'espère <|> release
85 Mot inconnu : party => nov. 30 21:18:44 <huats>	pas de release party sur Toulouse cette fois...la prochaine fois j'espère <|> party
85 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:18:44 <huats>	pas de release party sur Toulouse cette fois...la prochaine fois j'espère <|> ... => suggestions : ['…']

86 Mot inconnu : ya => nov. 30 21:19:20 <YoBoY>	ya rien eu ailleurs ? <|> ya

88 Mot inconnu : nesthib => nov. 30 21:19:39 <kinouchou>	nesthib: ?? <|> nesthib

89 Mot inconnu : ok => nov. 30 21:19:46 <YoBoY>	ok pas de bordelais pour en parler ? <|> ok

90 Mot inconnu : kinouchou => nov. 30 21:19:49 <avelldiroll>	kinouchou: je ne pense pas <|> kinouchou

92 Mot inconnu : YoBoY => nov. 30 21:19:59 <avelldiroll>	YoBoY: si si <|> yoboy
92 Doublon. => nov. 30 21:19:59 <avelldiroll>	YoBoY: si si <|> si si => suggestions : ['si']

95 Mot inconnu : susi => nov. 30 21:20:20 <kinouchou>	je susi sure qu'il y en a eu une autre <|> susi
95 Confusion probable : “sur” un adjectif signifiant acide ou aigre ; utilisez “sûr” pour certain, vrai ou sans danger. => nov. 30 21:20:20 <kinouchou>	je susi sure qu'il y en a eu une autre <|> sure => suggestions : ['sûre']

96 Mot inconnu : JDLL => nov. 30 21:20:22 <Lagierl>	Les JDLL <|> jdll

98 Mot inconnu : Lagierl => nov. 30 21:20:31 <kinouchou>	en repas Lagierl <|> lagierl

99 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => nov. 30 21:20:33 <mydjey>	si sur Lyon on étaient une dizaine pour le repas <|> étaient => suggestions : ['était', 'étaye']

100 Mot inconnu : ya => nov. 30 21:20:37 <YoBoY>	si ya eu un truc à Lyon <|> ya

102 Mot inconnu : maverick => nov. 30 21:20:38 <Biaise>	Repas pour maverick meerkat en octobre <|> maverick
102 Mot inconnu : meerkat => nov. 30 21:20:38 <Biaise>	Repas pour maverick meerkat en octobre <|> meerkat

103 Mot inconnu : JDLL => nov. 30 21:20:41 <Biaise>	puis JDLL <|> jdll

106 Mot inconnu : supinfo => nov. 30 21:21:00 <Biaise>	dans les locaux de supinfo (une école) <|> supinfo

107 Mot inconnu : install => nov. 30 21:21:03 <Biaise>	install party <|> install
107 Mot inconnu : party => nov. 30 21:21:03 <Biaise>	install party <|> party

108 Mot inconnu : Instal => nov. 30 21:21:05 <McPeter>	Instal lParty <|> instal
108 Mot inconnu : lParty => nov. 30 21:21:05 <McPeter>	Instal lParty <|> lparty

109 Mot inconnu : Install => nov. 30 21:21:07 <Lagierl>	Install party snip_ <|> install
109 Mot inconnu : party => nov. 30 21:21:07 <Lagierl>	Install party snip_ <|> party
109 Mot inconnu : snip_ => nov. 30 21:21:07 <Lagierl>	Install party snip_ <|> snip_
111 Mot inconnu : respas => nov. 30 21:21:19 <kinouchou>	Biaise: on en est au respas <|> respas

114 Mot inconnu : ip => nov. 30 21:21:36 <YoBoY>	Juste les ip et up c'est l'évènement suivant, les Install / Ubuntu Party en France <|> ip
114 Mot inconnu : up => nov. 30 21:21:36 <YoBoY>	Juste les ip et up c'est l'évènement suivant, les Install / Ubuntu Party en France <|> up
114 Mot inconnu : Install => nov. 30 21:21:36 <YoBoY>	Juste les ip et up c'est l'évènement suivant, les Install / Ubuntu Party en France <|> install
114 Mot inconnu : Party => nov. 30 21:21:36 <YoBoY>	Juste les ip et up c'est l'évènement suivant, les Install / Ubuntu Party en France <|> party

115 Mot inconnu : asso => nov. 30 21:21:44 <Biaise>	on était une dizaine, on se connaissait pas tous, ça a permis de rapprocher des gens de l'asso <|> asso

117 Élision de l’article devant un mot commençant par une voyelle. => nov. 30 21:22:04 <draco31fr>	tous membre de ubuntu-lyon ? <|> de  => suggestions : ['d’']
117 Mot inconnu : ubuntu-lyon => nov. 30 21:22:04 <draco31fr>	tous membre de ubuntu-lyon ? <|> ubuntu-lyon

118 Mot inconnu : draco31fr => nov. 30 21:22:12 <mydjey>	draco31fr: oui <|> draco31fr

120 Mot inconnu : copien => nov. 30 21:22:23 <Biaise>	ma copien faisait l'intru :P <|> copien
120 Mot inconnu : intru => nov. 30 21:22:23 <Biaise>	ma copien faisait l'intru :P <|> intru

122 Mot inconnu : YoBoY => nov. 30 21:22:34 <kinouchou>	YoBoY: il y en a eu un au congo aussi <|> yoboy
122 Mot inconnu : congo => nov. 30 21:22:34 <kinouchou>	YoBoY: il y en a eu un au congo aussi <|> congo

123 Mot inconnu : kinouchou => nov. 30 21:23:03 <YoBoY>	kinouchou: un peu trop loin le congo ... <|> kinouchou
123 Mot inconnu : congo => nov. 30 21:23:03 <YoBoY>	kinouchou: un peu trop loin le congo ... <|> congo
123 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:23:03 <YoBoY>	kinouchou: un peu trop loin le congo ... <|> ... => suggestions : ['…']

124 Mot inconnu : congo => nov. 30 21:23:13 <spineaker>	le congo c'est pas vraiment en france <|> congo
124 Mot inconnu : france => nov. 30 21:23:13 <spineaker>	le congo c'est pas vraiment en france <|> france

125 Guillemets typographiques ouvrants. => nov. 30 21:23:27 <YoBoY>	et j'ai bien écrit "en France" <|> " => suggestions : ['«\xa0', '“']
125 Guillemets typographiques fermants. => nov. 30 21:23:27 <YoBoY>	et j'ai bien écrit "en France" <|> " => suggestions : ['\xa0»', '”']
126 Mot inconnu : Install => nov. 30 21:23:38 <YoBoY>	évènement suivant : les Install / Ubuntu Party en France <|> install
126 Mot inconnu : Party => nov. 30 21:23:38 <YoBoY>	évènement suivant : les Install / Ubuntu Party en France <|> party

127 Mot inconnu : ubuntu-fr => nov. 30 21:23:52 <kinouchou>	désolée je pensais qu'on parlait d'ubuntu-fr <|> ubuntu-fr

128 Typographie : un ou trois points ? => nov. 30 21:24:23 <kanor>	(fr pour francophone ..) <|> .. => suggestions : ['…', '.']

129 Mot inconnu : essouflement => nov. 30 21:25:09 <YoBoY>	Paris, 3000 visiteurs, une armée de bénévoles, tout c'est bien passé, beaucoup de retours positifs, un léger essouflement éventuellement du public, avec quelques remarques pour qu'on renouvelle un peu <|> essouflement

132 Mot inconnu : install => nov. 30 21:25:48 <draco31fr>	combien d'install ? <|> install

134 Typographie : un ou trois points ? => nov. 30 21:25:58 <McPeter>	désolé .. <|> .. => suggestions : ['…', '.']

135 Mot inconnu : fail => nov. 30 21:26:06 <McPeter>	j'ai fait un fail sur la date de la réunion <|> fail

138 Mot inconnu : débrieffing => nov. 30 21:26:22 <YoBoY>	pour paris je vous laisse consulter le débrieffing : http://wiki.ubuntu-party.org/index.php/Paris10.10/CR271110 <|> débrieffing

139 Guillemets typographiques ouvrants. => nov. 30 21:26:45 <mydjey>	A Lyon pas d'"Ubuntu-party" à proprement parler, pour l'instant on (ubuntu-lyon) participe à des install-party avec l'ALDIL <|> " => suggestions : ['«\xa0', '“']
139 Mot inconnu : Ubuntu-party => nov. 30 21:26:45 <mydjey>	A Lyon pas d'"Ubuntu-party" à proprement parler, pour l'instant on (ubuntu-lyon) participe à des install-party avec l'ALDIL <|> ubuntu-party
139 Guillemets typographiques fermants. => nov. 30 21:26:45 <mydjey>	A Lyon pas d'"Ubuntu-party" à proprement parler, pour l'instant on (ubuntu-lyon) participe à des install-party avec l'ALDIL <|> " => suggestions : ['\xa0»', '”']
139 Mot inconnu : ubuntu-lyon => nov. 30 21:26:45 <mydjey>	A Lyon pas d'"Ubuntu-party" à proprement parler, pour l'instant on (ubuntu-lyon) participe à des install-party avec l'ALDIL <|> ubuntu-lyon
139 Mot inconnu : install-party => nov. 30 21:26:45 <mydjey>	A Lyon pas d'"Ubuntu-party" à proprement parler, pour l'instant on (ubuntu-lyon) participe à des install-party avec l'ALDIL <|> install-party
139 Mot inconnu : ALDIL => nov. 30 21:26:45 <mydjey>	A Lyon pas d'"Ubuntu-party" à proprement parler, pour l'instant on (ubuntu-lyon) participe à des install-party avec l'ALDIL <|> aldil

140 Mot inconnu : install => nov. 30 21:26:53 <YoBoY>	le vendredi était un peu trop calme pour les conférences, les install ça allait <|> install

141 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. => nov. 30 21:27:03 <YoBoY>	l'atelier pour les étudiants à eu du succès <|> à => suggestions : ['a']

142 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nov. 30 21:27:41 <huats>	Toulouse: environ 700 visiteurs sur l'après midi du samedi. Tout a été très bien organisé grace au précieux concour de Toulibre.  3 thématiques de confs (Grand Pblic, Technique et multimédia), 65 installations. Un vrai succès tant au niveau des retours public que orgas <|> nov => suggestions : ['Nov']
142 Il manque un trait d’union s’il s’agit du nom. Exemples : Viens après midi. Oui, cet après-midi. => nov. 30 21:27:41 <huats>	Toulouse: environ 700 visiteurs sur l'après midi du samedi. Tout a été très bien organisé grace au précieux concour de Toulibre.  3 thématiques de confs (Grand Pblic, Technique et multimédia), 65 installations. Un vrai succès tant au niveau des retours public que orgas <|> après midi => suggestions : ['après-midi']
142 Mot inconnu : grace => nov. 30 21:27:41 <huats>	Toulouse: environ 700 visiteurs sur l'après midi du samedi. Tout a été très bien organisé grace au précieux concour de Toulibre.  3 thématiques de confs (Grand Pblic, Technique et multimédia), 65 installations. Un vrai succès tant au niveau des retours public que orgas <|> grace
142 Mot inconnu : concour => nov. 30 21:27:41 <huats>	Toulouse: environ 700 visiteurs sur l'après midi du samedi. Tout a été très bien organisé grace au précieux concour de Toulibre.  3 thématiques de confs (Grand Pblic, Technique et multimédia), 65 installations. Un vrai succès tant au niveau des retours public que orgas <|> concour
142 Mot inconnu : Toulibre => nov. 30 21:27:41 <huats>	Toulouse: environ 700 visiteurs sur l'après midi du samedi. Tout a été très bien organisé grace au précieux concour de Toulibre.  3 thématiques de confs (Grand Pblic, Technique et multimédia), 65 installations. Un vrai succès tant au niveau des retours public que orgas <|> toulibre
142 Espace(s) surnuméraire(s) à supprimer. => nov. 30 21:27:41 <huats>	Toulouse: environ 700 visiteurs sur l'après midi du samedi. Tout a été très bien organisé grace au précieux concour de Toulibre.  3 thématiques de confs (Grand Pblic, Technique et multimédia), 65 installations. Un vrai succès tant au niveau des retours public que orgas <|>    => suggestions : [' ']
142 Mot inconnu : confs => nov. 30 21:27:41 <huats>	Toulouse: environ 700 visiteurs sur l'après midi du samedi. Tout a été très bien organisé grace au précieux concour de Toulibre.  3 thématiques de confs (Grand Pblic, Technique et multimédia), 65 installations. Un vrai succès tant au niveau des retours public que orgas <|> confs
142 Mot inconnu : Pblic => nov. 30 21:27:41 <huats>	Toulouse: environ 700 visiteurs sur l'après midi du samedi. Tout a été très bien organisé grace au précieux concour de Toulibre.  3 thématiques de confs (Grand Pblic, Technique et multimédia), 65 installations. Un vrai succès tant au niveau des retours public que orgas <|> pblic

143 Mot inconnu : collègiens => nov. 30 21:27:48 <YoBoY>	l'atelier pour les collègiens devra être repensé, moins de profs, plus de nous <|> collègiens

144 Confusion : “coté” est le participe passé du verbe “coter”. => nov. 30 21:28:13 <McPeter>	les gens ont apprécié le coté "reposant" du vendredi (pas surchargé en install) ce qui nous a laissé plus de temps pour le contact humain et parler d'Ubuntu, de l'asso et du GNU/Linux en général <|> coté => suggestions : ['côté']
144 Guillemets typographiques ouvrants. => nov. 30 21:28:13 <McPeter>	les gens ont apprécié le coté "reposant" du vendredi (pas surchargé en install) ce qui nous a laissé plus de temps pour le contact humain et parler d'Ubuntu, de l'asso et du GNU/Linux en général <|> " => suggestions : ['«\xa0', '“']
144 Guillemets typographiques fermants. => nov. 30 21:28:13 <McPeter>	les gens ont apprécié le coté "reposant" du vendredi (pas surchargé en install) ce qui nous a laissé plus de temps pour le contact humain et parler d'Ubuntu, de l'asso et du GNU/Linux en général <|> " => suggestions : ['\xa0»', '”']
144 Mot inconnu : install => nov. 30 21:28:13 <McPeter>	les gens ont apprécié le coté "reposant" du vendredi (pas surchargé en install) ce qui nous a laissé plus de temps pour le contact humain et parler d'Ubuntu, de l'asso et du GNU/Linux en général <|> install
144 Mot inconnu : asso => nov. 30 21:28:13 <McPeter>	les gens ont apprécié le coté "reposant" du vendredi (pas surchargé en install) ce qui nous a laissé plus de temps pour le contact humain et parler d'Ubuntu, de l'asso et du GNU/Linux en général <|> asso

145 Mot inconnu : huats => nov. 30 21:28:28 <draco31fr>	huats, on a progressé en visiteurs par rapport à l'année dernière ? <|> huats

146 Mot inconnu : debrief => nov. 30 21:28:30 <huats>	le debrief complet va être fait d'ici mi-decembre, je posterai un lien <|> debrief
146 Mot inconnu : mi-decembre => nov. 30 21:28:30 <huats>	le debrief complet va être fait d'ici mi-decembre, je posterai un lien <|> mi-decembre

147 Mot inconnu : draco31fr => nov. 30 21:28:33 <huats>	draco31fr, non pareil <|> draco31fr

148 Mot inconnu : asso => nov. 30 21:28:35 <kinouchou>	j'ai eu moins de question sur l'asso cette fois-ci <|> asso

149 Mot inconnu : installs => nov. 30 21:28:36 <McPeter>	je parle pour les gens au niveau des installs hein <|> installs

150 Mot inconnu : draco31fr => nov. 30 21:28:52 <huats>	draco31fr, ce qui est déjà très bien :) <|> draco31fr

151 Mot inconnu : yep => nov. 30 21:28:56 <draco31fr>	yep <|> yep

152 Mot inconnu : huats => nov. 30 21:28:58 <spineaker>	huats, même méthode de calcul des visiteurs qu'à Paris ? <|> huats

153 Mot inconnu : spineaker => nov. 30 21:29:05 <huats>	spineaker, non pas vraiment <|> spineaker

154 Mot inconnu : vaie => nov. 30 21:29:14 <huats>	c'est une vaie approx <|> vaie
154 Mot inconnu : approx => nov. 30 21:29:14 <huats>	c'est une vaie approx <|> approx

156 Accord de nombre erroné : « amphi » devrait être au pluriel. => nov. 30 21:29:25 <huats>	en fait nous avions plusieurs amphi de 130 places <|> amphi => suggestions : ['amphis']

158 Mot inconnu : ov => ov. 30 21:29:56 <YoBoY>	Marseille ? Bordeaux ? <|> ov

159 Mot inconnu : install => nov. 30 21:29:58 <huats>	et à plusieurs moments de la journée tout était plein avec du monde aux install + à l'accueil / stands <|> install

160 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:30:07 <huats>	donc on a fait un calcul à la louche... <|> ... => suggestions : ['…']

161 Mot inconnu : CR => nov. 30 21:30:22 <avelldiroll>	Je peux parler de bordeaux mais le plus simple est de regarder le CR: http://www.giroll.org/post/2010/11/26/Compte-rendu-de-la-Maverick-Party <|> cr

163 Mot inconnu : draco31fr => nov. 30 21:30:29 <YoBoY>	draco31fr: comptage CSI <|> draco31fr
163 Mot inconnu : CSI => nov. 30 21:30:29 <YoBoY>	draco31fr: comptage CSI <|> csi

164 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:30:34 <huats>	(par exemple juste moi je connais 5 personnes qui n'ont assisté qu'à une conf dans la journée et pas la même...) <|> ... => suggestions : ['…']

165 Mot inconnu : snapshot => nov. 30 21:30:45 <YoBoY>	un snapshot toutes les heures de la présence et tu additionnes <|> snapshot

166 Typographie : un ou trois points ? => nov. 30 21:30:48 <huats>	impossible de faire un comptage manuel.. <|> .. => suggestions : ['…', '.']

167 Mot inconnu : oki => nov. 30 21:30:57 <draco31fr>	oki <|> oki

168 Mot inconnu : huats => nov. 30 21:31:24 <spineaker>	huats, toujours le même problème… <|> huats

170 Il manque probablement un trait d’union. => nov. 30 21:31:49 <aldian>	Il y a aussi les gens qui passent, qui font un tour le temps de prendre l'ambiance et puis qui repartent au bout d'une demi heure (genre moi) <|> demi heure => suggestions : ['demi-heure']

172 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:32:02 <aldian>	pour les compter.... <|> .... => suggestions : ['…']

174 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:32:35 <huats>	c'est pour ça que le nombre de personne à l'instant T *2 nous a semblé bien (quitte à minimiser...) <|> ... => suggestions : ['…']

