13 Mot inconnu : planet [[4:10]] =>   * planet <|> planet

22 Forme interrogative ? Mettez un trait d’union. [[0:14]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> inscrivez vous => suggestions : ['Inscrivez-vous']
22 Accord de genre erroné : « mailing » est masculin. [[17:19]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> la => suggestions : ['le']
22 Mot inconnu : list [[28:32]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> list
22 Mot inconnu : ubuntu_webdev-fr [[55:71]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> ubuntu_webdev-fr
22 Mot inconnu : lists [[77:82]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> lists
22 Mot inconnu : ubuntu-eu [[83:92]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> ubuntu-eu

24 Mot inconnu : email [[24:29]] => ^ Nom Prénom (Pseudo) ^ email (pas en clair...) ^ messagerie instantanée si dispo ^ intéret dans le projet ^ <|> email
24 Typographie : points de suspension. Utilisez le caractère dédié. [[43:46]] => ^ Nom Prénom (Pseudo) ^ email (pas en clair...) ^ messagerie instantanée si dispo ^ intéret dans le projet ^ <|> ... => suggestions : ['…']
24 Mot inconnu : dispo [[76:81]] => ^ Nom Prénom (Pseudo) ^ email (pas en clair...) ^ messagerie instantanée si dispo ^ intéret dans le projet ^ <|> dispo
24 Mot inconnu : intéret [[84:91]] => ^ Nom Prénom (Pseudo) ^ email (pas en clair...) ^ messagerie instantanée si dispo ^ intéret dans le projet ^ <|> intéret

25 Mot inconnu : Sauthier [[13:21]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> sauthier
27 Mot inconnu : sam7 [[26:30]] => | Sylvain MICHEL (Sam7) | sam7.ubuntu CHEZ gmail POINT com  | IRC (freenode) | ni admin, ni développeur... | <|> sam7
27 Mot inconnu : gmail [[43:48]] => | Sylvain MICHEL (Sam7) | sam7.ubuntu CHEZ gmail POINT com  | IRC (freenode) | ni admin, ni développeur... | <|> gmail
27 Espace(s) surnuméraire(s) à supprimer. [[58:60]] => | Sylvain MICHEL (Sam7) | sam7.ubuntu CHEZ gmail POINT com  | IRC (freenode) | ni admin, ni développeur... | <|>    => suggestions : [' ']
27 Mot inconnu : IRC [[62:65]] => | Sylvain MICHEL (Sam7) | sam7.ubuntu CHEZ gmail POINT com  | IRC (freenode) | ni admin, ni développeur... | <|> irc
27 Mot inconnu : freenode [[67:75]] => | Sylvain MICHEL (Sam7) | sam7.ubuntu CHEZ gmail POINT com  | IRC (freenode) | ni admin, ni développeur... | <|> freenode
27 Typographie : points de suspension. Utilisez le caractère dédié. [[103:106]] => | Sylvain MICHEL (Sam7) | sam7.ubuntu CHEZ gmail POINT com  | IRC (freenode) | ni admin, ni développeur... | <|> ... => suggestions : ['…']

28 Mot inconnu : Patenaude [[12:21]] => | Alexandre Patenaude (AlexandreP) | alexandre POINT patenaude AROBASE gmail POINT com |  | Développement HTML/CSS de mockup, développement de thèmes à partir de modèles HTML/CSS | <|> patenaude
28 Mot inconnu : AlexandreP [[23:33]] => | Alexandre Patenaude (AlexandreP) | alexandre POINT patenaude AROBASE gmail POINT com |  | Développement HTML/CSS de mockup, développement de thèmes à partir de modèles HTML/CSS | <|> alexandrep
28 Mot inconnu : alexandre [[37:46]] => | Alexandre Patenaude (AlexandreP) | alexandre POINT patenaude AROBASE gmail POINT com |  | Développement HTML/CSS de mockup, développement de thèmes à partir de modèles HTML/CSS | <|> alexandre
28 Mot inconnu : patenaude [[53:62]] => | Alexandre Patenaude (AlexandreP) | alexandre POINT patenaude AROBASE gmail POINT com |  | Développement HTML/CSS de mockup, développement de thèmes à partir de modèles HTML/CSS | <|> patenaude
28 Mot inconnu : gmail [[71:76]] => | Alexandre Patenaude (AlexandreP) | alexandre POINT patenaude AROBASE gmail POINT com |  | Développement HTML/CSS de mockup, développement de thèmes à partir de modèles HTML/CSS | <|> gmail
28 Mot inconnu : mockup [[118:124]] => | Alexandre Patenaude (AlexandreP) | alexandre POINT patenaude AROBASE gmail POINT com |  | Développement HTML/CSS de mockup, développement de thèmes à partir de modèles HTML/CSS | <|> mockup
