1 Mot inconnu : firefox => ====== installation et configuration avancée de firefox ====== | firefox
71 Mot inconnu : scroll => Cette option peut prendre la valeur 1. Dans ce cas, elle servira à remontrer la page vers le haut (scroll up). Pour toute autre valeur, la touche backspace sera désactivée (unmap). | scroll
71 Mot inconnu : up => Cette option peut prendre la valeur 1. Dans ce cas, elle servira à remontrer la page vers le haut (scroll up). Pour toute autre valeur, la touche backspace sera désactivée (unmap). | up
71 Mot inconnu : backspace => Cette option peut prendre la valeur 1. Dans ce cas, elle servira à remontrer la page vers le haut (scroll up). Pour toute autre valeur, la touche backspace sera désactivée (unmap). | backspace
71 Mot inconnu : unmap => Cette option peut prendre la valeur 1. Dans ce cas, elle servira à remontrer la page vers le haut (scroll up). Pour toute autre valeur, la touche backspace sera désactivée (unmap). | unmap

75 Mot inconnu : FIXME => FIXME Pour cette partie chez moi ils sont par défaut à cette valeur !! | fixme

77 Guillemets typographiques ouvrants. => De base, le défilement horizontal agit comme les boutons 'précédent' et 'suivant'. | ' => suggestions : ['“', '‘', '‹']
77 Guillemets typographiques fermants. => De base, le défilement horizontal agit comme les boutons 'précédent' et 'suivant'. | ' => suggestions : ['”', '’', '›']
77 Guillemets typographiques ouvrants. => De base, le défilement horizontal agit comme les boutons 'précédent' et 'suivant'. | ' => suggestions : ['“', '‘', '‹']

86 Mot inconnu : bookmarklet => Un [[bookmarklet]] (ou un marque-page scripté) est un petit programme JavaScript qui s'exécute dans le navigateur, et vous rend le web tellement plus facile ! | bookmarklet

90 Mot inconnu : superscroll => Par défaut le défilement de la molette est de 3 lignes. Pour Firefox 2, on peut installer l'extension superscroll qui permet de spécifier le nombre de lignes pour chaque défilement. Cette extension est incompatible avec Firefox 3. La solution pour Firefox 3 : | superscroll

108 Guillemets typographiques ouvrants. => Par défaut une fenêtre "pop-up" surgit pour vous notifier de la fin d'un téléchargement, pas forcément utile pour tous et petite animation pouvant être la cause de grand ralentissement sur une configuration légère, voici comment s'en dispenser : | " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. => Par défaut une fenêtre "pop-up" surgit pour vous notifier de la fin d'un téléchargement, pas forcément utile pour tous et petite animation pouvant être la cause de grand ralentissement sur une configuration légère, voici comment s'en dispenser : | " => suggestions : ['\xa0»', '”']

124 Mot inconnu : Arial => <note tip>Il est généralement préférable de conserver les paramètres de mise en forme par défaut des pages web pour conserver un affichage optimal. Mais, sur le Web les polices sont très mal gérées et il n'y a pas de formatage précis des polices. Les gens mettent généralement du //Arial// en grosseur 12, vont parfois changer la couleur ou la graisse mais pas plus. Le fait de changer la police ne va rien détruire. Ce ne serait pas le cas si l'on travaillait avec une mise en page de document imprimé faite par un professionnel. Dans ce type de mise en page, le choix de la police, de la taille et d'une multitude d'autres détails est fait avec soin et le fait de changer tout ça pour un vulgaire formatage en //SansSerif// détruirait toute la beauté de la mise en page.</note> | arial
124 Mot inconnu : SansSerif => <note tip>Il est généralement préférable de conserver les paramètres de mise en forme par défaut des pages web pour conserver un affichage optimal. Mais, sur le Web les polices sont très mal gérées et il n'y a pas de formatage précis des polices. Les gens mettent généralement du //Arial// en grosseur 12, vont parfois changer la couleur ou la graisse mais pas plus. Le fait de changer la police ne va rien détruire. Ce ne serait pas le cas si l'on travaillait avec une mise en page de document imprimé faite par un professionnel. Dans ce type de mise en page, le choix de la police, de la taille et d'une multitude d'autres détails est fait avec soin et le fait de changer tout ça pour un vulgaire formatage en //SansSerif// détruirait toute la beauté de la mise en page.</note> | sansserif

128 Mot inconnu : nvidia => Si vous avez une carte graphique nvidia la solution est simple : | nvidia

133 Mot inconnu : Device => à ajouter à la section Device du xorg.conf de façon à obtenir quelque chose du style : | device
133 Mot inconnu : xorg => à ajouter à la section Device du xorg.conf de façon à obtenir quelque chose du style : | xorg
133 Il manque un espace. => à ajouter à la section Device du xorg.conf de façon à obtenir quelque chose du style : | conf => suggestions : [' conf']

143 Mot inconnu : Jaunty => Testé et validé sous Jaunty. Bien que le problème ne soit pas très gênant, la différence est bluffante ! | jaunty

206 Mot inconnu : checkbox => <note>La méthode ci-dessus peut présenter des bugs d'affichage pour les checkbox et les radios sur Firefox Quantum</note> | checkbox
