
4 Mot inconnu : Systemd => ====== Systemd ====== | systemd
13 Mot inconnu : target => Il introduit la notion d'unité. Une unité représente un fichier de configuration. Entre autres, une unité peut être un service (*.service), un target (*.target), un montage (*.mount), un socket (*.socket)… \\ | target
13 Mot inconnu : mount => Il introduit la notion d'unité. Une unité représente un fichier de configuration. Entre autres, une unité peut être un service (*.service), un target (*.target), un montage (*.mount), un socket (*.socket)… \\ | mount

22 Espace(s) en fin de ligne à supprimer. => Où   |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

31 Espace(s) en fin de ligne à supprimer. => Quelle que soit l'action menée sur un service, au prochain démarrage de la machine celui-ci devrait retrouver le status qui lui a été [[#Modifier l'exécution d'un service|défini par défaut]].  |   => suggestions : ['']

32 Mot inconnu : sudo => <note>Il n'est pas nécessaire d'utiliser sudo devant ces commandes. Systemctl vous demandera votre mot de passe root en cas de besoin (presque à chaque fois, donc)</note> | sudo
32 Mot inconnu : Systemctl => <note>Il n'est pas nécessaire d'utiliser sudo devant ces commandes. Systemctl vous demandera votre mot de passe root en cas de besoin (presque à chaque fois, donc)</note> | systemctl
32 Mot inconnu : root => <note>Il n'est pas nécessaire d'utiliser sudo devant ces commandes. Systemctl vous demandera votre mot de passe root en cas de besoin (presque à chaque fois, donc)</note> | root

41 Mot inconnu : sudo => Par exemple **sudo restart lightdm** est équivalent à **systelctl restart lightdm.service**.\\ | sudo
41 Mot inconnu : restart => Par exemple **sudo restart lightdm** est équivalent à **systelctl restart lightdm.service**.\\ | restart
41 Mot inconnu : lightdm => Par exemple **sudo restart lightdm** est équivalent à **systelctl restart lightdm.service**.\\ | lightdm
41 Mot inconnu : systelctl => Par exemple **sudo restart lightdm** est équivalent à **systelctl restart lightdm.service**.\\ | systelctl
41 Mot inconnu : restart => Par exemple **sudo restart lightdm** est équivalent à **systelctl restart lightdm.service**.\\ | restart
41 Mot inconnu : lightdm => Par exemple **sudo restart lightdm** est équivalent à **systelctl restart lightdm.service**.\\ | lightdm
41 Il manque un espace. => Par exemple **sudo restart lightdm** est équivalent à **systelctl restart lightdm.service**.\\ | service => suggestions : [' service']

42 Mot inconnu : systemctl => L'outil **service** est également branché sur systemctl. **service automount restart** est équivalent à **systelctl restart automount.service**</note> | systemctl
42 Mot inconnu : automount => L'outil **service** est également branché sur systemctl. **service automount restart** est équivalent à **systelctl restart automount.service**</note> | automount
42 Mot inconnu : restart => L'outil **service** est également branché sur systemctl. **service automount restart** est équivalent à **systelctl restart automount.service**</note> | restart
42 Mot inconnu : systelctl => L'outil **service** est également branché sur systemctl. **service automount restart** est équivalent à **systelctl restart automount.service**</note> | systelctl
42 Mot inconnu : restart => L'outil **service** est également branché sur systemctl. **service automount restart** est équivalent à **systelctl restart automount.service**</note> | restart
42 Mot inconnu : automount => L'outil **service** est également branché sur systemctl. **service automount restart** est équivalent à **systelctl restart automount.service**</note> | automount
42 Il manque un espace. => L'outil **service** est également branché sur systemctl. **service automount restart** est équivalent à **systelctl restart automount.service**</note> | service => suggestions : [' service']

52 Confusion probable : « peut-être » signifie « possiblement ». => Cela peut-être pratique pour trouver le service qui ralenti votre démarrage. | peut-être => suggestions : ['peut être']
52 Confusion probable entre participe passé et forme verbale conjuguée. => Cela peut-être pratique pour trouver le service qui ralenti votre démarrage. | ralenti => suggestions : ['ralentissait', 'ralentit']

56 Mot inconnu : desactiver => Pour desactiver un service, il faut taper : | desactiver

58 Mot inconnu : redemarrage => Ainsi, au prochain redemarrage du système, le service correspondant ne sera plus lancé.\\ | redemarrage

60 Confusion probable : “sont” est le verbe “être” à la 3ᵉ personne du pluriel. Pour le déterminant, écrivez “son”. => Pour activer un service ou relire sont fichier de configuration, il faut taper: | sont => suggestions : ['son']
60 Accord avec la forme verbale “sont” : “fichier” devrait être au pluriel. => Pour activer un service ou relire sont fichier de configuration, il faut taper: | fichier => suggestions : ['fichiers']

73 Mot inconnu : systemadm => Il existe un utilitaire graphique qui se nomme **systemadm** pour gérer systemd.\\ | systemadm
73 Mot inconnu : systemd => Il existe un utilitaire graphique qui se nomme **systemadm** pour gérer systemd.\\ | systemd

75 Mot inconnu : Systemd => ==== Personnaliser un fichier de configuration Systemd==== | systemd

83 Mot inconnu : Systemd => Systemd defini differents types de services : | systemd
83 Mot inconnu : defini => Systemd defini differents types de services : | defini
83 Mot inconnu : differents => Systemd defini differents types de services : | differents

90 Guillemets typographiques ouvrants. => ===Exemple de service de type "oneshot"=== | " => suggestions : ['«\xa0', '“']
90 Mot inconnu : oneshot => ===Exemple de service de type "oneshot"=== | oneshot
90 Guillemets typographiques fermants. => ===Exemple de service de type "oneshot"=== | " => suggestions : ['\xa0»', '”']

91 Mot inconnu : iptables => Un exemple est le service iptables. Voici un extrait de son fichier de configuration : | iptables

95 Mot inconnu : oneshot => Type=oneshot | oneshot

96 Mot inconnu : RemainAfterExit => RemainAfterExit=yes | remainafterexit
96 Mot inconnu : yes => RemainAfterExit=yes | yes

97 Mot inconnu : ExecStart => ExecStart=/usr/libexec/iptables.init start | execstart
97 Mot inconnu : start => ExecStart=/usr/libexec/iptables.init start | start

98 Mot inconnu : ExecStop => ExecStop=/usr/libexec/iptables.init stop  | execstop
98 Espace(s) en fin de ligne à supprimer. => ExecStop=/usr/libexec/iptables.init stop  |   => suggestions : ['']

109 Guillemets typographiques ouvrants. => ===Exemple de service de type "simple"=== | " => suggestions : ['«\xa0', '“']
109 Guillemets typographiques fermants. => ===Exemple de service de type "simple"=== | " => suggestions : ['\xa0»', '”']

114 Mot inconnu : Deluge => Description=Deluge Bittorrent Client Daemon | deluge
114 Mot inconnu : Bittorrent => Description=Deluge Bittorrent Client Daemon | bittorrent
114 Mot inconnu : Daemon => Description=Deluge Bittorrent Client Daemon | daemon

115 Mot inconnu : network-online => After=network-online.target | network-online
115 Mot inconnu : target => After=network-online.target | target

120 Mot inconnu : deluge => User=deluge | deluge

121 Mot inconnu : Group => Group=deluge | group
121 Mot inconnu : deluge => Group=deluge | deluge

122 Mot inconnu : UMask => UMask=007 | umask

124 Mot inconnu : ExecStart => ExecStart=/usr/bin/deluged -d | execstart
124 Il manque un espace à côté du tiret. => ExecStart=/usr/bin/deluged -d |  - => suggestions : [' – ', ' — ']

126 Mot inconnu : Restart => Restart=on-failure | restart
126 Mot inconnu : on-failure => Restart=on-failure | on-failure

128 S’il s’agit d’un impératif, pas de “s”. => # Configures the time to wait before service is stopped forcefully. | configures => suggestions : ['Configure']
128 Mot inconnu : the => # Configures the time to wait before service is stopped forcefully. | the
128 Mot inconnu : time => # Configures the time to wait before service is stopped forcefully. | time
128 Mot inconnu : to => # Configures the time to wait before service is stopped forcefully. | to
128 Mot inconnu : wait => # Configures the time to wait before service is stopped forcefully. | wait
128 Mot inconnu : before => # Configures the time to wait before service is stopped forcefully. | before
128 Mot inconnu : is => # Configures the time to wait before service is stopped forcefully. | is
128 Mot inconnu : stopped => # Configures the time to wait before service is stopped forcefully. | stopped
128 Mot inconnu : forcefully => # Configures the time to wait before service is stopped forcefully. | forcefully

129 Mot inconnu : TimeoutStopSec => TimeoutStopSec=300 | timeoutstopsec

131 Mot inconnu : Install => [Install] | install

132 Mot inconnu : WantedBy => WantedBy=multi-user.target | wantedby
132 Mot inconnu : target => WantedBy=multi-user.target | target

133 Espace(s) en fin de ligne à supprimer. => </file>  |   => suggestions : ['']

148 Mot inconnu : Syncthing => Description=Syncthing - Open Source Continuous File Synchronization for %I | syncthing
148 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Description=Syncthing - Open Source Continuous File Synchronization for %I |  -  => suggestions : [' – ', ' — ', ' − ']
148 Mot inconnu : Continuous => Description=Syncthing - Open Source Continuous File Synchronization for %I | continuous
148 Mot inconnu : Synchronization => Description=Syncthing - Open Source Continuous File Synchronization for %I | synchronization
148 Il manque un espace. => Description=Syncthing - Open Source Continuous File Synchronization for %I | i => suggestions : [' I']

149 Il manque un espace. => Documentation=man:syncthing(1) | syncthing => suggestions : [' syncthing']
149 Mot inconnu : syncthing => Documentation=man:syncthing(1) | syncthing

150 Mot inconnu : network => After=network.target | network
150 Mot inconnu : target => After=network.target | target

151 Mot inconnu : Wants => Wants=syncthing-inotify@.service | wants
151 Mot inconnu : syncthing-inotify => Wants=syncthing-inotify@.service | syncthing-inotify

154 Il manque un espace. => User=%i | i => suggestions : [' i']

155 Mot inconnu : ExecStart => ExecStart=/usr/bin/syncthing -no-browser -no-restart -logflags=0 | execstart
155 Il manque un espace à côté du tiret. => ExecStart=/usr/bin/syncthing -no-browser -no-restart -logflags=0 |  - => suggestions : [' – ', ' — ']
155 Mot inconnu : no-browser => ExecStart=/usr/bin/syncthing -no-browser -no-restart -logflags=0 | no-browser
155 Mot inconnu : no-restart => ExecStart=/usr/bin/syncthing -no-browser -no-restart -logflags=0 | no-restart
155 Mot inconnu : logflags => ExecStart=/usr/bin/syncthing -no-browser -no-restart -logflags=0 | logflags

156 Mot inconnu : Restart => Restart=on-failure | restart
156 Mot inconnu : on-failure => Restart=on-failure | on-failure

157 Mot inconnu : SuccessExitStatus => SuccessExitStatus=3 4 | successexitstatus

158 Mot inconnu : RestartForceExitStatus => RestartForceExitStatus=3 4 | restartforceexitstatus

159 Mot inconnu : UMask => UMask=0002 | umask

161 Mot inconnu : Install => [Install] | install

162 Mot inconnu : WantedBy => WantedBy=multi-user.target | wantedby
162 Mot inconnu : target => WantedBy=multi-user.target | target

174 Mot inconnu : targets => ===== Les targets ===== | targets

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

180 Mot inconnu : Runlevel => ^ Runlevel 	^ Systemd Target 								^ Notes 										^ | runlevel
180 Incohérence : espace et tabulation. => ^ Runlevel 	^ Systemd Target 								^ Notes 										^ |  	 => suggestions : [' ', '\t']
180 Mot inconnu : Systemd => ^ Runlevel 	^ Systemd Target 								^ Notes 										^ | systemd
180 Mot inconnu : Target => ^ Runlevel 	^ Systemd Target 								^ Notes 										^ | target
180 Incohérence : espace et tabulation. => ^ Runlevel 	^ Systemd Target 								^ Notes 										^ |  	 => suggestions : [' ', '\t']
180 Incohérence : espace et tabulation. => ^ Runlevel 	^ Systemd Target 								^ Notes 										^ |  	 => suggestions : [' ', '\t']

181 Mot inconnu : runlevel0 => ^       0		| runlevel0.target, poweroff.target 					| Arrête le système 								| | runlevel0
181 Mot inconnu : target => ^       0		| runlevel0.target, poweroff.target 					| Arrête le système 								| | target
181 Mot inconnu : poweroff => ^       0		| runlevel0.target, poweroff.target 					| Arrête le système 								| | poweroff
181 Mot inconnu : target => ^       0		| runlevel0.target, poweroff.target 					| Arrête le système 								| | target
181 Incohérence : espace et tabulation. => ^       0		| runlevel0.target, poweroff.target 					| Arrête le système 								| |  	 => suggestions : [' ', '\t']
181 Incohérence : espace et tabulation. => ^       0		| runlevel0.target, poweroff.target 					| Arrête le système 								| |  	 => suggestions : [' ', '\t']

182 Incohérence : espace et tabulation. => ^ 	1 		| runlevel1.target, rescue.target 					| Mode single user 								| |  	 => suggestions : [' ', '\t']
182 Incohérence : espace et tabulation. => ^ 	1 		| runlevel1.target, rescue.target 					| Mode single user 								| |  	 => suggestions : [' ', '\t']
182 Mot inconnu : runlevel1 => ^ 	1 		| runlevel1.target, rescue.target 					| Mode single user 								| | runlevel1
182 Mot inconnu : target => ^ 	1 		| runlevel1.target, rescue.target 					| Mode single user 								| | target
182 Mot inconnu : rescue => ^ 	1 		| runlevel1.target, rescue.target 					| Mode single user 								| | rescue
182 Mot inconnu : target => ^ 	1 		| runlevel1.target, rescue.target 					| Mode single user 								| | target
182 Incohérence : espace et tabulation. => ^ 	1 		| runlevel1.target, rescue.target 					| Mode single user 								| |  	 => suggestions : [' ', '\t']
182 Incohérence : espace et tabulation. => ^ 	1 		| runlevel1.target, rescue.target 					| Mode single user 								| |  	 => suggestions : [' ', '\t']

183 Incohérence : espace et tabulation. => ^ 	3 		| runlevel3.target, multi-user.target 					| Mode multi-utilisateur, non graphique				| |  	 => suggestions : [' ', '\t']
183 Incohérence : espace et tabulation. => ^ 	3 		| runlevel3.target, multi-user.target 					| Mode multi-utilisateur, non graphique				| |  	 => suggestions : [' ', '\t']
183 Mot inconnu : runlevel3 => ^ 	3 		| runlevel3.target, multi-user.target 					| Mode multi-utilisateur, non graphique				| | runlevel3
183 Mot inconnu : target => ^ 	3 		| runlevel3.target, multi-user.target 					| Mode multi-utilisateur, non graphique				| | target
183 Mot inconnu : target => ^ 	3 		| runlevel3.target, multi-user.target 					| Mode multi-utilisateur, non graphique				| | target
183 Incohérence : espace et tabulation. => ^ 	3 		| runlevel3.target, multi-user.target 					| Mode multi-utilisateur, non graphique				| |  	 => suggestions : [' ', '\t']

184 Incohérence : espace et tabulation. => ^ 	2, 4 		| runlevel2.target, runlevel4.target, multi-user.target 	| Mode défini par l'utilisateur, identique au 3 par défaut.	| |  	 => suggestions : [' ', '\t']
184 Incohérence : espace et tabulation. => ^ 	2, 4 		| runlevel2.target, runlevel4.target, multi-user.target 	| Mode défini par l'utilisateur, identique au 3 par défaut.	| |  	 => suggestions : [' ', '\t']
184 Mot inconnu : runlevel2 => ^ 	2, 4 		| runlevel2.target, runlevel4.target, multi-user.target 	| Mode défini par l'utilisateur, identique au 3 par défaut.	| | runlevel2
184 Mot inconnu : target => ^ 	2, 4 		| runlevel2.target, runlevel4.target, multi-user.target 	| Mode défini par l'utilisateur, identique au 3 par défaut.	| | target
184 Mot inconnu : runlevel4 => ^ 	2, 4 		| runlevel2.target, runlevel4.target, multi-user.target 	| Mode défini par l'utilisateur, identique au 3 par défaut.	| | runlevel4
184 Mot inconnu : target => ^ 	2, 4 		| runlevel2.target, runlevel4.target, multi-user.target 	| Mode défini par l'utilisateur, identique au 3 par défaut.	| | target
184 Mot inconnu : target => ^ 	2, 4 		| runlevel2.target, runlevel4.target, multi-user.target 	| Mode défini par l'utilisateur, identique au 3 par défaut.	| | target
184 Incohérence : espace et tabulation. => ^ 	2, 4 		| runlevel2.target, runlevel4.target, multi-user.target 	| Mode défini par l'utilisateur, identique au 3 par défaut.	| |  	 => suggestions : [' ', '\t']

185 Incohérence : espace et tabulation. => ^ 	5 		| runlevel5.target, graphical.target 					| Mode graphique multi-utilisateur 					| |  	 => suggestions : [' ', '\t']
185 Incohérence : espace et tabulation. => ^ 	5 		| runlevel5.target, graphical.target 					| Mode graphique multi-utilisateur 					| |  	 => suggestions : [' ', '\t']
185 Mot inconnu : runlevel5 => ^ 	5 		| runlevel5.target, graphical.target 					| Mode graphique multi-utilisateur 					| | runlevel5
185 Mot inconnu : target => ^ 	5 		| runlevel5.target, graphical.target 					| Mode graphique multi-utilisateur 					| | target
185 Mot inconnu : graphical => ^ 	5 		| runlevel5.target, graphical.target 					| Mode graphique multi-utilisateur 					| | graphical
185 Mot inconnu : target => ^ 	5 		| runlevel5.target, graphical.target 					| Mode graphique multi-utilisateur 					| | target
185 Incohérence : espace et tabulation. => ^ 	5 		| runlevel5.target, graphical.target 					| Mode graphique multi-utilisateur 					| |  	 => suggestions : [' ', '\t']
185 Incohérence : espace et tabulation. => ^ 	5 		| runlevel5.target, graphical.target 					| Mode graphique multi-utilisateur 					| |  	 => suggestions : [' ', '\t']

186 Incohérence : espace et tabulation. => ^ 	6 		| runlevel6.target, reboot.target 					| Redémarre									| |  	 => suggestions : [' ', '\t']
186 Incohérence : espace et tabulation. => ^ 	6 		| runlevel6.target, reboot.target 					| Redémarre									| |  	 => suggestions : [' ', '\t']
186 Mot inconnu : runlevel6 => ^ 	6 		| runlevel6.target, reboot.target 					| Redémarre									| | runlevel6
186 Mot inconnu : target => ^ 	6 		| runlevel6.target, reboot.target 					| Redémarre									| | target
186 Mot inconnu : reboot => ^ 	6 		| runlevel6.target, reboot.target 					| Redémarre									| | reboot
186 Mot inconnu : target => ^ 	6 		| runlevel6.target, reboot.target 					| Redémarre									| | target
186 Incohérence : espace et tabulation. => ^ 	6 		| runlevel6.target, reboot.target 					| Redémarre									| |  	 => suggestions : [' ', '\t']

187 Mot inconnu : emergency => ^  emergency 	| emergency.target 								| Shell d'urgence 								| | emergency
187 Incohérence : espace et tabulation. => ^  emergency 	| emergency.target 								| Shell d'urgence 								| |  	 => suggestions : [' ', '\t']
187 Mot inconnu : emergency => ^  emergency 	| emergency.target 								| Shell d'urgence 								| | emergency
187 Mot inconnu : target => ^  emergency 	| emergency.target 								| Shell d'urgence 								| | target
187 Incohérence : espace et tabulation. => ^  emergency 	| emergency.target 								| Shell d'urgence 								| |  	 => suggestions : [' ', '\t']
187 Incohérence : espace et tabulation. => ^  emergency 	| emergency.target 								| Shell d'urgence 								| |  	 => suggestions : [' ', '\t']

202 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => Vous pouvez utilisez d'autre commande pour gérer l'état de votre ordinateur (dans l'ordre, éteindre / mettre en veille / hiberner) : | utilisez => suggestions : ['utiliser']

209 Mot inconnu : target => Enfin, vous pouvez définir le target par défaut au démarrage en tapant : | target

213 Mot inconnu : targets => ====Infos sur les targets ==== | targets

217 Mot inconnu : target => Pour savoir quelles unités sont regroupés au sein d'une target, tapez : | target

223 Mot inconnu : systemd => systemd possède son propre mécanisme de journalisation, appelé "The Journal". | systemd
223 Guillemets typographiques ouvrants. => systemd possède son propre mécanisme de journalisation, appelé "The Journal". | " => suggestions : ['«\xa0', '“']
223 Mot inconnu : The => systemd possède son propre mécanisme de journalisation, appelé "The Journal". | the
223 Guillemets typographiques fermants. => systemd possède son propre mécanisme de journalisation, appelé "The Journal". | " => suggestions : ['\xa0»', '”']

228 Mot inconnu : PID => Pour une gestion plus fine, vous pouvez consulter les messages d'un seul service par son //nom//, son //PID// ou même son //exécutable// : | pid

236 Mot inconnu : journalctl => journalctl permet aussi de filtrer par le niveau de log (tel que défini par syslog). Pour n'afficher que les erreurs : | journalctl
236 Mot inconnu : syslog => journalctl permet aussi de filtrer par le niveau de log (tel que défini par syslog). Pour n'afficher que les erreurs : | syslog

240 Mot inconnu : generés => Il existe un logiciel graphique nommé **Gnome-logs** pour lire les fichiers de log generés par systemd. | generés
240 Mot inconnu : systemd => Il existe un logiciel graphique nommé **Gnome-logs** pour lire les fichiers de log generés par systemd. | systemd
