1 Mot inconnu : ZwookMachine => ====== ZwookMachine ====== | zwookmachine
27 Mot inconnu : cd_ubuntu-fr => Rendez-vous sur la page des [[http://ubuntu-fr.org/telechargement|téléchargements]]. J'aime particulièrement la [[/cd_ubuntu-fr#liens_de_telechargement_du_cd|version francisée]] ! | cd_ubuntu-fr

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une nouvelle table de partitions |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une partition primaire /boot de 384 MB, de type ext3 ou ext4 (/dev/sda1) ; |    => suggestions : ['']
35 Mot inconnu : MB =>   * une partition primaire /boot de 384 MB, de type ext3 ou ext4 (/dev/sda1) ; | mb
35 Mot inconnu : ext3 =>   * une partition primaire /boot de 384 MB, de type ext3 ou ext4 (/dev/sda1) ; | ext3
35 Mot inconnu : ext4 =>   * une partition primaire /boot de 384 MB, de type ext3 ou ext4 (/dev/sda1) ; | ext4

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une partition étendue swap, de type swap (/dev/sda5), de taille 1,5 fois celle de la RAM (si vous avez 4 GB de RAM, mettez 6 GB) ; |    => suggestions : ['']
36 Mot inconnu : GB =>   * une partition étendue swap, de type swap (/dev/sda5), de taille 1,5 fois celle de la RAM (si vous avez 4 GB de RAM, mettez 6 GB) ; | gb
36 Mot inconnu : GB =>   * une partition étendue swap, de type swap (/dev/sda5), de taille 1,5 fois celle de la RAM (si vous avez 4 GB de RAM, mettez 6 GB) ; | gb

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une partition étendue /, de type ext3 ou ext4 (/dev/sda6), de taille 4 à 5 GB ; |    => suggestions : ['']
37 Mot inconnu : ext3 =>   * une partition étendue /, de type ext3 ou ext4 (/dev/sda6), de taille 4 à 5 GB ; | ext3
37 Mot inconnu : ext4 =>   * une partition étendue /, de type ext3 ou ext4 (/dev/sda6), de taille 4 à 5 GB ; | ext4
37 Mot inconnu : GB =>   * une partition étendue /, de type ext3 ou ext4 (/dev/sda6), de taille 4 à 5 GB ; | gb

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une partition étendue /home, de type ext3 ou ext4 (/dev/sda7), de taille 4 à 5 GB ; |    => suggestions : ['']
38 Mot inconnu : ext3 =>   * une partition étendue /home, de type ext3 ou ext4 (/dev/sda7), de taille 4 à 5 GB ; | ext3
38 Mot inconnu : ext4 =>   * une partition étendue /home, de type ext3 ou ext4 (/dev/sda7), de taille 4 à 5 GB ; | ext4
38 Mot inconnu : GB =>   * une partition étendue /home, de type ext3 ou ext4 (/dev/sda7), de taille 4 à 5 GB ; | gb

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une partition étendue /tmp, de type ext3 ou ext4 (/dev/sda8), de taille 4 à 6 GB (j'ai vu des serveurs planter parce que le /tmp devenait trop gros, notamment avec de gros sites Zope) ; |    => suggestions : ['']
39 Mot inconnu : ext3 =>   * une partition étendue /tmp, de type ext3 ou ext4 (/dev/sda8), de taille 4 à 6 GB (j'ai vu des serveurs planter parce que le /tmp devenait trop gros, notamment avec de gros sites Zope) ; | ext3
39 Mot inconnu : ext4 =>   * une partition étendue /tmp, de type ext3 ou ext4 (/dev/sda8), de taille 4 à 6 GB (j'ai vu des serveurs planter parce que le /tmp devenait trop gros, notamment avec de gros sites Zope) ; | ext4
39 Mot inconnu : GB =>   * une partition étendue /tmp, de type ext3 ou ext4 (/dev/sda8), de taille 4 à 6 GB (j'ai vu des serveurs planter parce que le /tmp devenait trop gros, notamment avec de gros sites Zope) ; | gb
39 Mot inconnu : Zope =>   * une partition étendue /tmp, de type ext3 ou ext4 (/dev/sda8), de taille 4 à 6 GB (j'ai vu des serveurs planter parce que le /tmp devenait trop gros, notamment avec de gros sites Zope) ; | zope

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une partition étendue /var, de type ext3 ou ext4 (/dev/sda8), occupant le reste du disque. |    => suggestions : ['']
40 Mot inconnu : ext3 =>   * une partition étendue /var, de type ext3 ou ext4 (/dev/sda8), occupant le reste du disque. | ext3
40 Mot inconnu : ext4 =>   * une partition étendue /var, de type ext3 ou ext4 (/dev/sda8), occupant le reste du disque. | ext4
42 Mot inconnu : html => C'est en effet la partition /var qui va recueillir toutes les données du serveur : /var/www contiendra les pages html et php, les cripts cgi (et tout ce qui concerne Apache) ; /var/lib/mysql contiendra les bases de données MySQL ; /var/lib/zope//x.y// (où x.y est la version de Zope installée) contiendra les sites et bases de données Zope, etc. | html
42 Mot inconnu : php => C'est en effet la partition /var qui va recueillir toutes les données du serveur : /var/www contiendra les pages html et php, les cripts cgi (et tout ce qui concerne Apache) ; /var/lib/mysql contiendra les bases de données MySQL ; /var/lib/zope//x.y// (où x.y est la version de Zope installée) contiendra les sites et bases de données Zope, etc. | php
42 Mot inconnu : cripts => C'est en effet la partition /var qui va recueillir toutes les données du serveur : /var/www contiendra les pages html et php, les cripts cgi (et tout ce qui concerne Apache) ; /var/lib/mysql contiendra les bases de données MySQL ; /var/lib/zope//x.y// (où x.y est la version de Zope installée) contiendra les sites et bases de données Zope, etc. | cripts
42 Mot inconnu : cgi => C'est en effet la partition /var qui va recueillir toutes les données du serveur : /var/www contiendra les pages html et php, les cripts cgi (et tout ce qui concerne Apache) ; /var/lib/mysql contiendra les bases de données MySQL ; /var/lib/zope//x.y// (où x.y est la version de Zope installée) contiendra les sites et bases de données Zope, etc. | cgi
42 Mot inconnu : MySQL => C'est en effet la partition /var qui va recueillir toutes les données du serveur : /var/www contiendra les pages html et php, les cripts cgi (et tout ce qui concerne Apache) ; /var/lib/mysql contiendra les bases de données MySQL ; /var/lib/zope//x.y// (où x.y est la version de Zope installée) contiendra les sites et bases de données Zope, etc. | mysql
42 Mot inconnu : Zope => C'est en effet la partition /var qui va recueillir toutes les données du serveur : /var/www contiendra les pages html et php, les cripts cgi (et tout ce qui concerne Apache) ; /var/lib/mysql contiendra les bases de données MySQL ; /var/lib/zope//x.y// (où x.y est la version de Zope installée) contiendra les sites et bases de données Zope, etc. | zope
42 Mot inconnu : Zope => C'est en effet la partition /var qui va recueillir toutes les données du serveur : /var/www contiendra les pages html et php, les cripts cgi (et tout ce qui concerne Apache) ; /var/lib/mysql contiendra les bases de données MySQL ; /var/lib/zope//x.y// (où x.y est la version de Zope installée) contiendra les sites et bases de données Zope, etc. | zope
45 Mot inconnu : adminzm => Nom d'utilisateur : **adminzm** | adminzm
49 Mot inconnu : www2 => Nom de machine : je suggère **www**, ou **www2** (si www.votredomaine.com existe déjà) | www2

55 Typographie : points de suspension. Utilisez le caractère dédié. => En présence d'un proxy, vous devrez l'indiquer par l'intermédiaire du bouton **[Avancé...]** dans le panneau **"Prêt à installer"**. | ... => suggestions : ['…']
55 Guillemets typographiques ouvrants. => En présence d'un proxy, vous devrez l'indiquer par l'intermédiaire du bouton **[Avancé...]** dans le panneau **"Prêt à installer"**. | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. => En présence d'un proxy, vous devrez l'indiquer par l'intermédiaire du bouton **[Avancé...]** dans le panneau **"Prêt à installer"**. | " => suggestions : ['\xa0»', '”']
56 Il manque un espace. => N'oubliez pas de renseigner une éventuelle authentification, comme ceci : //identifiant:mot_de_passe//**@ip** | mot_de_passe => suggestions : [' mot_de_passe']
56 Mot inconnu : mot_de_passe => N'oubliez pas de renseigner une éventuelle authentification, comme ceci : //identifiant:mot_de_passe//**@ip** | mot_de_passe

65 Signe de multiplication typographique. => Cependant, si vous vous trouvez bloqué dans une résolution trop basse (800x600 par exemple), et que vous savez pertinemment que votre carte graphique et votre moniteur acceptent une résolution plus grande, essayez d'abord d'installer les pilotes propriétaires de ceux-ci (s'ils existent) dans Système / Administration / Pilotes de périphériques, puis tentez à nouveau de modifier la résolution de l'écran. | 800x600 => suggestions : ['800\xa0×\xa0600']
65 Mot inconnu : x600 => Cependant, si vous vous trouvez bloqué dans une résolution trop basse (800x600 par exemple), et que vous savez pertinemment que votre carte graphique et votre moniteur acceptent une résolution plus grande, essayez d'abord d'installer les pilotes propriétaires de ceux-ci (s'ils existent) dans Système / Administration / Pilotes de périphériques, puis tentez à nouveau de modifier la résolution de l'écran. | x600

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * fermez votre session graphique (déconnectez-vous) |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * quand l'écran de connexion s'affiche, faites un Ctrl-Alt-F1 pour ouvrir la console tty1 ; vous vous retrouvez devant un écran tout noir, qui effraie un peu le néophyte, mais ça mord pas ! |    => suggestions : ['']
69 Mot inconnu : tty1 =>   * quand l'écran de connexion s'affiche, faites un Ctrl-Alt-F1 pour ouvrir la console tty1 ; vous vous retrouvez devant un écran tout noir, qui effraie un peu le néophyte, mais ça mord pas ! | tty1

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sur tty1, connectez-vous en adminzm |    => suggestions : ['']
70 Mot inconnu : tty1 =>   * sur tty1, connectez-vous en adminzm | tty1
70 Mot inconnu : adminzm =>   * sur tty1, connectez-vous en adminzm | adminzm

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une fois connecté, tapez :  |    => suggestions : ['']
71 Espace(s) en fin de ligne à supprimer. =>   * une fois connecté, tapez :  |   => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **sudo service gdm stop** ; cela va arrêter le serveur graphique (gdm est l'interface de connexion graphique) |      => suggestions : ['']
72 Mot inconnu : sudo =>     * **sudo service gdm stop** ; cela va arrêter le serveur graphique (gdm est l'interface de connexion graphique) | sudo
72 Mot inconnu : gdm =>     * **sudo service gdm stop** ; cela va arrêter le serveur graphique (gdm est l'interface de connexion graphique) | gdm
72 Mot inconnu : gdm =>     * **sudo service gdm stop** ; cela va arrêter le serveur graphique (gdm est l'interface de connexion graphique) | gdm

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **sudo X -configure** ; cela va créer le fichier xorg.conf.new |      => suggestions : ['']
73 Mot inconnu : sudo =>     * **sudo X -configure** ; cela va créer le fichier xorg.conf.new | sudo
73 Il manque un espace à côté du tiret. =>     * **sudo X -configure** ; cela va créer le fichier xorg.conf.new |  - => suggestions : [' – ', ' — ']
73 Il manque un espace. =>     * **sudo X -configure** ; cela va créer le fichier xorg.conf.new | conf => suggestions : [' conf']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **sudo cp xorg.conf.new xorg.conf** ; on copie ce fichier dans xorg.conf |      => suggestions : ['']
74 Mot inconnu : sudo =>     * **sudo cp xorg.conf.new xorg.conf** ; on copie ce fichier dans xorg.conf | sudo
74 Mot inconnu : cp =>     * **sudo cp xorg.conf.new xorg.conf** ; on copie ce fichier dans xorg.conf | cp
74 Il manque un espace. =>     * **sudo cp xorg.conf.new xorg.conf** ; on copie ce fichier dans xorg.conf | conf => suggestions : [' conf']
74 Mot inconnu : xorg =>     * **sudo cp xorg.conf.new xorg.conf** ; on copie ce fichier dans xorg.conf | xorg
74 Il manque un espace. =>     * **sudo cp xorg.conf.new xorg.conf** ; on copie ce fichier dans xorg.conf | conf => suggestions : [' conf']
74 Mot inconnu : xorg =>     * **sudo cp xorg.conf.new xorg.conf** ; on copie ce fichier dans xorg.conf | xorg
74 Il manque un espace. =>     * **sudo cp xorg.conf.new xorg.conf** ; on copie ce fichier dans xorg.conf | conf => suggestions : [' conf']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **sudo nano xorg.conf** ; et on ouvre xorg.conf dans un petit éditeur de texte |      => suggestions : ['']
75 Mot inconnu : sudo =>     * **sudo nano xorg.conf** ; et on ouvre xorg.conf dans un petit éditeur de texte | sudo
75 Mot inconnu : nano =>     * **sudo nano xorg.conf** ; et on ouvre xorg.conf dans un petit éditeur de texte | nano
75 Mot inconnu : xorg =>     * **sudo nano xorg.conf** ; et on ouvre xorg.conf dans un petit éditeur de texte | xorg
75 Il manque un espace. =>     * **sudo nano xorg.conf** ; et on ouvre xorg.conf dans un petit éditeur de texte | conf => suggestions : [' conf']
75 Mot inconnu : xorg =>     * **sudo nano xorg.conf** ; et on ouvre xorg.conf dans un petit éditeur de texte | xorg
75 Il manque un espace. =>     * **sudo nano xorg.conf** ; et on ouvre xorg.conf dans un petit éditeur de texte | conf => suggestions : [' conf']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dans la section Modules, commenter, en les faisant débuter par un #, les lignes contenant //glx//, //dbe//, et //dri2// |      => suggestions : ['']
76 Mot inconnu : glx =>     * Dans la section Modules, commenter, en les faisant débuter par un #, les lignes contenant //glx//, //dbe//, et //dri2// | glx
76 Mot inconnu : dbe =>     * Dans la section Modules, commenter, en les faisant débuter par un #, les lignes contenant //glx//, //dbe//, et //dri2// | dbe
76 Mot inconnu : dri2 =>     * Dans la section Modules, commenter, en les faisant débuter par un #, les lignes contenant //glx//, //dbe//, et //dri2// | dri2

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         VertRefresh     56-76</code> |          => suggestions : ['']
79 Mot inconnu : VertRefresh =>         VertRefresh     56-76</code> | vertrefresh
79 Espace(s) surnuméraire(s) à supprimer. =>         VertRefresh     56-76</code> |       => suggestions : [' ']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dans la section Device, vérifiez que la ligne contenant Driver indique bien "vesa". |      => suggestions : ['']
80 Mot inconnu : Device =>     * Dans la section Device, vérifiez que la ligne contenant Driver indique bien "vesa". | device
80 Guillemets typographiques ouvrants. =>     * Dans la section Device, vérifiez que la ligne contenant Driver indique bien "vesa". | " => suggestions : ['«\xa0', '“']
80 Mot inconnu : vesa =>     * Dans la section Device, vérifiez que la ligne contenant Driver indique bien "vesa". | vesa
80 Guillemets typographiques fermants. =>     * Dans la section Device, vérifiez que la ligne contenant Driver indique bien "vesa". | " => suggestions : ['\xa0»', '”']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         DefaultDepth    24</code> |          => suggestions : ['']
87 Mot inconnu : DefaultDepth =>         DefaultDepth    24</code> | defaultdepth
87 Espace(s) surnuméraire(s) à supprimer. =>         DefaultDepth    24</code> |      => suggestions : [' ']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Tapez Ctrl-X pour quitter l'éditeur de textes (confirmez par O, puis validez, pour que les modifications soient enregistrées) |      => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **sudo cp xorg.conf /etc/X11/** ; place le fichier de configuration au bon endroit |      => suggestions : ['']
89 Mot inconnu : sudo =>     * **sudo cp xorg.conf /etc/X11/** ; place le fichier de configuration au bon endroit | sudo
89 Mot inconnu : cp =>     * **sudo cp xorg.conf /etc/X11/** ; place le fichier de configuration au bon endroit | cp
89 Mot inconnu : xorg =>     * **sudo cp xorg.conf /etc/X11/** ; place le fichier de configuration au bon endroit | xorg
89 Il manque un espace. =>     * **sudo cp xorg.conf /etc/X11/** ; place le fichier de configuration au bon endroit | conf => suggestions : [' conf']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **sudo service gdm start** |      => suggestions : ['']
90 Mot inconnu : sudo =>     * **sudo service gdm start** | sudo
90 Mot inconnu : gdm =>     * **sudo service gdm start** | gdm
90 Mot inconnu : start =>     * **sudo service gdm start** | start

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * faites un Ctrl-F7 pour ouvrir la console graphique tty7 et connectez-vous |    => suggestions : ['']
91 Mot inconnu : Ctrl-F7 =>   * faites un Ctrl-F7 pour ouvrir la console graphique tty7 et connectez-vous | ctrl-f7
91 Mot inconnu : tty7 =>   * faites un Ctrl-F7 pour ouvrir la console graphique tty7 et connectez-vous | tty7

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La résolution de l'écran est normalement modifiable par le menu Système / Préférences / Écrans. |    => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Menu Système / Préférences / Serveur mandataire (n'oubliez pas de cliquer sur le bouton [Détails] en cas d'authentification nécessaire). Appliquez à tout le système. |    => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Menu Système / Administration / Gestionnaire de paquets Synaptics, puis dans Synaptics : menu Configuration / Préférences, onglet Réseau. |    => suggestions : ['']
96 Mot inconnu : Synaptics =>   * Menu Système / Administration / Gestionnaire de paquets Synaptics, puis dans Synaptics : menu Configuration / Préférences, onglet Réseau. | synaptics
96 Mot inconnu : Synaptics =>   * Menu Système / Administration / Gestionnaire de paquets Synaptics, puis dans Synaptics : menu Configuration / Préférences, onglet Réseau. | synaptics

98 Mot inconnu : Karmic => <note important>Karmic possède un bug, empêchant l'utilisation correcte de l'authentification auprès d'un proxy. Cf. [[http://forum.ubuntu-fr.org/search.php?action=show_user&user_id=4055 | ce sujet de forum]].</note> | karmic

100 Mot inconnu : sudo => Si vous n'arrivez pas à faire des mises à jour en ligne de commande (si la commande **sudo apt-get update** retourne une erreur 407), entrez la commande : | sudo
100 Mot inconnu : apt-get => Si vous n'arrivez pas à faire des mises à jour en ligne de commande (si la commande **sudo apt-get update** retourne une erreur 407), entrez la commande : | apt-get
100 Mot inconnu : update => Si vous n'arrivez pas à faire des mises à jour en ligne de commande (si la commande **sudo apt-get update** retourne une erreur 407), entrez la commande : | update

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo gedit /etc/environment |    => suggestions : ['']
101 Mot inconnu : sudo =>   sudo gedit /etc/environment | sudo
101 Mot inconnu : gedit =>   sudo gedit /etc/environment | gedit

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   http_proxy="http://ip:port/" |    => suggestions : ['']
103 Mot inconnu : http_proxy =>   http_proxy="http://ip:port/" | http_proxy
103 Guillemets typographiques ouvrants. =>   http_proxy="http://ip:port/" | " => suggestions : ['«\xa0', '“']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   http_proxy="http://id:mdp@id:port/" |    => suggestions : ['']
105 Mot inconnu : http_proxy =>   http_proxy="http://id:mdp@id:port/" | http_proxy
105 Guillemets typographiques ouvrants. =>   http_proxy="http://id:mdp@id:port/" | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : mdp =>   http_proxy="http://id:mdp@id:port/" | mdp
105 Il manque un espace. =>   http_proxy="http://id:mdp@id:port/" | port => suggestions : [' port']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   source /etc/environment |    => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get update |    => suggestions : ['']
111 Mot inconnu : sudo =>   sudo apt-get update | sudo
111 Mot inconnu : apt-get =>   sudo apt-get update | apt-get
111 Mot inconnu : update =>   sudo apt-get update | update

116 Mot inconnu : Synaptics => Soit dans Synaptics (menu Configuration / Dépôts), soit dans Système / Administration / Sources de logiciels :  | synaptics
116 Espace(s) en fin de ligne à supprimer. => Soit dans Synaptics (menu Configuration / Dépôts), soit dans Système / Administration / Sources de logiciels :  |   => suggestions : ['']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * onglet Logiciels de Ubuntu : tout cocher **sauf** //Code source// et //CD-Rom// ; choisir //Télécharger depuis// **serveur principal** (plus réactif et davantage disponible, pour les mises à jour de sécurité, que le serveur national). |    => suggestions : ['']
117 Accord de nombre erroné avec « Logiciels ». =>   * onglet Logiciels de Ubuntu : tout cocher **sauf** //Code source// et //CD-Rom// ; choisir //Télécharger depuis// **serveur principal** (plus réactif et davantage disponible, pour les mises à jour de sécurité, que le serveur national). | onglet => suggestions : ['onglets']
117 Accord de nombre erroné avec « onglet ». =>   * onglet Logiciels de Ubuntu : tout cocher **sauf** //Code source// et //CD-Rom// ; choisir //Télécharger depuis// **serveur principal** (plus réactif et davantage disponible, pour les mises à jour de sécurité, que le serveur national). | logiciels => suggestions : ['Logiciel']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * onglet Mises à jour : cochez **//security//**, **//updates//**, éventuellement //backports//, mais surtout pas //proposed// ; demandez de //vérifier les mises à jour// **tous les jours** et d'**installer les mises à jour de sécurité sans confirmation** ; //mise à niveau de la distribution// : **jamais**. |    => suggestions : ['']
118 Mot inconnu : security =>   * onglet Mises à jour : cochez **//security//**, **//updates//**, éventuellement //backports//, mais surtout pas //proposed// ; demandez de //vérifier les mises à jour// **tous les jours** et d'**installer les mises à jour de sécurité sans confirmation** ; //mise à niveau de la distribution// : **jamais**. | security
118 Mot inconnu : updates =>   * onglet Mises à jour : cochez **//security//**, **//updates//**, éventuellement //backports//, mais surtout pas //proposed// ; demandez de //vérifier les mises à jour// **tous les jours** et d'**installer les mises à jour de sécurité sans confirmation** ; //mise à niveau de la distribution// : **jamais**. | updates
118 Mot inconnu : backports =>   * onglet Mises à jour : cochez **//security//**, **//updates//**, éventuellement //backports//, mais surtout pas //proposed// ; demandez de //vérifier les mises à jour// **tous les jours** et d'**installer les mises à jour de sécurité sans confirmation** ; //mise à niveau de la distribution// : **jamais**. | backports
118 Mot inconnu : proposed =>   * onglet Mises à jour : cochez **//security//**, **//updates//**, éventuellement //backports//, mais surtout pas //proposed// ; demandez de //vérifier les mises à jour// **tous les jours** et d'**installer les mises à jour de sécurité sans confirmation** ; //mise à niveau de la distribution// : **jamais**. | proposed

121 Mot inconnu : Synaptics => La mise à jour des paquets se fait soit par l'intermédiaire de Synaptics (en cliquant successivement sur Recharger, Tout mettre à jour, puis Appliquer), soit par le Gestionnaire de mises à jour (menu Système / Administration). | synaptics

126 Mot inconnu : ubuntu-desktop => <note important>Ne désinstallez jamais un paquet qui entrainerait la suppression du paquet **ubuntu-desktop** ! </note> | ubuntu-desktop

