1 Mot inconnu : LVM => ====== LVM : Logical Volume Management ====== | lvm
25 Mot inconnu : sudo =>   sudo vgchange -a y mon_groupe_de_volumes | sudo
25 Mot inconnu : vgchange =>   sudo vgchange -a y mon_groupe_de_volumes | vgchange
25 Il manque un espace à côté du tiret. =>   sudo vgchange -a y mon_groupe_de_volumes |  - => suggestions : [' – ', ' — ']
25 Mot inconnu : mon_groupe_de_volumes =>   sudo vgchange -a y mon_groupe_de_volumes | mon_groupe_de_volumes

27 Mot inconnu : pvscan => Les commandes pvscan et vgscan vous diront l'essentiel... | pvscan
27 Mot inconnu : vgscan => Les commandes pvscan et vgscan vous diront l'essentiel... | vgscan
27 Typographie : points de suspension. Utilisez le caractère dédié. => Les commandes pvscan et vgscan vous diront l'essentiel... | ... => suggestions : ['…']

29 Mot inconnu : lv => Pour créer un volume logique (lv) de 2 Go, qui sera nommé home, dans le vg mon_groupe_de_volumes (remplacer mon_groupe_de_volumes par l'identifiant valide, tel vg0) : | lv
29 Accord de genre erroné : « vg » est féminin. => Pour créer un volume logique (lv) de 2 Go, qui sera nommé home, dans le vg mon_groupe_de_volumes (remplacer mon_groupe_de_volumes par l'identifiant valide, tel vg0) : | le => suggestions : ['la']
29 Mot inconnu : mon_groupe_de_volumes => Pour créer un volume logique (lv) de 2 Go, qui sera nommé home, dans le vg mon_groupe_de_volumes (remplacer mon_groupe_de_volumes par l'identifiant valide, tel vg0) : | mon_groupe_de_volumes
29 Mot inconnu : mon_groupe_de_volumes => Pour créer un volume logique (lv) de 2 Go, qui sera nommé home, dans le vg mon_groupe_de_volumes (remplacer mon_groupe_de_volumes par l'identifiant valide, tel vg0) : | mon_groupe_de_volumes
29 Mot inconnu : vg0 => Pour créer un volume logique (lv) de 2 Go, qui sera nommé home, dans le vg mon_groupe_de_volumes (remplacer mon_groupe_de_volumes par l'identifiant valide, tel vg0) : | vg0

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo lvcreate --size 2G --name home mon_groupe_de_volumes |    => suggestions : ['']
30 Mot inconnu : sudo =>   sudo lvcreate --size 2G --name home mon_groupe_de_volumes | sudo
30 Mot inconnu : lvcreate =>   sudo lvcreate --size 2G --name home mon_groupe_de_volumes | lvcreate
30 Mot inconnu : size =>   sudo lvcreate --size 2G --name home mon_groupe_de_volumes | size
30 Mot inconnu : name =>   sudo lvcreate --size 2G --name home mon_groupe_de_volumes | name
30 Mot inconnu : mon_groupe_de_volumes =>   sudo lvcreate --size 2G --name home mon_groupe_de_volumes | mon_groupe_de_volumes

31 Mot inconnu : device => cela va créer le device spécial : /dev/mon_groupe_de_volumes/home que l'on va pouvoir formater en XFS : | device
31 Mot inconnu : XFS => cela va créer le device spécial : /dev/mon_groupe_de_volumes/home que l'on va pouvoir formater en XFS : | xfs

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkfs.xfs /dev/mon_groupe_de_volumes/home |    => suggestions : ['']
32 Mot inconnu : sudo =>   sudo mkfs.xfs /dev/mon_groupe_de_volumes/home | sudo
32 Mot inconnu : mkfs =>   sudo mkfs.xfs /dev/mon_groupe_de_volumes/home | mkfs
32 Mot inconnu : xfs =>   sudo mkfs.xfs /dev/mon_groupe_de_volumes/home | xfs

34 Mot inconnu : _OLD => On peut ensuite monter ce volume logique, par exemple dans /home (renommer l'ancien /home en /home_OLD et créer le dossier /home avant d'effectuer cette commande) : | _old

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mount -t xfs /dev/mon_groupe_de_volumes/home /home |    => suggestions : ['']
35 Mot inconnu : sudo =>   sudo mount -t xfs /dev/mon_groupe_de_volumes/home /home | sudo
35 Mot inconnu : mount =>   sudo mount -t xfs /dev/mon_groupe_de_volumes/home /home | mount
35 Mot inconnu : xfs =>   sudo mount -t xfs /dev/mon_groupe_de_volumes/home /home | xfs

36 Mot inconnu : _OLD => Copier ou déplacer le contenu de /home_OLD dans /home. | _old

38 Confusion probable. Pour l’impératif, écrivez : => Modifier le /etc/fstab en conséquence. | modifier le => suggestions : ['Modifiez-le']
40 Mot inconnu : lv => Pour agrandir de 5 Go la taille du lv /dev/mon_groupe_de_volumes/home : | lv

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   df -h |    => suggestions : ['']
43 Mot inconnu : df =>   df -h | df
43 Il manque un espace à côté du tiret. =>   df -h |  - => suggestions : [' – ', ' — ']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo pvscan |    => suggestions : ['']
44 Mot inconnu : sudo =>   sudo pvscan | sudo
44 Mot inconnu : pvscan =>   sudo pvscan | pvscan

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo lvscan |    => suggestions : ['']
45 Mot inconnu : sudo =>   sudo lvscan | sudo
45 Mot inconnu : lvscan =>   sudo lvscan | lvscan

46 Mot inconnu : lv => On agrandit le volume logique (lv) : | lv

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo lvextend --size +5G /dev/mon_groupe_de_volumes/home |    => suggestions : ['']
47 Mot inconnu : sudo =>   sudo lvextend --size +5G /dev/mon_groupe_de_volumes/home | sudo
47 Mot inconnu : lvextend =>   sudo lvextend --size +5G /dev/mon_groupe_de_volumes/home | lvextend
47 Mot inconnu : size =>   sudo lvextend --size +5G /dev/mon_groupe_de_volumes/home | size

48 Mot inconnu : xfs => Encore faut-il que xfs prenne en compte ce nouvel espace : | xfs

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo xfs_growfs /home (attention, indiquer le point de montage /home, et non le lv /dev/mon_groupe_de_volumes/home !) |    => suggestions : ['']
49 Mot inconnu : sudo =>   sudo xfs_growfs /home (attention, indiquer le point de montage /home, et non le lv /dev/mon_groupe_de_volumes/home !) | sudo
49 Mot inconnu : xfs_growfs =>   sudo xfs_growfs /home (attention, indiquer le point de montage /home, et non le lv /dev/mon_groupe_de_volumes/home !) | xfs_growfs
49 Mot inconnu : lv =>   sudo xfs_growfs /home (attention, indiquer le point de montage /home, et non le lv /dev/mon_groupe_de_volumes/home !) | lv

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo pvscan |    => suggestions : ['']
52 Mot inconnu : sudo =>   sudo pvscan | sudo
52 Mot inconnu : pvscan =>   sudo pvscan | pvscan

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   df -h |    => suggestions : ['']
54 Mot inconnu : df =>   df -h | df
54 Il manque un espace à côté du tiret. =>   df -h |  - => suggestions : [' – ', ' — ']

55 Mot inconnu : pv => permettent de connaître la taille occupée/restante de vos pv, et celles de vos partitions montées.  | pv
55 Espace(s) en fin de ligne à supprimer. => permettent de connaître la taille occupée/restante de vos pv, et celles de vos partitions montées.  |   => suggestions : ['']
