1 Mot inconnu : Maverick => ====== Migration de Maverick vers Precise ====== | maverick
37 Mot inconnu : iso => Pour vérifier que l'image iso est correcte, chercher sur [[https://help.ubuntu.com/community/UbuntuHashes]] sa clé md5 (md5sum). Hélas, elle ne s'y trouve pas encore ! Tant pis, on lance :  | iso
37 Mot inconnu : md5 => Pour vérifier que l'image iso est correcte, chercher sur [[https://help.ubuntu.com/community/UbuntuHashes]] sa clé md5 (md5sum). Hélas, elle ne s'y trouve pas encore ! Tant pis, on lance :  | md5
37 Mot inconnu : md5sum => Pour vérifier que l'image iso est correcte, chercher sur [[https://help.ubuntu.com/community/UbuntuHashes]] sa clé md5 (md5sum). Hélas, elle ne s'y trouve pas encore ! Tant pis, on lance :  | md5sum
37 Espace(s) en fin de ligne à supprimer. => Pour vérifier que l'image iso est correcte, chercher sur [[https://help.ubuntu.com/community/UbuntuHashes]] sa clé md5 (md5sum). Hélas, elle ne s'y trouve pas encore ! Tant pis, on lance :  |   => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   md5sum ubuntu-12.04.1-alternate-i386.iso |    => suggestions : ['']
38 Mot inconnu : md5sum =>   md5sum ubuntu-12.04.1-alternate-i386.iso | md5sum
38 Mot inconnu : ubuntu-12 =>   md5sum ubuntu-12.04.1-alternate-i386.iso | ubuntu-12
38 Mot inconnu : alternate-i386 =>   md5sum ubuntu-12.04.1-alternate-i386.iso | alternate-i386
38 Mot inconnu : iso =>   md5sum ubuntu-12.04.1-alternate-i386.iso | iso
39 Espace(s) en fin de ligne à supprimer. => et on obtient :  |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   b4512076d85a1056f8a35f91702d81f9  ubuntu-12.04.1-alternate-i386.iso |    => suggestions : ['']
40 Mot inconnu : b4512076d85a1056f8a35f91702d81f9 =>   b4512076d85a1056f8a35f91702d81f9  ubuntu-12.04.1-alternate-i386.iso | b4512076d85a1056f8a35f91702d81f9
40 Espace(s) surnuméraire(s) à supprimer. =>   b4512076d85a1056f8a35f91702d81f9  ubuntu-12.04.1-alternate-i386.iso |    => suggestions : [' ']
40 Mot inconnu : ubuntu-12 =>   b4512076d85a1056f8a35f91702d81f9  ubuntu-12.04.1-alternate-i386.iso | ubuntu-12
40 Mot inconnu : alternate-i386 =>   b4512076d85a1056f8a35f91702d81f9  ubuntu-12.04.1-alternate-i386.iso | alternate-i386
40 Mot inconnu : iso =>   b4512076d85a1056f8a35f91702d81f9  ubuntu-12.04.1-alternate-i386.iso | iso

41 Mot inconnu : md5 => Un moteur de recherche confirme que cette clé md5 est la bonne. | md5

43 Mot inconnu : bootable => Lancer alors la commande qui va transformer ma clé USB en clé bootable d'installation d'Ubuntu 12.04.1 Alternate i386 :  | bootable
43 Mot inconnu : Alternate => Lancer alors la commande qui va transformer ma clé USB en clé bootable d'installation d'Ubuntu 12.04.1 Alternate i386 :  | alternate
43 Mot inconnu : i386 => Lancer alors la commande qui va transformer ma clé USB en clé bootable d'installation d'Ubuntu 12.04.1 Alternate i386 :  | i386
43 Espace(s) en fin de ligne à supprimer. => Lancer alors la commande qui va transformer ma clé USB en clé bootable d'installation d'Ubuntu 12.04.1 Alternate i386 :  |   => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync |    => suggestions : ['']
44 Mot inconnu : sudo =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync | sudo
44 Mot inconnu : dd =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync | dd
44 Mot inconnu : ubuntu-12 =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync | ubuntu-12
44 Mot inconnu : alternate-i386 =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync | alternate-i386
44 Mot inconnu : iso =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync | iso
44 Mot inconnu : of =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync | of
44 Mot inconnu : bs =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync | bs
44 Mot inconnu : sync =>   sudo dd if=ubuntu-12.04.1-alternate-i386.iso of=/dev/sdd bs=4M && sync | sync

48 Mot inconnu : md5sum => <note tip>Inutile d'essayer de vérifier le md5sum de la clé USB. La taille de la clé USB étant plus importante que celle de l'image iso, elles n'auront forcément pas le même md5sum.</note> | md5sum
48 Mot inconnu : iso => <note tip>Inutile d'essayer de vérifier le md5sum de la clé USB. La taille de la clé USB étant plus importante que celle de l'image iso, elles n'auront forcément pas le même md5sum.</note> | iso
48 Mot inconnu : md5sum => <note tip>Inutile d'essayer de vérifier le md5sum de la clé USB. La taille de la clé USB étant plus importante que celle de l'image iso, elles n'auront forcément pas le même md5sum.</note> | md5sum

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   df -h |    => suggestions : ['']
58 Mot inconnu : df =>   df -h | df
58 Il manque un espace à côté du tiret. =>   df -h |  - => suggestions : [' – ', ' — ']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [...] |    => suggestions : ['']
60 Typographie : points de suspension. Utilisez le caractère dédié. =>   [...] | ... => suggestions : ['…']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/sda4                           1,8T  711G 1016G  42% /home |    => suggestions : ['']
61 Espace(s) surnuméraire(s) à supprimer. =>   /dev/sda4                           1,8T  711G 1016G  42% /home |                             => suggestions : [' ']
61 Si “T” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   /dev/sda4                           1,8T  711G 1016G  42% /home | 1,8t => suggestions : ['1,8\xa0T']
61 Espace(s) surnuméraire(s) à supprimer. =>   /dev/sda4                           1,8T  711G 1016G  42% /home |    => suggestions : [' ']
61 Espace(s) surnuméraire(s) à supprimer. =>   /dev/sda4                           1,8T  711G 1016G  42% /home |    => suggestions : [' ']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [...] |    => suggestions : ['']
62 Typographie : points de suspension. Utilisez le caractère dédié. =>   [...] | ... => suggestions : ['…']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

66 Mot inconnu : synaptic => Vérifier que synaptic et le gestionnaire de mise à jour sont bien fermés, puis : | synaptic

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get update |    => suggestions : ['']
67 Mot inconnu : sudo =>   sudo apt-get update | sudo
67 Mot inconnu : apt-get =>   sudo apt-get update | apt-get
67 Mot inconnu : update =>   sudo apt-get update | update
69 Mot inconnu : synaptic => (Une erreur survient : le dépôt dl.google.com n'existe plus. J'ouvre synaptic, clique sur Origine, sélectionne "testing/non-free (dl.google.com)" et vois que seul picasa, que je n'ai pas installé, est concerné ; je supprime ce dépôt, ferme synaptic, et relance la commande ci-dessus. Tout est OK.) | synaptic
69 Guillemets typographiques ouvrants. => (Une erreur survient : le dépôt dl.google.com n'existe plus. J'ouvre synaptic, clique sur Origine, sélectionne "testing/non-free (dl.google.com)" et vois que seul picasa, que je n'ai pas installé, est concerné ; je supprime ce dépôt, ferme synaptic, et relance la commande ci-dessus. Tout est OK.) | " => suggestions : ['«\xa0', '“']
69 Mot inconnu : testing => (Une erreur survient : le dépôt dl.google.com n'existe plus. J'ouvre synaptic, clique sur Origine, sélectionne "testing/non-free (dl.google.com)" et vois que seul picasa, que je n'ai pas installé, est concerné ; je supprime ce dépôt, ferme synaptic, et relance la commande ci-dessus. Tout est OK.) | testing
69 Mot inconnu : non-free => (Une erreur survient : le dépôt dl.google.com n'existe plus. J'ouvre synaptic, clique sur Origine, sélectionne "testing/non-free (dl.google.com)" et vois que seul picasa, que je n'ai pas installé, est concerné ; je supprime ce dépôt, ferme synaptic, et relance la commande ci-dessus. Tout est OK.) | non-free
69 Mot inconnu : picasa => (Une erreur survient : le dépôt dl.google.com n'existe plus. J'ouvre synaptic, clique sur Origine, sélectionne "testing/non-free (dl.google.com)" et vois que seul picasa, que je n'ai pas installé, est concerné ; je supprime ce dépôt, ferme synaptic, et relance la commande ci-dessus. Tout est OK.) | picasa
69 Mot inconnu : synaptic => (Une erreur survient : le dépôt dl.google.com n'existe plus. J'ouvre synaptic, clique sur Origine, sélectionne "testing/non-free (dl.google.com)" et vois que seul picasa, que je n'ai pas installé, est concerné ; je supprime ce dépôt, ferme synaptic, et relance la commande ci-dessus. Tout est OK.) | synaptic

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get dist-upgrade |    => suggestions : ['']
72 Mot inconnu : sudo =>   sudo apt-get dist-upgrade | sudo
72 Mot inconnu : apt-get =>   sudo apt-get dist-upgrade | apt-get
72 Mot inconnu : dist-upgrade =>   sudo apt-get dist-upgrade | dist-upgrade

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get autoremove |    => suggestions : ['']
73 Mot inconnu : sudo =>   sudo apt-get autoremove | sudo
73 Mot inconnu : apt-get =>   sudo apt-get autoremove | apt-get
73 Mot inconnu : autoremove =>   sudo apt-get autoremove | autoremove

76 Espace(s) en fin de ligne à supprimer. => Voici un script python qui fait la liste des paquets à installer.  |   => suggestions : ['']

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir ~/migration |    => suggestions : ['']
158 Mot inconnu : mkdir =>   mkdir ~/migration | mkdir

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/migration |    => suggestions : ['']

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gedit ~/migration/listofpackages.py |    => suggestions : ['']
162 Mot inconnu : gedit =>   gedit ~/migration/listofpackages.py | gedit
162 Mot inconnu : listofpackages =>   gedit ~/migration/listofpackages.py | listofpackages
162 Mot inconnu : py =>   gedit ~/migration/listofpackages.py | py

163 Mot inconnu : gedit => Fermer gedit puis rendre le script exécutable : | gedit

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x ~/migration/listofpackages.py |    => suggestions : ['']
164 Mot inconnu : chmod =>   chmod +x ~/migration/listofpackages.py | chmod
164 Mot inconnu : listofpackages =>   chmod +x ~/migration/listofpackages.py | listofpackages
164 Mot inconnu : py =>   chmod +x ~/migration/listofpackages.py | py

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./listofpackages.py > maverick_packages_list.txt |    => suggestions : ['']
167 Mot inconnu : listofpackages =>   ./listofpackages.py > maverick_packages_list.txt | listofpackages
167 Mot inconnu : py =>   ./listofpackages.py > maverick_packages_list.txt | py
167 Mot inconnu : maverick_packages_list =>   ./listofpackages.py > maverick_packages_list.txt | maverick_packages_list
167 Mot inconnu : txt =>   ./listofpackages.py > maverick_packages_list.txt | txt

169 Mot inconnu : GPG => ==== Enregistrer les clés GPG de tous les dépôts ==== | gpg

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-key exportall > maverick_all_repos.asc |    => suggestions : ['']
170 Mot inconnu : sudo =>   sudo apt-key exportall > maverick_all_repos.asc | sudo
170 Mot inconnu : apt-key =>   sudo apt-key exportall > maverick_all_repos.asc | apt-key
170 Mot inconnu : exportall =>   sudo apt-key exportall > maverick_all_repos.asc | exportall
170 Mot inconnu : maverick_all_repos =>   sudo apt-key exportall > maverick_all_repos.asc | maverick_all_repos
170 Mot inconnu : asc =>   sudo apt-key exportall > maverick_all_repos.asc | asc

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']
