
17 Mot inconnu : Airdroid [[16:24]] => === Application Airdroid === <|> airdroid
323 Guillemets typographiques fermants. [[84:85]] => Puis installer la totalité des champs qui se trouvent dans le nom de schéma "android" (ligne android ci-dessus) <|> " => suggestions :  »”
331 Mot inconnu : ADT [[95:98]] => Afin de développer vos applications, il vous faudra installer le SDK pour Android et le plugin ADT pour Eclipse si vous souhaitez l'utiliser. <|> adt

337 Guillemets typographiques ouvrants. [[55:56]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> " => suggestions : « “
337 Guillemets typographiques fermants. [[60:61]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> " => suggestions :  »”
337 Guillemets typographiques ouvrants. [[172:173]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> " => suggestions : « “
337 Mot inconnu : adb [[173:176]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> adb
337 Guillemets typographiques fermants. [[176:177]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> " => suggestions :  »”
337 Guillemets typographiques ouvrants. [[179:180]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> " => suggestions : « “
337 Mot inconnu : fastboot [[180:188]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> fastboot
337 Guillemets typographiques fermants. [[188:189]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> " => suggestions :  »”
337 Un seul point après « etc. » [[191:197]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|> etc... => suggestions : etc.
337 Espace(s) en fin de ligne à supprimer. [[197:198]] => Puis décompressez dans un dossier à la racine de votre "home" et installez les composants supplémentaires vous permettant d'exécuter les diverses commandes de base tel que "adb", "fastboot", etc...  <|>  
345 Mot inconnu : Platform-tools [[65:79]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> platform-tools
345 Mot inconnu : revision [[80:88]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> revision
345 Mot inconnu : xx [[89:91]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> xx
345 Mot inconnu : Platform [[112:120]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> platform
345 Typographie : points de suspension. Utilisez le caractère dédié. [[133:136]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> ... => suggestions : …
345 Guillemets typographiques ouvrants. [[240:241]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> " => suggestions : « “
345 Mot inconnu : Install [[241:248]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> install
345 Mot inconnu : Selected [[249:257]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> selected
345 Guillemets typographiques fermants. [[257:258]] => Une fois ceci fait, sélectionnez les composants à installer (SDK Platform-tools revision xx, Documentation, SDK Platform Android 3.x ..., et les composants tiers, en fonction du matériel pour lequel vous souhaitez développer) et choisissez "Install Selected". <|> " => suggestions :  »”

348 Guillemets typographiques ouvrants. [[35:36]] => Tout en restant dans le répertoire "tools", mettez ensuite à jour la variable d'environnement PATH pour accéder au programme du SDK : <|> " => suggestions : « “
348 Mot inconnu : tools [[36:41]] => Tout en restant dans le répertoire "tools", mettez ensuite à jour la variable d'environnement PATH pour accéder au programme du SDK : <|> tools
348 Guillemets typographiques fermants. [[41:42]] => Tout en restant dans le répertoire "tools", mettez ensuite à jour la variable d'environnement PATH pour accéder au programme du SDK : <|> " => suggestions :  »”
348 Mot inconnu : PATH [[94:98]] => Tout en restant dans le répertoire "tools", mettez ensuite à jour la variable d'environnement PATH pour accéder au programme du SDK : <|> path

355 Mot inconnu : quatres [[20:27]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> quatres
355 Mot inconnu : pwd [[76:79]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> pwd
355 Mot inconnu : PATH [[84:88]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> path
355 Guillemets typographiques ouvrants. [[147:148]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> " => suggestions : « “
355 Mot inconnu : android-sdk-linux [[148:165]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> android-sdk-linux
355 Mot inconnu : tools [[166:171]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> tools
355 Guillemets typographiques fermants. [[171:172]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> " => suggestions :  »”
355 Guillemets typographiques ouvrants. [[176:177]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> " => suggestions : « “
355 Mot inconnu : android-sdk-linux [[177:194]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> android-sdk-linux
355 Mot inconnu : platform-tools [[195:209]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> platform-tools
355 Guillemets typographiques fermants. [[209:210]] => <note important>Les quatres dernières commandes ajoutent le chemin courant (pwd) au PATH, donc permet d'exécuter les binaires qui se trouvent dans "android-sdk-linux/tools" et "android-sdk-linux/platform-tools". <|> " => suggestions :  »”
357 Espace(s) en fin de ligne à supprimer. [[30:31]] => Ensuite mettez à jour le SDK :  <|>  

363 Guillemets typographiques ouvrants. [[119:120]] => Il vous faudra alors mettre à jour la liste des paquets et choisir ceux que vous voulez installer. Les paquets appelés "Target" correspondent à la version d'Android cible (1.5, 1.6, 2.0...) sous laquelle vous souhaitez développer. <|> " => suggestions : « “
363 Mot inconnu : Target [[120:126]] => Il vous faudra alors mettre à jour la liste des paquets et choisir ceux que vous voulez installer. Les paquets appelés "Target" correspondent à la version d'Android cible (1.5, 1.6, 2.0...) sous laquelle vous souhaitez développer. <|> target
363 Guillemets typographiques fermants. [[126:127]] => Il vous faudra alors mettre à jour la liste des paquets et choisir ceux que vous voulez installer. Les paquets appelés "Target" correspondent à la version d'Android cible (1.5, 1.6, 2.0...) sous laquelle vous souhaitez développer. <|> " => suggestions :  »”
363 Typographie : points de suspension. Utilisez le caractère dédié. [[185:188]] => Il vous faudra alors mettre à jour la liste des paquets et choisir ceux que vous voulez installer. Les paquets appelés "Target" correspondent à la version d'Android cible (1.5, 1.6, 2.0...) sous laquelle vous souhaitez développer. <|> ... => suggestions : …

371 Mot inconnu : Settings [[82:90]] => <note help>Si vous avez une erreur pour les téléchargements, allez dans le menu **Settings** et cochez la case **Force %%https://...%% sources to be fetched using %%http://...%%**</note> <|> settings
371 Il manque un espace. [[121:126]] => <note help>Si vous avez une erreur pour les téléchargements, allez dans le menu **Settings** et cochez la case **Force %%https://...%% sources to be fetched using %%http://...%%**</note> <|> https => suggestions :  __URL
371 Mot inconnu : to [[143:145]] => <note help>Si vous avez une erreur pour les téléchargements, allez dans le menu **Settings** et cochez la case **Force %%https://...%% sources to be fetched using %%http://...%%**</note> <|> to
371 Mot inconnu : fetched [[149:156]] => <note help>Si vous avez une erreur pour les téléchargements, allez dans le menu **Settings** et cochez la case **Force %%https://...%% sources to be fetched using %%http://...%%**</note> <|> fetched
371 Mot inconnu : using [[157:162]] => <note help>Si vous avez une erreur pour les téléchargements, allez dans le menu **Settings** et cochez la case **Force %%https://...%% sources to be fetched using %%http://...%%**</note> <|> using
371 Il manque un espace. [[165:170]] => <note help>Si vous avez une erreur pour les téléchargements, allez dans le menu **Settings** et cochez la case **Force %%https://...%% sources to be fetched using %%http://...%%**</note> <|> http: => suggestions :  __URL

382 Guillemets typographiques ouvrants. [[89:90]] => <note help>Si vous avez des problèmes pour télécharger les plugins, essayez de remplacer "https" (qui est préféré pour des raisons de sécurité) par "http" dans l'URL.</note> <|> " => suggestions : « “
382 Guillemets typographiques fermants. [[95:96]] => <note help>Si vous avez des problèmes pour télécharger les plugins, essayez de remplacer "https" (qui est préféré pour des raisons de sécurité) par "http" dans l'URL.</note> <|> " => suggestions :  »”
