6 Mot inconnu : freenode [[16:24]] =>   * canal irc : freenode/#ubuntu-fr-devweb <|> freenode
18 Pas d’espace avant ce signe. [[161:163]] =>   * Monter un mockup html : Smon s'y colle. Pour les Mockup, les sources de luK seront d'une grande aide, s'il veut bien nous les confier (luK es tu parmi nous ? ) <|>  ) => suggestions : )

20 Mot inconnu : mockup [[28:34]] => ===== Dernières versions de mockup ===== <|> mockup
21 Mot inconnu : Smon [[19:23]] =>   * Proposition de Smon : http://doc.ubuntu-fr.org/_detail/projets/smon_mockup.png?id=projets%3Adesign2009&cache=cache <|> smon
22 Mot inconnu : luK [[43:46]] =>   * Hors réunion : dernière proposition de luK : http://doc.ubuntu-fr.org/_detail/projets/270209_accueilv4.png?id=projets%3Adesign2009&cache=cache (cette version reprend en partie les propositions de luK sur les dégradés et propose un système d'onglets <|> luk
22 Mot inconnu : luK [[200:203]] =>   * Hors réunion : dernière proposition de luK : http://doc.ubuntu-fr.org/_detail/projets/270209_accueilv4.png?id=projets%3Adesign2009&cache=cache (cette version reprend en partie les propositions de luK sur les dégradés et propose un système d'onglets <|> luk

23 Mot inconnu : didrocks [[1:9]] => (didrocks, ça te plaît ?) <|> didrocks
26 Mot inconnu : huats [[4:9]] =>   * huats a évoqué (hors réunion) la possibilité de déposer le nouveau thème sur le wiki officiel ( https://wiki.ubuntu.com/Templates ) <|> huats
26 Pas d’espace après ce signe. [[98:100]] =>   * huats a évoqué (hors réunion) la possibilité de déposer le nouveau thème sur le wiki officiel ( https://wiki.ubuntu.com/Templates ) <|> (  => suggestions : (
26 Pas d’espace avant ce signe. [[133:135]] =>   * huats a évoqué (hors réunion) la possibilité de déposer le nouveau thème sur le wiki officiel ( https://wiki.ubuntu.com/Templates ) <|>  ) => suggestions : )
27 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:7]] =>   * les thèmes proposés sur le wiki officiel ne présente pas de manière claire leurs licences. Les fichiers de licence inclus dans les archives sont généralement celles du CMS et non celles du thème. <|> les => suggestions : Les
28 Espace(s) surnuméraire(s) à supprimer. [[31:33]] =>   * Possibilités pour Ubuntu-fr  (NB : Le choix de licence nécessitera l'accord de tous les contributeurs). Des tas de possibilités :Creative Commons BY ou BY-nc, Art libre...Poupoul2 s'occupe de faire des propositions avec avantages/inconvénients (dans un mail séparé et on en discute sur IRC) <|>    => suggestions :  
28 Mot inconnu : NB [[34:36]] =>   * Possibilités pour Ubuntu-fr  (NB : Le choix de licence nécessitera l'accord de tous les contributeurs). Des tas de possibilités :Creative Commons BY ou BY-nc, Art libre...Poupoul2 s'occupe de faire des propositions avec avantages/inconvénients (dans un mail séparé et on en discute sur IRC) <|> nb
28 Mot inconnu : Creative [[133:141]] =>   * Possibilités pour Ubuntu-fr  (NB : Le choix de licence nécessitera l'accord de tous les contributeurs). Des tas de possibilités :Creative Commons BY ou BY-nc, Art libre...Poupoul2 s'occupe de faire des propositions avec avantages/inconvénients (dans un mail séparé et on en discute sur IRC) <|> creative
28 Mot inconnu : Commons [[142:149]] =>   * Possibilités pour Ubuntu-fr  (NB : Le choix de licence nécessitera l'accord de tous les contributeurs). Des tas de possibilités :Creative Commons BY ou BY-nc, Art libre...Poupoul2 s'occupe de faire des propositions avec avantages/inconvénients (dans un mail séparé et on en discute sur IRC) <|> commons
28 Mot inconnu : BY [[150:152]] =>   * Possibilités pour Ubuntu-fr  (NB : Le choix de licence nécessitera l'accord de tous les contributeurs). Des tas de possibilités :Creative Commons BY ou BY-nc, Art libre...Poupoul2 s'occupe de faire des propositions avec avantages/inconvénients (dans un mail séparé et on en discute sur IRC) <|> by
28 Mot inconnu : BY-nc [[156:161]] =>   * Possibilités pour Ubuntu-fr  (NB : Le choix de licence nécessitera l'accord de tous les contributeurs). Des tas de possibilités :Creative Commons BY ou BY-nc, Art libre...Poupoul2 s'occupe de faire des propositions avec avantages/inconvénients (dans un mail séparé et on en discute sur IRC) <|> by-nc
28 Typographie : points de suspension. Utilisez le caractère dédié. [[172:175]] =>   * Possibilités pour Ubuntu-fr  (NB : Le choix de licence nécessitera l'accord de tous les contributeurs). Des tas de possibilités :Creative Commons BY ou BY-nc, Art libre...Poupoul2 s'occupe de faire des propositions avec avantages/inconvénients (dans un mail séparé et on en discute sur IRC) <|> ... => suggestions : …
28 Mot inconnu : Poupoul2 [[175:183]] =>   * Possibilités pour Ubuntu-fr  (NB : Le choix de licence nécessitera l'accord de tous les contributeurs). Des tas de possibilités :Creative Commons BY ou BY-nc, Art libre...Poupoul2 s'occupe de faire des propositions avec avantages/inconvénients (dans un mail séparé et on en discute sur IRC) <|> poupoul2

30 Guillemets typographiques ouvrants. [[18:19]] => Prochain meeting ("officiel") (ajout de ma part) : jeudi 5, 21h00 (et entre temps, la porte de l'IRC est ouverte) <|> " => suggestions : « “
30 Guillemets typographiques fermants. [[27:28]] => Prochain meeting ("officiel") (ajout de ma part) : jeudi 5, 21h00 (et entre temps, la porte de l'IRC est ouverte) <|> " => suggestions :  »”
30 Il manque un trait d’union. [[70:81]] => Prochain meeting ("officiel") (ajout de ma part) : jeudi 5, 21h00 (et entre temps, la porte de l'IRC est ouverte) <|> entre temps => suggestions : entre-temps
