
10 Mot inconnu : Dapper => Pour partager son imprimante sur un PC Ubuntu Dapper il faut: | dapper
36 Il manque un espace à côté du tiret. => 3- Relancer le démon CUPS par la commande :  | -  => suggestions : [' – ', ' — ']
36 Mot inconnu : CUPS => 3- Relancer le démon CUPS par la commande :  | cups
36 Espace(s) en fin de ligne à supprimer. => 3- Relancer le démon CUPS par la commande :  |   => suggestions : ['']

38 Mot inconnu : sudo => sudo /etc/init.d/cupsys restart | sudo
38 Mot inconnu : restart => sudo /etc/init.d/cupsys restart | restart

42 Mot inconnu : XP => =====  Client réseau sous Windows XP ===== | xp

44 Il manque un espace à côté du tiret. => 1- Modifiez le fichier C:\WINDOWS\system32\drivers\etc\hosts sur le PC client sous windows car Windows XP ne reconnaît pas l'adresse IP donc il faut l'associer à un nom d'hôte :  | -  => suggestions : [' – ', ' — ']
44 Mot inconnu : XP => 1- Modifiez le fichier C:\WINDOWS\system32\drivers\etc\hosts sur le PC client sous windows car Windows XP ne reconnaît pas l'adresse IP donc il faut l'associer à un nom d'hôte :  | xp
44 Si « donc » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => 1- Modifiez le fichier C:\WINDOWS\system32\drivers\etc\hosts sur le PC client sous windows car Windows XP ne reconnaît pas l'adresse IP donc il faut l'associer à un nom d'hôte :  |  donc => suggestions : [', donc']
44 Espace(s) en fin de ligne à supprimer. => 1- Modifiez le fichier C:\WINDOWS\system32\drivers\etc\hosts sur le PC client sous windows car Windows XP ne reconnaît pas l'adresse IP donc il faut l'associer à un nom d'hôte :  |   => suggestions : ['']

46 Espace(s) surnuméraire(s) à supprimer. => 127.0.0.1       localhost |         => suggestions : [' ']
46 Mot inconnu : localhost => 127.0.0.1       localhost | localhost

48 Espace(s) surnuméraire(s) à supprimer. => 192.168.x.yyy   ubuntu |     => suggestions : [' ']

50 Mot inconnu : yyy => (mettre ici à la place de x. yyy l'ip et de ubuntu  le nom de votre PC Serveur ubuntu) | yyy
50 Mot inconnu : ip => (mettre ici à la place de x. yyy l'ip et de ubuntu  le nom de votre PC Serveur ubuntu) | ip
50 Élision de l’article devant un mot commençant par une voyelle. => (mettre ici à la place de x. yyy l'ip et de ubuntu  le nom de votre PC Serveur ubuntu) | de  => suggestions : ['d’']
50 Espace(s) surnuméraire(s) à supprimer. => (mettre ici à la place de x. yyy l'ip et de ubuntu  le nom de votre PC Serveur ubuntu) |    => suggestions : [' ']

52 Il manque un espace à côté du tiret. => 2- Pour windows XP ou windows 2000 Ajouter l"imprimante en utilisant la fonction dédiée du panneau de configuration Windows XP, et utilisez l"adresse suivante pour la connexion réseau :  | -  => suggestions : [' – ', ' — ']
52 Mot inconnu : XP => 2- Pour windows XP ou windows 2000 Ajouter l"imprimante en utilisant la fonction dédiée du panneau de configuration Windows XP, et utilisez l"adresse suivante pour la connexion réseau :  | xp
52 Apostrophe incorrecte. => 2- Pour windows XP ou windows 2000 Ajouter l"imprimante en utilisant la fonction dédiée du panneau de configuration Windows XP, et utilisez l"adresse suivante pour la connexion réseau :  | l" => suggestions : ['l’']
52 Mot inconnu : XP => 2- Pour windows XP ou windows 2000 Ajouter l"imprimante en utilisant la fonction dédiée du panneau de configuration Windows XP, et utilisez l"adresse suivante pour la connexion réseau :  | xp
52 Apostrophe incorrecte. => 2- Pour windows XP ou windows 2000 Ajouter l"imprimante en utilisant la fonction dédiée du panneau de configuration Windows XP, et utilisez l"adresse suivante pour la connexion réseau :  | l" => suggestions : ['l’']
52 Espace(s) en fin de ligne à supprimer. => 2- Pour windows XP ou windows 2000 Ajouter l"imprimante en utilisant la fonction dédiée du panneau de configuration Windows XP, et utilisez l"adresse suivante pour la connexion réseau :  |   => suggestions : ['']

54 Mot inconnu : printers => http://ubuntu:631/printers/nomimprimante | printers
54 Mot inconnu : nomimprimante => http://ubuntu:631/printers/nomimprimante | nomimprimante
56 Mot inconnu : PCserveur => où ubuntu est le nom du PCserveur et nomimprimante est le nom de votre imprimante sur le PCserveur. | pcserveur
56 Mot inconnu : nomimprimante => où ubuntu est le nom du PCserveur et nomimprimante est le nom de votre imprimante sur le PCserveur. | nomimprimante
56 Mot inconnu : PCserveur => où ubuntu est le nom du PCserveur et nomimprimante est le nom de votre imprimante sur le PCserveur. | pcserveur

60 Il manque un espace à côté du tiret. => 1- Aller à Système/Administration/Impression et cliquez Nouvelle imprimante, Choisir Imprimante Réseau , Ok pour ouvrir le port 631, et donner comme URL: | -  => suggestions : [' – ', ' — ']
60 Pas d’espace avant une virgule. => 1- Aller à Système/Administration/Impression et cliquez Nouvelle imprimante, Choisir Imprimante Réseau , Ok pour ouvrir le port 631, et donner comme URL: |  , => suggestions : [',']
60 Mot inconnu : Ok => 1- Aller à Système/Administration/Impression et cliquez Nouvelle imprimante, Choisir Imprimante Réseau , Ok pour ouvrir le port 631, et donner comme URL: | ok

62 Mot inconnu : printers => http://AdressePCserveur:631/printers/nomimprimante | printers
62 Mot inconnu : nomimprimante => http://AdressePCserveur:631/printers/nomimprimante | nomimprimante

64 Mot inconnu : AdressePCserveur => où AdressePCserveur est l'adresse IP du PCserveur et nomimprimante est le nom de votre imprimante sur le PC Ubuntu  | adressepcserveur
64 Mot inconnu : PCserveur => où AdressePCserveur est l'adresse IP du PCserveur et nomimprimante est le nom de votre imprimante sur le PC Ubuntu  | pcserveur
64 Mot inconnu : nomimprimante => où AdressePCserveur est l'adresse IP du PCserveur et nomimprimante est le nom de votre imprimante sur le PC Ubuntu  | nomimprimante
64 Espace(s) en fin de ligne à supprimer. => où AdressePCserveur est l'adresse IP du PCserveur et nomimprimante est le nom de votre imprimante sur le PC Ubuntu  |   => suggestions : ['']

66 Mot inconnu : spooler => ==== Si cela bloque dans le spooler ou si cela imprime des lignes de code, la solution qui marche: ==== | spooler

68 Confusion. Ce qui est dû. => Le problème est du au fait qu'il semble que cups 1.2.2 contienne un bug ... | du => suggestions : ['dû']
68 Mot inconnu : cups => Le problème est du au fait qu'il semble que cups 1.2.2 contienne un bug ... | cups
68 Typographie : points de suspension. Utilisez le caractère dédié. => Le problème est du au fait qu'il semble que cups 1.2.2 contienne un bug ... | ... => suggestions : ['…']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  On ouvre le port 631 |    => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Système -> Administration -> Impression ,  |    => suggestions : ['']
76 Pas d’espace avant une virgule. =>   *  Système -> Administration -> Impression ,  |  , => suggestions : [',']
76 Espace(s) en fin de ligne à supprimer. =>   *  Système -> Administration -> Impression ,  |   => suggestions : ['']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  on coche "Paramètres globaux" -> Détecter les imprimantes LAN |    => suggestions : ['']
77 Guillemets typographiques ouvrants. =>   *  on coche "Paramètres globaux" -> Détecter les imprimantes LAN | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. =>   *  on coche "Paramètres globaux" -> Détecter les imprimantes LAN | " => suggestions : ['\xa0»', '”']
77 Mot inconnu : LAN =>   *  on coche "Paramètres globaux" -> Détecter les imprimantes LAN | lan

79 Typographie : points de suspension. Utilisez le caractère dédié. => On attend un peu ... (30 secondes environ) et on clique "Nouvelle imprimante" | ... => suggestions : ['…']
79 Guillemets typographiques ouvrants. => On attend un peu ... (30 secondes environ) et on clique "Nouvelle imprimante" | " => suggestions : ['«\xa0', '“']
79 Guillemets typographiques fermants. => On attend un peu ... (30 secondes environ) et on clique "Nouvelle imprimante" | " => suggestions : ['\xa0»', '”']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Imprimante réseau [ Imprimante CUPS (IPP) ] |    => suggestions : ['']
81 Pas d’espace après ce signe. =>   *  Imprimante réseau [ Imprimante CUPS (IPP) ] | [  => suggestions : ['[']
81 Mot inconnu : CUPS =>   *  Imprimante réseau [ Imprimante CUPS (IPP) ] | cups
81 Mot inconnu : IPP =>   *  Imprimante réseau [ Imprimante CUPS (IPP) ] | ipp
81 Pas d’espace avant ce signe. =>   *  Imprimante réseau [ Imprimante CUPS (IPP) ] |  ] => suggestions : [']']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  URL : ipp://192.168.x.y:631/printers/NOM_EXACT_DE_L_IMPRIMANTE |    => suggestions : ['']
82 Mot inconnu : ipp =>   *  URL : ipp://192.168.x.y:631/printers/NOM_EXACT_DE_L_IMPRIMANTE | ipp
82 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   *  URL : ipp://192.168.x.y:631/printers/NOM_EXACT_DE_L_IMPRIMANTE | 192.168 => suggestions : ['192\xa0168']
82 Il manque un espace. =>   *  URL : ipp://192.168.x.y:631/printers/NOM_EXACT_DE_L_IMPRIMANTE | 631 => suggestions : [' 631']
82 Mot inconnu : printers =>   *  URL : ipp://192.168.x.y:631/printers/NOM_EXACT_DE_L_IMPRIMANTE | printers
82 Mot inconnu : NOM_EXACT_DE_L_IMPRIMANTE =>   *  URL : ipp://192.168.x.y:631/printers/NOM_EXACT_DE_L_IMPRIMANTE | nom_exact_de_l_imprimante
84 Mot inconnu : ip => 192.168.x.y : c'est l'ip du pc serveur. | ip

86 Mot inconnu : NOM_EXACT_DE_L_IMPRIMANTE => NOM_EXACT_DE_L_IMPRIMANTE c'est le nom de votre imprimante sur le PC Ubuntu serveur | nom_exact_de_l_imprimante

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  On valide le tout |    => suggestions : ['']
91 Espace(s) en fin de ligne à supprimer. => Tout le secret (bug) de la suite de l'installation:  |   => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Fabricant : **Raw** |    => suggestions : ['']
95 Mot inconnu : Raw =>   *  Fabricant : **Raw** | raw

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Modèle (il n'yen a qu'un) : **Queue** |    => suggestions : ['']
96 Incohérence avec “il” : “yen” devrait être un verbe, un pronom objet, un adverbe de négation, etc. =>   *  Modèle (il n'yen a qu'un) : **Queue** | yen => suggestions : []

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  On clique sur Avancer |    => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Donner un nom (ce que vous voulez ce n'est pas important) |    => suggestions : ['']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Appliquer |    => suggestions : ['']

102 Mot inconnu : Dapper => Cela fonctionne et a été testé sur deux machines sous Dapper 6.06 LTS en réseau. | dapper
102 Mot inconnu : LTS => Cela fonctionne et a été testé sur deux machines sous Dapper 6.06 LTS en réseau. | lts

107 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A noter : pour corriger le problème évoqué sur la machine cliente Ubuntu (merci Figaro), il suffit de modifier les propriétés dans l'imprimante en sélectionnant l'onglet Pilote dans le panneau de propriété de l'imprimante. ATTENTION : l'onglet Pilote n'est plus dispo quand on appliquer le pilote Raw ! | a => suggestions : ['À']
107 Mot inconnu : dispo => A noter : pour corriger le problème évoqué sur la machine cliente Ubuntu (merci Figaro), il suffit de modifier les propriétés dans l'imprimante en sélectionnant l'onglet Pilote dans le panneau de propriété de l'imprimante. ATTENTION : l'onglet Pilote n'est plus dispo quand on appliquer le pilote Raw ! | dispo
107 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => A noter : pour corriger le problème évoqué sur la machine cliente Ubuntu (merci Figaro), il suffit de modifier les propriétés dans l'imprimante en sélectionnant l'onglet Pilote dans le panneau de propriété de l'imprimante. ATTENTION : l'onglet Pilote n'est plus dispo quand on appliquer le pilote Raw ! | appliquer => suggestions : ['applique', 'appliquait', 'appliqua']
107 Mot inconnu : Raw => A noter : pour corriger le problème évoqué sur la machine cliente Ubuntu (merci Figaro), il suffit de modifier les propriétés dans l'imprimante en sélectionnant l'onglet Pilote dans le panneau de propriété de l'imprimante. ATTENTION : l'onglet Pilote n'est plus dispo quand on appliquer le pilote Raw ! | raw
