
3 Mot inconnu : DJVU => ====== Comment éditer la table des matières d'un fichier DJVU ? ======
3 Il manque un espace insécable. => ====== Comment éditer la table des matières d'un fichier DJVU ? ======

5 Mot inconnu : DjvuSmooth => <note important>DjvuSmooth présente une interface grahique.  C'est la solution la plus simple.</note>
9 Il manque un espace insécable. =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop]]** ([[#Solution 2: La commande djvused|solution 2]]).
9 Mot inconnu : djvused =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop]]** ([[#Solution 2: La commande djvused|solution 2]]).

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).
10 Il manque un espace. =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).
10 Mot inconnu : djvulibre-desktop =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).
10 Il manque un espace. =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).
10 Mot inconnu : djvusmooth =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).
10 Mot inconnu : djvulibre-desktop =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).
10 Mot inconnu : djvusmooth =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).
10 Il manque un espace insécable. =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).
10 Mot inconnu : djvusmooth =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop,djvusmooth|djvulibre-desktop et djvusmooth]]** ([[#Solution 3: Avec le logiciel djvusmooth|solution 3]]).

12 Il manque un espace insécable. => ===== Solution 1: Conversion d'un fichier pdf =====
13 Mot inconnu : DJVU => C'est le cas de figure où vous possédez le fichier pdf d'origine et que vous voulez le convertir pour obtenir une table des matières en DJVU.

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer [[:pdfmod|pdfmod]].
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer [[:pdfmod|pdfmod]].

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrir le fichier pdf.
16 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrir le fichier pdf.

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Créer la table des matières à l'aide de l'onglet de gauche (raccourci clavier ctrl+d).
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Créer la table des matières à l'aide de l'onglet de gauche (raccourci clavier ctrl+d).
17 Mot inconnu : ctrl =>   - Créer la table des matières à l'aide de l'onglet de gauche (raccourci clavier ctrl+d).

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Enregistrer le nouveau pdf dans le dossier personnel.
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Enregistrer le nouveau pdf dans le dossier personnel.

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La commande suivante permet de transformer ce fichier ainsi que sa table des matières en djvu : <code>pdf2djvu fichier.pdf >fichier.djvu</code>
19 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La commande suivante permet de transformer ce fichier ainsi que sa table des matières en djvu : <code>pdf2djvu fichier.pdf >fichier.djvu</code>
19 Il manque un espace insécable. =>   - La commande suivante permet de transformer ce fichier ainsi que sa table des matières en djvu : <code>pdf2djvu fichier.pdf >fichier.djvu</code>

21 Il manque un espace insécable. => ===== Solution 2: La commande djvused =====
21 Mot inconnu : djvused => ===== Solution 2: La commande djvused =====

22 Mot inconnu : djvused => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial.
22 Mot inconnu : djvu => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial.
22 Espace(s) surnuméraire(s) à supprimer. => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial.
22 Mot inconnu : djvused => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial.
22 Mot inconnu : djvu => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial.

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer un terminal
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer un terminal

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Se placer dans le dossier où se trouve le fichier djvu.
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Se placer dans le dossier où se trouve le fichier djvu.
25 Mot inconnu : djvu =>   - Se placer dans le dossier où se trouve le fichier djvu.

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La commande suivante permet d'afficher la structure du fichier : <code>djvused -e print-outline fichier.djvu</code>
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La commande suivante permet d'afficher la structure du fichier : <code>djvused -e print-outline fichier.djvu</code>
26 Il manque un espace insécable. =>   - La commande suivante permet d'afficher la structure du fichier : <code>djvused -e print-outline fichier.djvu</code>
26 Il manque un espace à côté du tiret. =>   - La commande suivante permet d'afficher la structure du fichier : <code>djvused -e print-outline fichier.djvu</code>

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Copier-coller la structure dans gedit depuis **"(bookmarks"** jusqu'à la **dernière parenthèse** et enregistrer le fichier en tant que "structure.txt" .
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Copier-coller la structure dans gedit depuis **"(bookmarks"** jusqu'à la **dernière parenthèse** et enregistrer le fichier en tant que "structure.txt" .
27 Mot inconnu : gedit =>   - Copier-coller la structure dans gedit depuis **"(bookmarks"** jusqu'à la **dernière parenthèse** et enregistrer le fichier en tant que "structure.txt" .
27 Mot inconnu : bookmarks =>   - Copier-coller la structure dans gedit depuis **"(bookmarks"** jusqu'à la **dernière parenthèse** et enregistrer le fichier en tant que "structure.txt" .
27 Guillemets typographiques fermants. =>   - Copier-coller la structure dans gedit depuis **"(bookmarks"** jusqu'à la **dernière parenthèse** et enregistrer le fichier en tant que "structure.txt" .
27 Guillemets typographiques ouvrants. =>   - Copier-coller la structure dans gedit depuis **"(bookmarks"** jusqu'à la **dernière parenthèse** et enregistrer le fichier en tant que "structure.txt" .
27 Mot inconnu : txt =>   - Copier-coller la structure dans gedit depuis **"(bookmarks"** jusqu'à la **dernière parenthèse** et enregistrer le fichier en tant que "structure.txt" .
27 Guillemets typographiques fermants. =>   - Copier-coller la structure dans gedit depuis **"(bookmarks"** jusqu'à la **dernière parenthèse** et enregistrer le fichier en tant que "structure.txt" .

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Éditer le fichier texte. Les noms des chapitres et les pages sont présentés entre guillemets. les numéros des pages commencent par #. Ce sont les parenthèses qui permettent de créer des sous chapitres
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Éditer le fichier texte. Les noms des chapitres et les pages sont présentés entre guillemets. les numéros des pages commencent par #. Ce sont les parenthèses qui permettent de créer des sous chapitres
28 Après un point, une majuscule est généralement requise. =>   - Éditer le fichier texte. Les noms des chapitres et les pages sont présentés entre guillemets. les numéros des pages commencent par #. Ce sont les parenthèses qui permettent de créer des sous chapitres

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Passer en mode verbose : <code>djvused -v fichier.djvu</code>
29 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Passer en mode verbose : <code>djvused -v fichier.djvu</code>
29 Mot inconnu : verbose =>   - Passer en mode verbose : <code>djvused -v fichier.djvu</code>
29 Il manque un espace insécable. =>   - Passer en mode verbose : <code>djvused -v fichier.djvu</code>
29 Il manque un espace à côté du tiret. =>   - Passer en mode verbose : <code>djvused -v fichier.djvu</code>

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La commande suivante permet d'incorporer la nouvelle structure au djvu : <code>set-outline structure.txt</code>
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La commande suivante permet d'incorporer la nouvelle structure au djvu : <code>set-outline structure.txt</code>
30 Mot inconnu : djvu =>   - La commande suivante permet d'incorporer la nouvelle structure au djvu : <code>set-outline structure.txt</code>
30 Il manque un espace insécable. =>   - La commande suivante permet d'incorporer la nouvelle structure au djvu : <code>set-outline structure.txt</code>

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La commande suivante permet d'enregistrer les modifications : <code>save</code>
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La commande suivante permet d'enregistrer les modifications : <code>save</code>
31 Il manque un espace insécable. =>   - La commande suivante permet d'enregistrer les modifications : <code>save</code>

33 Mot inconnu : djvu => ==== Exemple de structure de table des matières djvu ====

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'exemple suivant permet d'avoir un aperçu de la structure de table des matières des dix premières pages d'un fichier djvu. Dans notre exemple, tous les titres sont au même niveau à l'exception du sous titre 5. 
34 Mot inconnu : djvu =>   * L'exemple suivant permet d'avoir un aperçu de la structure de table des matières des dix premières pages d'un fichier djvu. Dans notre exemple, tous les titres sont au même niveau à l'exception du sous titre 5. 
34 Il manque probablement un trait d’union. =>   * L'exemple suivant permet d'avoir un aperçu de la structure de table des matières des dix premières pages d'un fichier djvu. Dans notre exemple, tous les titres sont au même niveau à l'exception du sous titre 5. 
34 Espace(s) en fin de ligne à supprimer. =>   * L'exemple suivant permet d'avoir un aperçu de la structure de table des matières des dix premières pages d'un fichier djvu. Dans notre exemple, tous les titres sont au même niveau à l'exception du sous titre 5. 

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le nom de "page001 est donné pour l'exemple. En général, c'est "001.djvu". On peut le vérifier avec la commande **ls** lorsque l'on est en mode verbose.
35 Guillemets typographiques ouvrants. =>   * Le nom de "page001 est donné pour l'exemple. En général, c'est "001.djvu". On peut le vérifier avec la commande **ls** lorsque l'on est en mode verbose.
35 Mot inconnu : page001 =>   * Le nom de "page001 est donné pour l'exemple. En général, c'est "001.djvu". On peut le vérifier avec la commande **ls** lorsque l'on est en mode verbose.
35 Guillemets typographiques ouvrants. =>   * Le nom de "page001 est donné pour l'exemple. En général, c'est "001.djvu". On peut le vérifier avec la commande **ls** lorsque l'on est en mode verbose.
35 Mot inconnu : djvu =>   * Le nom de "page001 est donné pour l'exemple. En général, c'est "001.djvu". On peut le vérifier avec la commande **ls** lorsque l'on est en mode verbose.
35 Guillemets typographiques fermants. =>   * Le nom de "page001 est donné pour l'exemple. En général, c'est "001.djvu". On peut le vérifier avec la commande **ls** lorsque l'on est en mode verbose.
35 Mot inconnu : ls =>   * Le nom de "page001 est donné pour l'exemple. En général, c'est "001.djvu". On peut le vérifier avec la commande **ls** lorsque l'on est en mode verbose.
35 Mot inconnu : verbose =>   * Le nom de "page001 est donné pour l'exemple. En général, c'est "001.djvu". On peut le vérifier avec la commande **ls** lorsque l'on est en mode verbose.

38 Mot inconnu : bookmarks => <code>(bookmarks

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre1"
39 Guillemets typographiques ouvrants. =>  ("Titre1"
39 Mot inconnu : Titre1 =>  ("Titre1"
39 Guillemets typographiques fermants. =>  ("Titre1"

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#page001.djvu" )
40 Mot inconnu : djvu =>   "#page001.djvu" )
40 Guillemets typographiques fermants. =>   "#page001.djvu" )
40 Pas d’espace avant ce signe. =>   "#page001.djvu" )

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre2"
41 Guillemets typographiques ouvrants. =>  ("Titre2"
41 Mot inconnu : Titre2 =>  ("Titre2"
41 Guillemets typographiques fermants. =>  ("Titre2"

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page002.djvu" )
42 Mot inconnu : djvu =>   "#Page002.djvu" )
42 Guillemets typographiques fermants. =>   "#Page002.djvu" )
42 Pas d’espace avant ce signe. =>   "#Page002.djvu" )

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Tire3"
43 Guillemets typographiques ouvrants. =>  ("Tire3"
43 Mot inconnu : Tire3 =>  ("Tire3"
43 Guillemets typographiques fermants. =>  ("Tire3"

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page003.djvu" )
44 Mot inconnu : djvu =>   "#Page003.djvu" )
44 Guillemets typographiques fermants. =>   "#Page003.djvu" )
44 Pas d’espace avant ce signe. =>   "#Page003.djvu" )

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre4"
45 Guillemets typographiques ouvrants. =>  ("Titre4"
45 Mot inconnu : Titre4 =>  ("Titre4"
45 Guillemets typographiques fermants. =>  ("Titre4"

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page004.djvu" )
46 Mot inconnu : djvu =>   "#Page004.djvu" )
46 Guillemets typographiques fermants. =>   "#Page004.djvu" )
46 Pas d’espace avant ce signe. =>   "#Page004.djvu" )

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre5"
47 Guillemets typographiques ouvrants. =>  ("Titre5"
47 Mot inconnu : Titre5 =>  ("Titre5"
47 Guillemets typographiques fermants. =>  ("Titre5"

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page005.djvu" 
48 Mot inconnu : djvu =>   "#Page005.djvu" 
48 Guillemets typographiques fermants. =>   "#Page005.djvu" 
48 Espace(s) en fin de ligne à supprimer. =>   "#Page005.djvu" 

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ("SousTitre5"
49 Guillemets typographiques ouvrants. =>   ("SousTitre5"
49 Mot inconnu : SousTitre5 =>   ("SousTitre5"
49 Guillemets typographiques fermants. =>   ("SousTitre5"

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    "#Page005.djvu" ) )
50 Mot inconnu : djvu =>    "#Page005.djvu" ) )
50 Guillemets typographiques fermants. =>    "#Page005.djvu" ) )
50 Pas d’espace avant ce signe. =>    "#Page005.djvu" ) )
50 Pas d’espace avant ce signe. =>    "#Page005.djvu" ) )

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre6"
51 Guillemets typographiques ouvrants. =>  ("Titre6"
51 Mot inconnu : Titre6 =>  ("Titre6"
51 Guillemets typographiques fermants. =>  ("Titre6"

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page006.djvu" )
52 Mot inconnu : djvu =>   "#Page006.djvu" )
52 Guillemets typographiques fermants. =>   "#Page006.djvu" )
52 Pas d’espace avant ce signe. =>   "#Page006.djvu" )

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre7"
53 Guillemets typographiques ouvrants. =>  ("Titre7"
53 Mot inconnu : Titre7 =>  ("Titre7"
53 Guillemets typographiques fermants. =>  ("Titre7"

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page007.djvu" )
54 Mot inconnu : djvu =>   "#Page007.djvu" )
54 Guillemets typographiques fermants. =>   "#Page007.djvu" )
54 Pas d’espace avant ce signe. =>   "#Page007.djvu" )

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre8"
55 Guillemets typographiques ouvrants. =>  ("Titre8"
55 Mot inconnu : Titre8 =>  ("Titre8"
55 Guillemets typographiques fermants. =>  ("Titre8"

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page008.djvu" )
56 Mot inconnu : djvu =>   "#Page008.djvu" )
56 Guillemets typographiques fermants. =>   "#Page008.djvu" )
56 Pas d’espace avant ce signe. =>   "#Page008.djvu" )

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre9"
57 Guillemets typographiques ouvrants. =>  ("Titre9"
57 Mot inconnu : Titre9 =>  ("Titre9"
57 Guillemets typographiques fermants. =>  ("Titre9"

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page009.djvu" )
58 Mot inconnu : djvu =>   "#Page009.djvu" )
58 Guillemets typographiques fermants. =>   "#Page009.djvu" )
58 Pas d’espace avant ce signe. =>   "#Page009.djvu" )

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ("Titre10"
59 Guillemets typographiques ouvrants. =>  ("Titre10"
59 Mot inconnu : Titre10 =>  ("Titre10"
59 Guillemets typographiques fermants. =>  ("Titre10"

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "#Page010.djvu" ) )</code>
60 Mot inconnu : djvu =>   "#Page010.djvu" ) )</code>
60 Guillemets typographiques fermants. =>   "#Page010.djvu" ) )</code>
60 Pas d’espace avant ce signe. =>   "#Page010.djvu" ) )</code>
60 Pas d’espace avant ce signe. =>   "#Page010.djvu" ) )</code>

62 Il manque un espace insécable. => ===== Solution 3: Avec le logiciel djvusmooth =====
62 Mot inconnu : djvusmooth => ===== Solution 3: Avec le logiciel djvusmooth =====

63 Mot inconnu : djvusmooth => djvusmooth est un logiciel graphique qui permet l'édition de la table des matières et de la couche de reconnaissance de caractères (OCR/ROC).\\
63 Mot inconnu : OCR => djvusmooth est un logiciel graphique qui permet l'édition de la table des matières et de la couche de reconnaissance de caractères (OCR/ROC).\\

64 Il manque un espace insécable. => * Ctrl+b : création de signet (bookmark)\\
64 Mot inconnu : bookmark => * Ctrl+b : création de signet (bookmark)\\

65 Il manque un espace insécable. => * Ctrl+G: Aller à la page (go to page)\\
65 Mot inconnu : to => * Ctrl+G: Aller à la page (go to page)\\

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://manpages.ubuntu.com/manpages/hardy/man1/djvused.1.html|Ubuntu manpage]]
71 Mot inconnu : manpage =>   * **(en)** [[http://manpages.ubuntu.com/manpages/hardy/man1/djvused.1.html|Ubuntu manpage]]

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://jwilk.net/software/djvusmooth|djvusmooth]] : la page du concepteur.
72 Il manque un espace insécable. =>   * **(en)** [[http://jwilk.net/software/djvusmooth|djvusmooth]] : la page du concepteur.

76 Il manque un espace insécable. => //Contributeur principal : Zone//
