
7 Mot inconnu : Intra [[10:15]] => === Liens Intra  === <|> intra
88 Si “Mb/s” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[74:81]] =>   * **Carte réseau**, 100 Mb/s (l'utilisation d'une carte réseau ancienne 10 Mb/s peut rendre le client inutilisable). <|> 10 mb/s => suggestions : 10 Mb/s
88 Mot inconnu : Mb [[77:79]] =>   * **Carte réseau**, 100 Mb/s (l'utilisation d'une carte réseau ancienne 10 Mb/s peut rendre le client inutilisable). <|> mb
90 Mot inconnu : video [[12:17]] =>   * **Carte video** : capable de gérer un affichage 1024 x 768 ou plus (on survivra avec du 800 x 600). <|> video
90 Signe de multiplication typographique. [[52:62]] =>   * **Carte video** : capable de gérer un affichage 1024 x 768 ou plus (on survivra avec du 800 x 600). <|> 1024 x 768 => suggestions : 1024 × 768
90 Signe de multiplication typographique. [[92:101]] =>   * **Carte video** : capable de gérer un affichage 1024 x 768 ou plus (on survivra avec du 800 x 600). <|> 800 x 600 => suggestions : 800 × 600

93 Guillemets typographiques ouvrants. [[32:33]] => ==== Exemples de configurations "récup" ==== <|> " => suggestions : « “
93 Guillemets typographiques fermants. [[38:39]] => ==== Exemples de configurations "récup" ==== <|> " => suggestions :  »”
95 Mot inconnu : Omnibook [[18:26]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> omnibook
95 Mot inconnu : Mhz [[45:48]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> mhz
95 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[50:55]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> 64 mo => suggestions : 64 Mo
95 Mot inconnu : ram [[56:59]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> ram
95 Mot inconnu : Tulip [[76:81]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> tulip
95 Signe de multiplication typographique. [[140:150]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> 1024 x 768 => suggestions : 1024 × 768
95 Mot inconnu : trackpad [[169:177]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> trackpad
95 Mot inconnu : video [[218:223]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> video
95 Pas d’espace après ce signe. [[244:246]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> (  => suggestions : (
95 Mot inconnu : acpi [[291:295]] =>   * **Portable HP Omnibook** (Pentium II 600 Mhz, 64 Mo ram, carte ethernet Tulip intégrée, carte son ESS tech, batterie HS). :-D affichage 1024 x 768, son fonctionnel, trackpad reconnu, souris usb reconnue, streaming video fluide (Youtube). :-( touches spéciales inactives, pas d'arrêt par acpi <|> acpi

98 Guillemets typographiques ouvrants. [[32:33]] => ==== Exemples de configurations "neuf" ==== <|> " => suggestions : « “
98 Guillemets typographiques fermants. [[37:38]] => ==== Exemples de configurations "neuf" ==== <|> " => suggestions :  »”

110 Mot inconnu : __Source [[0:8]] => __Source :__ https://doc.ubuntu-fr.org/clientleger_controler <|> __source
110 Mot inconnu : __ [[10:12]] => __Source :__ https://doc.ubuntu-fr.org/clientleger_controler <|> __

116 Mot inconnu : Thin [[5:9]] => ==== Thin client Manager ==== <|> thin

118 Guillemets typographiques ouvrants. [[11:12]] => Allez dans "Système > Administration > Thin client Manager" dont l'icône n'est visible que pour les membres du groupe admin. <|> " => suggestions : « “
118 Mot inconnu : Thin [[39:43]] => Allez dans "Système > Administration > Thin client Manager" dont l'icône n'est visible que pour les membres du groupe admin. <|> thin
118 Guillemets typographiques fermants. [[58:59]] => Allez dans "Système > Administration > Thin client Manager" dont l'icône n'est visible que pour les membres du groupe admin. <|> " => suggestions :  »”

120 Typographie : points de suspension. Utilisez le caractère dédié. [[142:145]] => Vous pourrez lancer une application pour divers utilisateurs, envoyer un message, mettre des moniteurs en veille, déconnecter des utilisateurs... <|> ... => suggestions : …

124 Mot inconnu : Fl_Teachertool [[5:19]] => ==== Fl_Teachertool ==== <|> fl_teachertool

132 Mot inconnu : __Source [[0:8]] => __Source : __ https://doc.ubuntu-fr.org/clientleger_invite <|> __source
132 Mot inconnu : __ [[11:13]] => __Source : __ https://doc.ubuntu-fr.org/clientleger_invite <|> __

138 Guillemets typographiques ouvrants. [[59:60]] => L'invite de connexion des clients légers affiche à ce jour "Username" puis "Password" quelle que soit la langue du système. <|> " => suggestions : « “
138 Mot inconnu : Username [[60:68]] => L'invite de connexion des clients légers affiche à ce jour "Username" puis "Password" quelle que soit la langue du système. <|> username
138 Guillemets typographiques fermants. [[68:69]] => L'invite de connexion des clients légers affiche à ce jour "Username" puis "Password" quelle que soit la langue du système. <|> " => suggestions :  »”
138 Guillemets typographiques ouvrants. [[75:76]] => L'invite de connexion des clients légers affiche à ce jour "Username" puis "Password" quelle que soit la langue du système. <|> " => suggestions : « “
138 Guillemets typographiques fermants. [[84:85]] => L'invite de connexion des clients légers affiche à ce jour "Username" puis "Password" quelle que soit la langue du système. <|> " => suggestions :  »”
141 Mot inconnu : sudo [[52:56]] => On peut modifier ceci en éditant le fichier : FIXME sudo gedit saymal -> mini-tuto <|> sudo
141 Mot inconnu : saymal [[63:69]] => On peut modifier ceci en éditant le fichier : FIXME sudo gedit saymal -> mini-tuto <|> saymal
144 Mot inconnu : balilse [[34:41]] => Rechercher la ligne : FIXME Usage balilse file <|> balilse

145 Mot inconnu : markup [[2:8]] => > markup = '<span size="10000"><b>Username:</b></span>'  <|> markup
145 Guillemets typographiques ouvrants. [[23:24]] => > markup = '<span size="10000"><b>Username:</b></span>'  <|> " => suggestions : « “
145 Guillemets typographiques fermants. [[29:30]] => > markup = '<span size="10000"><b>Username:</b></span>'  <|> " => suggestions :  »”
145 Mot inconnu : Username [[34:42]] => > markup = '<span size="10000"><b>Username:</b></span>'  <|> username
145 Espace(s) en fin de ligne à supprimer. [[55:56]] => > markup = '<span size="10000"><b>Username:</b></span>'  <|>  

146 Guillemets typographiques ouvrants. [[13:14]] => et remplacer "Username:" par "Identifiant :". <|> " => suggestions : « “
146 Mot inconnu : Username [[14:22]] => et remplacer "Username:" par "Identifiant :". <|> username
146 Guillemets typographiques ouvrants. [[29:30]] => et remplacer "Username:" par "Identifiant :". <|> " => suggestions : « “

149 Mot inconnu : markup [[2:8]] => > markup = '<span size="10000"><b>Password:</b></span>'  <|> markup
149 Guillemets typographiques ouvrants. [[23:24]] => > markup = '<span size="10000"><b>Password:</b></span>'  <|> " => suggestions : « “
149 Guillemets typographiques fermants. [[29:30]] => > markup = '<span size="10000"><b>Password:</b></span>'  <|> " => suggestions :  »”
149 Espace(s) en fin de ligne à supprimer. [[55:56]] => > markup = '<span size="10000"><b>Password:</b></span>'  <|>  

150 Guillemets typographiques ouvrants. [[13:14]] => et remplacer "Password:" par "Mot de passe :". <|> " => suggestions : « “
150 Guillemets typographiques ouvrants. [[29:30]] => et remplacer "Password:" par "Mot de passe :". <|> " => suggestions : « “

155 Mot inconnu : Gusty [[47:52]] => Ceci est certainement valable pour Ubuntu 7.10 Gusty Gibbon (avec LTSP 5).</note> <|> gusty

156 Guillemets typographiques ouvrants. [[60:61]] => L'écran de connexion pour les clients légers est par défaut "ldm". Il faut donc le modifier. Pour cela il faut aller dans le dossier : <|> " => suggestions : « “
156 Mot inconnu : ldm [[61:64]] => L'écran de connexion pour les clients légers est par défaut "ldm". Il faut donc le modifier. Pour cela il faut aller dans le dossier : <|> ldm
156 Guillemets typographiques fermants. [[64:65]] => L'écran de connexion pour les clients légers est par défaut "ldm". Il faut donc le modifier. Pour cela il faut aller dans le dossier : <|> " => suggestions :  »”
