1 Mot inconnu : Fudge => ====== Postal Fudge Pack ====== | fudge
16 Mot inconnu : setup =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | setup
16 Il manque un espace. =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | data => suggestions : [' data']
16 Mot inconnu : setup =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | setup
16 Mot inconnu : xml =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | xml
16 Il manque un espace. =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | 1 => suggestions : [' 1']
16 Mot inconnu : error =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | error
16 Mot inconnu : Start =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | start
16 Mot inconnu : expected =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | expected
16 Mot inconnu : not =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | not
16 Mot inconnu : found =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found | found

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ^ |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Impossible de charger 'setup.data/setup.xml' |    => suggestions : ['']
19 Guillemets typographiques ouvrants. =>   Impossible de charger 'setup.data/setup.xml' | ' => suggestions : ['“', '‘', '‹']
19 Mot inconnu : setup =>   Impossible de charger 'setup.data/setup.xml' | setup
19 Il manque un espace. =>   Impossible de charger 'setup.data/setup.xml' | data => suggestions : [' data']
19 Mot inconnu : setup =>   Impossible de charger 'setup.data/setup.xml' | setup
19 Mot inconnu : xml =>   Impossible de charger 'setup.data/setup.xml' | xml
19 Guillemets typographiques fermants. =>   Impossible de charger 'setup.data/setup.xml' | ' => suggestions : ['”', '’', '›']

27 Mot inconnu : Postal² => ==== Postal² : Share the Pain ==== | postal²
27 Mot inconnu : Share => ==== Postal² : Share the Pain ==== | share
27 Mot inconnu : the => ==== Postal² : Share the Pain ==== | the

28 Mot inconnu : root => Placez-vous dans le répertoire **/home/login/postal_fudge_pack/** ou **/usr/game/postal_fudge_pack** si vous l'avez installé/copié en root | root

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /home/$USER/postal_fudge_pack |    => suggestions : ['']
29 Mot inconnu : postal_fudge_pack =>   cd /home/$USER/postal_fudge_pack | postal_fudge_pack

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   OU |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /usr/game/postal_fudge_pack |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./postal2 |    => suggestions : ['']
33 Mot inconnu : postal2 =>   ./postal2 | postal2

34 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Cependant, cette première exécution retourne une erreur de fichiers .ini manquants (MissingIni) et aussi un fichier appelé WinDrv. |  . => suggestions : ['. ', '.']
34 Mot inconnu : ini => Cependant, cette première exécution retourne une erreur de fichiers .ini manquants (MissingIni) et aussi un fichier appelé WinDrv. | ini
34 Mot inconnu : MissingIni => Cependant, cette première exécution retourne une erreur de fichiers .ini manquants (MissingIni) et aussi un fichier appelé WinDrv. | missingini
34 Mot inconnu : WinDrv => Cependant, cette première exécution retourne une erreur de fichiers .ini manquants (MissingIni) et aussi un fichier appelé WinDrv. | windrv

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Can't find file for package 'WinDrv' |    => suggestions : ['']
35 Mot inconnu : Can't =>   Can't find file for package 'WinDrv' | can't
35 Mot inconnu : find =>   Can't find file for package 'WinDrv' | find
35 Guillemets typographiques ouvrants. =>   Can't find file for package 'WinDrv' | ' => suggestions : ['“', '‘', '‹']
35 Mot inconnu : WinDrv =>   Can't find file for package 'WinDrv' | windrv
35 Guillemets typographiques fermants. =>   Can't find file for package 'WinDrv' | ' => suggestions : ['”', '’', '›']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   History:  |    => suggestions : ['']
37 Mot inconnu : History =>   History:  | history
37 Espace(s) en fin de ligne à supprimer. =>   History:  |   => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Exiting due to error |    => suggestions : ['']
39 Mot inconnu : Exiting =>   Exiting due to error | exiting
39 Mot inconnu : to =>   Exiting due to error | to
39 Mot inconnu : error =>   Exiting due to error | error

40 Confusion. Pour un COD, utilisez “la”. Ou, si ce “là” signifie “ici”, ne mettez pas de trait d’union. => Téléchargez [[http://louis.scheidt.free.fr/stuff/p2_working_ini_files.tar.gz|cette archive]] et décompressez-là dans le répertoire **System** du jeu. | décompressez-là => suggestions : ['décompressez-la', 'décompressez là']
40 Mot inconnu : System => Téléchargez [[http://louis.scheidt.free.fr/stuff/p2_working_ini_files.tar.gz|cette archive]] et décompressez-là dans le répertoire **System** du jeu. | system

42 Mot inconnu : postal_fudge_pack => Les fichiers extraits doivent être déplacés dans **/home/$USER/postal_fudge_pack/postal2game/System** ou **/usr/game/postal_fudge_pack/postal2game/System** | postal_fudge_pack
42 Mot inconnu : postal2game => Les fichiers extraits doivent être déplacés dans **/home/$USER/postal_fudge_pack/postal2game/System** ou **/usr/game/postal_fudge_pack/postal2game/System** | postal2game
42 Mot inconnu : System => Les fichiers extraits doivent être déplacés dans **/home/$USER/postal_fudge_pack/postal2game/System** ou **/usr/game/postal_fudge_pack/postal2game/System** | system

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./postal2 |    => suggestions : ['']
45 Mot inconnu : postal2 =>   ./postal2 | postal2

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Postal 2 |    => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Copyright 2003 Running With Scissors, Inc. |    => suggestions : ['']
48 Mot inconnu : With =>   Copyright 2003 Running With Scissors, Inc. | with
48 Mot inconnu : Scissors =>   Copyright 2003 Running With Scissors, Inc. | scissors
48 Mot inconnu : Inc =>   Copyright 2003 Running With Scissors, Inc. | inc

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Unreal Engine |    => suggestions : ['']
49 Mot inconnu : Unreal =>   Unreal Engine | unreal
49 Mot inconnu : Engine =>   Unreal Engine | engine

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Copyright 2001 Epic Games, Inc. |    => suggestions : ['']
50 Mot inconnu : Epic =>   Copyright 2001 Epic Games, Inc. | epic
50 Mot inconnu : Games =>   Copyright 2001 Epic Games, Inc. | games
50 Mot inconnu : Inc =>   Copyright 2001 Epic Games, Inc. | inc

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   open /dev/[sound/]dsp: No such file or directory |    => suggestions : ['']
51 Mot inconnu : sound =>   open /dev/[sound/]dsp: No such file or directory | sound
51 Mot inconnu : dsp =>   open /dev/[sound/]dsp: No such file or directory | dsp
51 Mot inconnu : such =>   open /dev/[sound/]dsp: No such file or directory | such
51 Mot inconnu : directory =>   open /dev/[sound/]dsp: No such file or directory | directory

52 Mot inconnu : ALSA => Il faut passer par OSS au lieu de ALSA car /dev/dsp a disparu dans la version 10.10 d'Ubuntu. | alsa
55 Mot inconnu : OSS4 => <note important>Attention: la (ré)installation d'OSS4 ne marche pas pour toutes les cartes son. Cette méthode est donc à proscrire si elle vous casse tout votre son. Préférez rester sous ALSA dans ce cas-là. Je n'ai pas trouvé d'autre solution pour contourner l'inexistence de /dev/dsp</note> | oss4
55 Mot inconnu : ALSA => <note important>Attention: la (ré)installation d'OSS4 ne marche pas pour toutes les cartes son. Cette méthode est donc à proscrire si elle vous casse tout votre son. Préférez rester sous ALSA dans ce cas-là. Je n'ai pas trouvé d'autre solution pour contourner l'inexistence de /dev/dsp</note> | alsa

56 Mot inconnu : Postal² => ==== Postal² : Les extensions ==== | postal²

57 Mot inconnu : Postal² => Voici les différentes commandes à exécuter pour jouer aux extensions de Postal²(avec un terminal placé dans le dossier **postal_fudge_pack**): | postal²
57 Il manque un espace avant la parenthèse. => Voici les différentes commandes à exécuter pour jouer aux extensions de Postal²(avec un terminal placé dans le dossier **postal_fudge_pack**): | ( => suggestions : [' (']
57 Mot inconnu : postal_fudge_pack => Voici les différentes commandes à exécuter pour jouer aux extensions de Postal²(avec un terminal placé dans le dossier **postal_fudge_pack**): | postal_fudge_pack

58 Mot inconnu : Postal² => === Postal² : Apocalypse Weekend === | postal²

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./postal2aw |    => suggestions : ['']
59 Mot inconnu : postal2aw =>   ./postal2aw | postal2aw

60 Mot inconnu : Postal² => === Postal² : A Week in Paradise === | postal²
60 Mot inconnu : Week => === Postal² : A Week in Paradise === | week
60 Mot inconnu : Paradise => === Postal² : A Week in Paradise === | paradise

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./postal2awp |    => suggestions : ['']
61 Mot inconnu : postal2awp =>   ./postal2awp | postal2awp

62 Mot inconnu : Postal² => === Postal² : Eternal Damnation === | postal²
62 Mot inconnu : Eternal => === Postal² : Eternal Damnation === | eternal

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./eternaldamnation |    => suggestions : ['']
63 Mot inconnu : eternaldamnation =>   ./eternaldamnation | eternaldamnation
