1 Espace(s) surnuméraire(s) à supprimer. [[33:35]] => ====== LIRC, dans le vif du sujet  ! ====== <|>    => suggestions :  
95 Incohérence avec « mes » : « dépends » est un verbe. [[469:476]] => Par contre, **il ne fait pas partie de LIRC** ! Ce fichier de configuration est une aide, laissée par les packageurs de votre distribution (Ubuntu dans notre cas) afin de simplifier l’utilisation des démons contrôlant LIRC. Il est donc nécessaire de faire attention à ce que vous lisez sur Internet, car en fonction de votre distribution les paramètres peuvent drastiquement changer. Le fichier peut même être totalement inutile. (Pour l’anecdote, je l’ai appris à mes dépends en perdant quelques heures lors d’une migration Ubuntu vers Debian) <|> dépends => suggestions : dépens
96 Espace(s) surnuméraire(s) à supprimer. [[85:87]] => Concrètement, ce fichier est lu par le script de démarrage de LIRC (/etc/init.d/lirc,  dont le contenu change selon les distributions). Celui-ci  prépare l’environnement et construit la ligne de commande adéquate pour lancer le démon LIRC. <|>    => suggestions :  
96 Espace(s) surnuméraire(s) à supprimer. [[144:146]] => Concrètement, ce fichier est lu par le script de démarrage de LIRC (/etc/init.d/lirc,  dont le contenu change selon les distributions). Celui-ci  prépare l’environnement et construit la ligne de commande adéquate pour lancer le démon LIRC. <|>    => suggestions :  

98 Accord de nombre erroné : « paramètre » devrait être au pluriel. [[17:26]] => Il y a plusieurs paramètre a regler dans ce fichier :  <|> paramètre => suggestions : paramètres
98 Mot inconnu : regler [[29:35]] => Il y a plusieurs paramètre a regler dans ce fichier :  <|> regler
98 Espace(s) en fin de ligne à supprimer. [[53:54]] => Il y a plusieurs paramètre a regler dans ce fichier :  <|>  

99 Mot inconnu : REMOTE [[4:10]] => === REMOTE === <|> remote

102 Mot inconnu : REMOTE_DRIVER [[4:17]] => === REMOTE_DRIVER === <|> remote_driver
104 Espace(s) surnuméraire(s) à supprimer. [[103:105]] => Ceci indique à LIRC quel pilote utiliser pour dialoguer. Cette notion de pilote est fois interne à LIRC  : Il ne s’agit pas de périphérique noyau mais juste de définir comment LIRC va dialoguer avec votre périphérique /dev/machin. La subtilité, c’est que LIRC peut très bien avoir été compilé sans le support du périphérique que vous voulez utiliser.  <|>    => suggestions :  
104 Espace(s) en fin de ligne à supprimer. [[350:351]] => Ceci indique à LIRC quel pilote utiliser pour dialoguer. Cette notion de pilote est fois interne à LIRC  : Il ne s’agit pas de périphérique noyau mais juste de définir comment LIRC va dialoguer avec votre périphérique /dev/machin. La subtilité, c’est que LIRC peut très bien avoir été compilé sans le support du périphérique que vous voulez utiliser.  <|>  
105 Espace(s) en fin de ligne à supprimer. [[54:55]] => Vous aurez la liste des drivers supportés en lançant :  <|>  

108 Mot inconnu : IR [[18:20]] => Si vote récepteur IR est reconnu comme clavier, vous pouvez utiliser **devinput**. <|> ir
108 Mot inconnu : devinput [[71:79]] => Si vote récepteur IR est reconnu comme clavier, vous pouvez utiliser **devinput**. <|> devinput

110 Mot inconnu : REMOTE_DEVICE [[4:17]] => === REMOTE_DEVICE === <|> remote_device

113 Mot inconnu : IR [[34:36]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> ir
113 Mot inconnu : LIRC_DEVICE [[85:96]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> lirc_device
113 Guillemets typographiques ouvrants. [[97:98]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> " => suggestions : « “
113 Mot inconnu : cx88 [[103:107]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> cx88
113 Il manque un espace. [[109:111]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> ir => suggestions :  IR
113 Mot inconnu : IR [[109:111]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> ir
113 Il manque un espace. [[115:124]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> hauppauge => suggestions :  Hauppauge
113 Mot inconnu : Hauppauge [[115:124]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> hauppauge
113 Il manque un espace. [[126:137]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> nova-s-plus => suggestions :  Nova-S-Plus
113 Guillemets typographiques fermants. [[139:140]] => Entrer ici le chemin du récepteur IR trouvé plus haut ou quelque chose de la forme : LIRC_DEVICE="name=cx88\?IR\?\?Hauppauge\?Nova-S-Plus\?". <|> " => suggestions :  »”

115 Mot inconnu : REMOTE_LIRCD_CONF [[4:21]] => === REMOTE_LIRCD_CONF === <|> remote_lircd_conf

120 Mot inconnu : lircd [[73:78]] => Comme décrit plus haut, ces informations servent juste à lancer le démon lircd. <|> lircd
121 Espace(s) en fin de ligne à supprimer. [[81:82]] => Une fois ces informations en main, vous pouvez donc le lancer manuellement avec :  <|>  

123 Conjugaison erronée. Accord avec “Les options…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[19:22]] => Les autres options vus plus haut étant facultative, je ne ne les ai pas écrite, reportez vous a la documentation pour les ajouter. <|> vus => suggestions : virentvoientvoyaient
123 Doublon. [[55:60]] => Les autres options vus plus haut étant facultative, je ne ne les ai pas écrite, reportez vous a la documentation pour les ajouter. <|> ne ne => suggestions : ne
123 Accord avec le COD « les » : Le participe passé « écrite » devrait être au pluriel (et accordé en genre). [[72:78]] => Les autres options vus plus haut étant facultative, je ne ne les ai pas écrite, reportez vous a la documentation pour les ajouter. <|> écrite => suggestions : écrites
123 Forme interrogative ? Mettez un trait d’union. [[80:93]] => Les autres options vus plus haut étant facultative, je ne ne les ai pas écrite, reportez vous a la documentation pour les ajouter. <|> reportez vous => suggestions : reportez-vous

125 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -n permet de lancer le programme en tant que démon, en tache de fond, ne pas le mettre si vous voulez voir les retours du programme :  <|> - => suggestions : – — 
125 Espace(s) en fin de ligne à supprimer. [[133:134]] => -n permet de lancer le programme en tant que démon, en tache de fond, ne pas le mettre si vous voulez voir les retours du programme :  <|>  

127 Mot inconnu : irw [[37:40]] => Vous pouvez ensuite tenter de lancer irw dans un autre terminal, et voir ce qu'il se passe. <|> irw

130 Mot inconnu : USBuirt [[27:34]] => Un exemple pour le boitier USBuirt : un passage de /etc/init.d/lirc start me donne maintenant un démon lancé comme ça: <|> usbuirt
130 Mot inconnu : start [[68:73]] => Un exemple pour le boitier USBuirt : un passage de /etc/init.d/lirc start me donne maintenant un démon lancé comme ça: <|> start
135 Mot inconnu : usb_uirt_raw [[254:266]] => Mais au moins, maintenant, à chaque fois que je lance LIRC par le script d’initialisation j’obtiens : des modules chargés, un périphérique bloc /dev/ttyUSB0 monté, un joli démon lancé sur ma machine pour dialoguer avec ce /dev/ttyUSB0 selon le langage « usb_uirt_raw », et ce même démon me crée une jolie socket unix /dev/lircd pour mes logiciels favoris (voir plus bas le rôle de cette socket). <|> usb_uirt_raw
135 Accord de genre erroné : « une jolie » est féminin, « socket » est masculin. [[305:311]] => Mais au moins, maintenant, à chaque fois que je lance LIRC par le script d’initialisation j’obtiens : des modules chargés, un périphérique bloc /dev/ttyUSB0 monté, un joli démon lancé sur ma machine pour dialoguer avec ce /dev/ttyUSB0 selon le langage « usb_uirt_raw », et ce même démon me crée une jolie socket unix /dev/lircd pour mes logiciels favoris (voir plus bas le rôle de cette socket). <|> socket
135 Mot inconnu : unix [[312:316]] => Mais au moins, maintenant, à chaque fois que je lance LIRC par le script d’initialisation j’obtiens : des modules chargés, un périphérique bloc /dev/ttyUSB0 monté, un joli démon lancé sur ma machine pour dialoguer avec ce /dev/ttyUSB0 selon le langage « usb_uirt_raw », et ce même démon me crée une jolie socket unix /dev/lircd pour mes logiciels favoris (voir plus bas le rôle de cette socket). <|> unix
135 Accord de genre erroné : « socket » est masculin. [[381:386]] => Mais au moins, maintenant, à chaque fois que je lance LIRC par le script d’initialisation j’obtiens : des modules chargés, un périphérique bloc /dev/ttyUSB0 monté, un joli démon lancé sur ma machine pour dialoguer avec ce /dev/ttyUSB0 selon le langage « usb_uirt_raw », et ce même démon me crée une jolie socket unix /dev/lircd pour mes logiciels favoris (voir plus bas le rôle de cette socket). <|> cette => suggestions : ce

140 Mot inconnu : lircd [[19:24]] => Jusqu’ici le démon lircd que vous pouvez maintenant lancer sait comment dialoguer avec votre périphérique émetteur ou récepteur. Mais il ne sait pas vraiment ce qu’il va trouver pendant son dialogue, qu’est ce qu’il doit garder et qu’est ce qu’il doit jeter. Ce fichier lircd.conf est là pour ça : c’est une sorte de « carte » de votre télécommande. A l’intérieur, des listes de télécommande (si vous en utilisez plusieurs) et pour chaque télécommande des touches avec des jolis noms « user-friendly » et les codes infrarouges correspondant. <|> lircd
140 S’il s’agit d’une interrogation, il manque un trait d’union. [[203:209]] => Jusqu’ici le démon lircd que vous pouvez maintenant lancer sait comment dialoguer avec votre périphérique émetteur ou récepteur. Mais il ne sait pas vraiment ce qu’il va trouver pendant son dialogue, qu’est ce qu’il doit garder et qu’est ce qu’il doit jeter. Ce fichier lircd.conf est là pour ça : c’est une sorte de « carte » de votre télécommande. A l’intérieur, des listes de télécommande (si vous en utilisez plusieurs) et pour chaque télécommande des touches avec des jolis noms « user-friendly » et les codes infrarouges correspondant. <|> est ce => suggestions : est-ce
140 S’il s’agit d’une interrogation, il manque un trait d’union. [[234:240]] => Jusqu’ici le démon lircd que vous pouvez maintenant lancer sait comment dialoguer avec votre périphérique émetteur ou récepteur. Mais il ne sait pas vraiment ce qu’il va trouver pendant son dialogue, qu’est ce qu’il doit garder et qu’est ce qu’il doit jeter. Ce fichier lircd.conf est là pour ça : c’est une sorte de « carte » de votre télécommande. A l’intérieur, des listes de télécommande (si vous en utilisez plusieurs) et pour chaque télécommande des touches avec des jolis noms « user-friendly » et les codes infrarouges correspondant. <|> est ce => suggestions : est-ce
140 Mot inconnu : lircd [[270:275]] => Jusqu’ici le démon lircd que vous pouvez maintenant lancer sait comment dialoguer avec votre périphérique émetteur ou récepteur. Mais il ne sait pas vraiment ce qu’il va trouver pendant son dialogue, qu’est ce qu’il doit garder et qu’est ce qu’il doit jeter. Ce fichier lircd.conf est là pour ça : c’est une sorte de « carte » de votre télécommande. A l’intérieur, des listes de télécommande (si vous en utilisez plusieurs) et pour chaque télécommande des touches avec des jolis noms « user-friendly » et les codes infrarouges correspondant. <|> lircd
140 Il manque un espace. [[276:280]] => Jusqu’ici le démon lircd que vous pouvez maintenant lancer sait comment dialoguer avec votre périphérique émetteur ou récepteur. Mais il ne sait pas vraiment ce qu’il va trouver pendant son dialogue, qu’est ce qu’il doit garder et qu’est ce qu’il doit jeter. Ce fichier lircd.conf est là pour ça : c’est une sorte de « carte » de votre télécommande. A l’intérieur, des listes de télécommande (si vous en utilisez plusieurs) et pour chaque télécommande des touches avec des jolis noms « user-friendly » et les codes infrarouges correspondant. <|> conf => suggestions :  conf
140 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[350:351]] => Jusqu’ici le démon lircd que vous pouvez maintenant lancer sait comment dialoguer avec votre périphérique émetteur ou récepteur. Mais il ne sait pas vraiment ce qu’il va trouver pendant son dialogue, qu’est ce qu’il doit garder et qu’est ce qu’il doit jeter. Ce fichier lircd.conf est là pour ça : c’est une sorte de « carte » de votre télécommande. A l’intérieur, des listes de télécommande (si vous en utilisez plusieurs) et pour chaque télécommande des touches avec des jolis noms « user-friendly » et les codes infrarouges correspondant. <|> a => suggestions : À
140 Mot inconnu : user-friendly [[486:499]] => Jusqu’ici le démon lircd que vous pouvez maintenant lancer sait comment dialoguer avec votre périphérique émetteur ou récepteur. Mais il ne sait pas vraiment ce qu’il va trouver pendant son dialogue, qu’est ce qu’il doit garder et qu’est ce qu’il doit jeter. Ce fichier lircd.conf est là pour ça : c’est une sorte de « carte » de votre télécommande. A l’intérieur, des listes de télécommande (si vous en utilisez plusieurs) et pour chaque télécommande des touches avec des jolis noms « user-friendly » et les codes infrarouges correspondant. <|> user-friendly
142 Espace(s) en fin de ligne à supprimer. [[31:32]] => Deux cas peuvent se présenter :  <|>  

144 Mot inconnu : devinput [[28:36]] => === Vous utilisez le driver devinput === <|> devinput
146 Euphonie. Pour les verbes finissant par “e” à l’interrogatif à la 1ʳᵉ personne du singulier, mettez un accent aigu ou grave sur le “e” final. Exemple : “pensé-je” (présent), à ne pas confondre avec “pensais-je” (imparfait). [[50:59]] => Les codes seront directement envoyés par XOrg (je trompe-je ??). <|> trompe-je => suggestions : trompè-jetrompé-je

147 Espace(s) en fin de ligne à supprimer. [[76:77]] => Ils suivent une norme, le fichier est donc universel, vous pouvez le trouver  <|>  

153 Accord de nombre erroné : « correspondance » devrait être au pluriel. [[40:54]] => Attention, ce fichier contient donc les correspondance de toute les touches que peuvent reconnaitre Xorg, il contient donc de touches que votre télécommande ne possède pas, je ne sais pas si cela a une influence. <|> correspondance => suggestions : correspondances
153 Erreur d’accord probable avec “les”. [[58:63]] => Attention, ce fichier contient donc les correspondance de toute les touches que peuvent reconnaitre Xorg, il contient donc de touches que votre télécommande ne possède pas, je ne sais pas si cela a une influence. <|> toute => suggestions : toutes

155 Mot inconnu : devinput [[30:38]] => === Vous n'utilisez le driver devinput === <|> devinput

159 Il faut élider “si” et l’accoler au pronom. [[5:8]] => Mais si il ne s’y trouve pas, vous pouvez le faire vous même. Vous allez devoir utiliser irrecord pour ça. C’est un exécutable livré ordinairement avec LIRC. Il prend grosso modo les même paramètres que le démon « lircd », donc si vous êtes capables de configurer le fichier hardware.conf et que celui ci vous génère à chaque lancement de /etc/init.d/lirc une belle ligne de commande, alors le plus gros du travail est fait. <|> si  => suggestions : s’
159 Il manque un trait d’union si “même” se rapporte à “vous”. [[51:60]] => Mais si il ne s’y trouve pas, vous pouvez le faire vous même. Vous allez devoir utiliser irrecord pour ça. C’est un exécutable livré ordinairement avec LIRC. Il prend grosso modo les même paramètres que le démon « lircd », donc si vous êtes capables de configurer le fichier hardware.conf et que celui ci vous génère à chaque lancement de /etc/init.d/lirc une belle ligne de commande, alors le plus gros du travail est fait. <|> vous même => suggestions : vous-même
159 Mot inconnu : irrecord [[89:97]] => Mais si il ne s’y trouve pas, vous pouvez le faire vous même. Vous allez devoir utiliser irrecord pour ça. C’est un exécutable livré ordinairement avec LIRC. Il prend grosso modo les même paramètres que le démon « lircd », donc si vous êtes capables de configurer le fichier hardware.conf et que celui ci vous génère à chaque lancement de /etc/init.d/lirc une belle ligne de commande, alors le plus gros du travail est fait. <|> irrecord
159 Accord de nombre erroné : « même » devrait être au pluriel. [[183:187]] => Mais si il ne s’y trouve pas, vous pouvez le faire vous même. Vous allez devoir utiliser irrecord pour ça. C’est un exécutable livré ordinairement avec LIRC. Il prend grosso modo les même paramètres que le démon « lircd », donc si vous êtes capables de configurer le fichier hardware.conf et que celui ci vous génère à chaque lancement de /etc/init.d/lirc une belle ligne de commande, alors le plus gros du travail est fait. <|> même => suggestions : mêmes
159 Mot inconnu : lircd [[214:219]] => Mais si il ne s’y trouve pas, vous pouvez le faire vous même. Vous allez devoir utiliser irrecord pour ça. C’est un exécutable livré ordinairement avec LIRC. Il prend grosso modo les même paramètres que le démon « lircd », donc si vous êtes capables de configurer le fichier hardware.conf et que celui ci vous génère à chaque lancement de /etc/init.d/lirc une belle ligne de commande, alors le plus gros du travail est fait. <|> lircd
159 Il manque un espace. [[284:288]] => Mais si il ne s’y trouve pas, vous pouvez le faire vous même. Vous allez devoir utiliser irrecord pour ça. C’est un exécutable livré ordinairement avec LIRC. Il prend grosso modo les même paramètres que le démon « lircd », donc si vous êtes capables de configurer le fichier hardware.conf et que celui ci vous génère à chaque lancement de /etc/init.d/lirc une belle ligne de commande, alors le plus gros du travail est fait. <|> conf => suggestions :  conf
159 Il manque un trait d’union. [[296:304]] => Mais si il ne s’y trouve pas, vous pouvez le faire vous même. Vous allez devoir utiliser irrecord pour ça. C’est un exécutable livré ordinairement avec LIRC. Il prend grosso modo les même paramètres que le démon « lircd », donc si vous êtes capables de configurer le fichier hardware.conf et que celui ci vous génère à chaque lancement de /etc/init.d/lirc une belle ligne de commande, alors le plus gros du travail est fait. <|> celui ci => suggestions : celui-ci

164 Mot inconnu : irrecord [[6:14]] => Comme irrecord dialogue directement avec le bloc périphérique, comme lircd, il ne faut pas que ce dernier soit lancé (ils sont exclusifs et très jaloux). <|> irrecord
164 Mot inconnu : lircd [[69:74]] => Comme irrecord dialogue directement avec le bloc périphérique, comme lircd, il ne faut pas que ce dernier soit lancé (ils sont exclusifs et très jaloux). <|> lircd

168 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A ajouter : Une partie des fichier est déjà présent par défaut, pour les visualiser naviguer dans ces fichiers :  <|> a => suggestions : À
168 Accord de nombre erroné : « fichier » devrait être au pluriel. [[27:34]] => A ajouter : Une partie des fichier est déjà présent par défaut, pour les visualiser naviguer dans ces fichiers :  <|> fichier => suggestions : fichiers
168 Espace(s) en fin de ligne à supprimer. [[112:113]] => A ajouter : Une partie des fichier est déjà présent par défaut, pour les visualiser naviguer dans ces fichiers :  <|>  
170 Mot inconnu : include [[22:29]] => Pour les inclure : ?? include ~/émetteur/lircd.conf <|> include
170 Mot inconnu : lircd [[41:46]] => Pour les inclure : ?? include ~/émetteur/lircd.conf <|> lircd
170 Il manque un espace. [[47:51]] => Pour les inclure : ?? include ~/émetteur/lircd.conf <|> conf => suggestions :  conf

175 Accord de genre erroné : « socket » est masculin. [[36:38]] => C’est simple, vous vous souvenez de la socket unix dont je parlais plus haut, celle qui est préparée par le démon LIRC? Et bien les applications  se connectent à celle-ci  et écoutent toutes les touches que vous pouvez taper. <|> la => suggestions : le
175 Mot inconnu : unix [[46:50]] => C’est simple, vous vous souvenez de la socket unix dont je parlais plus haut, celle qui est préparée par le démon LIRC? Et bien les applications  se connectent à celle-ci  et écoutent toutes les touches que vous pouvez taper. <|> unix
175 Confusion probable. [[120:127]] => C’est simple, vous vous souvenez de la socket unix dont je parlais plus haut, celle qui est préparée par le démon LIRC? Et bien les applications  se connectent à celle-ci  et écoutent toutes les touches que vous pouvez taper. <|> et bien => suggestions : Eh bienHé bien
175 Espace(s) surnuméraire(s) à supprimer. [[144:146]] => C’est simple, vous vous souvenez de la socket unix dont je parlais plus haut, celle qui est préparée par le démon LIRC? Et bien les applications  se connectent à celle-ci  et écoutent toutes les touches que vous pouvez taper. <|>    => suggestions :  
175 Espace(s) surnuméraire(s) à supprimer. [[170:172]] => C’est simple, vous vous souvenez de la socket unix dont je parlais plus haut, celle qui est préparée par le démon LIRC? Et bien les applications  se connectent à celle-ci  et écoutent toutes les touches que vous pouvez taper. <|>    => suggestions :  

