
5 Mot inconnu : XHTML => ====== Initiation au XHTML ====== | xhtml
114 Conjugaison erronée. Accord avec “vous”. Le verbe devrait être à la 2ᵉ personne du pluriel. => Vous devez donc choisir si vous aller coder votre page en ISO ou en UTF-8. | aller => suggestions : ['allez']

116 Mot inconnu : iso-8859-1 => L'encodage iso-8859-1 prend en compte les caractères spéciaux des langues d'europe occidentale comme le français (accents, cédilles, ...)\\ | iso-8859-1
116 Mot inconnu : europe => L'encodage iso-8859-1 prend en compte les caractères spéciaux des langues d'europe occidentale comme le français (accents, cédilles, ...)\\ | europe
116 Une de ces ponctuations est superflue. => L'encodage iso-8859-1 prend en compte les caractères spéciaux des langues d'europe occidentale comme le français (accents, cédilles, ...)\\ | , . => suggestions : [',', '.']
116 Typographie : points de suspension. Utilisez le caractère dédié. => L'encodage iso-8859-1 prend en compte les caractères spéciaux des langues d'europe occidentale comme le français (accents, cédilles, ...)\\ | ... => suggestions : ['…']

117 Mot inconnu : iso-8859-15 => L'encodage iso-8859-15 est le même, avec en plus le support du € et d'autres symboles.\\ | iso-8859-15

118 Mot inconnu : utf-8 => L'encodage utf-8, lui comprend tous les caractères de toutes les langues. | utf-8

120 Il manque un trait d’union. => Une fois l'encodage choisi, il faut savoir que vous devrez spécifier cet encodage dans vos fichiers et que les fichiers eux mêmes doivent être enregistrés avec cet encodage, et donc il faudra veiller à ce que l'éditeur texte et le système d'exploitation utilisé prenne en charge cet encodage.\\ | eux mêmes => suggestions : ['eux-mêmes']

124 Mot inconnu : utf-8 => La première ligne du document spécifie qu'on va utiliser une syntaxe de type XML avec l'encodage utf-8 (remplacer par l'encodage choisi si différent). | utf-8

132 Mot inconnu : DTD => ==== DTD ==== | dtd

133 Mot inconnu : DTD => Ensuite, il faut déclarer quelle DTD on utilise.\\ | dtd

134 Mot inconnu : DTD => La DTD va indiquer au navigateur web quelles sont les règles de syntaxe et de grammaire que respecte le document (et donc comment les interpréter). | dtd

136 Mot inconnu : XHTML => Pour chaque version de XHTML (comme pour HTML), il existe 3 DTD : | xhtml
136 Mot inconnu : DTD => Pour chaque version de XHTML (comme pour HTML), il existe 3 DTD : | dtd

146 Mot inconnu : Transitional => === Transitional === | transitional

154 Mot inconnu : Frameset => === Frameset === | frameset

162 Mot inconnu : DTD => La DTD //Frameset// est prévue pour faire un site utilisant les Frames, ce qui est vivement déconseillé pour des raisons d'accessibilité. | dtd
162 Mot inconnu : Frameset => La DTD //Frameset// est prévue pour faire un site utilisant les Frames, ce qui est vivement déconseillé pour des raisons d'accessibilité. | frameset
162 Mot inconnu : Frames => La DTD //Frameset// est prévue pour faire un site utilisant les Frames, ce qui est vivement déconseillé pour des raisons d'accessibilité. | frames

164 Mot inconnu : DTD => La DTD //Transitional// est une version un peu plus souple que la Strict, vous autorisant à mettre quelques informations de mise en page dans le XHTML, ce qui rendra un changement de design plus compliqué. | dtd
164 Mot inconnu : Transitional => La DTD //Transitional// est une version un peu plus souple que la Strict, vous autorisant à mettre quelques informations de mise en page dans le XHTML, ce qui rendra un changement de design plus compliqué. | transitional
164 Accord de genre erroné : « Strict » est masculin. => La DTD //Transitional// est une version un peu plus souple que la Strict, vous autorisant à mettre quelques informations de mise en page dans le XHTML, ce qui rendra un changement de design plus compliqué. | la => suggestions : ['le']
164 Accord de genre erroné : « la » est un déterminant féminin. => La DTD //Transitional// est une version un peu plus souple que la Strict, vous autorisant à mettre quelques informations de mise en page dans le XHTML, ce qui rendra un changement de design plus compliqué. | strict => suggestions : ['Stricte']
164 Mot inconnu : XHTML => La DTD //Transitional// est une version un peu plus souple que la Strict, vous autorisant à mettre quelques informations de mise en page dans le XHTML, ce qui rendra un changement de design plus compliqué. | xhtml

166 Mot inconnu : DTD => La DTD //Strict//, elle, vise à réaliser un site web en séparant contenu (structure) et sa mise en page. C'est la façon la plus rigoureuse de faire un site web et donc celle qu'on choisira. L'intérêt de la séparation du contenu et de la mise en page est que tout le design sera géré via un seul fichier (une feuille de style CSS), et donc on pourra changer le design d'un site entier en modifiant un seul fichier. | dtd

180 Mot inconnu : head => === head === | head

199 Mot inconnu : XHTML => Voici donc un modèle de page XHTML dans lequel il ne reste plus qu'à insérer le contenu : | xhtml

218 Mot inconnu : block => === block === | block

219 Guillemets typographiques ouvrants. => Les éléments de types "block" sont des éléments en rapport avec la **structure générale** du document et qui marquent le "plan" de la page comme les titres, paragraphes, blocs de citation, listes, ... | " => suggestions : ['«\xa0', '“']
219 Mot inconnu : block => Les éléments de types "block" sont des éléments en rapport avec la **structure générale** du document et qui marquent le "plan" de la page comme les titres, paragraphes, blocs de citation, listes, ... | block
219 Guillemets typographiques fermants. => Les éléments de types "block" sont des éléments en rapport avec la **structure générale** du document et qui marquent le "plan" de la page comme les titres, paragraphes, blocs de citation, listes, ... | " => suggestions : ['\xa0»', '”']
219 Guillemets typographiques ouvrants. => Les éléments de types "block" sont des éléments en rapport avec la **structure générale** du document et qui marquent le "plan" de la page comme les titres, paragraphes, blocs de citation, listes, ... | " => suggestions : ['«\xa0', '“']
219 Guillemets typographiques fermants. => Les éléments de types "block" sont des éléments en rapport avec la **structure générale** du document et qui marquent le "plan" de la page comme les titres, paragraphes, blocs de citation, listes, ... | " => suggestions : ['\xa0»', '”']
219 Une de ces ponctuations est superflue. => Les éléments de types "block" sont des éléments en rapport avec la **structure générale** du document et qui marquent le "plan" de la page comme les titres, paragraphes, blocs de citation, listes, ... | , . => suggestions : [',', '.']
219 Typographie : points de suspension. Utilisez le caractère dédié. => Les éléments de types "block" sont des éléments en rapport avec la **structure générale** du document et qui marquent le "plan" de la page comme les titres, paragraphes, blocs de citation, listes, ... | ... => suggestions : ['…']

221 Mot inconnu : inline => Ils sont placés par défaut les uns en dessous des autres dans le navigateur et forment un bloc. Ils peuvent prendre des dimensions (largeur, hauteur, profondeur) et peuvent être positionnés (avec les CSS) pour sortir du flux du document. Ils peuvent contenir d'autres éléments blocs (eux aussi positionnés et dimensionnés) et/ou des éléments inline. | inline

222 Mot inconnu : inline => === inline === | inline

223 Guillemets typographiques ouvrants. => Les éléments "inline" ("en ligne" ou encore "au fil du texte") sont utilisés pour **enrichir localement** des portions de texte : liens hypertextes, emphases et renforcement, ou tout autre effet possible sur du texte... | " => suggestions : ['«\xa0', '“']
223 Mot inconnu : inline => Les éléments "inline" ("en ligne" ou encore "au fil du texte") sont utilisés pour **enrichir localement** des portions de texte : liens hypertextes, emphases et renforcement, ou tout autre effet possible sur du texte... | inline
223 Guillemets typographiques fermants. => Les éléments "inline" ("en ligne" ou encore "au fil du texte") sont utilisés pour **enrichir localement** des portions de texte : liens hypertextes, emphases et renforcement, ou tout autre effet possible sur du texte... | " => suggestions : ['\xa0»', '”']
223 Guillemets typographiques ouvrants. => Les éléments "inline" ("en ligne" ou encore "au fil du texte") sont utilisés pour **enrichir localement** des portions de texte : liens hypertextes, emphases et renforcement, ou tout autre effet possible sur du texte... | " => suggestions : ['«\xa0', '“']
223 Guillemets typographiques fermants. => Les éléments "inline" ("en ligne" ou encore "au fil du texte") sont utilisés pour **enrichir localement** des portions de texte : liens hypertextes, emphases et renforcement, ou tout autre effet possible sur du texte... | " => suggestions : ['\xa0»', '”']
223 Guillemets typographiques ouvrants. => Les éléments "inline" ("en ligne" ou encore "au fil du texte") sont utilisés pour **enrichir localement** des portions de texte : liens hypertextes, emphases et renforcement, ou tout autre effet possible sur du texte... | " => suggestions : ['«\xa0', '“']
223 Guillemets typographiques fermants. => Les éléments "inline" ("en ligne" ou encore "au fil du texte") sont utilisés pour **enrichir localement** des portions de texte : liens hypertextes, emphases et renforcement, ou tout autre effet possible sur du texte... | " => suggestions : ['\xa0»', '”']
223 Typographie : points de suspension. Utilisez le caractère dédié. => Les éléments "inline" ("en ligne" ou encore "au fil du texte") sont utilisés pour **enrichir localement** des portions de texte : liens hypertextes, emphases et renforcement, ou tout autre effet possible sur du texte... | ... => suggestions : ['…']

225 Mot inconnu : inline => Par défaut les éléments de type inline sont placés "dans le flux", c'est à dire à la suite du texte sans en perturber la disposition. Ils ont aussi des marges internes et externes nulles. | inline
225 Guillemets typographiques ouvrants. => Par défaut les éléments de type inline sont placés "dans le flux", c'est à dire à la suite du texte sans en perturber la disposition. Ils ont aussi des marges internes et externes nulles. | " => suggestions : ['«\xa0', '“']
225 Guillemets typographiques fermants. => Par défaut les éléments de type inline sont placés "dans le flux", c'est à dire à la suite du texte sans en perturber la disposition. Ils ont aussi des marges internes et externes nulles. | " => suggestions : ['\xa0»', '”']
225 Il manque les traits d’union. => Par défaut les éléments de type inline sont placés "dans le flux", c'est à dire à la suite du texte sans en perturber la disposition. Ils ont aussi des marges internes et externes nulles. | c'est à dire => suggestions : ['c’est-à-dire']

241 Mot inconnu : Block => === Balises Block === | block

253 Mot inconnu : block => Cette balise déroge à la règle des balises block puisqu'elle ne peut pas contenir un autre élément block. | block
253 Mot inconnu : block => Cette balise déroge à la règle des balises block puisqu'elle ne peut pas contenir un autre élément block. | block

281 Il manque un trait d’union si “même” se rapporte à “vous”. => Les formulaires permettent au visiteur de communiquer avec votre page, ou vous même. Ils permettent au visiteur d'entrer des données qui seront alors traitées par la suite. | vous même => suggestions : ['vous-même']

291 Typographie : points de suspension. Utilisez le caractère dédié. => Si on envoie les données en POST, on ne voit pas (sauf avec des outils spécifiques) les données envoyées. C'est donc déjà plus approprié pour envoyer un mot de passe par exemple... imaginez une url de la forme page.php?motDePasse=truc ... | ... => suggestions : ['…']
291 Mot inconnu : url => Si on envoie les données en POST, on ne voit pas (sauf avec des outils spécifiques) les données envoyées. C'est donc déjà plus approprié pour envoyer un mot de passe par exemple... imaginez une url de la forme page.php?motDePasse=truc ... | url
291 Mot inconnu : php => Si on envoie les données en POST, on ne voit pas (sauf avec des outils spécifiques) les données envoyées. C'est donc déjà plus approprié pour envoyer un mot de passe par exemple... imaginez une url de la forme page.php?motDePasse=truc ... | php
291 Il manque un espace. => Si on envoie les données en POST, on ne voit pas (sauf avec des outils spécifiques) les données envoyées. C'est donc déjà plus approprié pour envoyer un mot de passe par exemple... imaginez une url de la forme page.php?motDePasse=truc ... | motdepasse => suggestions : [' motDePasse']
291 Mot inconnu : motDePasse => Si on envoie les données en POST, on ne voit pas (sauf avec des outils spécifiques) les données envoyées. C'est donc déjà plus approprié pour envoyer un mot de passe par exemple... imaginez une url de la forme page.php?motDePasse=truc ... | motdepasse
291 Typographie : points de suspension. Utilisez le caractère dédié. => Si on envoie les données en POST, on ne voit pas (sauf avec des outils spécifiques) les données envoyées. C'est donc déjà plus approprié pour envoyer un mot de passe par exemple... imaginez une url de la forme page.php?motDePasse=truc ... | ... => suggestions : ['…']

370 Mot inconnu : inline => === Balises inline === | inline

412 Mot inconnu : Span => == Span == | span

418 Guillemets typographiques ouvrants. => Ici on pourrait donc avoir une classe "surligne" qui ajouterait une couleur de fond au texte en CSS... | " => suggestions : ['«\xa0', '“']
418 Guillemets typographiques fermants. => Ici on pourrait donc avoir une classe "surligne" qui ajouterait une couleur de fond au texte en CSS... | " => suggestions : ['\xa0»', '”']
418 Typographie : points de suspension. Utilisez le caractère dédié. => Ici on pourrait donc avoir une classe "surligne" qui ajouterait une couleur de fond au texte en CSS... | ... => suggestions : ['…']

429 Typographie : points de suspension. Utilisez le caractère dédié. => Les champs cachés permettent d'envoyer avec le formulaire des données invisibles pour le visiteur, comme des informations complémentaires inutiles pour le visiteur mais utiles au traitement des données pour vous... | ... => suggestions : ['…']

436 Guillemets typographiques ouvrants. => Ce sont les boutons ronds que l'on peut cocher. Cocher un bouton décoche automatiquement les autres boutons du même "groupe". On spécifie le même "name" pour les boutons du même groupe pour rendre ce comportement possible.\\ | " => suggestions : ['«\xa0', '“']
436 Guillemets typographiques fermants. => Ce sont les boutons ronds que l'on peut cocher. Cocher un bouton décoche automatiquement les autres boutons du même "groupe". On spécifie le même "name" pour les boutons du même groupe pour rendre ce comportement possible.\\ | " => suggestions : ['\xa0»', '”']
436 Guillemets typographiques ouvrants. => Ce sont les boutons ronds que l'on peut cocher. Cocher un bouton décoche automatiquement les autres boutons du même "groupe". On spécifie le même "name" pour les boutons du même groupe pour rendre ce comportement possible.\\ | " => suggestions : ['«\xa0', '“']
436 Mot inconnu : name => Ce sont les boutons ronds que l'on peut cocher. Cocher un bouton décoche automatiquement les autres boutons du même "groupe". On spécifie le même "name" pour les boutons du même groupe pour rendre ce comportement possible.\\ | name
436 Guillemets typographiques fermants. => Ce sont les boutons ronds que l'on peut cocher. Cocher un bouton décoche automatiquement les autres boutons du même "groupe". On spécifie le même "name" pour les boutons du même groupe pour rendre ce comportement possible.\\ | " => suggestions : ['\xa0»', '”']

437 Confusion : “coté” est le participe passé du verbe “coter”. => Le texte mis à coté du bouton et la valeur envoyée ne sont pas forcément les même. Le texte affiché est utile pour le visiteur et la valeur vous est utile pour le traitement du formulaire.\\ | coté => suggestions : ['côté', 'côtés']
437 Accord de nombre erroné : « même » devrait être au pluriel. => Le texte mis à coté du bouton et la valeur envoyée ne sont pas forcément les même. Le texte affiché est utile pour le visiteur et la valeur vous est utile pour le traitement du formulaire.\\ | même => suggestions : ['mêmes']

440 Mot inconnu : quizz => Ils servent à donner une réponse unique parmi plusieurs choix (utile pour faire des quizz par exemple...) | quizz
440 Typographie : points de suspension. Utilisez le caractère dédié. => Ils servent à donner une réponse unique parmi plusieurs choix (utile pour faire des quizz par exemple...) | ... => suggestions : ['…']
466 Mot inconnu : optgroup => //Note : Les optgroup sont complètement optionnels est servent à séparer les entrées de la liste en plusieurs sous-groupes. Par exemple pour une liste des départements français séparés en régions...// | optgroup
466 Typographie : points de suspension. Utilisez le caractère dédié. => //Note : Les optgroup sont complètement optionnels est servent à séparer les entrées de la liste en plusieurs sous-groupes. Par exemple pour une liste des départements français séparés en régions...// | ... => suggestions : ['…']

470 Guillemets typographiques ouvrants. => Ceci crée un simple bouton avec le texte "appuyez ici" inscrit. Libre à vous, par la suite, d'y associer des fonctions javascript par exemple... | " => suggestions : ['«\xa0', '“']
470 Guillemets typographiques fermants. => Ceci crée un simple bouton avec le texte "appuyez ici" inscrit. Libre à vous, par la suite, d'y associer des fonctions javascript par exemple... | " => suggestions : ['\xa0»', '”']
470 Mot inconnu : javascript => Ceci crée un simple bouton avec le texte "appuyez ici" inscrit. Libre à vous, par la suite, d'y associer des fonctions javascript par exemple... | javascript
470 Typographie : points de suspension. Utilisez le caractère dédié. => Ceci crée un simple bouton avec le texte "appuyez ici" inscrit. Libre à vous, par la suite, d'y associer des fonctions javascript par exemple... | ... => suggestions : ['…']

474 Guillemets typographiques ouvrants. => Bouton servant à remettre à zéro le formulaire avec ici, le texte "tout effacer" inscrit. | " => suggestions : ['«\xa0', '“']
474 Guillemets typographiques fermants. => Bouton servant à remettre à zéro le formulaire avec ici, le texte "tout effacer" inscrit. | " => suggestions : ['\xa0»', '”']
