7 Mot inconnu : dkms [[322:326]] => https://www.google.fr/search?client=ubuntu&channel=fs&dcr=0&biw=1333&bih=663&ei=T0H2WYLJJMP6UKTmi4AG&q=github+dkms+linux&oq=github+dkms+linux&gs_l=psy-ab.12...15434.17052.0.19374.6.6.0.0.0.0.625.1067.0j2j1j5-1.4.0....0...1.1.64.psy-ab..2.1.207...0i7i5i30k1j0i8i7i30k1.0.b1ReKft_lbY Parce qui si google sait que je cherche dkms il va arreter de me vendre des matelas ou de me parler de gens malades, si tu comprends pourquoi je dis ca c'est que tu regarde toutes les conneries que je mets en commentaires \\ <|> dkms
14 Mot inconnu : lsub [[17:21]] => Si la commande **lsub** vous a listé un périphérique avec l'ID  0bda:b720 l'installation de ce driver vous sera sûrement utile. <|> lsub
14 Espace(s) surnuméraire(s) à supprimer. [[62:64]] => Si la commande **lsub** vous a listé un périphérique avec l'ID  0bda:b720 l'installation de ce driver vous sera sûrement utile. <|>    => suggestions : [' ']
14 Mot inconnu : bda [[65:68]] => Si la commande **lsub** vous a listé un périphérique avec l'ID  0bda:b720 l'installation de ce driver vous sera sûrement utile. <|> bda
14 Il manque un espace. [[69:73]] => Si la commande **lsub** vous a listé un périphérique avec l'ID  0bda:b720 l'installation de ce driver vous sera sûrement utile. <|> b720 => suggestions : [' b720']
14 Mot inconnu : b720 [[69:73]] => Si la commande **lsub** vous a listé un périphérique avec l'ID  0bda:b720 l'installation de ce driver vous sera sûrement utile. <|> b720

16 Mot inconnu : rtl8723au [[78:87]] => <note important>**Les périphériques ayant cet ID peuvent nécessiter le driver rtl8723au, les 2 modèles ont le même ID**</note> <|> rtl8723au

18 Mot inconnu : github [[3:9]] => Le github du driver est : https://github.com/lwfinger. \\ <|> github

20 Pas d’espace avant une virgule. [[22:24]] => <note>Sur Ubuntu 16.04 , après son installation nm-applet , qui vous affiche l'icone réseau peut nécessiter un redémarrage. <|>  , => suggestions : [',']
20 Pas d’espace avant une virgule. [[57:59]] => <note>Sur Ubuntu 16.04 , après son installation nm-applet , qui vous affiche l'icone réseau peut nécessiter un redémarrage. <|>  , => suggestions : [',']
20 Mot inconnu : icone [[79:84]] => <note>Sur Ubuntu 16.04 , après son installation nm-applet , qui vous affiche l'icone réseau peut nécessiter un redémarrage. <|> icone

23 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - https://www.amazon.fr/iFun4U-adapteur-Bluetooth-vitesse-Compatible/dp/B01JS0CLR2 \\ <|> -  => suggestions : ['—\xa0', '–\xa0']

24 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - https://www.amazon.fr/gp/product/B01IT7GJRI/ref=oh_aui_detailpage_o01_s00?ie=UTF8&psc=1 \\ <|> -  => suggestions : ['—\xa0', '–\xa0']

27 Mot inconnu : blacklistage [[54:66]] => La première fois que vous installerez le driver, **un blacklistage sera à faire** dans : /etc/modprobe.d/blacklist.conf \\ <|> blacklistage

34 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[20:21]] => Il ne vous reste qu'a suivre les indications données sur le dépôt github. \\ <|> a => suggestions : ['à']
34 Mot inconnu : github [[66:72]] => Il ne vous reste qu'a suivre les indications données sur le dépôt github. \\ <|> github

36 Pas d’espace avant une virgule. [[39:41]] => Un script qui fait le travail pour vous , **mais qui ne blackliste pas encore**. \\ <|>  , => suggestions : [',']

37 Mot inconnu : sh [[91:93]] => Recopiez son contenu dans un fichier que vous nommerez à votre convenance avec l'extension sh (Mon_driver_wifi.sh par exemple). \\ <|> sh
37 Mot inconnu : Mon_driver_wifi [[95:110]] => Recopiez son contenu dans un fichier que vous nommerez à votre convenance avec l'extension sh (Mon_driver_wifi.sh par exemple). \\ <|> mon_driver_wifi
37 Mot inconnu : sh [[111:113]] => Recopiez son contenu dans un fichier que vous nommerez à votre convenance avec l'extension sh (Mon_driver_wifi.sh par exemple). \\ <|> sh
