
3 Mot inconnu : Trusty-LTS [[32:42]] => ====== Checklist d'installation Trusty-LTS ====== <|> trusty-lts
131 Guillemets typographiques ouvrants. [[40:41]] => Dans 'Paramètres du Bureau...', choisir "liste d'images" et ajouter les images souhaitées (notre dossier "Fonds_d'écran"). <|> " => suggestions : ['«\xa0', '“']
131 Guillemets typographiques fermants. [[55:56]] => Dans 'Paramètres du Bureau...', choisir "liste d'images" et ajouter les images souhaitées (notre dossier "Fonds_d'écran"). <|> " => suggestions : ['\xa0»', '”']
131 Guillemets typographiques ouvrants. [[105:106]] => Dans 'Paramètres du Bureau...', choisir "liste d'images" et ajouter les images souhaitées (notre dossier "Fonds_d'écran"). <|> " => suggestions : ['«\xa0', '“']
131 Mot inconnu : Fonds_d'écran [[106:119]] => Dans 'Paramètres du Bureau...', choisir "liste d'images" et ajouter les images souhaitées (notre dossier "Fonds_d'écran"). <|> fonds_d'écran
131 Guillemets typographiques fermants. [[119:120]] => Dans 'Paramètres du Bureau...', choisir "liste d'images" et ajouter les images souhaitées (notre dossier "Fonds_d'écran"). <|> " => suggestions : ['\xa0»', '”']
135 Guillemets typographiques ouvrants. [[171:172]] =>   * **Télécharger** le **thème Ambiance** : **[[http://gnome-look.org/content/show.php/Ambiance+Crunchy?content=151181|ici]]**\\ puis ouvrir un terminal depuis le dossier "Téléchargements" pour saisir la commande : <|> " => suggestions : ['«\xa0', '“']
135 Guillemets typographiques fermants. [[187:188]] =>   * **Télécharger** le **thème Ambiance** : **[[http://gnome-look.org/content/show.php/Ambiance+Crunchy?content=151181|ici]]**\\ puis ouvrir un terminal depuis le dossier "Téléchargements" pour saisir la commande : <|> " => suggestions : ['\xa0»', '”']
141 Espace(s) en fin de ligne à supprimer. [[19:20]] =>   * **Apparence** :  <|>   => suggestions : ['']
144 Espace(s) en fin de ligne à supprimer. [[34:35]] =>   * **Gestionnaire de fenêtres** :  <|>   => suggestions : ['']

159 Typographie : un ou trois points ? [[76:78]] => **Clic droit sur un panel / Tableau de bord / Préférences du tableau de bord..** <|> .. => suggestions : ['…', '.']

164 Mot inconnu : Xubuntu [[51:58]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> xubuntu
164 Mot inconnu : xfce4 [[115:120]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> xfce4
164 Guillemets typographiques ouvrants. [[132:133]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> " => suggestions : ['«\xa0', '“']
164 Guillemets typographiques fermants. [[138:139]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> " => suggestions : ['\xa0»', '”']
164 Guillemets typographiques ouvrants. [[154:155]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> " => suggestions : ['«\xa0', '“']
164 Mot inconnu : xfce4-panel [[155:166]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> xfce4-panel
164 Mot inconnu : xml [[167:170]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> xml
164 Guillemets typographiques fermants. [[170:171]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> " => suggestions : ['\xa0»', '”']
164 Accord de nombre erroné : « sous » est au pluriel. [[183:185]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> le => suggestions : ['les']
164 Accord de nombre erroné : « sous » devrait être au singulier. [[186:190]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> sous => suggestions : ['sou']
164 Mot inconnu : xfconf [[200:206]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> xfconf
164 Mot inconnu : xfce-perchannel-xml [[207:226]] => Si on veut copier la présentation d'une version de Xubuntu à l'autre, il faut sauvegarder dans le dossier ./config/xfce4 le dossier "panel" et le fichier "xfce4-panel.xml" situé dans le sous dossier /xfconf/xfce-perchannel-xml/ <|> xfce-perchannel-xml
167 Guillemets typographiques ouvrants. [[44:45]] =>   * Il suffit de prendre un élément dans la "liste des applications" (Super+R) et de le relâcher sur un panel. <|> " => suggestions : ['«\xa0', '“']
167 Guillemets typographiques fermants. [[67:68]] =>   * Il suffit de prendre un élément dans la "liste des applications" (Super+R) et de le relâcher sur un panel. <|> " => suggestions : ['\xa0»', '”']
170 Guillemets typographiques ouvrants. [[50:51]] =>   * Un séparateur que l'on édite et où l'on coche "étirer" permet de combler les vides entre lanceurs <|> " => suggestions : ['«\xa0', '“']
170 Guillemets typographiques fermants. [[57:58]] =>   * Un séparateur que l'on édite et où l'on coche "étirer" permet de combler les vides entre lanceurs <|> " => suggestions : ['\xa0»', '”']
175 Mot inconnu : sam [[28:31]] => Ce code permet d'afficher : sam. 03 août  15:44:06 <|> sam
175 Espace(s) surnuméraire(s) à supprimer. [[40:42]] => Ce code permet d'afficher : sam. 03 août  15:44:06 <|>    => suggestions : [' ']

177 Mot inconnu : BROTHER [[17:24]] => ===== Imprimante BROTHER DCP-130C ===== <|> brother
177 Mot inconnu : DCP-130C [[25:33]] => ===== Imprimante BROTHER DCP-130C ===== <|> dcp-130c

178 Mot inconnu : Oneiric [[5:12]] => Sous Oneiric, les paquets bh7 ne fonctionnaient pas. Par contre, ce script, Oui. Donc, je n'ai pas testé d'autres méthodes depuis !! <|> oneiric
178 Mot inconnu : bh7 [[26:29]] => Sous Oneiric, les paquets bh7 ne fonctionnaient pas. Par contre, ce script, Oui. Donc, je n'ai pas testé d'autres méthodes depuis !! <|> bh7

200 Typographie : points de suspension. Utilisez le caractère dédié. [[110:113]] => Débrancher la prise USB de l'imprimante et la rebrancher aussitôt pour que le logiciel de scan fonctionne bien... <|> ... => suggestions : ['…']
202 Guillemets typographiques ouvrants. [[51:52]] =>   * Activer dans les mises à jour de logiciels les "partenaires Canonical" pour pouvoir installer Skype ou Google earth <|> " => suggestions : ['«\xa0', '“']
202 Guillemets typographiques fermants. [[73:74]] =>   * Activer dans les mises à jour de logiciels les "partenaires Canonical" pour pouvoir installer Skype ou Google earth <|> " => suggestions : ['\xa0»', '”']
202 Mot inconnu : Skype [[98:103]] =>   * Activer dans les mises à jour de logiciels les "partenaires Canonical" pour pouvoir installer Skype ou Google earth <|> skype
202 Mot inconnu : earth [[114:119]] =>   * Activer dans les mises à jour de logiciels les "partenaires Canonical" pour pouvoir installer Skype ou Google earth <|> earth
218 Mot inconnu : Identica [[52:60]] =>   * [[http://www.hotot.org/|hotot]] pour Twitter et Identica <|> identica
227 Mot inconnu : rar [[33:36]] =>   * prise en charge des fichiers rar <|> rar

248 Mot inconnu : false [[74:79]] => [[https://productforums.google.com/forum/#!topic/maps/_h4t6SpY_II[126-150-false]|fix pour le problème panoramio]] <|> false
248 Mot inconnu : fix [[81:84]] => [[https://productforums.google.com/forum/#!topic/maps/_h4t6SpY_II[126-150-false]|fix pour le problème panoramio]] <|> fix
248 Mot inconnu : panoramio [[102:111]] => [[https://productforums.google.com/forum/#!topic/maps/_h4t6SpY_II[126-150-false]|fix pour le problème panoramio]] <|> panoramio

249 Mot inconnu : Wine [[15:19]] => ==== Logiciels Wine ==== <|> wine

258 Mot inconnu : Compiz [[6:12]] => ===== Compiz ===== <|> compiz

262 Mot inconnu : Compiz [[9:15]] => Pour que Compiz décore les fenêtres avec notre thème favori : <|> compiz

274 Mot inconnu : CompizConfig [[64:76]] => Il faut aller dans les Paramètres/Gestionnaire de configuration CompizConfig: <|> compizconfig
276 Guillemets typographiques ouvrants. [[25:26]] =>   * voir les réglages de "enhanced desktop Zoom" <|> " => suggestions : ['«\xa0', '“']
276 Mot inconnu : enhanced [[26:34]] =>   * voir les réglages de "enhanced desktop Zoom" <|> enhanced
276 Mot inconnu : desktop [[35:42]] =>   * voir les réglages de "enhanced desktop Zoom" <|> desktop
276 Guillemets typographiques fermants. [[47:48]] =>   * voir les réglages de "enhanced desktop Zoom" <|> " => suggestions : ['\xa0»', '”']

278 Mot inconnu : compiz [[11:17]] => Pour avoir compiz lancé par défaut : dans les Paramètres/Session et démarrage/Démarrage automatique, Ajouter en mettant pour commande : compiz <nowiki>--</nowiki>replace <|> compiz
278 Mot inconnu : compiz [[136:142]] => Pour avoir compiz lancé par défaut : dans les Paramètres/Session et démarrage/Démarrage automatique, Ajouter en mettant pour commande : compiz <nowiki>--</nowiki>replace <|> compiz

280 Mot inconnu : compiz [[18:24]] => === Raccourcis de compiz === <|> compiz
281 Mot inconnu : Tab [[8:11]] =>   * Alt Tab : pour faire défiler les fenêtres une par une devant soi <|> tab
282 Accord de nombre erroné avec « les flèches » : « gauche » devrait être au pluriel. [[28:34]] =>   * Ctrl Alt et les flèches gauche ou droite pour aller d'un espace travail à l'autre. <|> gauche => suggestions : ['gauches']
284 Mot inconnu : xfce [[16:20]] =>   * Ctrl Alt D (xfce) et Super D (compiz) : Afficher/Réduire toutes les fenêtres du bureau <|> xfce
284 Mot inconnu : compiz [[34:40]] =>   * Ctrl Alt D (xfce) et Super D (compiz) : Afficher/Réduire toutes les fenêtres du bureau <|> compiz
286 Mot inconnu : compiz [[13:19]] =>   * Super W (compiz) : Faire défiler les fenêtres ouvertes <|> compiz
287 Mot inconnu : compiz [[13:19]] =>   * Super S (compiz) : Exposé affiche les espaces de travail côte à côte. <|> compiz

289 Mot inconnu : Guayadeque [[6:16]] => ===== Guayadeque en install svn ===== <|> guayadeque
289 Mot inconnu : install [[20:27]] => ===== Guayadeque en install svn ===== <|> install
289 Mot inconnu : svn [[28:31]] => ===== Guayadeque en install svn ===== <|> svn

300 Accord de nombre erroné : « mise » devrait être au pluriel. [[12:16]] => et pour les mise à jour : <|> mise => suggestions : ['mises']

313 Mot inconnu : Wheezy [[13:19]] => ===== DEBIAN Wheezy ===== <|> wheezy

314 Mot inconnu : Iceweasel [[28:37]] => ==== Firefox/Thunderbird vs Iceweasel/Icedove ==== <|> iceweasel
314 Mot inconnu : Icedove [[38:45]] => ==== Firefox/Thunderbird vs Iceweasel/Icedove ==== <|> icedove

316 Mot inconnu : thunderbird [[137:148]] => Pour éviter les problèmes des numéros de version différents entre Mozilla et Debian (extensions incompatibles pour Firefox, erreurs pour thunderbird) et, pour pouvoir partager sereinement un profil entre une distribution Ubuntu et une Debian, on va les installer ([[http://mozilla.debian.net/|le dépôt de Mozilla]] étant pour les versions 32 bits) : <|> thunderbird
