2 Mot inconnu : LiveBox [[30:37]] => ==== Première connexion à une LiveBox ==== <|> livebox
15 Mot inconnu : Wicd [[59:63]] => Le logiciel de configuration du réseau (**network-manager, Wicd, etc**) arrive à détecter les réseaux sans fil disponibles, mais quand vous cliquez pour vous connecter, la connexion n'aboutit pas. <|> wicd
15 Accord de nombre erroné avec « disponibles ». [[107:110]] => Le logiciel de configuration du réseau (**network-manager, Wicd, etc**) arrive à détecter les réseaux sans fil disponibles, mais quand vous cliquez pour vous connecter, la connexion n'aboutit pas. <|> fil => suggestions : ['fils']
15 Accord de nombre erroné avec « fil ». [[111:122]] => Le logiciel de configuration du réseau (**network-manager, Wicd, etc**) arrive à détecter les réseaux sans fil disponibles, mais quand vous cliquez pour vous connecter, la connexion n'aboutit pas. <|> disponibles => suggestions : ['disponible']

17 Mot inconnu : network-manager [[17:32]] => Dans le cas de **network-manager**, dès que vous cliquez sur le SSID, le logiciel tente de se connecter, puis s'arrête au bout de quelques secondes. Pour ce qui est de **Wicd**, le logiciel gèle sur l'étape de **Obtention de l'adresse IP...** avec la barre de progression qui oscille de gauche à droite continuellement. <|> network-manager
17 Mot inconnu : SSID [[64:68]] => Dans le cas de **network-manager**, dès que vous cliquez sur le SSID, le logiciel tente de se connecter, puis s'arrête au bout de quelques secondes. Pour ce qui est de **Wicd**, le logiciel gèle sur l'étape de **Obtention de l'adresse IP...** avec la barre de progression qui oscille de gauche à droite continuellement. <|> ssid
17 Mot inconnu : Wicd [[170:174]] => Dans le cas de **network-manager**, dès que vous cliquez sur le SSID, le logiciel tente de se connecter, puis s'arrête au bout de quelques secondes. Pour ce qui est de **Wicd**, le logiciel gèle sur l'étape de **Obtention de l'adresse IP...** avec la barre de progression qui oscille de gauche à droite continuellement. <|> wicd
17 Typographie : points de suspension. Utilisez le caractère dédié. [[237:240]] => Dans le cas de **network-manager**, dès que vous cliquez sur le SSID, le logiciel tente de se connecter, puis s'arrête au bout de quelques secondes. Pour ce qui est de **Wicd**, le logiciel gèle sur l'étape de **Obtention de l'adresse IP...** avec la barre de progression qui oscille de gauche à droite continuellement. <|> ... => suggestions : ['…']

19 Mot inconnu : sudo [[79:83]] => Pour régler cela, il suffit d'éditer le fichier **interfaces** (avec privilège sudo). <|> sudo

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  - Rechercher le nom de votre carte réseau sans fil en tapant ce qui suit. <|>   => suggestions : ['']

37 Mot inconnu : occurence [[3:12]] => En occurence, **__wlan0__** est le nom de la carte réseau __sans fil__ de votre ordinateur que nous cherchons. Notez-le car on en aura besoin plus tard! <|> occurence
37 Mot inconnu : __wlan0__ [[16:25]] => En occurence, **__wlan0__** est le nom de la carte réseau __sans fil__ de votre ordinateur que nous cherchons. Notez-le car on en aura besoin plus tard! <|> __wlan0__
37 Mot inconnu : __sans [[58:64]] => En occurence, **__wlan0__** est le nom de la carte réseau __sans fil__ de votre ordinateur que nous cherchons. Notez-le car on en aura besoin plus tard! <|> __sans
37 Mot inconnu : fil__ [[65:70]] => En occurence, **__wlan0__** est le nom de la carte réseau __sans fil__ de votre ordinateur que nous cherchons. Notez-le car on en aura besoin plus tard! <|> fil__
37 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[119:123]] => En occurence, **__wlan0__** est le nom de la carte réseau __sans fil__ de votre ordinateur que nous cherchons. Notez-le car on en aura besoin plus tard! <|>  car => suggestions : [', car']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  - Ensuite, éditer le fichier **interfaces** avec la commande suivante <|>   => suggestions : ['']

42 Espace(s) en fin de ligne à supprimer. [[45:46]] => Ça devrait contenir dans l'éditeur de texte\\  <|>   => suggestions : ['']

47 Mot inconnu : __wlan0__ [[58:67]] => Ajouter dans ce fichier texte le paragraphe suivant, où **__wlan0__** est le nom de votre carte réseau __sans fil__. <|> __wlan0__
47 Mot inconnu : __sans [[103:109]] => Ajouter dans ce fichier texte le paragraphe suivant, où **__wlan0__** est le nom de votre carte réseau __sans fil__. <|> __sans
47 Mot inconnu : fil__ [[110:115]] => Ajouter dans ce fichier texte le paragraphe suivant, où **__wlan0__** est le nom de votre carte réseau __sans fil__. <|> fil__

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  - Puis redémarrer le réseau avec cette commande: <|>   => suggestions : ['']

60 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[16:17]] => <note important>A partir de la version 12.4, toute modification du fichier interfaces à tendance à tout planter : plus de réseau au démarrage. <|> a => suggestions : ['À']

62 Guillemets typographiques ouvrants. [[61:62]] => Il est recommandé de changer de service de gestion réseau en "arrêtant" network-manager pour ré-activer networking : <|> " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. [[70:71]] => Il est recommandé de changer de service de gestion réseau en "arrêtant" network-manager pour ré-activer networking : <|> " => suggestions : ['\xa0»', '”']
62 Mot inconnu : network-manager [[72:87]] => Il est recommandé de changer de service de gestion réseau en "arrêtant" network-manager pour ré-activer networking : <|> network-manager
62 Mot inconnu : networking [[104:114]] => Il est recommandé de changer de service de gestion réseau en "arrêtant" network-manager pour ré-activer networking : <|> networking

68 Mot inconnu : WPA-PSK [[8:15]] => ====Clé WPA-PSK fausse avec paquet logiciel wpa_supplicant version 0.6.9==== <|> wpa-psk
68 Mot inconnu : wpa_supplicant [[44:58]] => ====Clé WPA-PSK fausse avec paquet logiciel wpa_supplicant version 0.6.9==== <|> wpa_supplicant

69 Mot inconnu : WPA-PSK [[45:52]] => <note important>En ligne de commande, la clé WPA-PSK obtenue avec wpa_passphrase du paquet logiciel wpa_supplicant version 0.6.9 est FAUSSE! <|> wpa-psk
69 Mot inconnu : wpa_passphrase [[66:80]] => <note important>En ligne de commande, la clé WPA-PSK obtenue avec wpa_passphrase du paquet logiciel wpa_supplicant version 0.6.9 est FAUSSE! <|> wpa_passphrase
69 Mot inconnu : wpa_supplicant [[100:114]] => <note important>En ligne de commande, la clé WPA-PSK obtenue avec wpa_passphrase du paquet logiciel wpa_supplicant version 0.6.9 est FAUSSE! <|> wpa_supplicant

71 Mot inconnu : topic [[56:61]] => Il faut utiliser d'autres outils pour la générer, cf ce topic : <|> topic

76 Mot inconnu : AP [[120:122]] => Si vous remarquez que votre connexion Wi-Fi est anormalement lente et que cela ne vient pas de votre matériel (carte ou AP) et avant de réinstaller, recompiler...d'autres pilotes : <|> ap
76 Typographie : points de suspension. Utilisez le caractère dédié. [[159:162]] => Si vous remarquez que votre connexion Wi-Fi est anormalement lente et que cela ne vient pas de votre matériel (carte ou AP) et avant de réinstaller, recompiler...d'autres pilotes : <|> ... => suggestions : ['…']

80 Écriture invariable. Utilisez un point médian. [[23:28]] => Si vous voyez Bit Rate=1Mb/s alors tapez <|> 1mb/s => suggestions : ['1Mb·s']
80 Mot inconnu : Mb [[24:26]] => Si vous voyez Bit Rate=1Mb/s alors tapez <|> mb

84 Mot inconnu : ra0 [[4:7]] => (ou ra0 suivant le nom de votre interface) <|> ra0

86 Guillemets typographiques ouvrants. [[14:15]] => Enfin, faites "iwconfig" pour vérifier qu'il vous met bien Bit Rate=54Mb/s . <|> " => suggestions : ['«\xa0', '“']
86 Mot inconnu : iwconfig [[15:23]] => Enfin, faites "iwconfig" pour vérifier qu'il vous met bien Bit Rate=54Mb/s . <|> iwconfig
86 Guillemets typographiques fermants. [[23:24]] => Enfin, faites "iwconfig" pour vérifier qu'il vous met bien Bit Rate=54Mb/s . <|> " => suggestions : ['\xa0»', '”']
86 Écriture invariable. Utilisez un point médian. [[68:74]] => Enfin, faites "iwconfig" pour vérifier qu'il vous met bien Bit Rate=54Mb/s . <|> 54mb/s => suggestions : ['54Mb·s']
86 Mot inconnu : Mb [[70:72]] => Enfin, faites "iwconfig" pour vérifier qu'il vous met bien Bit Rate=54Mb/s . <|> mb

90 Mot inconnu : ca [[9:11]] => pour que ca reste permanent :  <|> ca
90 Espace(s) en fin de ligne à supprimer. [[29:30]] => pour que ca reste permanent :  <|>   => suggestions : ['']

108 Mot inconnu : iwlwifi [[43:50]] => Pour les cartes INTEL (utilisant le pilote iwlwifi) 3945, 4975, série 5000 : <|> iwlwifi
111 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[34:37]] =>   * Pour les USA (canaux de 1 à 11 - Txpower max ?) <|>  -  => suggestions : [' – ', ' — ', ' − ']
111 Mot inconnu : Txpower [[37:44]] =>   * Pour les USA (canaux de 1 à 11 - Txpower max ?) <|> txpower
113 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[45:48]] =>   * Pour la zone européenne (canaux de 1 à 13 - Txpower max 20dBm) <|>  -  => suggestions : [' – ', ' — ', ' − ']
113 Mot inconnu : Txpower [[48:55]] =>   * Pour la zone européenne (canaux de 1 à 13 - Txpower max 20dBm) <|> txpower
113 Mot inconnu : dBm [[62:65]] =>   * Pour la zone européenne (canaux de 1 à 13 - Txpower max 20dBm) <|> dbm
115 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[35:38]] =>   * Pour le Japon (canaux de 1 à 14 - Txpower max 20dBm) <|>  -  => suggestions : [' – ', ' — ', ' − ']
115 Mot inconnu : Txpower [[38:45]] =>   * Pour le Japon (canaux de 1 à 14 - Txpower max 20dBm) <|> txpower
115 Mot inconnu : dBm [[52:55]] =>   * Pour le Japon (canaux de 1 à 14 - Txpower max 20dBm) <|> dbm
117 Guillemets typographiques ouvrants. [[37:38]] => <note>Sur ma version de Jaunty, seul "JP" fonctionne</note> <|> " => suggestions : ['«\xa0', '“']
117 Mot inconnu : JP [[38:40]] => <note>Sur ma version de Jaunty, seul "JP" fonctionne</note> <|> jp
117 Guillemets typographiques fermants. [[40:41]] => <note>Sur ma version de Jaunty, seul "JP" fonctionne</note> <|> " => suggestions : ['\xa0»', '”']

126 Espace(s) en fin de ligne à supprimer. [[25:26]] => <note help>Méthode rapide  <|>   => suggestions : ['']

135 Mot inconnu : Netgear [[42:49]] => ==== Accès au Wi-Fi via un adaptateur USB Netgear ==== <|> netgear

140 Mot inconnu : broadcast [[36:45]] => ==== Diffusion du réseau inactivée (broadcast network)==== <|> broadcast
140 Mot inconnu : network [[46:53]] => ==== Diffusion du réseau inactivée (broadcast network)==== <|> network
148 Typographie : points de suspension. Utilisez le caractère dédié. [[128:131]] => Pour utiliser conjointement la carte Wi-Fi et la carte filaire sur le même réseau : il suffit d'avoir des adresses IP distinctes... <|> ... => suggestions : ['…']

152 Typographie : points de suspension. Utilisez le caractère dédié. [[105:108]] => <note warning>Cela peut entraîner des soucis de sécurité par la création d'un pont entre les deux réseaux... à éviter notamment si un des réseaux est un réseau d'entreprise</note> <|> ... => suggestions : ['…']

168 Mot inconnu : Ndiswrapper [[60:71]] => <note>Il semble que certaines cartes Wi-Fi configurées avec Ndiswrapper changent d'adresse MAC à chaque démarrage ! Si cela vous arrive, une fois que vous avez démarré votre Ubuntu et que vous vous êtes logué dans votre session, utilisez la commande précédente !</note> <|> ndiswrapper

170 Mot inconnu : Hotspots [[36:44]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> hotspots
170 Mot inconnu : Network [[47:54]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> network
170 Guillemets typographiques ouvrants. [[113:114]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> " => suggestions : ['«\xa0', '“']
170 Mot inconnu : spoofing [[118:126]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> spoofing
170 Guillemets typographiques fermants. [[126:127]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> " => suggestions : ['\xa0»', '”']
170 Mot inconnu : Network [[332:339]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> network
170 Guillemets typographiques ouvrants. [[442:443]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> " => suggestions : ['«\xa0', '“']
170 Mot inconnu : ifconfig [[443:451]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> ifconfig
170 Guillemets typographiques fermants. [[451:452]] => Pour ceux qui utilisent souvent les Hotspots : Network Manager 0.8.4 (Ubuntu 11.04) permet désormais de faire du "MAC spoofing". Cela signifie que pour chacune des connexions réseau, il est possible de spécifier l'adresse MAC avec laquelle on souhaite se connecter. Tout ceci se fait par l’intermédiaire de l'interface graphique de Network Manager (dans les propriétés de chaque connexion). Contrairement à la méthode qui utilise la commande "ifconfig", ces modifications sont permanentes, par contre il n'est pas encore possible de spécifier une adresse MAC réinitialisée aléatoirement à chaque fois que l'on se connecte. <|> " => suggestions : ['\xa0»', '”']

176 Pas d’espace après ce signe. [[57:59]] => Pour détecter/afficher vos réseaux sans fils disponibles ( et celui de votre voisin :) ), entrez ceci dans un terminal : <|> (  => suggestions : ['(']
176 Pas d’espace avant ce signe. [[86:88]] => Pour détecter/afficher vos réseaux sans fils disponibles ( et celui de votre voisin :) ), entrez ceci dans un terminal : <|>  ) => suggestions : [')']
181 Pas d’espace après ce signe. [[49:51]] =>   * Plusieurs informations vont alors apparaître ( les noms ( ESSID ) des réseaux, les channels, fréquences .... ), exemple : <|> (  => suggestions : ['(']
181 Pas d’espace après ce signe. [[60:62]] =>   * Plusieurs informations vont alors apparaître ( les noms ( ESSID ) des réseaux, les channels, fréquences .... ), exemple : <|> (  => suggestions : ['(']
181 Mot inconnu : ESSID [[62:67]] =>   * Plusieurs informations vont alors apparaître ( les noms ( ESSID ) des réseaux, les channels, fréquences .... ), exemple : <|> essid
181 Pas d’espace avant ce signe. [[67:69]] =>   * Plusieurs informations vont alors apparaître ( les noms ( ESSID ) des réseaux, les channels, fréquences .... ), exemple : <|>  ) => suggestions : [')']
181 Mot inconnu : channels [[87:95]] =>   * Plusieurs informations vont alors apparaître ( les noms ( ESSID ) des réseaux, les channels, fréquences .... ), exemple : <|> channels
181 Typographie : points de suspension. Utilisez le caractère dédié. [[108:112]] =>   * Plusieurs informations vont alors apparaître ( les noms ( ESSID ) des réseaux, les channels, fréquences .... ), exemple : <|> .... => suggestions : ['…']
181 Pas d’espace avant ce signe. [[112:114]] =>   * Plusieurs informations vont alors apparaître ( les noms ( ESSID ) des réseaux, les channels, fréquences .... ), exemple : <|>  ) => suggestions : [')']

231 Mot inconnu : NetworkManager [[18:32]] => La version 0.8 de NetworkManager n'enregistre pas si vous avez désactivé ou non votre réseau sans fil. A chaque redémarrage il est nécessaire de redécocher le réseau sans fil.\\ <|> networkmanager
231 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[103:104]] => La version 0.8 de NetworkManager n'enregistre pas si vous avez désactivé ou non votre réseau sans fil. A chaque redémarrage il est nécessaire de redécocher le réseau sans fil.\\ <|> a => suggestions : ['À']
231 Mot inconnu : redécocher [[145:155]] => La version 0.8 de NetworkManager n'enregistre pas si vous avez désactivé ou non votre réseau sans fil. A chaque redémarrage il est nécessaire de redécocher le réseau sans fil.\\ <|> redécocher

237 Mot inconnu : dual-boot [[52:61]] => ==== Bouton d'activation et utilisation d'Ubuntu en dual-boot avec windows ==== <|> dual-boot

239 Mot inconnu : WLMI [[41:45]] => Sur certains modèles (l'Acer Aspire 5002 WLMI ou DELL Inspiron par exemple), il peut arriver que la carte Wi-Fi ne s'active pas sous ubuntu, **lorsque celui-ci est utilisé conjointement à Windows** (en dual-boot). <|> wlmi
239 Mot inconnu : Inspiron [[54:62]] => Sur certains modèles (l'Acer Aspire 5002 WLMI ou DELL Inspiron par exemple), il peut arriver que la carte Wi-Fi ne s'active pas sous ubuntu, **lorsque celui-ci est utilisé conjointement à Windows** (en dual-boot). <|> inspiron
239 Mot inconnu : dual-boot [[202:211]] => Sur certains modèles (l'Acer Aspire 5002 WLMI ou DELL Inspiron par exemple), il peut arriver que la carte Wi-Fi ne s'active pas sous ubuntu, **lorsque celui-ci est utilisé conjointement à Windows** (en dual-boot). <|> dual-boot

244 Mot inconnu : __Qu'est-ce [[0:11]] => __Qu'est-ce que le bouton dédié ?__ <|> __qu'est-ce
244 Il manque un espace. [[33:35]] => __Qu'est-ce que le bouton dédié ?__ <|> __ => suggestions : [' __']
244 Mot inconnu : __ [[33:35]] => __Qu'est-ce que le bouton dédié ?__ <|> __
245 Mot inconnu : Fn [[77:79]] =>   * sur les Inspirons, la combinaison de touches à utiliser sous Windows est Fn + F2 (suivant la configuration de votre BIOS, cette touche peut aussi contrôler le Bluetooth). <|> fn
245 Typographie des composés chimiques. [[82:84]] =>   * sur les Inspirons, la combinaison de touches à utiliser sous Windows est Fn + F2 (suivant la configuration de votre BIOS, cette touche peut aussi contrôler le Bluetooth). <|> f2 => suggestions : ['F₂']
245 Mot inconnu : F2 [[82:84]] =>   * sur les Inspirons, la combinaison de touches à utiliser sous Windows est Fn + F2 (suivant la configuration de votre BIOS, cette touche peut aussi contrôler le Bluetooth). <|> f2
246 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:7]] =>   * sur mon Pavilion, c'est une diode tactile entre l'écran et le clavier. Bleu = activé ; rouge = désactivé. <|> sur => suggestions : ['Sur']
246 Mot inconnu : Pavilion [[12:20]] =>   * sur mon Pavilion, c'est une diode tactile entre l'écran et le clavier. Bleu = activé ; rouge = désactivé. <|> pavilion

249 Mot inconnu : acer_acpi [[28:37]] => => pourquoi ne pas utiliser acer_acpi pour activer/désactiver le wifi? <|> acer_acpi

259 Mot inconnu : Compaq [[7:13]] => => Sur Compaq CQ60, il arrive que la carte wifi soit désactivé matériellement. Solution : appuyer sur le bouton d'activation matériel du wifi pendant la séquence de démarrage (Grub ou test bios).  <|> compaq
259 Mot inconnu : CQ60 [[14:18]] => => Sur Compaq CQ60, il arrive que la carte wifi soit désactivé matériellement. Solution : appuyer sur le bouton d'activation matériel du wifi pendant la séquence de démarrage (Grub ou test bios).  <|> cq60
259 Accord erroné : “carte” et “désactivé” ne sont pas accordés. [[53:62]] => => Sur Compaq CQ60, il arrive que la carte wifi soit désactivé matériellement. Solution : appuyer sur le bouton d'activation matériel du wifi pendant la séquence de démarrage (Grub ou test bios).  <|> désactivé => suggestions : ['désactivée']
259 Espace(s) en fin de ligne à supprimer. [[195:196]] => => Sur Compaq CQ60, il arrive que la carte wifi soit désactivé matériellement. Solution : appuyer sur le bouton d'activation matériel du wifi pendant la séquence de démarrage (Grub ou test bios).  <|>   => suggestions : ['']

260 Guillemets typographiques ouvrants. [[36:37]] => <note tip>Vérifiez avec la commande 'rfkill list' si la carte est désactivée matériellement</note> <|> ' => suggestions : ['“', '‘', '‹']
260 Mot inconnu : rfkill [[37:43]] => <note tip>Vérifiez avec la commande 'rfkill list' si la carte est désactivée matériellement</note> <|> rfkill
260 Mot inconnu : list [[44:48]] => <note tip>Vérifiez avec la commande 'rfkill list' si la carte est désactivée matériellement</note> <|> list
260 Guillemets typographiques fermants. [[48:49]] => <note tip>Vérifiez avec la commande 'rfkill list' si la carte est désactivée matériellement</note> <|> ' => suggestions : ['”', '’', '›']

262 Mot inconnu : asus [[17:21]] => => Pour certains asus, le wifi ne s'active qu'après une mise puis sortie de veille. <|> asus

264 Mot inconnu : A7 [[17:19]] => ==Portables Asus A7*== <|> a7

265 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Sur les portables Asus A7*, il est nécessaire de taper en console :  <|>   => suggestions : ['']
265 Mot inconnu : A7 [[24:26]] =>  Sur les portables Asus A7*, il est nécessaire de taper en console :  <|> a7
265 Espace(s) en fin de ligne à supprimer. [[68:69]] =>  Sur les portables Asus A7*, il est nécessaire de taper en console :  <|>   => suggestions : ['']
271 Guillemets typographiques ouvrants. [[13:14]] => Attention: //"asus-laptop"// est à remplacer par le nom de votre machine. <|> " => suggestions : ['«\xa0', '“']
271 Mot inconnu : asus-laptop [[14:25]] => Attention: //"asus-laptop"// est à remplacer par le nom de votre machine. <|> asus-laptop
271 Guillemets typographiques fermants. [[25:26]] => Attention: //"asus-laptop"// est à remplacer par le nom de votre machine. <|> " => suggestions : ['\xa0»', '”']

276 Mot inconnu : M51 [[32:35]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> m51
276 Mot inconnu : intel [[91:96]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> intel
