
5 Mot inconnu : LDAP => ====== LDAP client ====== | ldap
109 Mot inconnu : sudo =>   sudo apt-get install libpam-cracklib | sudo
109 Mot inconnu : apt-get =>   sudo apt-get install libpam-cracklib | apt-get
109 Mot inconnu : install =>   sudo apt-get install libpam-cracklib | install
109 Mot inconnu : libpam-cracklib =>   sudo apt-get install libpam-cracklib | libpam-cracklib

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-password |    => suggestions : ['']
114 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-password | sudo
114 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-password | vi

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |    => suggestions : ['']
119 Mot inconnu : password =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | password
119 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |          => suggestions : [' ']
119 Mot inconnu : required =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | required
119 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |          => suggestions : [' ']
119 Mot inconnu : pam_cracklib =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | pam_cracklib
119 Mot inconnu : so =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | so
119 Mot inconnu : retry =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | retry
119 Mot inconnu : minlen =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | minlen
119 Mot inconnu : difok =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | difok

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password        sufficient      pam_ldap.so use_authtok nullok md5 |    => suggestions : ['']
120 Mot inconnu : password =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | password
120 Espace(s) surnuméraire(s) à supprimer. =>   password        sufficient      pam_ldap.so use_authtok nullok md5 |          => suggestions : [' ']
120 Mot inconnu : sufficient =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | sufficient
120 Espace(s) surnuméraire(s) à supprimer. =>   password        sufficient      pam_ldap.so use_authtok nullok md5 |        => suggestions : [' ']
120 Mot inconnu : pam_ldap =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | pam_ldap
120 Mot inconnu : so =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | so
120 Mot inconnu : use_authtok =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | use_authtok
120 Mot inconnu : nullok =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | nullok
120 Mot inconnu : md5 =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | md5

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password        required        pam_unix.so use_authtok use_first_pass |    => suggestions : ['']
121 Mot inconnu : password =>   password        required        pam_unix.so use_authtok use_first_pass | password
121 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_unix.so use_authtok use_first_pass |          => suggestions : [' ']
121 Mot inconnu : required =>   password        required        pam_unix.so use_authtok use_first_pass | required
121 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_unix.so use_authtok use_first_pass |          => suggestions : [' ']
121 Mot inconnu : pam_unix =>   password        required        pam_unix.so use_authtok use_first_pass | pam_unix
121 Mot inconnu : so =>   password        required        pam_unix.so use_authtok use_first_pass | so
121 Mot inconnu : use_authtok =>   password        required        pam_unix.so use_authtok use_first_pass | use_authtok
121 Mot inconnu : use_first_pass =>   password        required        pam_unix.so use_authtok use_first_pass | use_first_pass

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-session |    => suggestions : ['']
128 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-session | sudo
128 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-session | vi

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session	sufficient	pam_ldap.so |    => suggestions : ['']
133 Mot inconnu : sufficient =>   session	sufficient	pam_ldap.so | sufficient
133 Mot inconnu : pam_ldap =>   session	sufficient	pam_ldap.so | pam_ldap
133 Mot inconnu : so =>   session	sufficient	pam_ldap.so | so

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session	required	pam_unix.so |    => suggestions : ['']
134 Mot inconnu : required =>   session	required	pam_unix.so | required
134 Mot inconnu : pam_unix =>   session	required	pam_unix.so | pam_unix
134 Mot inconnu : so =>   session	required	pam_unix.so | so

139 Mot inconnu : common-session => Si vous voulez que la création automatique du répertoire home soit faite à la première connexion vous allez devoir éditer **common-session** encore une fois : | common-session

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-session |    => suggestions : ['']
141 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-session | sudo
141 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-session | vi

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session required        pam_unix.so |    => suggestions : ['']
146 Mot inconnu : required =>   session required        pam_unix.so | required
146 Espace(s) surnuméraire(s) à supprimer. =>   session required        pam_unix.so |          => suggestions : [' ']
146 Mot inconnu : pam_unix =>   session required        pam_unix.so | pam_unix
146 Mot inconnu : so =>   session required        pam_unix.so | so

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session required        pam_mkhomedir.so skel=/etc/skel/ |    => suggestions : ['']
147 Mot inconnu : required =>   session required        pam_mkhomedir.so skel=/etc/skel/ | required
147 Espace(s) surnuméraire(s) à supprimer. =>   session required        pam_mkhomedir.so skel=/etc/skel/ |          => suggestions : [' ']
147 Mot inconnu : pam_mkhomedir =>   session required        pam_mkhomedir.so skel=/etc/skel/ | pam_mkhomedir
147 Mot inconnu : so =>   session required        pam_mkhomedir.so skel=/etc/skel/ | so
147 Mot inconnu : skel =>   session required        pam_mkhomedir.so skel=/etc/skel/ | skel

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session optional        pam_ldap.so |    => suggestions : ['']
148 Mot inconnu : optional =>   session optional        pam_ldap.so | optional
148 Espace(s) surnuméraire(s) à supprimer. =>   session optional        pam_ldap.so |          => suggestions : [' ']
148 Mot inconnu : pam_ldap =>   session optional        pam_ldap.so | pam_ldap
148 Mot inconnu : so =>   session optional        pam_ldap.so | so

151 Mot inconnu : nscd => Il faut maintenant redémarrer le service nscd pour prendre en compte les modifications : | nscd

153 Mot inconnu : LDAP => Vous pouvez vérifier que votre machine interroge bien la base LDAP en tapant la commande  | ldap
153 Espace(s) en fin de ligne à supprimer. => Vous pouvez vérifier que votre machine interroge bien la base LDAP en tapant la commande  |   => suggestions : ['']

155 Mot inconnu : LDAP => qui listera l'ensemble des comptes locaux mais aussi LDAP! | ldap

158 Mot inconnu : LDAP => Il est judicieux d'avoir un groupe nommé admin dans votre base LDAP. En effet si votre utilisateur LDAP appartient à ce groupe, il devient possible de lui attribuer les droits sudo sur la machine grâce au fichier /etc/sudoers. | ldap
158 Mot inconnu : LDAP => Il est judicieux d'avoir un groupe nommé admin dans votre base LDAP. En effet si votre utilisateur LDAP appartient à ce groupe, il devient possible de lui attribuer les droits sudo sur la machine grâce au fichier /etc/sudoers. | ldap
158 Mot inconnu : sudo => Il est judicieux d'avoir un groupe nommé admin dans votre base LDAP. En effet si votre utilisateur LDAP appartient à ce groupe, il devient possible de lui attribuer les droits sudo sur la machine grâce au fichier /etc/sudoers. | sudo

164 Conjugaison erronée. Accord avec “un…”. Le verbe devrait être à la 3ᵉ personne du singulier. => Si elle n'est pas commentée, un user LDAP appartenant au groupe admin peut prendre les droits root ! | user => suggestions : ['usa', 'usait', 'use']
164 Mot inconnu : LDAP => Si elle n'est pas commentée, un user LDAP appartenant au groupe admin peut prendre les droits root ! | ldap
164 Mot inconnu : root => Si elle n'est pas commentée, un user LDAP appartenant au groupe admin peut prendre les droits root ! | root

166 Mot inconnu : LDAP => ===== Se connecter en tant qu'utilisateur LDAP ===== | ldap

168 Mot inconnu : LDAP => Votre machine est maintenant capable d'accepter une authentification LDAP sans que l'utilisateur n'existe préalablement sur la machine (en local). | ldap

169 Mot inconnu : SSH => Pour le tester, vous pouvez tenter d'ouvrir une session SSH sur cette machine. Par exemple pour l'utilisateur monty : | ssh
169 Mot inconnu : monty => Pour le tester, vous pouvez tenter d'ouvrir une session SSH sur cette machine. Par exemple pour l'utilisateur monty : | monty

175 Mot inconnu : LDAP => ===== Permettre l'authentification LDAP en mode déconnecté ===== | ldap

176 Mot inconnu : laptops => Et oui, les laptops (ordinateurs portables) ayant la facheuse tendance à être utilisés aussi en mode déconnecté, voici de quoi garder une copie locale de votre base LDAP afin de pouvoir ouvrir une session même si votre serveur LDAP n'est pas joignable. Et en cas de panne du serveur LDAP, c'est aussi bien pratique ;) | laptops
176 Mot inconnu : facheuse => Et oui, les laptops (ordinateurs portables) ayant la facheuse tendance à être utilisés aussi en mode déconnecté, voici de quoi garder une copie locale de votre base LDAP afin de pouvoir ouvrir une session même si votre serveur LDAP n'est pas joignable. Et en cas de panne du serveur LDAP, c'est aussi bien pratique ;) | facheuse
176 Mot inconnu : LDAP => Et oui, les laptops (ordinateurs portables) ayant la facheuse tendance à être utilisés aussi en mode déconnecté, voici de quoi garder une copie locale de votre base LDAP afin de pouvoir ouvrir une session même si votre serveur LDAP n'est pas joignable. Et en cas de panne du serveur LDAP, c'est aussi bien pratique ;) | ldap
176 Mot inconnu : LDAP => Et oui, les laptops (ordinateurs portables) ayant la facheuse tendance à être utilisés aussi en mode déconnecté, voici de quoi garder une copie locale de votre base LDAP afin de pouvoir ouvrir une session même si votre serveur LDAP n'est pas joignable. Et en cas de panne du serveur LDAP, c'est aussi bien pratique ;) | ldap
176 Mot inconnu : LDAP => Et oui, les laptops (ordinateurs portables) ayant la facheuse tendance à être utilisés aussi en mode déconnecté, voici de quoi garder une copie locale de votre base LDAP afin de pouvoir ouvrir une session même si votre serveur LDAP n'est pas joignable. Et en cas de panne du serveur LDAP, c'est aussi bien pratique ;) | ldap

185 Mot inconnu : passwd => passwd:         files ldap [NOTFOUND=return] db | passwd
185 Espace(s) surnuméraire(s) à supprimer. => passwd:         files ldap [NOTFOUND=return] db |           => suggestions : [' ']
185 Mot inconnu : ldap => passwd:         files ldap [NOTFOUND=return] db | ldap
185 Mot inconnu : NOTFOUND => passwd:         files ldap [NOTFOUND=return] db | notfound
185 Mot inconnu : return => passwd:         files ldap [NOTFOUND=return] db | return
185 Mot inconnu : db => passwd:         files ldap [NOTFOUND=return] db | db

186 Mot inconnu : group => group:          files ldap [NOTFOUND=return] db | group
186 Espace(s) surnuméraire(s) à supprimer. => group:          files ldap [NOTFOUND=return] db |            => suggestions : [' ']
186 Mot inconnu : ldap => group:          files ldap [NOTFOUND=return] db | ldap
186 Mot inconnu : NOTFOUND => group:          files ldap [NOTFOUND=return] db | notfound
186 Mot inconnu : return => group:          files ldap [NOTFOUND=return] db | return
186 Mot inconnu : db => group:          files ldap [NOTFOUND=return] db | db

190 Mot inconnu : account => account	[success=1 default=ignore]	pam_ldap.so  | account
190 Mot inconnu : success => account	[success=1 default=ignore]	pam_ldap.so  | success
190 Mot inconnu : default => account	[success=1 default=ignore]	pam_ldap.so  | default
190 Mot inconnu : pam_ldap => account	[success=1 default=ignore]	pam_ldap.so  | pam_ldap
190 Mot inconnu : so => account	[success=1 default=ignore]	pam_ldap.so  | so
190 Espace(s) en fin de ligne à supprimer. => account	[success=1 default=ignore]	pam_ldap.so  |   => suggestions : ['']

194 Mot inconnu : account => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | account
194 Espace(s) surnuméraire(s) à supprimer. => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so |      => suggestions : [' ']
194 Mot inconnu : success => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | success
194 Mot inconnu : authinfo_unavail => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | authinfo_unavail
194 Mot inconnu : default => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | default
194 Mot inconnu : pam_ldap => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | pam_ldap
194 Mot inconnu : so => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | so

198 Mot inconnu : users => pour mettre à jour la copie locale des users LDAP | users
198 Mot inconnu : LDAP => pour mettre à jour la copie locale des users LDAP | ldap

199 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | a => suggestions : ['à']
199 Incohérence probable avec “a” : “noter” n’est pas un participe passé. => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | noter => suggestions : ['noté']
199 Participe passé de devoir : “dû”. => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | du => suggestions : ['dû']
199 Mot inconnu : logguer => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | logguer
199 Mot inconnu : LDAP => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | ldap
199 Mot inconnu : check => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | check
205 Il manque un espace. => //Contributeur principal : [[utilisateurs:fr.laugier]].// | fr => suggestions : [' fr']
205 Mot inconnu : laugier => //Contributeur principal : [[utilisateurs:fr.laugier]].// | laugier
